	"103.alpha factor release sample026"	"104.alpha factor release sample024"	"497.Heat Shock 000 minutes"	"686.YP ethanol vs reference pool"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1107.alpha factor release sample025"	"4872.1M sorbitol - 60 min"	"8287.mcm1-1 + pRS315 vs. mcm1-1 + pRS-MCM7"	"11466.yO1 test hyb"	"18418.2mM MD 170min"	"18424.2mM MD 055min"	"18428.2mM MD 030min"	"21654..24 mM H2O2- 275 minutes"	"21662..24 mM H2O2- 230 minutes"	"30773.Pomona/Brown Sir3x red"	"33780.delYPL230w_stationary_phase_7hours"
"YBL024W"	0.021	-0.0895	1.0735	-1.0245	-2.16	-2.175	-2.483	-4.671	-4.879	-2.114	-2.409	-3.8255	-2.047	-2.147	-2.6055	-3.4875	-3.5465	-3.993	-0.252333333333333	0.065	0.126	-2.18	-0.905	-0.1495	0.226	-0.796	0.092	-0.009	-1.714
"YBL072C"	0.516	0.298	1.4025	-0.9405	-2.694	-2.486	-3.041	-3.192	-6.241	-3.188	-3.091	-4.1825	-2.074	-2.5425	-2.5865	-2.5245	-3.2065	-4.2	0.2455	0.611	0.504	-2.524	-1.584	-0.488	0.801	-0.94	0.033	0.135	-2.598
"YBL077W"	0.346	0.153	0.6685	-1.134	-1.571	-2.021	-1.176	-3.136	-5.081	-2.607	-2.667	-2.792	-1.615	-2.0335	-2.345	-2.816	-3.3595	-3.1945	0.062	0.0635	0.345	-1.547	-1.3055	-1.8955	0.08	-0.472	-0.853	0.115	-2.752
"YBL079W"	0.138	-0.0635	-0.171666666666667	-0.0966666666666667	-0.4265	-0.3605	-0.4125	-1.1	-1.929	-0.2625	-1.065	-0.679	-0.543333333333333	-0.537	-0.560666666666667	-0.818	-1.078	-0.826	-0.222	-0.156666666666667	-0.017	-0.2775	-0.232333333333333	-0.0636666666666666	0.425666666666667	-0.1965	0.0185	-0.173	-0.569
"YBR082C"	-0.026	0.0	-0.605	-0.915	-0.767	-1.412	-1.155	-2.746	-3.456	-0.797	0.564	-0.811	-0.897	-1.1805	-0.7415	-1.767	-2.379	-2.5995	-0.013	0.2625	-0.046	-2.2115	-0.479333333333333	-0.203333333333333	-0.421	0.0025	0.0805	-0.1055	-0.898
"YBR096W"	0.566	0.469	-0.3265	-0.4795	-0.335	-1.618	-0.773	-2.825	-3.347	-1.3	-1.672	-0.6475	-0.9895	-1.7275	-1.5245	-1.829	-1.7925	-2.066	0.0555	-0.07	0.263	-0.446	0.0125	0.1285	0.2695	-0.17	-0.447	0.073	-1.362
"YBR106W"	0.448	0.216	0.9	-0.828	-1.83	-2.108	-1.986	-3.354	-5.052	-2.595	-2.731	-2.3915	-1.999	-2.0935	-2.137	-2.3225	-3.147	-3.2985	0.3165	0.066	0.634	-1.924	-0.582	-0.166	0.328	-1.279	-0.79	0.118	-2.779
"YBR121C"	0.197	0.424	0.801	-1.014	-1.543	-2.186	-2.714	-4.037	-5.791	-2.366	-2.465	-3.2385	-1.721	-2.416	-3.155	-4.1355	-4.173	-4.5985	-0.0135	-0.1215	0.001	-2.249	-1.101	-1.3825	-0.2115	-0.268	-0.538	0.12	-1.806
"YBR143C"	0.095	-1.098	1.0005	-1.0625	-2.197	-1.932	-2.537	-3.195	-4.642	-2.012	-2.112	-3.1475	-1.838	-2.126	-2.659	-2.698	-2.699	-3.572	-0.087	0.029	0.241	-1.699	-1.6145	-1.415	-0.3495	-0.316	-0.381	0.105	-2.453
"YBR166C"	1.062	0.218	0.183333333333333	-0.194666666666667	-1.251	-1.0985	-1.407	-2.2345	-3.0285	-0.887	-1.552	-1.33633333333333	-0.705	-0.636333333333333	-1.099	-0.965333333333333	-1.83066666666667	-1.03266666666667	-0.062	-0.174	-0.023	-0.643	0.456	0.4885	0.457	-0.2245	0.123	0.023	-0.833
"YBR246W"	0.199	1.063	0.5475	-0.4065	-1.195	-0.766	-0.796	-2.137	-3.138	-1.077	-1.419	-0.906	-0.9535	-0.9095	-0.74	-1.3615	-1.8565	-1.287	0.328	-0.1025	0.099	-0.088	-0.296	0.793	0.753	0.502	-0.155	0.083	-0.393
"YBR288C"	0.109	0.199	0.5175	-0.437	-1.173	-0.889	-1.298	-2.229	-3.524	-0.751	-1.088	-1.2745	-1.0805	-0.9095	-1.1005	-1.2605	-1.978	-1.688	0.057	-0.2105	-0.057	-0.958	0.1	-0.888	-0.624	0.331	0.321	0.1	-0.937
