	"861.YPD_5_d_30C"	"1018.YPD 13 d (25C)"	"1139.DY1457 (wild type) 3 mM vs. 76 nM zinc"
"YMR242C"	-6.226	-3.475	2.029
"YMR321C"	-3.811	-2.424	1.171
"YNL067W"	-5.731	-2.76	2.578
"YNL069C"	-4.824	-3.665	2.414
"YNL162W"	-6.425	-3.468	1.432
"YNL167C"	-3.18	-1.67	0.081
"YNL178W"	-6.62	-3.871	2.094
"YNL218W"	-3.318	-0.907	-0.283
"YNL221C"	-3.396	-1.934	0.631
"YNR026C"	-2.7105	-1.434	-0.966
"YNR028W"	-2.7155	-1.226	-0.026
"YOL024W"	-0.4685	0.307	-0.202
"YOL061W"	-3.804	-2.156	-0.121
"YOL062C"	-4.46	-1.957	0.841
"YOL121C"	-1.754	-3.83	2.141
"YOL127W"	-2.676	-3.172	1.758
"YOL138C"	-1.069	-0.445	-0.417
"YOR011W"	-2.358	-1.212	-1.244
"YOR096W"	-0.414	-3.584	2.538
"YOR115C"	-3.401	-0.436	0.089
"YOR122C"	-3.762	-1.919	0.1
"YOR168W"	-4.808	-2.604	1.642
"YOR197W"	-3.178	-1.64	1.07
"YOR209C"	-6.004	-2.954	1.301
"YOR224C"	-4.849	-2.202	1.211
"YOR277C"	-4.571	-2.211	-0.519
"YOR293W"	-4.496	-3.118	1.931
"YOR310C"	-7.1385	-4.866	1.233
"YOR320C"	-3.6785	-1.828	0.51
"YOR323C"	-6.434	-3.428	1.739
"YOR370C"	-2.17666666666667	-1.1545	0.819
"YPL001W"	-4.084	-1.844	-0.488
"YPL028W"	-5.5385	-2.948	0.748
"YPL035C"	-2.066	-0.271	0.0
"YPL037C"	-5.417	-3.654	1.099
"YPL050C"	-4.275	-1.614	0.392
"YPL051W"	-2.69	-1.737	-0.362
"YPL066W"	-2.461	-1.229	0.314
"YPL094C"	-5.3055	-2.741	-0.566
"YPL139C"	-0.7375	0.775	0.066
"YPL198W"	-6.879	-3.133	2.698
"YPL207W"	-3.832	-2.628	-0.175
"YPL220W"	-6.1465	-3.926	2.259
"YPL226W"	-5.67966666666667	-3.983	0.8915
"YPL235W"	-3.62066666666667	-2.0025	0.857
"YPL243W"	-5.276	-3.544	0.633
"YPL246C"	-3.7775	-1.642	0.542
"YPL259C"	-2.0535	-1.241	0.631
"YPR033C"	-7.94	-4.54	1.295
"YPR036W"	-5.024	-1.274	0.926
"YPR089W"	-3.974	-1.84	0.175
"YPR102C"	-6.451	-4.692	2.333
"YPR107C"	-3.49	-1.585	-0.429
"YPR110C"	-6.318	-3.358	1.631
"YPR115W"	-2.17233333333333	1.2295	0.0705
"YPR117W"	-1.1225	1.074	-0.081
"YPR126C"	-4.861	-0.093	0.037
"YPR188C"	-3.36	-1.668	-0.053
