	"58.Elutriation2:Sample2:Time5.0hrs"	"584.17 deg growth"	"812.1M sorbitol - 45 min (* centrifugation problem)"	"861.YPD_5_d_30C"	"1009.YPD 2 h (25C)"	"1107.alpha factor release sample025"	"1258.DBYyap1 + 37degree heat (repeat)"	"1303.diauxic shift timecourse: 0 hr"	"2144.heat shock 37 to 37, 30 minutes"	"2964.WT vs lpz8 null cells in low Cu-repeat"	"4872.1M sorbitol - 60 min"	"6344.DES460 + 0.02% MMS - 5 min"	"6439.DES459 (mec1-) + 0.02% MMS - 30 min"	"6672.wt - 0.3 mM H2O2 - 10 min"	"8204.steady state 29 dec C"	"8287.mcm1-1 + pRS315 vs. mcm1-1 + pRS-MCM7"	"8291.wt+pRS315 vs. wt+pRS-MCM7"	"11466.yO1 test hyb"	"11826.Pomona College Bio164: WT/dna2-2 mRNA"	"11828.Pomona College Bio164: WT/rad27 mRNA"	"12169.aft2 minus cells with control plasmid vs aft2 minus cells with AFT2 vector"	"12182.Swarthmore College: sid2 37Cplus wt 37C"	"27103.P1Comp 24 hr 5 min Phosphate Batch vs Chemostat Comparison"	"34359.batch 02X25 3"	"37285.CC SP 3B  Sulfate-Phosphate Chemostat Comparison"	"40961.MD_II_0_min"	"42047.L1CompR 09 hr 05 min Leucine Batch vs Chemostat Comparison"	"42048.L1CompR 11 hr 10 min Leucine Batch vs Chemostat Comparison"	"42049.L1CompR 13 hr 10 min Leucine Batch vs Chemostat Comparison"	"42050.L1CompR 15 hr 00 min Leucine Batch vs Chemostat Comparison"	"42051.L1CompR 18 hr 10 min Leucine Batch vs Chemostat Comparison"	"42052.L1CompR 21 hr 10 min Leucine Batch vs Chemostat Comparison"	"42053.L1CompR 26 hr 40 min Leucine Batch vs Chemostat Comparison"	"42062.U3Comp 10 hr 08 min Uracil Batch vs Chemostat Comparison"	"42191.L2 Comp 05 hr 00 min Leucine Batch vs Chemostat Comparison"	"42196.L2 Comp 09 hr 58 min Leucine Batch vs Chemostat Comparison"	"42197.L2 Comp 11 hr 04 min Leucine Batch vs Chemostat Comparison"	"42198.L2 Comp 12 hr 03 min Leucine Batch vs Chemostat Comparison"	"42199.L2 Comp 12 hr 59 min Leucine Batch vs Chemostat Comparison"	"42200.L2 Comp 24 hr 59 min Leucine Batch vs Chemostat Comparison"	"42222.U2 Comp 07 hr 10 min Uracil Batch vs Chemostat Comparison"	"42225.U2 Comp 09 hr 12 min Uracil Batch vs Chemostat Comparison"	"42226.U2 Comp 10 hr 05 min Uracil Batch vs Chemostat Comparison"	"42227.U2 Comp 11 hr 05 min Uracil Batch vs Chemostat Comparison"	"42228.U2 Comp 12 hr 05 min Uracil Batch vs Chemostat Comparison"	"42229.U2 Comp 13 hr 05 min Uracil Batch vs Chemostat Comparison"	"42231.U2 Comp 31 hr 35 min Uracil Batch vs Chemostat Comparison"	"42373.CC UL 3B Uracil-Leucine Chemostat Comparison"	"42398.L2 CompR 09 hr 58 min Leucine Batch vs Chemostat Comparison"	"42399.L2 CompR 11 hr 04 min Leucine Batch vs Chemostat Comparison"	"42400.L2 CompR 12 hr 03 min Leucine Batch vs Chemostat Comparison"	"42401.L2 CompR 12 hr 59 min Leucine Batch vs Chemostat Comparison"	"42402.L2 CompR 24 hr 59 min Leucine Batch vs Chemostat Comparison"
"YGL068W"	0.519	-0.51	-0.238	-3.944	0.26	0.222	0.589	-0.06	-0.145	0.076	-0.018	0.35	0.036	-0.326	-0.032	0.223	-0.08	-0.979	-2.902	-1.802	0.014	-0.327	-0.546	0.353	0.265	-0.587	2.218	2.403	1.087	2.147	1.596	2.048	1.935	0.73	-1.886	1.513	1.312	2.04	2.061	1.66	-0.349	1.108	0.467	0.945	0.709	1.027	0.156	-0.073	2.241	2.647	2.605	2.498	2.604
"YGL154C"	0.404	-0.866	0.042	-0.14	0.229	-0.008	0.17	-0.207	-0.448	0.286	-0.138	-0.366	0.368	-0.274	0.097	-0.045	-0.017	0.586	-2.793	-4.594	-0.03	-0.838	-0.711	-0.211	0.513	0.473	-1.85	-2.482	-2.899	-2.901	-2.63	-2.368	-1.015	0.352	0.093	-2.869	-2.768	-2.876	-2.172	-1.281	-0.323	-0.468	-1.457	-0.597	-1.078	-0.819	-1.095	-0.294	-1.728	-2.017	-2.272	-2.077	-2.273
"YGL223C"	-0.008	-0.796	0.1	-2.761	0.114	-0.217	-0.003	-0.116	0.121	-0.049	-0.113	0.088	0.267	-0.177	0.054	-0.114	0.342	-0.111	-2.193	0.543	0.151	-1.522	0.164	0.261	-0.295	0.258	-3.608	-3.63	NaN	-2.884	-3.401	-2.732	-2.494	0.393	-0.961	-1.858	-1.361	-1.936	-1.721	-2.74	-0.365	0.222	-0.306	-0.409	-0.642	-0.28	-0.075	0.755	-0.945	-1.056	-1.157	-1.51	-1.158
"YGR012W"	0.271	-1.103	-0.022	-3.209	0.127	0.094	0.268	-0.037	0.102	0.221	0.067	0.094	0.367	-0.106	0.127	-0.194	-0.066	-0.416	-0.399	-0.515	-0.089	-1.399	-0.133	-0.674	-0.086	-0.411	-1.46	-1.535	-4.086	-0.963	-3.103	-1.134	-3.293	-0.742	-1.386	-1.173	-1.476	-1.952	-1.577	-1.741	-0.996	-1.336	-0.642	-0.773	-0.514	-1.587	0.542	-0.465	-1.502	-1.313	-1.252	-1.12	-1.253
"YGR288W"	-0.221	-1.346	0.042	-0.54	0.016	0.054	0.336	-0.597	-0.183	-0.1	0.303	0.103	0.109	-0.179	-0.243	-0.198	-0.269	0.687	-0.353	-3.302	0.174	-0.97	0.179	0.021	-0.473	0.473	-2.38	-2.755	-2.712	NaN	-4.025	-1.743	-3.637	0.533	-1.912	-1.481	-1.344	-2.249	-2.198	-3.421	-0.142	-1.181	-1.207	-0.953	-0.697	-0.395	-0.999	-0.323	-1.533	-1.345	-2.25	-1.524	-2.251
"YIL036W"	-0.361	-0.709	0.222	-1.192	0.013	-0.124	0.39	-0.161	0.128	0.055	-0.125	0.2485	0.355	0.109	-0.092	-0.131	-0.185	0.875	-1.507	-1.247	0.44	-1.295	0.134	-0.422	-0.388	0.67	-2.577	-1.465	-3.412	NaN	-3.096	-1.386	-4.171	-0.445	-0.88	-1.441	-1.627	-1.558	-1.327	-2.635	-1.188	-1.807	-0.78	-0.8	-0.478	-1.335	-1.106	-0.457	-1.087	-1.501	-1.235	-1.235	-1.236
"YIL044C"	-0.281	-0.512	0.17	-2.248	0.165	0.041	0.11	-0.05	0.029	0.257	0.123	0.0095	0.229	-0.253	-0.076	0.104	0.169	-0.439	-1.952	-0.008	0.019	-1.597	-0.261	0.323	0.177	-0.081	-1.934	-1.896	-2.122	-2.101	-2.714	-1.495	-1.813	-1.078	-0.719	-2.149	-1.398	-1.748	-1.575	-1.566	-0.755	-0.776	-1.581	-0.661	-1.093	-0.918	-1.376	-0.026	-1.14	-0.959	-1.029	-1.197	-1.03
"YIL056W"	-0.371	-0.721	-0.169	0.795	0.278	-0.143	0.441	0.108	0.4	-1.025	-0.281	0.5445	0.311	0.011	-0.093	-0.43	0.051	0.809	0.166	NaN	0.02	-1.17	0.778	-0.336	-0.726	1.184	-2.859	-2.607	-3.607	-2.964	-3.032	-2.187	-5.408	-0.24	0.876	-2.425	-2.685	-2.145	-2.373	-3.043	-0.369	-1.03	-1.299	-0.833	-1.142	-0.944	-1.021	-0.581	-1.483	-1.694	-1.69	-1.6	-1.691
"YIL145C"	0.176	-0.321	0.189	1.835	0.185	0.015	-0.51	0.451	-0.02	0.094	0.284	-0.0835	0.122	-0.198	0.059	-0.021	0.185	-0.667	-1.585	-4.342	-0.106	-0.942	0.824	-0.196	0.307	-0.314	-1.933	-2.313	-3.123	-1.314	-3.522	-1.74	-1.925	-0.122	-1.414	-1.217	-1.407	-1.409	-1.445	-0.967	-0.643	-0.4	-0.656	-0.565	-0.357	-0.404	-1.24	-0.112	-0.964	-1.093	-1.223	-1.048	-1.224
"YJL201W"	-0.069	-1.111	-0.047	-3.675	0.054	-0.047	-0.228	0.209	0.004	-0.127	0.124	0.07	-0.002	0.111	0.172	-0.025	-0.207	-0.547	-2.755	-1.579	0.672	-1.256	-0.14	0.076	-0.093	-0.493	-2.298	-2.128	-3.027	NaN	-3.288	-1.436	-3.118	-0.696	-1.131	-2.012	-1.311	-1.512	-1.301	-1.802	-1.009	-1.21	-1.869	-0.635	-0.491	-1.001	-1.268	-0.181	-1.542	-1.95	-2.137	-1.715	-2.138
