	"58.Elutriation2:Sample2:Time5.0hrs"	"584.17 deg growth"	"812.1M sorbitol - 45 min (* centrifugation problem)"	"861.YPD_5_d_30C"	"1009.YPD 2 h (25C)"	"1107.alpha factor release sample025"	"1258.DBYyap1 + 37degree heat (repeat)"	"1303.diauxic shift timecourse: 0 hr"	"2144.heat shock 37 to 37, 30 minutes"	"2964.WT vs lpz8 null cells in low Cu-repeat"	"4872.1M sorbitol - 60 min"	"6344.DES460 + 0.02% MMS - 5 min"	"6439.DES459 (mec1-) + 0.02% MMS - 30 min"	"6672.wt - 0.3 mM H2O2 - 10 min"	"8204.steady state 29 dec C"	"8287.mcm1-1 + pRS315 vs. mcm1-1 + pRS-MCM7"	"8291.wt+pRS315 vs. wt+pRS-MCM7"	"11466.yO1 test hyb"	"11826.Pomona College Bio164: WT/dna2-2 mRNA"	"11828.Pomona College Bio164: WT/rad27 mRNA"	"12169.aft2 minus cells with control plasmid vs aft2 minus cells with AFT2 vector"	"12182.Swarthmore College: sid2 37Cplus wt 37C"	"27103.P1Comp 24 hr 5 min Phosphate Batch vs Chemostat Comparison"	"34359.batch 02X25 3"	"37285.CC SP 3B  Sulfate-Phosphate Chemostat Comparison"	"40961.MD_II_0_min"	"42047.L1CompR 09 hr 05 min Leucine Batch vs Chemostat Comparison"	"42048.L1CompR 11 hr 10 min Leucine Batch vs Chemostat Comparison"	"42049.L1CompR 13 hr 10 min Leucine Batch vs Chemostat Comparison"	"42050.L1CompR 15 hr 00 min Leucine Batch vs Chemostat Comparison"	"42051.L1CompR 18 hr 10 min Leucine Batch vs Chemostat Comparison"	"42052.L1CompR 21 hr 10 min Leucine Batch vs Chemostat Comparison"	"42053.L1CompR 26 hr 40 min Leucine Batch vs Chemostat Comparison"	"42062.U3Comp 10 hr 08 min Uracil Batch vs Chemostat Comparison"	"42191.L2 Comp 05 hr 00 min Leucine Batch vs Chemostat Comparison"	"42196.L2 Comp 09 hr 58 min Leucine Batch vs Chemostat Comparison"	"42197.L2 Comp 11 hr 04 min Leucine Batch vs Chemostat Comparison"	"42198.L2 Comp 12 hr 03 min Leucine Batch vs Chemostat Comparison"	"42199.L2 Comp 12 hr 59 min Leucine Batch vs Chemostat Comparison"	"42200.L2 Comp 24 hr 59 min Leucine Batch vs Chemostat Comparison"	"42222.U2 Comp 07 hr 10 min Uracil Batch vs Chemostat Comparison"	"42225.U2 Comp 09 hr 12 min Uracil Batch vs Chemostat Comparison"	"42226.U2 Comp 10 hr 05 min Uracil Batch vs Chemostat Comparison"	"42227.U2 Comp 11 hr 05 min Uracil Batch vs Chemostat Comparison"	"42228.U2 Comp 12 hr 05 min Uracil Batch vs Chemostat Comparison"	"42229.U2 Comp 13 hr 05 min Uracil Batch vs Chemostat Comparison"	"42231.U2 Comp 31 hr 35 min Uracil Batch vs Chemostat Comparison"	"42373.CC UL 3B Uracil-Leucine Chemostat Comparison"	"42398.L2 CompR 09 hr 58 min Leucine Batch vs Chemostat Comparison"	"42399.L2 CompR 11 hr 04 min Leucine Batch vs Chemostat Comparison"	"42400.L2 CompR 12 hr 03 min Leucine Batch vs Chemostat Comparison"	"42401.L2 CompR 12 hr 59 min Leucine Batch vs Chemostat Comparison"	"42402.L2 CompR 24 hr 59 min Leucine Batch vs Chemostat Comparison"
"YLR443W"	0.237	-0.544	0.511	-3.763	-0.178	0.172	0.137	0.027	NaN	-0.148	0.233	0.187	0.033	-0.209	0.025	-0.063	0.16	-0.063	-1.037	-2.817	0.309	1.486	0.403	0.005	-0.176	0.113	-2.035	NaN	NaN	-3.49	-3.783	-2.125	-2.03	-0.382	-1.694	-2.631	-0.869	-2.762	-1.702	-2.891	-0.825	-1.795	-1.801	-0.914	-1.903	-1.449	-1.102	-0.085	-0.574	-5.824	-0.85	-1.019	-0.851
"YLR451W"	-0.065	-0.838	-0.06	-3.26	0.0225	-0.007	0.2265	-0.194	-0.01	-0.2265	0.225	-0.0815	-0.033	-0.1095	0.088	0.231	-0.189	-0.265	-1.7775	-1.708	0.122	-0.6575	-0.4475	-0.364	-0.033	0.8195	-2.378	-3.539	-6.777	-2.935	-1.383	-1.223	-2.116	0.733	-0.885	-3.178	-2.194	-2.746	-1.885	-1.752	-1.096	-1.131	-0.814	-0.763	-1.553	-1.399	-1.503	-0.631	-2.221	-2.21	-1.498	-1.238	-1.499
"YML114C"	-0.274	-0.669	-0.357	-2.543	0.144	-0.27	0.363	0.089	-0.122	0.028	0.202	-0.533	0.058	0.288	0.223	0.176	0.037	-0.245	-2.076	-2.237	-0.191	-1.93	1.016	0.26	0.298	-0.873	-3.379	-4.325	-6.148	-1.634	-2.1	-0.933	-1.264	-0.665	-1.687	-0.71	-2.322	-1.919	-1.795	-2.203	0.116	-0.127	-0.307	-1.306	-0.85	-2.236	-0.231	-0.198	-1.596	-1.841	-3.838	-1.35	-3.839
"YMR028W"	-0.13	-0.352	-0.064	-4.06	-0.025	-0.142	0.548	-0.172	-0.091	-0.079	0.145	-0.076	0.359	-0.083	-0.115	0.097	-0.339	-0.43	-1.739	-0.449	-0.378	-0.409	0.296	-0.121	0.213	-0.257	-1.849	-1.268	NaN	NaN	-1.42	-0.855	-3.381	-0.96	-1.864	-1.797	-1.22	-1.988	-1.576	-2.071	-1.291	-1.64	-1.175	-0.889	-1.29	-1.308	-0.152	-0.026	-0.618	-1.966	-2.697	-0.766	-2.698
"YMR066W"	-0.304	-0.437	-0.336	-2.329	-0.205	-0.332	0.838	-0.172	-0.387	-0.349	-0.073	-0.179	0.297	0.021	-0.155	0.112	-0.094	-0.632	-1.45	-0.606	-0.011	-1.091	-0.722	-0.032	0.189	NaN	-1.787	-1.884	-4.868	-2.182	-2.269	-1.267	-1.581	-0.308	-1.809	-2.893	-2.16	-1.995	-1.464	-2.072	-0.876	-1.809	-2.465	-1.105	-1.472	-2.082	-0.483	-0.637	-1.517	-2.793	-2.163	-1.423	-2.164
"YMR132C"	0.025	-1.096	-0.459	-2.963	-0.295	0.031	-0.141	-0.019	-0.171	-0.262	-0.2	0.029	0.064	-0.335	-0.187	0.04	-0.011	-0.727	-0.589	-1.985	0.064	-0.507	-1.195	0.108	0.26	0.598	-2.444	-1.789	-3.037	-2.98	-3.587	-1.418	-3.526	-0.791	NaN	-1.57	-2.392	-2.896	-2.749	-1.834	-0.951	-1.935	-0.534	-0.122	0.037	-0.922	-0.461	-0.352	-1.446	-1.977	-3.243	-1.422	-3.244
"YMR167W"	-0.506	-1.368	-0.041	-1.832	-0.311	-0.217	0.614	-0.112	-0.339	-0.177	0.034	-0.061	-0.207	0.14	0.178	-0.103	-0.116	0.368	-1.287	-2.42	0.332	-1.203	0.101	0.132	-0.158	-0.178	-1.172	-1.079	-2.471	-3.794	-2.929	-1.129	-3.389	0.457	-2.343	-1.962	-0.29	-1.72	-1.298	-1.716	-1.117	-0.317	-0.459	-0.212	-1.614	-1.405	-0.349	-0.396	-0.757	-1.534	-1.211	-1.139	-1.21
"YMR172W"	-0.528	-1.377	-0.22	-2.35	-0.191	-0.166	0.224	-0.374	-0.331	-0.172	0.09	0.071	-0.165	0.242	-0.198	0.105	0.012	0.394	-0.404	-2.96	-0.023	-0.445	-0.765	0.173	-0.003	-0.706	-3.842	-2.519	-2.141	NaN	-4.503	-1.706	-3.389	-0.388	-2.743	-2.849	-0.831	-2.149	-1.339	-1.498	-1.204	-0.926	-0.705	-1.721	-1.243	-2.059	-0.431	-0.89	-1.236	-2.547	-1.879	-2.578	-1.88
"YMR262W"	-0.198	-0.899	0.029	-1.212	0.209	-0.159	-0.307	-0.182	-0.104	-0.318	-0.205	0.069	0.376	0.036	-0.363	-0.139	-0.31	0.7685	-1.598	-1.182	0.462	-1.2715	0.287	0.391	-0.08	-0.928	-1.553	-1.486	-3.466	-0.973	-2.629	-1.03	-1.731	0.454	NaN	-1.93	-1.344	-2.217	-2.419	-3.234	-1.053	-1.203	-0.966	-0.077	0.638	-1.189	1.33	0.412	-1.284	-1.681	-1.691	-1.08	-1.692
"YNL072W"	0.103	-0.803	-0.169	-2.156	-0.285	0.253	-0.774	-0.237	-0.098	0.31	0.144	0.31	-0.145	0.055	-0.178	-0.443	0.248	-0.596	-1.6265	-1.1965	0.513	-0.8875	0.461	-0.28	0.168	0.199	-2.378	-2.241	-5.109	NaN	-4.508	-2.132	-0.612	-0.49	-0.392	-2.243	-1.609	-2.152	-1.837	-2.469	-1.085	-1.436	-1.371	-0.381	0.812	-0.792	-0.3	-0.225	-1.409	-2.824	NaN	NaN	NaN
"YNL116W"	-0.136	-1.295	0.257	-0.745	0.245	-0.256	0.494	0.085	-0.012	-0.081	0.223	0.076	0.034	0.014	0.048	-0.331	0.125	1.0645	-2.0695	-0.9855	-0.156	-1.351	1.062	-0.145	-0.278	-1.137	-2.737	-2.011	-2.566	-3.828	-2.437	-1.343	-1.705	-0.407	-1.949	-1.848	-1.086	-1.698	-1.87	-2.273	-1.11	-1.492	-1.434	-1.462	-1.85	-1.694	-1.979	-0.122	-1.189	-1.401	-1.956	-1.043	-1.957
"YNL180C"	-0.274	-0.032	-0.308	-0.46	0.057	-0.086	0.235	0.311	0.079	-0.002	-0.356	0.364	0.326	0.06	-0.092	-0.178	0.005	0.7245	-1.518	-1.842	-0.07	0.662	0.86	0.34	-0.391	1.008	-2.571	-2.298	-2.572	-1.532	-2.716	-1.25	-2.563	-0.018	-1.723	-2.05	-2.536	-2.463	-1.538	-2.527	-0.594	-1.373	-1.177	-0.293	-0.903	-1.448	-1.087	0.359	-1.351	-2.092	-1.939	-1.425	-1.968
"YNL240C"	0.085	-0.234	-0.067	NaN	-0.865	0.074	-0.37	0.019	-0.367	-0.318	0.477	-0.411	-0.126	-0.101	-0.111	-0.216	0.403	0.4855	-1.7125	-1.287	0.42	-0.4245	0.59	-0.807	0.406	-0.54	-1.933	-2.622	-2.201	-2.818	-4.045	-3.352	-3.179	1.268	-0.931	-1.531	-0.969	-2.117	-1.905	-2.572	-1.358	-1.339	-0.469	-0.612	-0.33	-0.527	-0.594	-0.926	-0.977	-3.236	-1.835	-2.134	-1.836
"YNL288W"	-0.128	-0.355	0.024	-2.753	0.253	0.053	0.079	0.277	0.064	0.026	0.07	-0.133	0.083	0.064	-0.026	0.261	0.0	-0.66	-0.934	-1.36	0.132	-1.278	0.364	0.392	0.339	1.258	-2.441	-1.572	-6.388	-3.834	-1.148	-1.427	-1.389	-0.544	-3.352	-1.683	-0.934	-2.021	-1.161	-0.809	-1.222	-1.233	-1.602	-1.238	-1.067	-0.909	-1.763	0.363	-0.641	-1.094	-1.658	-0.687	-1.659
"YOL036W"	-0.334	-1.025	-0.239	0.8045	-0.078	-0.146	0.476	0.139	-0.054	-0.373	-0.001	0.163	-0.442	-0.026	0.1875	-0.024	0.468	0.52	-0.761	-0.848	0.073	-0.307	0.858	-0.25	-0.048	0.001	-2.607	-0.96	-2.839	-2.328	-0.623	-1.671	-4.053	-0.461	NaN	-1.751	-1.484	-1.312	-1.511	-2.075	0.259	-1.189	-0.824	-0.79	-0.954	-1.047	-1.287	-0.017	-0.968	-1.304	-1.648	-0.742	-1.649
"YOL135C"	-0.106	-1.467	-0.024	0.4435	0.09	-0.109	0.211	-0.124	0.097	0.099	0.05	0.159	-0.021	-0.05	0.219	-0.203	-0.163	-0.293	-1.433	-0.64	-0.316	-0.821	0.587	0.291	0.247	0.886	-1.984	-1.987	-1.523	-6.157	-3.12	-2.156	-2.992	0.209	-3.528	-2.121	-0.078	-1.785	-1.147	-1.594	-1.191	-0.504	-0.275	-0.186	-1.213	-1.447	-1.024	-0.138	-0.688	NaN	-2.207	-1.687	-2.208
"YOL159C"	-0.384	-1.771	-0.26	0.9055	-0.151	0.074	0.528	0.012	-0.096	0.077	-0.276	0.121	0.015	-0.068	0.335	-0.237	-0.213	1.178	-0.795	-2.843	0.215	-2.471	1.265	0.166	-0.313	0.696	-2.047	-3.027	-3.197	NaN	-4.198	-3.229	-4.519	0.304	-1.518	-2.103	-1.199	-2.227	-2.34	-2.192	-1.164	-1.523	-1.606	-0.395	-0.587	-1.632	-0.648	0.236	-1.267	NaN	-3.302	-2.464	-3.303
"YOR104W"	0.248	-0.282	0.074	-0.232	-0.041	-0.002	0.297	-0.146	-0.186	-0.066	0.006	-0.138	-0.109	-0.253	-0.0585	-0.293	1.263	-0.069	0.0	-4.354	-0.234	-0.976	-0.596	-0.376	0.135	1.086	-1.563	-1.833	-2.536	-1.602	-2.4	-0.914	-2.869	-0.317	0.859	-2.116	-1.706	-2.842	-1.739	-3.378	-0.687	-1.207	-1.406	-1.209	-0.768	-0.745	-1.0	0.08	-1.281	-1.901	-1.647	-1.555	-1.648
"YOR189W"	0.023	-0.715	0.053	-1.876	0.044	-0.063	0.126	-0.008	-0.063	0.078	0.077	-0.054	0.29	-0.355	0.3965	-0.04	-0.2	-0.307	-2.067	-0.474	-0.1	-1.055	-1.195	0.023	0.305	-1.169	-2.948	-1.341	-3.979	NaN	-1.886	-1.141	-0.938	-0.776	-1.626	-2.264	-1.973	-1.379	-1.342	-1.916	-0.498	-1.209	-1.164	-0.52	-0.401	-1.405	0.415	-0.246	-0.934	-1.447	-0.892	-0.706	-0.893
"YPL003W"	-0.555	-1.775	-0.09	-1.299	0.123	-0.33	0.336	0.043	-0.117	-0.218	-0.14	-0.276	0.113	0.261	-0.02	-0.267	-0.239	0.649	0.423	NaN	-0.169	-1.562	0.839	0.468	-0.098	-0.693	-2.43	-2.46	-2.9	NaN	-2.862	-2.555	-2.831	0.395	-1.344	-1.994	-0.866	-1.623	-1.551	-2.132	-1.162	-0.613	-1.126	0.356	-1.404	-1.703	-0.955	-0.165	-0.806	-1.7	-1.581	-1.23	-1.582
"YPL011C"	-0.136	-0.794	-0.353	-2.1735	-0.127	-0.178	0.428	0.126	0.116	-0.505	0.052	-0.005	0.2	0.412	0.0585	-0.051	0.248	-0.179	-1.354	-1.092	-0.239	-1.133	-0.911	0.208	0.47	-1.063	-2.485	-2.464	-3.677	-3.561	-1.963	-1.575	-1.914	-0.466	-2.289	-1.419	-0.919	-1.515	-1.628	-1.507	-1.226	-0.542	-1.786	-1.29	-1.455	-1.68	-1.025	-0.322	-0.792	-1.861	-1.385	-1.131	-1.386
"YPL055C"	-0.504	-1.875	-0.009	1.218	-0.95	-0.386	0.446	-0.297	-0.043	0.225	0.049	-0.336	-0.053	0.189	-0.0495	-0.491	0.115	0.83	-1.495	-1.308	0.004	-0.241	0.492	-0.193	0.317	0.363	-2.486	NaN	-3.882	-4.081	-3.562	-2.712	-2.254	-0.609	-3.127	-2.248	-0.899	-2.496	-1.875	-2.117	-1.083	-1.348	-0.716	-1.253	-2.067	-2.022	-1.119	-0.565	-0.692	-1.194	-1.241	-0.855	-1.242
"YPL071C"	-0.429	-0.647	-0.002	-2.0665	-0.092	-0.144	0.344	-0.015	0.285	0.096	-0.039	0.189	0.069	-0.193	0.027	-0.131	0.084	0.444	-0.782	-0.923	0.123	-1.004	-0.408	0.36	0.56	1.001	-2.002	-1.242	-3.419	-0.589	-3.17	-1.125	-2.422	-0.533	-1.63	-1.845	-2.289	-1.56	-2.22	-1.098	-0.515	-1.972	-0.593	-1.431	-1.272	-0.93	-1.166	0.095	-0.669	-1.035	-1.837	-0.847	-1.838
"YPL107W"	-0.49	-0.537	-0.22	-0.751	-0.27	-0.083	0.515	-0.243	-0.129	0.113	0.21	-0.075	0.138	0.015	-0.3715	-0.227	-0.061	0.969	-1.92	-1.269	0.008	-1.211	-0.578	0.209	0.381	1.416	-3.459	NaN	NaN	-4.019	NaN	-3.668	-2.384	-0.303	-3.783	-2.322	-1.953	-1.832	-1.667	-1.955	-1.058	-0.842	-0.67	-0.901	-1.662	-1.894	-0.843	-0.246	-1.153	NaN	-2.532	-1.418	-2.533
"YPL138C"	-0.06	-0.6955	0.094	-0.7805	-0.071	-0.194	0.411	0.147	-0.22	0.106	0.407	0.078	0.185	-0.177	0.396	-0.078	0.043	0.359	-0.595	-1.117	-0.086	-0.967	-1.009	-0.181	0.327	0.998	-1.685	-3.556	-2.203	-1.124	-2.003	0.272	-0.22	-0.424	1.102	-1.971	-1.737	-1.899	-1.791	-0.881	-0.649	-1.147	-1.401	-1.247	-0.661	-1.468	0.193	-0.159	-1.854	-2.078	-1.809	-1.72	-1.811
"YPL151C"	-0.422	-0.81	0.032	-1.322	-0.216	-0.315	0.341	-0.02	-0.0225	-0.003	-0.038	0.121	0.014	-0.264	0.077	-0.206	-0.056	0.28	-0.967	-1.684	-0.058	-0.735	0.563	0.354	-0.03	-1.871	-1.236	-2.378	-3.181	-1.1	-1.247	-1.865	-1.947	-0.383	NaN	-1.827	-0.731	-1.218	-2.051	-1.712	-0.847	-1.077	-0.776	-0.867	0.026	-1.264	-0.692	-0.54	-0.95	NaN	-2.105	-2.084	-2.106
"YPL199C"	-0.593	-0.893	-0.098	-2.252	0.035	-0.105	-0.493	-0.049	-0.101	-0.013	0.095	0.21	0.127	-0.073	0.5885	-0.187	-0.043	-1.514	-1.442	-0.164	-0.256	-0.566	-0.088	0.448	0.495	0.765	-2.126	-4.403	-3.076	-2.318	-4.218	-2.416	-1.442	-0.57	-1.056	-2.671	-2.4	-2.331	-3.107	-2.489	-1.167	-0.635	-1.447	-0.207	-1.038	-1.682	-0.049	-0.698	-1.667	-2.501	-2.381	-2.202	-2.382
"YPR111W"	0.188	-0.964	-0.066	-1.7085	0.02	-0.395	0.463	-0.034	-0.155	-0.161	0.022	0.065	-0.145	0.06	0.026	0.295	-0.065	0.384	-1.573	-1.39	0.387	-1.067	-0.206	-0.148	-0.278	0.831	-2.754	NaN	NaN	-1.981	-4.142	-2.596	-3.087	0.1	-0.739	-2.819	-2.795	-2.159	-3.093	-1.269	-0.505	-0.934	-1.859	0.227	-1.266	-0.567	-0.177	-0.776	-2.325	-3.744	-2.688	-2.935	-2.689
"YPR128C"	0.092	-0.8825	-0.02	-3.863	0.143	-0.012	-0.132	0.074	-0.0695	-0.321	-0.1	0.016	-0.036	0.127	0.545	0.022	0.028	0.136	-0.325	NaN	0.115	-0.563	0.514	-0.254	0.478	-0.597	-3.15	-2.973	-3.099	-4.233	-3.226	-2.149	-1.944	-0.655	-1.619	-2.895	-1.567	-2.474	-1.907	-2.236	-1.401	-1.15	-1.1	-0.92	-1.484	-1.084	-1.716	-0.074	-1.76	-2.768	-2.183	-1.787	-2.144
"YPR131C"	-0.132	-1.1235	0.069	-4.176	0.166	-0.051	0.161	0.103	-0.562	-0.031	0.143	0.054	-0.093	-0.194	0.0085	-0.006	0.231	-0.628	NaN	-3.064	0.158	-1.453	0.754	0.413	0.015	-0.292	-2.788	NaN	NaN	-2.529	-5.231	-3.448	-1.607	-0.051	-1.589	-1.543	-1.77	-1.294	-1.926	-1.236	-1.111	-1.354	-0.91	0.272	-0.662	-1.018	0.882	0.053	-1.023	NaN	-1.644	-1.51	-1.645
