	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"17017.Cal. State Univ. Stanislaus: Rich vs. Minimal media_Expt2"
"YBL056W"	-2.142	-4.006	NaN
"YBL077W"	-3.136	-5.081	0.26
"YBR002C"	0.882	-2.452	0.629
"YBR121C"	-4.037	-5.791	0.337
"YBR141C"	-1.674	-3.279	1.135
"YBR143C"	-3.195	-4.642	3.037
"YBR236C"	-1.161	-2.682	0.541
"YBR245C"	-1.1645	-2.221	0.337
"YBR249C"	-3.39	-6.025	1.282
"YCR002C"	-3.669	-5.182	2.551
"YCR067C"	-1.1425	-2.0615	-0.4265
"YCR088W"	-2.807	-5.435	-0.19
"YCR090C"	-2.154	-3.547	0.982
"YDL015C"	-2.047	-4.309	0.991
"YDL084W"	-2.134	-4.827	1.301
"YDL135C"	-1.586	-4.374	0.156
"YDL143W"	-1.678	-3.716	0.201
"YDL225W"	-2.271	-3.558	2.369
"YDR023W"	-2.907	-5.745	3.446
"YDR158W"	-3.546	-5.115	-0.416
"YDR194C"	-1.072	-1.841	1.2095
"YDR209C"	-1.955	-5.369	0.8505
"YDR303C"	-2.132	-7.617	1.143
"YDR320C"	-1.394	-4.218	1.16
"YDR325W"	-1.331	-2.245	3.45
"YDR341C"	-3.212	-5.262	0.769
"YDR365C"	-2.477	-4.269	1.046
"YDR427W"	-1.953	-4.214	2.924
"YDR440W"	-1.65	-2.77	0.834
"YEL006W"	0.681	-1.339	1.63766666666667
"YER009W"	-2.671	-4.765	-0.213
"YER086W"	-3.61	-5.173	1.445
"YER0871C"	-1.766	-2.794	NaN
"YFL004W"	-1.866	-3.639	1.0545
"YFL022C"	-2.926	-4.867	1.491
"YFL039C"	-2.57	-3.733	1.059
"YFR002W"	-1.995	-7.825	0.801
"YFR009W"	-3.004	-4.932	-0.3115
"YFR025C"	-2.373	-3.739	2.228
"YGL022W"	-3.396	-4.268	2.888
"YGL039W"	-1.744	-2.72	0.249
"YGL064C"	-1.919	-3.783	0.509
"YGL105W"	-3.587	-6.011	1.031
"YGL112C"	-0.718	-3.043	NaN
"YGL115W"	-1.41	-3.416	0.777
"YGL204C"	-0.565	-1.894	0.462
"YGL232W"	-2.079	-2.628	0.949
