	"497.Heat Shock 000 minutes"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"17017.Cal. State Univ. Stanislaus: Rich vs. Minimal media_Expt2"	"42066.U3Comp 25 hr 55 min Uracil Batch vs Chemostat Comparison"
"YGR207C"	-0.172	-1.485	-0.807	-1.204	-1.788	-0.425	0.484	0.087
"YGR229C"	0.6	-2.847	-4.256	-2.401	-2.58	-3.391	0.764	-0.138
"YHL034C"	0.448	-1.801	-3.26	-1.2	-1.905	-1.822	1.784	0.147
"YHR026W"	0.668	-1.749	-4.804	-0.823	-1.412	-1.743	3.175	0.181
"YHR047C"	0.063	-3.032	-4.423	-1.978	-3.102	-3.056	1.286	-0.645
"YHR049W"	0.227	-3.623	-4.702	-1.968	-2.952	-2.443	2.079	0.104
"YHR063C"	-0.213	-3.309	-4.42	-2.162	-3.419	-3.036	0.16	1.527
"YHR064C"	0.709	-3.329	-5.238	-2.957	-3.678	-3.675	1.714	1.578
"YHR065C"	0.66	-3.857	-4.644	-1.762	-2.801	-2.479	0.155	0.352
"YHR068W"	0.968	-4.28	-6.532	-2.724	-3.669	-3.425	2.683	2.081
"YHR073W"	0.134	-1.889	-2.844	-0.99	-1.786	-1.676	0.796	0.447
"YHR098C"	0.248	-2.065	-3.065	-1.917	-1.925	-2.553	1.2295	0.839
"YHR108W"	0.303	-2.982	-5.02	-1.661	-2.122	-1.381	0.08	1.027
"YHR121W"	0.379	-1.976	-4.718	-1.573	-1.881	-1.852	0.49	1.008
"YHR128W"	1.092	-4.967	-6.006	-3.191	-3.494	-3.516	-1.409	-0.105
"YHR152W"	0.428	-1.306	-3.007	-1.08	-1.633	-0.664	0.58	0.261
"YIL016W"	0.879	-3.214	-4.374	-1.401	-2.123	-1.503	0.979	1.391
"YIL104C"	1.092	-1.807	-2.936	-1.091	-1.006	-1.25	1.767	0.834
"YIL110W"	1.05	-2.455	-3.072	-1.775	-2.473	-2.492	-0.803	1.347
"YIL118W"	0.212	-2.382	-3.881	-1.281	-1.819	-1.622	-0.393	1.546
"YIL138C"	0.066	-2.433	-3.747	-1.524	-2.298	-1.906	1.142	-1.095
"YIR004W"	0.268	-0.769	-1.697	-0.702	-1.046	-1.035	0.296	-0.258
"YJL002C"	0.0	-2.469	-4.487	-1.748	-2.556	-2.618	0.182	1.011
"YJL073W"	-0.006	-1.884	-3.2645	-1.2855	-1.7505	-1.523	2.327	0.525
"YJL075C"	-0.431	-2.151	-3.941	-1.434	-1.779	-1.075	0.614	0.0035
"YJL081C"	0.183	-1.725	-4.519	-1.259	-1.944	-1.52	1.385	0.297
"YJL091C"	-0.1	-1.543	-2.378	-1.062	-1.202	-1.731	0.833	0.4635
"YJL097W"	0.188	-2.596	-4.683	-1.461	-2.558	-2.276	1.055	-0.101
"YJL111W"	1.059	-3.38	-6.57	-1.573	-1.994	-2.239	0.563	0.226
"YJL169W"	0.0	-2.464	-3.972	-0.932	-1.455	-1.448	-0.101	-0.787
"YJL183W"	0.489	-2.097	-4.986	-1.66	-2.208	-2.121	1.335	0.903
"YJL196C"	0.262	-3.4	-4.585	-1.269	-1.633	-1.812	-0.057	0.278
"YJL209W"	0.102	-1.927	-4.562	-0.759	-1.407	-1.484	NaN	-0.418
"YJR001W"	0.118	-2.83	-3.551	-1.449	-1.449	-1.784	0.414	0.388
"YJR003C"	0.791	-2.48	-3.457	-2.176	-2.349	-2.42	1.921	-0.47
"YJR070C"	1.246	-3.511	-7.226	-1.463	-2.254	-2.322	0.073	0.765
"YJR076C"	0.135	-2.55	-4.614	-1.815	-2.814	-3.117	1.167	0.373
"YJR087W"	-0.067	-2.136	-3.553	-1.125	-1.669	-1.145	0.575	-1.05
"YJR143C"	0.597	-4.675	-5.523	-3.335	-3.698	-3.382	NaN	1.38
"YKL054C"	0.07	-0.046	-2.949	-1.835	-2.443	-2.062	1.046	-0.057
"YKL078W"	1.1	-4.795	-8.494	-2.866	-3.401	-1.845	-0.435	0.685
"YKL122C"	0.567	-2.027	-4.576	-2.178	-2.544	-2.706	-0.762	0.771
"YKL127W"	0.494	-3.89	-5.619	-1.956	-2.206	-1.858	-0.161	1.241
"YKR001C"	0.051	-2.222	-5.109	-2.374	-2.626	-3.069	0.486	-0.112
"YKR026C"	0.833	-2.863	-3.755	-1.858	-2.363	-2.231	1.624	0.904
"YKR059W"	1.161	-2.817	-4.998	-2.623	-2.96	-3.568	1.172	1.147
"YKR070W"	-0.144	-1.471	-3.904	-0.637	-1.682	-1.411	0.959	0.436
"YLL033W"	-0.064	-1.548	-3.233	-1.3	-1.109	-1.072	0.039	0.41
"YLR021W"	0.552	-1.753	-4.075	-1.132	-0.892	-1.424	0.633	-0.23
"YLR043C"	0.439	-2.278	-4.337	-1.762	-1.786	-1.552	1.525	0.711
"YLR061W"	1.1	-4.939	-6.591	-3.309	-3.833	-3.91	2.93	1.574
"YLR064W"	-0.15	-1.351	-3.247	-0.821	-1.41	-2.424	0.552	0.33
"YLR065C"	0.201	-1.93	-3.028	-1.477	-1.554	-1.642	0.885	0.814
"YLR083C"	0.768	-3.767	-5.137	-2.29	-3.88	-3.36	1.34	1.291
"YLR096W"	0.107	-1.0	-3.848	-1.082	-0.774	-1.988	1.246	0.965
"YLR101C"	0.221	-2.239	-3.161	-1.911	-2.069	-2.518	-0.733	-0.921
"YLR153C"	0.374	-4.481	-5.598	-3.578	-3.672	-3.394	2.225	0.224
"YLR192C"	0.588	-2.456	-4.349	-1.566	-2.165	-2.147	-0.933	-0.046
"YLR208W"	0.589	-1.968	-4.432	-1.898	-2.183	-2.499	0.501	1.048
"YLR210W"	0.22	-1.644	-4.137	-1.551	-1.527	-1.71	-1.015	-0.024
"YLR239C"	0.051	-1.002	-2.912	-1.109	-1.512	-1.813	-0.128	-0.291
"YLR243W"	0.737	-1.955	-3.657	-1.542	-2.373	-1.983	1.966	0.276
"YLR292C"	0.535	-1.605	-3.717	-1.388	-1.751	-1.71	0.464	1.15
"YML019W"	0.36	-1.914	-3.311	-1.333	-1.842	-1.638	1.723	0.924
"YML028W"	0.356	-3.312	-5.853	-1.597	-2.448	-2.489	-0.264	0.202
"YML064C"	0.366	-2.421	-3.73	-1.338	-1.457	-1.948	0.882	0.568
"YML074C"	0.291	-2.837	-5.319	-2.826	-3.214	-3.466	0.793	-0.075
"YML085C"	0.453	-3.379	-4.526	-1.907	-2.298	-2.55	1.571	0.788
"YML105C"	0.394	-3.491	-5.249	-1.556	-2.731	-1.698	0.841	-0.176
"YML124C"	0.225	-3.412	-4.107	-1.685	-2.001	-2.075	1.269	-0.115
"YMR011W"	-0.578	-2.802	-4.162	-2.255	-2.278	-2.421	1.242	-0.319
"YMR130W"	0.623	-1.972	-3.845	-2.339	-2.247	-2.295	2.094	0.272
"YMR132C"	0.469	-1.469	-2.963	-1.058	-0.888	-1.14	0.499	-0.045
"YMR203W"	0.349	-1.421	-4.985	-0.486	-1.231	-1.861	1.3015	1.034
"YMR208W"	0.15	-2.542	-3.618	-1.98	-2.454	-2.354	0.7435	0.885
