	"11828.Pomona College Bio164: WT/rad27 mRNA"	"17017.Cal. State Univ. Stanislaus: Rich vs. Minimal media_Expt2"
"YAR047C"	-1.737	0.064
"YBL025W"	-2.644	1.625
"YBR145W"	-4.248	1.824
"YBR167C"	-1.517	0.801
"YCR028C"	-4.6015	1.637
"YCR099C"	-5.714	1.204
"YCRX06W"	-1.512	0.749
"YDL040C"	-1.411	0.783
"YDL127W"	-4.226	0.014
"YDR041W"	-5.147	0.808
"YDR094W"	-3.639	2.034
"YDR116C"	-3.459	2.122
"YDR203W"	-3.6445	1.0995
"YDR274C"	-3.75833333333333	1.777
"YDR334W"	-2.72	1.271
"YDR356W"	-4.441	1.891
"YDR369C"	-4.161	1.114
"YDR374C"	-3.117	2.506
"YDR520C"	-4.285	2.151
"YDR535C"	-5.728	2.545
"YER002W"	-4.785	1.2585
"YER025W"	-3.741	3.19
"YER077C"	-3.592	0.38
"YFL003C"	-1.04	0.2475
"YFL057C"	-2.43333333333333	1.27133333333333
"YFR023W"	-4.21166666666667	0.9265
"YGL013C"	-3.17	0.467
"YGL241W"	-5.0	1.548
"YGR038W"	-4.0	1.549
"YGR062C"	-5.331	1.3535
"YGR222W"	-3.927	2.31
"YHR026W"	-5.915	3.175
"YHR167W"	-3.021	1.03
"YHR168W"	-3.215	2.203
"YHR187W"	-5.248	2.066
"YHR219W"	-6.129	0.788
"YIR017C"	-1.532	1.002
"YIR030C"	-4.426	2.328
"YJL064W"	-5.603	1.55
"YJR100C"	-5.548	4.654
"YKL023W"	-6.34	2.451
"YKL076C"	-4.118	7.018
"YKL220C"	-7.196	1.228
"YKR080W"	-3.7	1.872
"YLR006C"	-2.265	0.736
"YLR107W"	-5.053	1.948
"YLR153C"	-6.022	2.225
"YLR184W"	-4.858	1.236
"YLR394W"	-4.05	3.337
"YLR456W"	-1.293	-0.578
"YML014W"	-4.109	3.226
"YML036W"	-2.475	2.308
"YML107C"	-3.256	1.705
"YML117W"	-3.758	1.644
"YML126C"	-2.236	-0.18
"YMR119W"	-4.632	2.568
"YMR130W"	-3.382	2.094
"YNL089C"	-3.1685	1.149
"YNL282W"	-3.845	2.728
"YNL286W"	-1.878	0.862
"YNL298W"	-7.267	1.606
"YNR071C"	-7.57	2.141
"YOL001W"	-4.361	2.569
"YOL020W"	-3.392	3.368
"YOL060C"	-2.654	0.798
"YOL066C"	-2.193	1.447
"YOR035C"	-7.911	2.382
"YOR062C"	-3.6275	2.019
"YOR384W"	-1.498	1.657
"YPL078C"	-2.551	-0.462
"YPL175W"	-3.778	0.622
"YPL272C"	-3.685	2.24
"YPR200C"	-4.304	0.92
