	"59.alpha factor release sample013"	"120.w303a vs w303a fkh1 fkh2"	"297.Kb vs. Ctrl"	"405.W303a vs GZY45-15c"	"691.DBY7286 + 0.3 mM H2O2 (20 min)"	"812.1M sorbitol - 45 min (* centrifugation problem)"	"830.1.5 mM diamide (10 min)"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"840.1.5 mM diamide (60 min)"	"864.Amino acid + adenine starvation 4 h"	"962.1 mM Menadione (30 min) redo"	"964.1 mM Menadione (160 min) redo"	"971.1mM Menadione (40 min) redo"	"975.1 mM Menadione (105 min) redo"	"985.constant 0.32 mM H2O2 (20 min) redo"	"986.constant 0.32 mM H2O2 (30 min) redo"	"987.constant 0.32 mM H2O2 (50 min) redo"	"989.constant 0.32 mM H2O2 (10 min) redo"	"990.constant 0.32 mM H2O2 (100 min) redo"	"991.constant 0.32 mM H2O2 (120 min) redo"	"992.constant 0.32 mM H2O2 (160 min) redo"	"993.constant 0.32 mM H2O2 (80 min) redo"	"1009.YPD 2 h (25C)"	"1104.wild type vs. zap1 - 76 nM zinc"	"1108.DY zap1 3 mM vs. 10 uM zinc #2"	"1109.alpha factor release sample014"	"1258.DBYyap1 + 37degree heat (repeat)"	"1661.1 mM Menadione (50 min)redo"	"4872.1M sorbitol - 60 min"	"4874.1M sorbitol - 90 min"	"5357.1.5 mM diamide (5 min)"	"6354.DES460 + 0.2% MMS - 45 min"	"6357.DES460 + 0.02% MMS - 60 min"	"6358.DES460 + 0.02% MMS - 90 min"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"6668.wt - 0.1 mM H2O2 - 10 min"	"6672.wt - 0.3 mM H2O2 - 10 min"	"7529.DBY msn2msn4 0.32 mM H2O2 - 20 min"	"8520.DES460 + 0.02% MMS - 120 min"	"8521.dun1- + 0.02% MMS - 120 min"	"8526.dun1- + 0.02% MMs - 30 min"	"8528.dun1- + 0.02% MMS - 90 min"	"12801.DBYmsn2msn4 (good strain) + 0.32 mM H2O2"	"15182.Ca 60min (2)"	"18416.2mM MD 120min"	"18418.2mM MD 170min"	"18421.2mM MD 140min"	"18424.2mM MD 055min"	"18429.2mM MD 210min"	"18431.2mM MD 070min"	"18432.2mM MD 077min"	"18433.2mM MD 085min"	"18434.2mM MD 100min"	"21628..24 mM H2O2- 105 minutes"	"21638..24 mM H2O2- 070 minutes"	"21639..24 mM H2O2- 085 minutes"	"21641..24 mM H2O2- 112 minutes"	"21643..24 mM H2O2- 140 minutes"	"21650..24 mM H2O2- 040 minutes"	"21657..24 mM H2O2- 063 minutes"	"21659..24 mM H2O2- 077 minutes"	"21660..24 mM H2O2- 120 minutes"	"21661..24 mM H2O2- 049 minutes/redo"	"21663..24 mM H2O2- 063 minutes/redo"	"21666..24 mM H2O2- 055 minutes"	"28841.P2Comp 08 hr 19 min Phosphate Batch vs Chemostat Comparison2"	"34352.delPPT1_hypo_osmotic_shock_0min"	"34353.delPPT1_hypo_osmotic_shock_7min"	"34365.batch 02X25 6"	"34502.wt_hypo_osmotic_shock_0min_repeat"	"38146.03II01 batch p2"	"38148.03II01 batch p4"	"40949.H2O2_II_35_min"	"40950.H2O2_II_42_min"	"40951.H2O2_II_49_min"	"40952.H2O2_II_56_min"	"40953.H2O2_II_63_min"	"40954.H2O2_II_70_min"	"40955.H2O2_II_77_min"	"40956.H2O2_II_100_min"	"40957.H2O2_II_120_min"	"40958.H2O2_II_140_min"	"40967.MD_II_42_min"	"40968.MD_II_49_min"	"40969.MD_II_56_min"	"40970.MD_II_63_min"	"40971.MD_II_77_min"	"40972.MD_II_85_min"	"40973.MD_II_100_min"	"40974.MD_II_120_min"	"40975.MD_II_130_min"	"40976.MD_II_140_min"
"YBR008C"	-0.1395	-0.131	-0.372	-0.557	2.647	0.1745	2.156	1.935	1.267	1.698	2.065	1.869	0.207	1.879	-0.428	1.458	-0.217	5.381	2.432	0.738	3.764	0.087	0.448	0.682	0.579	-0.0405	-0.129	-0.3525	0.1045	-0.278	0.549	-0.0315	0.184	2.048	1.041	1.306	1.164	-0.294	2.742	-0.229	3.527	0.9105	0.114	-0.066	0.353	4.319	-0.309	4.554	3.376	3.281	3.3225	2.882	3.5545	1.694	2.9535	2.188	0.698	2.052	0.882	0.351	0.259	4.322	1.199	1.373	0.41	3.547	1.153	4.28	-0.6765	-0.009	0.299	1.165	-0.33	0.022	0.215	5.209	5.438	5.395	5.723	5.29	4.731	4.302	1.553	1.332	1.193	1.726	3.213	3.421	3.031	1.908	2.771	2.536	2.979	3.158	3.044
"YBR244W"	-0.0995	0.292	0.038	-0.348	3.511	0.359	2.385	2.102	1.673	1.65	1.506	1.264	0.215	3.672	3.234	3.494	3.131	3.542	3.982	2.333	3.7	2.17	2.204	2.725	2.136	0.2825	-0.1125	0.5295	0.129	0.422	2.763	0.6955	0.6785	1.673	2.36	1.691	1.728	0.248	3.109	1.456	3.524	1.427	2.386	2.037	2.499	2.604	0.901	3.633	3.698	4.542	4.238	4.065	3.721	3.38	3.649	3.763	3.376	4.123	3.701	3.51	2.147	4.006	3.514	3.992	3.677	4.513	4.436	4.735	-0.234	0.403	0.026	0.388	0.088	-0.014	-0.4515	2.914	3.529	3.729	3.462	3.191	2.959	2.618	2.069	1.974	2.275	1.768	3.058	3.168	1.823	1.201	1.54	0.933	1.937	1.538	1.489
"YCL026C"	-0.727	-0.459	-0.6255	-0.203	1.901	-0.12	0.361	0.255	0.768	0.757	0.961	1.429	0.083	-0.331	-0.577	-0.328	-0.214	1.288	0.538	-0.319	0.574	0.393	-0.005	0.205	0.088	-0.166	-0.766	-1.0025	-0.56	-0.918	-0.382	0.2695	0.2435	0.587	0.4905	0.583	0.1115	-0.131	1.551	0.538	1.912	-0.229	-0.174	0.03	-0.309	3.651	-1.522	2.101	1.099	1.367	0.923	2.218	2.59	0.326	0.619	1.331	0.264	1.242	0.642	0.297	0.202	3.684	1.594	0.999	0.006	4.684	-0.004	4.893	-0.497	-0.275	-0.164	0.159	-0.632	-0.405	-0.626	4.869	5.132	5.06	4.986	3.627	4.458	3.656	0.911	0.403	-0.271	1.225	2.343	3.039	1.917	1.753	3.405	2.174	1.793	1.852	2.4
"YCR004C"	0.05	-0.335	0.3345	-0.073	0.958	-0.2145	1.294	1.725	1.777	2.204	1.804	1.606	0.064	1.222	1.486	1.883	1.739	1.277	1.354	0.847	0.974	0.353	0.262	0.454	0.448	0.455	0.478	-0.223	0.035	0.642	1.698	-0.0875	-0.4965	0.533	0.6995	0.586	0.858	0.669	0.226	0.34	0.633	0.924	0.052	0.058	0.119	0.903	0.439	3.146	1.495	3.505	2.934	2.074	3.879	2.15	3.769	2.149	1.148	0.983	0.881	0.404	-0.359	0.285	0.291	1.187	0.847	1.551	0.968	1.714	-0.055	0.835	0.79	0.348	1.003	-0.03	-0.302	0.52	0.972	1.729	1.772	1.58	1.511	1.393	0.323	0.344	0.557	1.542	2.107	1.934	1.444	1.607	1.788	1.756	1.79	1.151	0.774
"YCR102C"	0.121	-0.405	-0.769	-1.128	1.566	-0.311	2.378	2.451	2.102	2.236	2.438	2.526	-0.222	1.718	0.15	1.559	0.74	3.518	2.391	0.32	3.584	0.045	0.192	0.512	0.44	-0.2295	-0.3545	0.5385	-0.042	0.238	1.297	-0.1925	0.0655	2.531	1.0565	1.366	1.3435	0.294	2.085	0.405	2.254	1.4945	0.708	0.394	0.798	2.63	-2.226	0.984	1.067	1.585	3.452	2.441	3.347	2.436	3.437	2.728	1.042	1.972	1.523	0.977	0.005	2.545	2.05	1.874	0.78	3.812	0.812	3.46	-0.943	-0.208	0.163	0.201	0.157	-1.025	-1.373	3.385	3.781	3.396	3.201	1.951	2.337	2.672	0.768	0.303	0.747	2.17	1.662	3.415	2.516	1.799	3.009	2.138	1.114	1.19	1.633
"YCR107W"	0.051	-0.427	-0.188	-0.419	2.618	-0.0235	1.427	1.787	2.35	2.56	2.568	2.139	0.145	0.477	-0.078	0.604	0.388	0.756	1.236	0.608	1.319	1.512	0.98	1.167	1.193	-0.0425	-0.243	0.218	0.434	0.035	0.201	-0.187	-0.099	0.566	0.8035	0.93	0.965	-0.044	0.355	-0.018	1.795	1.047	0.435	0.421	0.62	2.727	0.059	3.628	4.176	3.789	2.623	4.627	3.796	2.114	3.107	3.521	2.038	1.588	2.038	1.216	0.434	1.61	2.183	1.784	0.465	2.781	0.565	3.53	0.106	-0.127	-0.01	0.511	-0.393	-0.889	-0.587	1.751	2.643	3.226	2.783	2.73	3.053	2.401	2.043	1.748	1.687	1.311	2.829	3.054	1.707	2.288	2.713	2.544	2.28	3.147	2.532
"YCRX21C"	0.324	-0.237	-0.2405	-0.163	2.444	-0.1535	1.83	2.153	2.591	2.84	2.924	2.593	0.417	0.409	NaN	0.602	0.122	4.916	2.216	1.372	NaN	NaN	1.0	0.348	NaN	0.097	-0.385	0.5365	0.15	-0.073	0.492	0.043	-0.1145	0.811	0.952	1.1195	1.047	0.094	1.781	-0.269	2.211	1.2875	0.801	0.403	0.71	1.946	0.372	3.619	4.606	2.751	4.421	5.264	4.844	3.652	4.294	4.028	1.588	3.498	2.73	1.504	0.686	1.173	2.199	3.327	1.935	3.301	2.664	4.587	0.483	-0.03	0.019	1.671	0.031	-0.207	-0.382	2.077	3.063	3.681	3.951	3.898	3.874	3.525	2.419	2.111	1.715	2.796	3.123	3.343	3.807	3.86	4.464	4.13	2.699	3.115	2.991
"YDL243C"	0.043	-0.311	-0.503	-0.4525	1.5865	-0.081	0.833	1.2005	1.2375	1.397	1.1245	1.4695	-0.0375	0.758	0.195	0.8695	0.141	1.4435	2.68	1.7705	1.3365	0.9175	0.7605	0.6765	0.972	-0.083	-0.09	0.1695	0.5215	0.0855	0.8405	-0.1025	0.1545	0.413	0.501	0.494	0.407	0.122	1.0105	-0.1595	1.627	0.4145	0.361	0.1585	0.13	1.9305	-0.18	0.798	2.09066666666667	0.738333333333333	1.033	1.93133333333333	0.475333333333333	1.81066666666667	0.985333333333334	1.003	1.329	1.546	1.506	1.0525	0.6625	1.447	2.2185	1.322	0.4115	2.132	1.7055	1.0895	-0.6555	-0.363	-0.156	0.5605	-0.48	-0.2665	-0.2015	0.8375	0.503	2.811	1.727	1.505	1.4615	1.6845	1.67	0.9495	0.4945	1.946	1.9355	2.8595	2.5185	2.3025	2.532	2.1425	1.9535	1.34	1.1635
"YDR132C"	0.225	0.316	-0.084	0.121	2.225	-0.211	1.319	0.767	0.724	0.94	0.963	0.568	-0.029	2.465	0.75	1.473	0.872	3.894	2.998	0.943	4.738	1.081	0.241	0.695	0.441	0.152	-0.063	0.139	-0.446	-0.29	1.144	-0.099	0.039	1.041	0.51	0.511	0.476	-0.028	2.202	-0.283	3.848	0.276	0.459	0.285	0.377	1.669	-0.077	1.284	0.885	0.825	2.6775	1.0465	1.2925	1.048	0.4745	1.2545	0.174	1.05	0.296	-0.027	-0.19	1.75	0.765	0.731	-0.208	1.351	0.162	2.499	-0.059	-0.054	0.072	0.428	0.0035	-0.3835	-0.5455	1.411	1.163	1.929	1.908	0.757	0.762	-0.217	-0.009	0.503	-2.797	2.313	2.152	2.412	0.64	1.03	1.27	1.476	0.456	0.954	1.722
"YDR271C"	-0.571	-0.972333333333333	-0.445666666666667	-0.523	1.17033333333333	-0.112333333333333	0.582	0.500666666666667	0.375	0.627666666666667	0.341666666666667	0.0316666666666667	0.025	0.652333333333333	-0.144	1.02033333333333	-0.0446666666666667	1.18	1.60266666666667	0.724333333333333	0.940666666666667	0.409333333333333	0.0313333333333333	-0.176	0.288666666666667	-0.116333333333333	-0.132333333333333	0.343666666666667	0.062	0.514333333333333	0.506	-0.185	0.0473333333333333	0.0633333333333333	0.504333333333333	0.335333333333333	0.250333333333333	0.209	1.11866666666667	-0.028	1.52333333333333	0.0246666666666667	-0.487333333333333	-0.00433333333333334	-0.583666666666667	1.819	-0.7105	0.9005	1.002	1.1405	0.627	1.2975	0.8675	1.544	0.561	2.0135	0.3965	0.8205	0.9245	0.575	0.5085	0.391	0.7855	1.431	-0.337	0.595	0.22	1.9945	-0.0365	-0.1905	0.2305	0.049	0.168	-0.323	-0.3805	0.477	1.18	0.85	1.551	1.1495	1.582	0.4485	0.988	-0.1485	0.675	0.484	0.458	1.981	1.5275	1.44	1.743	1.4435	0.751	0.523	0.451
