	"106.heat shock 05 min"	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"800.Heat Shock 015 minutes"	"812.1M sorbitol - 45 min (* centrifugation problem)"	"817.1M sorbitol - 30 min"	"853.YPD_4_h_30C"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"984.MHY1 (crt1) vs. CRY1 (wild type) - log phase"	"1010.YPD 4 h (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1107.alpha factor release sample025"	"1302.diauxic shift timecourse: 15.5 hr"	"1311.diauxic shift timecourse: 11.5 hr"	"1312.diauxic shift timecourse: 13.5 hr"	"1673.alpha factor release sample021"	"2144.heat shock 37 to 37, 30 minutes"	"4048.0.8M NaCl +FK506 - 30 min"	"4872.1M sorbitol - 60 min"	"5357.1.5 mM diamide (5 min)"	"5358.1M sorbitol - 5 min"	"6668.wt - 0.1 mM H2O2 - 10 min"	"6824.Sporulation t0"	"7758.Na 15min"	"7761.Na 60min"	"7762.Na+FK 15min"	"8235.dtt 480 min"	"12744.heat shock 17 to 37, 20 minutes"	"13064.wt/crz1 Ca 30min (2)"	"15184.Ca+FK 5min (2)"	"16514.DES genomic DNA vs. MHY26 (dun1) genomic DNA (correct version)"	"30773.Pomona/Brown Sir3x red"	"32253.DBY8778_heat_shock2_15min"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"
"YBR132C"	1.788	2.202	3.266	2.873	2.872	1.659	2.983	3.13	2.733	-2.1185	-2.024	-1.762	1.414	0.2025	0.5875	0.395	3.812	4.245	3.753	3.08	2.979	0.879	2.801	2.822	2.258	2.139	-0.8235	0.4505	3.039	2.2645	-0.417	0.232	0.572	0.327	-0.1135	0.147	1.995	-0.2205	0.503	0.059	0.215	-0.252	0.195	1.548	0.245	0.034	2.946	0.073	1.318	0.526	0.266	3.025	2.438	2.318
"YCR061W"	1.312	2.078	2.765	2.281	2.247	2.163	2.609	2.651	2.638	-1.619	-1.485	-1.42	0.866	0.147	0.5605	0.125	2.177	1.92	0.78	1.227	0.19	0.811	0.574	0.505	0.604	0.996	-0.906	-0.7325	0.4735	1.101	-0.229	0.451	0.558	0.382	0.177	0.455	2.071	0.2425	0.698	0.04	0.279	-0.038	0.963	0.516	0.221	-0.008	2.141	0.199	0.466	0.016	0.14	2.246	1.938	1.523
"YCR072C"	-2.355	-2.145	-4.048	-3.359	-3.587	-1.931	-2.626	-3.503	-2.949	0.991	1.028	0.756	-2.405	-0.4475	-0.597	-0.896	-4.777	-2.891	-2.433	-2.412	-2.205	-2.8	-3.05	-3.092	-2.773	-1.346	0.207	-0.245	-1.6045	-1.42	-0.038	-0.442	0.179	-0.512	0.069	0.164	-2.219	-0.0405	-1.129	-0.301	-0.282	0.095	-0.459	-1.624	-0.45	0.386	-4.635	-0.561	-2.139	0.045	0.152	-4.551	-3.703	-2.838
"YCR091W"	1.52	1.998	2.968	2.375	2.534	0.971	2.087	2.708	2.257	-1.2645	-1.248	-1.42	1.35	0.7825	0.5875	0.101	4.284	3.522	3.241	3.278	2.691	3.114	3.192	3.306	3.015	2.875	-0.897	0.0165	2.345	2.5735	-0.049	0.136	-0.19	0.24	-0.089	0.033	0.786	0.167	0.568	0.1125	-0.064	0.534	-0.138	0.593	-0.009	-0.039	2.802	-0.14	1.182	0.403	0.127	2.37	3.677	2.956
"YCRX01W"	0.62	-0.586	1.463	1.409	1.354	0.93	0.864	1.449	1.318	-1.1475	-1.146	-1.142	0.878	-0.1295	-0.243	-0.101	1.798	0.784	1.754	1.981	1.872	1.115	0.987	0.803	0.438	1.241	-0.61	0.1195	0.4515	0.3975	-0.191	0.203	-0.26	0.278	0.09	-0.073	0.553	-0.065	-0.246	0.1805	-0.388	0.246	-0.137	0.102	0.705	-0.114	1.422	-0.083	0.311	-0.205	0.164	0.942	1.913	1.094
"YDL181W"	1.191	3.117	3.464	3.034	3.064	2.089	2.202	2.586	2.509	-2.158	-2.39	-1.719	1.437	-0.009	0.09	2.004	3.242	4.01	3.18	3.522	2.531	2.078	1.803	1.454	1.885	1.926	-1.362	-0.425	1.15	1.275	-0.137	0.509	0.379	0.842	0.006	0.164	0.318	0.09	0.591	0.058	-0.789	0.232	0.132	0.494	-0.031	0.576	2.524	0.705	0.883	0.588	0.004	1.279	2.282	2.777
"YDR087C"	-0.839	-2.034	-3.126	-4.331	-4.143	-1.477	-2.758	-3.643	-3.468	0.873	1.227	0.989	-1.886	-0.009	-0.34	-0.492	-4.139	-2.976	-2.337	-1.909	-2.277	-3.312	-1.846	-2.528	-2.208	-1.204	0.595	-0.519	-1.373	-2.022	0.061	-0.913	0.504	-0.559	0.412	0.132	-0.865	0.311	-0.873	0.053	-0.232	-0.3	-0.322	-1.547	-0.256	-0.276	-4.13	-0.154	-0.235	-0.146	-0.476	-3.928	-3.396	-3.436
"YDR096W"	2.114	2.159	2.715	2.302	2.372	0.979	2.281	2.565	2.549	-1.83	-1.51	-1.165	1.175	0.483	0.148	0.499	3.784	2.911	3.051	3.058	2.906	3.751	2.071	2.127	2.135	1.735	-0.761	0.282	2.377	2.916	-0.166	0.106	-0.126	0.329	-0.34	-0.267	1.406	-0.062	1.044	0.424	0.431	0.469	0.469	1.431	0.174	0.162	2.518	-0.095	2.266	0.375	0.168	1.2895	1.286	0.9155
"YDR165W"	-0.822	-2.444	-3.154	-3.024	-2.85	-1.603	-2.419	-2.874	-2.762	0.933	1.095	0.852	-1.9	-0.159	-0.712	-0.281	-4.096	-2.538	-2.179	-2.247	-1.905	-2.27	-1.82	-3.015	-2.243	-1.636	0.383	-0.088	-1.396	-1.582	0.27	-0.743	0.335	-0.511	0.362	0.287	-1.398	-0.044	-0.479	-0.633	-0.277	-0.097	-0.358	-1.683	-0.102	0.112	-2.787	-0.335	-1.389	-0.257	-0.157	-3.068	-3.205	-2.632
"YDR358W"	2.055	2.138	2.604	2.781	2.612	0.874	1.99	2.447	2.394	-1.206	-1.202	-1.361	1.084	0.739	1.17	0.622	4.268	3.057	2.909	3.162	3.18	3.398	2.838	2.493	2.23	1.681	-0.498	0.216	2.181	1.908	-0.2225	0.66	0.14	0.817	-0.0965	-0.008	2.484	0.473	0.508	0.716	0.276	-0.02	0.505	2.506	0.289	-0.473	2.402	0.049	2.049	0.322	0.044	1.748	3.478	2.433
