	"108.heat shock 15 min"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"686.YP ethanol vs reference pool"	"814.DBYmsn2-4- 37degree heat - 20 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"863.Amino acid + adenine starvation 1 h"	"896.Amino acid + adenine starvation 2 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"2064.Hypo-osmotic shock - 5 min"	"4789.33C + 1M sorbitol vs. 29C - adapted"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"11466.yO1 test hyb"	"12732.Nitrogen Depletion 4 h"	"12739.Nitrogen Depletion 30 min."	"12741.Nitrogen Depletion 1 h"	"12742.Nitrogen Depletion 2 h"	"12744.heat shock 17 to 37, 20 minutes"	"30464.Rich vs. Minimal II"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"
"YBR048W"	-1.3425	-1.916	-2.541	-3.002	-1.201	-2.00366666666667	-3.385	-2.4795	-2.968	-2.171	-2.248	-2.2475	-3.0195	-5.0065	-1.978	-1.255	-0.221	-3.0685	-3.137	-4.66033333333333	-2.35966666666667	-2.77266666666667	-2.738	-2.849	-3.15166666666667	-3.929	0.333	-0.114	-1.792	-2.013	-0.202	-1.14866666666667	-2.30366666666667	-1.301	-2.7435	-0.163666666666667	-4.043	-3.545	-4.089	-3.69	-2.483
"YBR191W"	-2.07	-2.052	-3.136	-3.824	-0.917	-1.558	-3.54	-3.222	-3.049	-2.249	-1.912	-2.071	-3.167	-5.241	-2.114	-0.961	0.179	-3.152	-3.411	-4.5465	-2.1205	-2.496	-2.5175	-2.3795	-2.6255	-3.136	0.239	0.089	-1.951	-1.3105	-0.019	-1.667	-2.4545	-0.9665	-3.463	0.589	-3.687	-3.657	-2.427	-3.266	-2.298
"YDL031W"	-2.88	-2.1535	-2.805	-2.451	-0.343	-0.82	-2.5295	-1.061	-1.48	-0.963	-1.4395	-1.4865	-2.9525	-3.3365	-1.2945	-0.384	-0.413	-2.234	-1.5645	-2.49	-1.401	-1.0975	-1.1425	-1.8345	-1.8005	-1.127	-0.069	-0.2165	-0.9815	-0.955	0.1515	-1.525	-0.799	-0.057	-2.6385	-1.044	-0.845	-1.181	-2.16	-0.888	-0.525
"YDL063C"	-3.209	-2.945	-2.864	-2.304	-1.0	-0.696	0.085	-2.723	-3.169	-2.319	-1.975	-1.826	-1.564	-3.701	-2.057	-0.931	-0.409	-0.719	-0.923	-2.168	-1.871	-1.236	-1.876	-1.864	-1.229	-1.954	0.028	0.188	-0.881	-1.1	0.028	-2.064	-1.124	-0.407	-3.467	0.748	-2.274	-2.579	-3.127	-2.796	-1.54
"YDL201W"	-2.68	-1.932	-2.515	-1.652	-0.434	-0.943	-3.282	-2.32	-1.899	-1.819	-1.285	-1.952	-1.537	-4.94	-1.858	-0.828	-0.228	-2.29	-2.112	-2.178	-1.317	-1.176	-1.363	-1.295	-1.218	-1.732	-0.059	0.18	-0.643	-0.902	0.324	-1.195	-1.052	-0.4	-2.398	-0.136	-2.098	-1.705	-2.492	-1.838	-1.138
"YDR037W"	-1.688	-1.968	-2.701	-2.679	-1.231	-0.38	-4.313	-3.427	-3.607	-3.146	-3.858	-3.458	-4.551	-5.224	-0.977	-0.234	0.058	-3.226	-2.505	-1.971	-2.384	-2.681	-2.313	-2.916	-3.368	-3.772	0.286	0.092	-1.217	-2.523	-0.038	-0.541	-0.304	-0.054	-2.354	0.036	-4.284	-3.366	-4.204	-3.541	-2.204
"YDR087C"	-3.126	-2.758	-3.643	-3.468	-0.867	-0.983	-4.139	-2.976	-2.337	-1.909	-2.277	-3.312	-3.817	-4.944	-2.758	-0.788	-0.001	-2.528	-2.208	-1.886	-1.819	-1.373	-2.022	-1.73	-3.407	-2.893	-0.279	-0.149	-1.236	-1.782	0.673	-0.567	-0.431	0.315	-4.13	-0.6	-2.338	-2.16	-3.396	-3.436	-2.083
"YDR365C"	-1.927	-1.674	-1.783	-1.873	-0.883	-0.532	-2.985	-1.698	-2.057	-1.21	-1.232	-1.094	-2.477	-4.269	-1.689	-0.014	0.151	-1.534	-1.027	-2.25	-0.89	-1.457	-2.29	-2.877	-3.039	-3.298	-0.001	-0.253	-0.64	-1.094	0.64	-0.506	0.233	0.905	-2.99	NaN	-0.466	-0.491	-0.997	-0.566	-1.377
"YDR413C"	-2.496	-1.803	-2.779	-2.502	-0.729	-0.592	-2.622	-2.121	-1.802	-1.452	-1.554	-1.58	-1.42	-2.057	-1.357	-0.364	0.083	-1.399	-1.215	-2.337	-1.725	-1.311	-1.594	-1.706	-1.349	-1.81	-0.207	-0.212	-0.881	-1.613	0.339	-0.755	-0.601	-0.081	-2.652	-1.526	-1.835	-1.046	-2.336	-1.502	-1.256
"YDR450W"	-1.91	-1.959	-2.844	-3.077	-0.344	-1.439	-3.254	-2.797	-2.204	-1.895	-2.039	-1.925	-2.6	NaN	-2.564	-1.072	-0.287	-3.208	-3.201	-4.313	-2.118	-2.576	-2.784	-2.988	-2.959	-3.465	0.454	0.13	-1.894	-1.056	0.363	-0.894	-1.939	-0.671	-3.008	-0.4285	-3.787	-3.762	-3.594	-3.453	-2.352
"YDR496C"	-5.251	-3.671	-4.953	-4.7405	-0.79	-1.257	-3.1645	-1.29	-2.3365	-2.027	-1.674	-2.018	-3.591	-4.393	-2.7355	-0.314	0.2465	-4.5275	-2.8145	-3.995	-2.1765	-2.168	-2.517	-2.6065	-3.579	-3.3065	-0.0075	0.3765	-1.118	-1.889	0.215	-2.415	-2.2255	-0.338	-5.1875	-1.234	-1.074	-1.347	-1.917	-1.733	-1.551
"YER117W"	-1.836	-2.379	-2.386	-3.056	-0.475	-1.428	-2.982	-2.613	-2.377	-1.817	-2.008	-1.95	-2.832	-5.642	-2.458	-1.15	0.097	-3.05	-3.141	-3.768	-1.917	-2.534	-2.571	-2.312	-2.562	-2.976	0.231	-0.042	-1.753	-1.876	-0.03	-1.623	-2.116	-0.842	-3.314	-1.523	-3.319	-2.632	-3.238	-3.345	-2.147
"YGL076C"	-1.995	-1.99	-2.744	-3.119	-0.842	-1.867	-3.969	-3.136	-2.73	-2.564	-2.446	-2.401	-3.976	-5.667	-2.396	-1.338	-0.467	-3.32	-2.996	-4.142	-2.037	-2.568	-2.648	-2.836	-2.79	-3.782	0.36	-0.013	-1.755	-1.8735	0.096	-1.62	-2.099	-1.041	-2.656	-1.0835	-4.003	-3.509	-3.347	-3.315	-2.544
"YGL171W"	-4.302	-2.091	-3.818	-3.208	-0.841	-1.289	-5.822	-2.949	-2.078	-1.942	-1.611	-1.839	-2.903	-4.649	-3.098	-1.078	-0.277	-2.759	-2.384	-3.704	-1.8	-1.731	-1.978	-2.292	-3.082	-2.503	-0.231	0.044	-1.31	-1.315	0.383	-1.585	-2.355	-0.496	-3.658	-0.143	-2.646	-2.402	-3.848	-2.304	-1.754
"YGR145W"	-5.791	-3.702	-3.7955	-3.4415	-0.672	-1.51	-4.245	-2.091	-1.808	-1.15	-1.077	-0.983	-2.133	-4.024	-1.819	-0.654	0.423	-2.214	-2.466	-3.496	-2.143	-1.897	-1.466	-2.519	-3.279	-3.084	0.192	0.008	-1.763	-1.336	-0.148	-3.294	-2.065	-0.511	-4.7725	-2.3425	-2.313	-2.4	-4.009	-2.204	-1.849
"YGR251W"	-2.0505	-0.826	-1.469	-0.4335	0.263	-0.119	-2.011	1.151	-0.626	-0.78	-0.341	0.339	-0.048	-2.327	-1.191	0.18	0.28	-1.675	-1.047	-1.113	-0.732	-0.404	0.163	-0.692	-1.556	-1.544	0.234	0.518	-0.465	-0.625	0.341	-0.537	-0.431	0.482	-1.986	0.14	-1.688	-0.465	-1.927	-0.901	0.108
"YHL011C"	-2.744	-2.107	-3.0145	-3.024	-0.354	-0.594	-2.604	-1.684	-1.225	-1.072	-0.736	-1.162	-2.023	-3.592	-1.461	-0.5	-0.234	-2.503	-2.019	-1.801	-0.989	-1.128	-1.272	-1.25	-1.552	-1.5	0.492	0.172	-1.111	-1.063	-0.315	-2.065	-1.707	-0.7	-3.2715	NaN	-2.033	-1.74	-2.086	-0.98	-1.253
"YHR088W"	-5.1145	-3.058	-3.613	-2.3075	-0.576	-0.578	-5.002	-1.704	-1.955	-1.768	-1.175	-1.335	-2.052	-3.112	-2.407	-0.345	0.416	-1.499	-1.508	-1.713	-1.295	-0.722	-1.206	-0.937	-1.914	-1.532	0.043	0.113	-1.0915	-0.572	0.329	-0.394	-0.742	0.192	-3.3645	-0.133	-2.04	-1.44	-2.768	-2.043	-1.252
"YHR148W"	-3.0225	-2.8705	-3.2345	-2.692	-0.267	-0.369	-3.086	-1.904	-1.665	-1.259	-1.042	-1.63	-2.321	-3.377	-1.802	-0.207	0.438	-1.557	-1.816	-1.58	-0.968	-0.949	-0.812	-0.851	-0.995	-0.267	0.142	0.516	-0.7345	-1.486	0.412	-0.852	-0.79	0.558	-3.95	-0.123	-1.681	-1.749	-2.893	-1.982	-1.373
