	"50.Elutriation2:Sample2:Time0.5hrs"	"107.heat shock 10 min"	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"815.1M sorbitol - 15 min"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"854.YPD_6_h_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"978.wt_plus_gamma_20_min"	"979.wt_plus_gamma_30_min"	"980.wt_plus_gamma_45_min"	"1173.PHO4c vs. wild type"	"1562.NBW7 strain High-Pi vs. Low-Pi, exp.2"	"4048.0.8M NaCl +FK506 - 30 min"	"4781.DBYtrr1 + 0.3 mM H2O2 - 30 min"	"4872.1M sorbitol - 60 min"	"5243.DES459 (mec1) - mock irradiation - 5 min"	"6676.wt - 0.3 mM H2O2 - 30 min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"12744.heat shock 17 to 37, 20 minutes"	"15728.Lycoming College - peroxide vs. control"	"32251.DBY8778_heat_shock2_5min"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"32255.DBY8778_heat_shock2_60min"	"33259.delKIN82_heat shock _15min"	"33261.delKIN82_heat shock _30min"	"33779.delYPL230w_stationary_phase_5hours"	"42225.U2 Comp 09 hr 12 min Uracil Batch vs Chemostat Comparison"
"YBL039C"	-0.288	-4.41	-4.793	-4.124	-2.672	-4.307	-4.486	-3.781	-3.161	-2.661	-2.891	-1.618	-3.74	-7.004	-2.736	-1.1025	-0.696	-0.4185	0.524	1.279	-2.695	-0.933	-0.0805	-1.399	0.541	-1.896	-3.176	-2.334	-1.392	-2.572	-2.654	-4.956	-0.98	-2.952	-4.509	-3.644	-1.329	-4.264	-2.925	-3.951	0.999
"YBR053C"	0.2705	2.641	2.944	2.786	2.121	2.642	3.221	3.327	1.5175	1.621	1.865	1.932	2.807	-1.689	1.172	0.941	0.858	0.5765	0.244	NaN	1.816	0.436	0.0025	-0.175	1.285	1.322	1.828	1.767	1.625	1.582	1.799	4.137	0.094	2.66	2.189	1.539	1.246	1.865	2.208	3.16	-1.133
"YBR104W"	-0.693	-2.245	-1.078	-2.114	-1.145	-1.791	-2.258	-1.844	-1.7175	-1.513	-0.984	-0.868	-2.691	-2.523	-2.023	-0.8335	-0.1825	-0.2565	-0.116	0.838	-1.367	-0.134	-0.169	-0.703	0.029	-1.466	-1.917	-1.191	-0.736	-1.622	-1.816	-1.884	0.723	-3.153	-2.914	-2.245	-0.508	-2.202	-1.038	-2.674	0.541
"YCL059C"	-0.505	-1.314	-3.484	-4.242	-2.109	-3.611	-4.218	-3.675	-2.098	-2.587	-2.904	-2.397	-4.786	-5.277	-2.27	-0.775	-0.397	0.11	-0.713	0.518	-1.379	-1.204	0.0035	-1.67	0.106	-1.281	-2.524	-2.535	-0.821	-2.387	-3.161	-4.664	-1.698	-2.026	-2.908	-2.614	-1.156	-4.103	-3.191	-4.436	0.657
"YCR072C"	0.193	-2.145	-4.048	-3.587	-1.668	-2.626	-3.503	-2.949	-0.826	-2.43	-1.537	-1.46	-4.777	-4.875	-3.092	-0.616	-0.595	-0.116	0.231	-0.284	-2.219	0.241	-0.0405	0.681	-0.018	-1.364	-1.792	-1.624	-1.002	-1.609	-1.403	-4.635	0.03	-4.939	-4.551	-2.816	-1.529	-2.665	-1.203	-3.703	1.101
"YDL031W"	-0.226	-2.218	-2.88	-2.3335	-1.516	-2.1535	-2.805	-2.451	-0.968	-1.7075	-1.604	-1.4565	-2.5295	-3.3365	-2.234	0.015	-0.415	0.1625	0.185	0.556	-0.664	0.172	0.1475	-0.295	-0.729	-0.7915	-1.3565	-1.355	0.0705	-0.546	-1.206	-2.6385	0.387	-2.448	-2.583	-1.757	-0.802	-1.283	-1.024	-2.16	0.42
"YDR184C"	-0.605	-2.325	-3.745	-3.004	-0.828	-2.64	-3.408	-2.671	-1.543	-2.056	-1.547	-1.242	-3.504	-1.842	-1.444	-0.741	-0.806	-0.334	-0.484	-0.201	-1.546	0.395	0.004	-1.29	0.965	-1.536	-1.882	-1.428	-1.136	-2.075	-2.168	-3.644	-0.067	-4.266	-3.588	-2.225	-0.801	-2.068	-0.715	-3.208	1.099
"YDR361C"	-0.3995	-2.014	-2.862	-3.438	-1.896	-3.115	-3.356	-3.263	-1.054	-2.149	-2.256	-1.868	-3.61	-3.634	-2.072	-0.845	-0.651	-0.203	0.013	0.316	-1.049	-0.392	0.226	-1.571	-0.437	-1.071	-1.767	-1.519	-0.855	-1.74	-1.823	-3.92	-1.953	NaN	-2.614	-2.362	-1.056	-3.229	-2.131	-3.998	0.323
"YDR449C"	-0.237	-2.181	-3.288	-3.311	-1.17	-2.141	-2.891	-3.0	-0.182	-1.966	-2.169	-1.621	-6.037	-4.747	-2.543	-0.431	-0.211	-0.096	-0.299	-0.344	-1.926	-0.263	0.026	-1.137	0.594	-1.819	-2.425	-1.492	-1.423	-1.902	-1.927	-3.019	1.13	-2.347	-4.582	-2.179	-1.36	-2.307	-0.711	-3.477	0.257
"YDR465C"	-0.252	-1.599	-3.378	-4.511	-2.252	-3.218	-3.765	-3.563	-1.153	-2.535	-2.812	-2.104	-4.438	-2.557	-1.835	-1.014	-0.465	-0.19	-0.003	-0.13	-1.75	-0.117	0.025	0.184	-0.222	-1.579	-2.458	-2.305	-1.377	-2.316	-2.684	-3.782	-0.099	-2.565	-4.693	-2.965	-1.655	-2.543	-2.055	-3.552	1.011
