	"406.heat shock 37 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"906.w303a vs w303a hcm1"	"942.starv_in_H2O_1_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1309.diauxic shift timecourse: 18.5 hr"	"8193.steady state 15 dec C"	"8235.dtt 480 min"	"12744.heat shock 17 to 37, 20 minutes"	"15727.Lycoming College - X-ray exposure vs. control"	"33417.delKIN82_heat shock _60min_repeat"	"33772.DBY8778(wt)_stationary_phase_3hours"	"33773.DBY8778(wt)_stationary_phase_5hours"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"34879.S4Comp 10 hr 00 min Sulfate Batch vs Chemostat Comparison"	"40949.H2O2_II_35_min"
"YBL087C"	0.106	-2.952	-3.207	-3.104	-2.44	-2.157	-1.789	-2.516	-2.21	0.569	-2.924	-2.933	-1.8755	-2.2155	-2.156	-1.2	0.012	0.156	-3.395	0.1025	-0.55	-0.258	0.026	-2.434	-2.559	-3.415	-2.879	-2.282	-0.4385
"YBR048W"	-0.12	-2.541	-3.002	-3.385	-2.4795	-2.968	-2.171	-5.0065	-1.978	0.4845	-3.0685	-4.66033333333333	-2.35966666666667	-2.77266666666667	-2.738	-1.524	-0.1415	0.1435	-2.7435	0.221666666666667	-0.577	-0.11	-0.382	-4.043	-3.545	-4.089	-3.69	-2.197	0.506333333333333
"YBR104W"	0.023	-2.258	-1.844	-2.691	-2.193	-2.217	-1.603	-2.523	-0.04	0.027	-2.023	-2.235	-2.029	-1.6145	-1.902	0.14	0.013	0.127	-1.884	-0.341	-0.137	-0.069	-0.166	-1.484	-1.275	-2.674	-2.716	-1.066	-0.69
"YBR142W"	0.269	-2.93	-2.567	-2.447	-1.562	-1.629	-1.515	-4.241	-1.661	0.171	-1.893	-2.4525	-1.878	-2.0035	-2.148	-1.103	-0.188	-0.16	-2.999	-0.688	-0.734	-0.207	-0.753	-2.312	-1.71	-3.06	-2.661	-1.027	-0.825
"YBR189W"	0.137	-3.868	-4.446	-3.784	-3.224	-3.356	-2.463	-4.702	-1.982	0.417	-3.071	-3.678	-2.112	-2.629	-2.467	-1.953	-0.276	0.074	-3.818	0.228	-0.234	0.864	0.104	-4.874	-3.763	-4.739	-3.572	-2.677	-1.016
"YDL014W"	0.651	-4.46	-4.776	-3.37	-2.435	-2.318	-1.989	-2.641	-1.545	-0.14	-1.412	-2.2875	-1.916	-2.1295	-2.17	-1.21	0.198	0.396	-4.277	-0.374	-0.645	-0.582	-0.16	-3.918	-4.085	-4.482	-4.004	-2.921	-1.063
"YDL075W"	0.132	-2.777	-2.739	-2.825	-3.453	-2.828	-2.896	-3.777	-1.585	0.478	-2.009	-3.016	-2.013	-2.472	-2.785	-0.98	-0.459	-0.085	-2.202	1.0875	0.575	-0.068	-0.641	-2.895	-3.256	-3.17	-3.026	-1.344	0.1745
"YDL082W"	0.214	-3.052	-2.521	-3.223	-2.484	-2.853	-1.739	-5.816	-2.246	0.66	-2.537	-2.915	-1.919	-2.383	-2.182	-1.708	-0.246	-0.072	-3.338	0.4875	0.209	0.654	0.327	-4.398	-3.698	-4.518	-3.314	-1.795	-0.2255
"YDR312W"	0.139	-2.512	-2.345	-2.564	-1.147	-1.312	-0.536	-3.564	-1.377	0.104	-1.829	-2.515	-1.444	-1.492	-1.373	0.083	-0.124	-0.204	-3.04	0.005	0.407	-0.372	-0.449	-1.874	-1.157	-2.572	-1.141	-0.883	-0.593
"YDR324C"	0.149	-3.184	-3.012	-3.361	-2.361	-1.762	-1.602	-4.131	-2.225	0.217	-2.212	-2.573	-2.143	-2.391	-1.803	-1.077	-0.073	0.0	-3.609	0.931	-0.8345	-0.7965	-0.7865	-1.857	-2.128	-3.2975	-2.27	-1.3355	-0.959
"YDR450W"	-0.025	-2.844	-3.077	-3.254	-2.797	-2.204	-1.895	NaN	-2.564	0.817	-3.208	-4.313	-2.118	-2.576	-2.784	-1.375	-0.01	0.11	-3.008	0.9115	0.138	-0.208	0.389	-3.787	-3.762	-3.594	-3.453	-1.515	-0.8535
