	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"634.Elutriation2:Sample2:Time6.5hrs"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"830.1.5 mM diamide (10 min)"	"831.1.5 mM diamide (20 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"862.Amino acid + adenine starvation 0.5 h"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"977.wt_plus_gamma_10_min"	"1009.YPD 2 h (25C)"	"1108.DY zap1 3 mM vs. 10 uM zinc #2"	"1257.mec1_plus_gamma_120_min"	"1302.diauxic shift timecourse: 15.5 hr"	"1312.diauxic shift timecourse: 13.5 hr"	"2556.Hypo-osmotic shock - 45 minutes"	"2557.Hypo-osmotic shock - 60 minutes"	"6344.DES460 + 0.02% MMS - 5 min"	"6824.Sporulation t0"	"12744.heat shock 17 to 37, 20 minutes"	"13096.Missouri Western State College 10 uM DAPI Cy5 4 hrs (exp 2)"	"15727.Lycoming College - X-ray exposure vs. control"	"32251.DBY8778_heat_shock2_5min"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33772.DBY8778(wt)_stationary_phase_3hours"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"
"YBR001C"	2.204	2.369	2.494	2.534	1.395	2.084	1.983	2.046	-1.102	0.2825	-1.642	-1.0	1.408	1.72	2.619	2.187	1.895	1.509	1.543	1.521	0.924	0.0605	0.1755	0.215	-0.402	0.88	-0.188	-0.28	0.319	-0.055	2.65	-0.193	0.025	2.087	1.791	1.159	0.707	2.763	2.003	3.111	2.161	1.915	1.4
"YBR132C"	2.202	3.266	2.873	2.872	2.346	2.983	3.13	2.733	-2.1185	0.2575	-2.024	-1.762	1.143	1.301	3.812	4.245	1.379	2.801	2.822	2.258	0.4215	0.235	0.216	0.041	0.232	0.327	-0.285	-0.03	-0.143	-0.252	2.946	-0.274	-0.301	2.673	3.025	2.77	0.197	2.199	1.794	2.438	2.318	2.465	1.723
"YBR142W"	-2.785	-3.45	-0.764	-2.326	-1.469	-2.492	-2.93	-2.567	0.9695	-0.144	0.859	0.845	-1.415	-1.523	-2.447	-1.562	-1.661	-1.229	-1.893	-1.12	-0.8865	-0.049	-0.535	-0.2445	-0.545	-0.369	0.429	0.369	-0.202	-0.011	-2.999	-0.046	-0.688	-3.167	-4.931	-3.065	-0.207	-2.312	-1.71	-3.06	-2.661	-1.652	-1.41
"YCL054W"	-3.412	-3.545	-3.187	-2.942	-1.013	-2.871	-3.741	-3.668	0.824	0.013	1.068	1.027	-1.939	-2.492	-3.386	-2.092	-2.044	-2.67	-2.121	-2.124	-0.431	-0.424	-1.0405	0.016	-0.696	-0.558	1.056	0.745	-0.6	0.269	-4.039	-0.034	-0.783	-3.522	-4.037	-2.713	-0.271	-2.945	-2.617	-3.761	-2.107	-2.043	-2.179
"YCL059C"	-1.314	-3.484	-4.56	-4.242	-2.109	-3.611	-4.218	-3.675	0.974	-0.353	0.955	0.848	-1.116	-2.587	-4.786	-2.115	-2.731	-1.244	-2.27	-1.67	-0.974	-0.183	-0.579	0.111	-0.673	-0.494	0.565	0.147	-0.175	0.18	-4.664	0.207	-0.113	-2.026	-2.908	-2.614	-0.095	-3.887	-2.479	-4.436	-2.396	-1.791	-1.456
"YDL148C"	-3.467	-4.262	-3.299	-3.284	-1.179	-2.868	-3.476	-2.829	0.984	-0.15	0.896	0.854	-2.258	-2.829	-3.372	-1.757	-2.115	-1.253	-2.168	-2.141	-0.27	0.08	-0.999	-0.111	-0.779	-0.617	0.439	0.488	-0.092	0.335	-3.488	-0.052	-1.157	-1.747	-2.998	-1.35	-0.633	-1.234	-1.942	0.058	-4.494	NaN	-1.279
"YDL181W"	3.117	3.464	3.034	3.064	1.968	2.202	2.586	2.509	-2.158	0.393	-2.39	-1.719	1.551	1.335	3.242	4.01	3.129	1.803	1.454	1.885	0.141	0.064	-0.351	0.263	0.509	0.842	-0.62	-0.25	0.165	0.232	2.524	0.28	-0.333	1.683	1.279	1.368	1.163	2.071	3.955	2.282	2.777	3.384	2.764
"YDL201W"	-2.767	-2.68	2.807	-2.05	-1.327	-1.932	-2.515	-1.652	1.17	-0.133	0.957	0.736	-1.115	-1.494	-3.282	-2.32	-1.858	-2.19	-2.29	-2.112	-1.068	0.199	-0.423	-0.079	-0.601	-0.23	0.354	0.21	-0.137	0.306	-2.398	0.303	-0.724	-3.323	-2.621	-1.767	-0.39	-2.098	-1.705	-2.492	-1.838	-1.138	-0.792
"YDR085C"	2.48	3.068	2.992	2.335	1.403	2.0	2.103	2.17	-1.512	0.173	-1.159	0.059	1.227	2.052	3.595	2.344	1.599	2.354	2.494	2.705	1.433	-0.044	1.151	-0.19	1.062	0.193	-1.184	-0.815	0.078	-0.172	2.086	-0.6	1.242	2.04	2.999	2.253	0.151	2.526	2.335	3.365	2.189	2.049	1.943
"YDR087C"	-2.034	-3.126	-4.331	-4.143	-1.747	-2.758	-3.643	-3.468	0.873	-0.272	1.227	0.989	-1.63	-2.287	-4.139	-2.976	-2.758	-1.846	-2.528	-2.208	-1.074	-0.12	-0.638	-0.055	-0.913	-0.559	0.158	-0.109	-0.299	-0.3	-4.13	-0.194	-0.069	-2.803	-3.928	-2.942	0.364	-2.338	-2.16	-3.396	-3.436	-2.083	-2.155
