	"103.alpha factor release sample026"	"104.alpha factor release sample024"	"819.DY1457 (wild type) 3 mM vs. 61 nM zinc"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"1012.YPD 12 h (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1106.DY zap1 3 mM vs. 76 nM zinc"	"1107.alpha factor release sample025"	"1139.DY1457 (wild type) 3 mM vs. 76 nM zinc"	"2556.Hypo-osmotic shock - 45 minutes"	"2557.Hypo-osmotic shock - 60 minutes"	"2966.WT vs Lpz8 null cells in high Cu-repeat"	"3020.WT vs lpz8 null cells in high Cu"	"4872.1M sorbitol - 60 min"	"11466.yO1 test hyb"	"12733.Nitrogen Depletion 8 h"	"27103.P1Comp 24 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27105.P1Comp 27 hr 15 min Phosphate Batch vs Chemostat Comparison"	"27106.P1Comp 33 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27108.P1Comp 45 hr 5 min Phosphate Batch vs Chemostat Comparison"	"34879.S4Comp 10 hr 00 min Sulfate Batch vs Chemostat Comparison"	"34882.S4Comp 13 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34883.S4Comp 14 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34884.S4Comp 15 hr 05 min Sulfate Batch vs Chemostat Comparison"
"YAL036C"	0.006	-0.256	0.597	-2.24	-1.7	-1.117	-1.024	-1.113	-1.409	-2.145	-3.743	-2.682	-2.056	-1.616	-2.5035	-1.486	-1.4315	-1.841	-2.0465	0.1055	-0.02	1.1085	0.273	0.168	-0.195	-0.431	-0.0645	-1.194	-2.0125	0.3195	-0.1855	-0.5535	-0.667	-1.991	-0.544	-0.594	-0.623
"YBL027W"	0.183	-0.054	1.77	-2.851	-2.474	-2.081	-1.613	-2.0	-1.606	-2.671	-5.577	-2.494	-2.654	-2.507	-3.9845	-2.0465	-1.9795	-2.114	-3.148	0.8305	-0.0485	2.086	0.472	0.486	0.22	0.422	-0.007	-1.6965	-2.031	-0.557666666666667	-1.16833333333333	-1.081	-0.596666666666667	-1.499	-0.269	-0.698	-0.417
"YBL072C"	0.516	0.298	2.378	-3.835	-3.367	-3.036	-2.694	-2.486	-3.041	-3.192	-6.241	-3.06	-3.401	-3.188	-4.1825	-2.5865	-2.5245	-3.2065	-4.2	1.3355	0.2455	2.746	0.447	0.343	0.101	0.238	0.611	-2.524	-3.2475	-2.257	-1.97	-1.8925	-1.3725	-2.102	-0.638	-0.313	-2.059
"YBL077W"	0.346	0.153	0.875	-3.41	-2.161	-1.694	-1.571	-2.021	-1.176	-3.136	-5.081	-2.763	-2.285	-2.607	-2.792	-2.345	-2.816	-3.3595	-3.1945	0.7015	0.062	1.2945	0.342	0.394	-0.052	-0.023	0.0635	-1.547	-2.306	-0.487	-0.9025	-0.8685	-0.0985	-0.424	-1.123	-1.089	-1.797
"YBR025C"	0.151	0.513	0.898	-1.923	-1.884	-1.473	-0.929	-1.226	-1.651	-1.66	-5.106	-2.15	-1.648	-1.624	-2.6785	-0.66	-2.141	-2.9345	-3.783	0.3245	-0.032	1.2745	0.178	0.428	0.539	0.446	-0.1385	-1.365	-2.7835	0.2415	0.04	-0.0215	-0.539	-1.907	-0.302	-1.1	0.03
"YBR049C"	0.347	-0.14	0.632	-0.105	-0.625	0.158	-0.152	-0.488	-0.491	-1.137	-2.667	-0.274	-0.547	-0.451	-1.2205	-0.3625	-1.4785	-1.67	-1.4735	0.1105	-0.2645	0.466	0.048	0.255	-0.005	0.064	-0.1335	-0.156	0.2125	0.062	-0.079	0.008	-0.1725	-0.042	-0.427	-0.593	-0.569
"YBR079C"	0.688	0.525	1.626	-2.406	-1.379	-2.01	-1.128	-0.936	-1.845	-1.806	-4.79	-1.533	-1.664	-1.68	-2.741	-2.5405	-1.965	-2.9905	-2.7575	0.446	0.4515	1.5245	0.501	0.467	0.202	-0.108	-0.0865	-1.519	-1.478	-0.2095	-0.6225	-0.9045	-0.925	-1.424	-1.779	-1.658	-1.33
"YBR121C"	0.197	0.424	1.631	-2.66	-1.84	-1.582	-1.543	-2.186	-2.714	-4.037	-5.791	-2.317	-1.95	-2.366	-3.2385	-3.155	-4.1355	-4.173	-4.5985	0.598	-0.0135	1.461	0.324	0.381	0.121	0.012	-0.1215	-2.249	-2.1	-1.0015	-0.9375	-1.0775	-1.0075	-1.588	-1.562	-1.674	-1.587
"YBR247C"	0.012	0.018	1.047	-3.42	-2.12	-1.692	-1.628	-1.522	-0.898	-2.212	-3.969	-3.12	-1.618	-1.623	-3.3455	-1.689	-2.2255	-2.389	-2.378	0.61	-0.0105	1.491	0.585	0.478	-0.305	-0.3415	0.076	-1.086	-1.7475	-0.302	-0.125	-0.145	-0.703	-2.77	-0.688	-0.584	-0.291
"YCL045C"	0.612	-0.622	0.967	-1.369	-0.979	-0.769	-0.949	-1.0965	-0.733	-3.044	-3.911	-1.1955	-1.4795	-1.516	-1.31333333333333	-1.34133333333333	-2.25533333333333	-2.94333333333333	-2.69566666666667	0.411	0.1685	0.696	0.0785	0.0655	0.019	-0.106	0.0683333333333333	-0.7035	-1.17133333333333	-0.166	-0.1565	-0.3745	-0.8585	-0.423	-0.691	-0.4	-0.323
