	"120.w303a vs w303a fkh1 fkh2"	"404.W303a vs GZY29-3b"	"405.W303a vs GZY45-15c"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"8284.mcm1-1 + pRS315 vs wild type (strain 8354-8C)+ pRS315"	"11466.yO1 test hyb"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"13068.Na/Na+FK 45min (2)"	"40951.H2O2_II_49_min"	"40952.H2O2_II_56_min"	"40953.H2O2_II_63_min"	"40954.H2O2_II_70_min"	"40955.H2O2_II_77_min"
"YAR075W"	-0.844	-0.77	-0.3	-2.296	-2.875	-4.482	-4.212	-3.18	-3.671	-2.083	-2.736	-2.115	-2.55	-2.789	-0.373	-1.346	-0.025	-0.107	-0.24	-1.133	-1.032	-1.313	-1.41	-0.586
"YBL024W"	-0.273	-0.871	-0.623	-2.175	-2.483	-4.671	-4.879	-2.114	-2.409	-2.147	-2.6055	-3.4875	-3.5465	-3.993	-0.112	-2.18	-0.008	0.125	-0.284	-3.035	-2.505	-2.409	-1.682	-1.93
"YBL027W"	-0.159	-0.43	-0.179	-2.0	-1.606	-2.671	-5.577	-2.507	-2.33	-2.4005	-2.0465	-1.9795	-2.114	-3.148	0.567	-1.6965	0.213	0.2665	0.4585	-0.6835	-1.0425	-1.2155	-0.6845	-0.0465
"YBL028C"	-0.088	-1.098	-0.583	-2.015	-2.162	-2.828	-4.867	-1.944	-1.967	-1.5655	-2.036	-1.7715	-2.0555	-1.6605	0.067	-0.937	0.27	0.338	-0.204	-0.894	-0.728	-1.554	-1.381	-0.816
"YBL056W"	-0.026	-0.629	-0.025	-1.107	-1.5	-2.142	-4.006	-0.72	-1.127	-0.2685	-0.4785	-1.057	-1.563	-1.749	-0.428	-0.785	0.021	0.022	0.315	-0.643	-1.302	-1.191	-0.388	-0.873
"YBL057C"	0.34	-0.072	0.142	-0.869	-1.672	-2.031	-2.661	-1.034	-1.105	-0.8965	-0.5975	-1.502	-1.552	-2.088	0.143	-0.27	0.45	0.575	0.395	-0.359	-0.314	-0.205	-0.606	-0.583
"YBL072C"	-0.238	0.045	0.059	-2.486	-3.041	-3.192	-6.241	-3.188	-3.091	-2.5425	-2.5865	-2.5245	-3.2065	-4.2	-0.16	-2.524	0.435	0.389	0.27	-1.46	-2.127	-2.734	-1.774	-1.695
"YBL092W"	-0.184	-0.08	-0.079	-2.138	-2.929	-2.896	-5.158	-2.665	-2.635	-2.153	-2.4445	-1.726	-2.74	-2.8475	-0.223	-1.555	0.048	0.001	0.24	-0.956	-1.304	-1.559	-1.552	-0.906
"YBR009C"	0.295	-0.856	-0.106	-2.427	-1.895	-2.257	-3.789	-1.749	-2.326	-1.5	-2.3565	-2.09	-1.6255	-2.119	0.054	-1.729	0.292	0.015	1.02	-1.399	-1.461	-1.402	-0.473	-0.597
"YBR011C"	0.033	-0.15	0.023	-0.977	-1.747	-4.081	-5.344	-0.95	-1.407	-0.649	-1.271	-2.3835	-3.0585	-3.4585	-0.907	-1.084	0.313	0.315	0.758	1.257	1.486	0.774	1.414	1.591
"YBR048W"	-0.4095	0.064	0.0505	-2.248	-2.2475	-3.0195	-5.0065	-3.295	-3.375	-2.77266666666667	-2.738	-2.849	-3.15166666666667	-3.929	-0.551	-2.013	0.012	0.0853333333333333	0.074	-0.991666666666667	-1.405	-1.542	-0.939	-0.0466666666666667
"YBR084W"	-0.479	-1.237	-0.64	-2.908	-4.006	-4.365	-5.362	-1.44	-1.534	-1.9025	-2.592	-1.934	-2.75	-2.725	-0.897	-2.65	0.223	0.198	-0.655	-3.082	-3.886	-2.886	-2.974	-2.356
"YBR118W"	-0.203	0.01	0.39	-1.283	-1.247	-2.846	-5.272	-2.128	-1.73	-1.4355	-1.294	-1.7525	-2.167	-3.221	0.197	-1.681	0.311	0.295	0.236	-0.323	-1.103	-0.958	-0.602	-0.29
"YBR121C"	-0.375	-0.355	-0.084	-2.186	-2.714	-4.037	-5.791	-2.366	-2.465	-2.416	-3.155	-4.1355	-4.173	-4.5985	-0.92	-2.249	-0.124	-0.147	0.029	-1.638	-2.356	-2.391	-1.697	-1.492
"YBR143C"	-0.249	-0.524	-0.089	-1.932	-2.537	-3.195	-4.642	-2.012	-2.112	-2.126	-2.659	-2.698	-2.699	-3.572	-0.597	-1.699	0.193	-0.03	0.005	-1.155	-1.567	-1.627	-0.99	-0.956
"YBR162C"	-0.6	-0.604	-0.856	-2.459	-0.9	-3.095	-2.678	-2.766	-0.956	-1.986	-3.0025	-3.2055	-3.1195	-3.068	-0.337	-2.557	-0.242	-0.293	-0.171	-2.199	-2.271	-1.889	-1.891	-1.054
"YBR164C"	0.229	0.14	0.283	-1.248	-1.637	-2.78	-3.277	-1.258	-1.624	-1.114	-1.4825	-1.3225	-2.355	-1.882	0.376	-1.384	0.349	0.508	0.663	-0.948	-1.266	-1.388	-1.263	-1.195
"YBR171W"	0.194	0.022	0.016	-0.876	-0.918	-2.189	-3.399	-1.477	0.216	-0.857	-1.0045	-1.2865	-1.677	-1.5245	-0.374	-0.909	-0.123	-0.139	-0.002	-0.105	0.538	0.601	-0.151	0.778
"YBR181C"	0.522	-0.115	0.488	-1.94	-2.747	-3.798	-4.564	-3.159	1.639	-2.493	-2.7035	-2.654	-2.96	-3.945	0.712	-2.337	0.1235	0.207	0.3175	-1.8015	-2.357	-2.434	-2.032	-1.7085
"YBR189W"	-0.212	-0.092	-0.545	-2.154	-2.355	-2.065	-4.702	-2.334	-2.025	-2.629	-2.467	-1.9305	-1.8835	-2.9475	0.138	-2.4025	0.25	0.172	0.0625	-1.2915	-1.663	-2.0805	-1.526	-1.496
"YBR191W"	0.131	-0.144	0.027	-1.912	-2.071	-3.167	-5.241	-2.563	-2.467	-2.496	-2.5175	-2.3795	-2.6255	-3.136	-0.107	-1.3105	0.299	0.44	0.5585	-0.8705	-1.685	-1.8235	-0.68	-0.8315
"YBR205W"	0.163	-0.368	0.143	-0.574	-0.55	-2.047	-3.842	-1.164	-1.251	-1.74	-0.5585	-0.8785	-1.5345	-2.119	0.0	-0.513	-0.212	-0.103	-0.096	-0.223	0.285	-0.181	0.255	0.627
"YBR246W"	-0.311	-0.371	0.066	-0.766	-0.796	-2.137	-3.138	-1.077	-1.419	-0.9095	-0.74	-1.3615	-1.8565	-1.287	-0.187	-0.088	0.187	0.302	0.495	-0.025	-0.173	-0.501	-0.104	-0.152
"YBR254C"	0.25	-0.436	0.113	-1.33	-1.12	-2.52	-2.891	-0.64	-1.649	-0.917	-0.773	-0.7925	-1.3065	-0.4455	-0.032	-0.239	0.492	0.214	0.202	-0.391	-0.774	-0.873	-0.884	-0.864
"YCL045C"	-0.138	-0.063	0.1205	-1.0965	-0.733	-3.044	-3.911	-1.516	-1.986	-1.123	-1.34133333333333	-2.25533333333333	-2.94333333333333	-2.69566666666667	-0.308	-0.7035	0.1105	0.074	0.1765	-0.2485	-0.568	-0.996	-0.2345	-0.424
"YCR002C"	0.319	0.194	0.125	-1.572	-1.667	-3.669	-5.182	-0.658	-1.575	-1.1235	-1.597	-2.564	-2.9535	-2.7005	-0.728	-1.48	0.136	0.273	0.565	0.727	-0.125	0.308	0.539	0.821
"YCR043C"	0.086	0.074	0.406	-2.955	-2.468	-3.689	-4.19	-1.541	-2.233	-2.015	-2.0825	-1.7505	-1.8875	-1.6275	-0.262	-1.304	0.191	0.318	-0.013	-0.664	-0.506	-1.0	-0.859	-0.701
"YDL055C"	-0.312	-0.633	-0.319	-2.613	-1.051	-3.734	-4.252	-3.202	-4.273	-1.082	-2.236	-2.058	-2.079	-2.985	-0.724	-2.123	-0.065	0.107	-0.097	-1.716	-1.883	-2.138	-1.574	-1.559
"YDL075W"	-0.216	-0.236	0.002	-2.698	-2.441	-2.581	-3.777	-1.791	-1.684	-2.472	-2.785	-2.433	-1.878	-3.427	-0.05	-2.554	0.3565	0.397	0.2965	-1.4965	-1.389	-0.9005	-1.417	-1.221
"YDL082W"	-0.046	-0.069	-0.095	-1.446	-1.723	-3.326	-5.816	-1.18	-2.105	-2.383	-2.182	-2.186	-3.001	-3.589	-0.412	-1.852	0.368	0.307	0.8725	-1.3425	-1.602	-1.392	-1.0505	-0.6305
"YDL095W"	-0.258	-0.236	-0.529	-1.618	-1.281	-2.026	-3.518	-1.966	-1.783	-0.601	-0.616	-1.633	-0.827	-2.037	-0.109	-1.099	-0.122	0.057	-0.41	-1.258	-1.463	-1.38	-1.628	-0.705
"YDL185W"	-0.509	-0.23	0.087	-0.915	-1.477	-2.522	-4.417	-1.308	-2.012	-0.395	-0.701	-1.557	-2.084	-3.0	-0.061	-0.976	-0.304	-0.221	-0.595	-0.109	-0.122	-0.683	-0.214	0.099
"YDL191W"	-0.011	-0.207	0.014	-1.853	-1.975	-2.737	-5.192	-2.518	-2.408	-1.999	-2.077	-1.362	-1.942	-2.86	0.54	-2.212	0.7115	0.5245	0.582	-0.802	-1.181	-1.296	-0.6115	-1.428
"YDR002W"	0.608	0.459	0.174	-1.992	-1.109	-2.756	-4.542	-1.99	-1.796	-1.309	-0.91	-1.672	-2.746	-2.987	-0.067	-1.802	0.452	0.267	0.415	-0.319	-0.156	0.163	-0.322	0.31
"YDR023W"	-0.192	-0.37	-0.251	-2.164	-2.077	-2.907	-5.745	-1.813	-1.696	-1.553	-2.313	-3.056	-3.357	-3.85	0.234	-2.091	0.03	0.041	-0.012	-1.233	-1.025	-1.05	-1.113	-0.751
"YDR025W"	-0.433	-0.549	-0.273	-2.592	-2.705	-3.393	-6.697	-3.471	-3.326	-1.915	-2.886	-2.503	-2.895	-3.518	-0.468	-1.7675	0.2095	0.205	0.094	-1.351	-1.7015	-0.7175	-1.1715	-1.0745
"YDR064W"	-0.485	-0.444	-0.122	-2.639	-2.597	-3.761	-5.03	-2.511	-2.495	-2.718	-2.943	-2.527	-2.531	-3.199	0.004	-1.996	0.142	0.0105	0.1405	-1.5475	-2.1055	-1.629	-0.8765	-1.2135
"YDR087C"	0.005	-0.738	-0.295	-2.277	-3.312	-3.817	-4.944	-1.204	-1.594	-1.373	-2.022	-1.73	-3.407	-2.893	0.941	-1.782	0.413	0.915	0.196	-1.239	-1.488	-1.543	-0.962	-0.672
