	"116.heat shock 40 min"	"117.heat shock 60 min"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"809.DBY7286 37degree heat - 20 min"	"812.1M sorbitol - 45 min (* centrifugation problem)"	"814.DBYmsn2-4- 37degree heat - 20 min"	"842.1.5 mM diamide (90 min)"	"854.YPD_6_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1010.YPD 4 h (25C)"	"1012.YPD 12 h (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1097.alpha factor release sample020"	"3020.WT vs lpz8 null cells in high Cu"	"5358.1M sorbitol - 5 min"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"6679.trr - 0.1 mM H2O2 - 10 min"	"6685.trr - 0.3 mM H2O2 - 10 min"	"6688.trr - 0.3 mM H2O2 - 30 min"	"8234.dtt 240 min"	"11466.yO1 test hyb"	"12733.Nitrogen Depletion 8 h"	"12734.Nitrogen Depletion 12 h"	"12744.heat shock 17 to 37, 20 minutes"	"17473.Ca+FK 30min (5)"	"17676.Na+FK 45min (4)"	"33779.delYPL230w_stationary_phase_5hours"
"YBR143C"	-1.218	-0.72	-2.238	-2.486	1.0005	0.926	0.849	-0.746	0.1915	-1.084	-0.356	-2.729	-3.195	-4.642	-1.332	-2.033	-2.231	-2.012	-2.112	-0.066	-3.1475	-2.659	-2.698	-2.699	-3.572	-0.028	-0.025	-0.6515	-0.972	-1.381	-1.577	-1.527	-1.134	-1.699	-1.875	-1.91	-1.827	0.277	-1.098	-2.223
"YDR101C"	-1.887	-1.132	-3.74	-3.659	1.358	1.377	1.43	-1.384	-0.271	-1.455	-0.418	-4.306	-4.145	-4.667	-2.997	-3.385	-2.743	-1.752	-2.552	-0.008	-2.52	-2.252	-2.862	-3.177	-3.516	0.474	-0.248	-0.748	-1.252	-1.446	-1.5	-2.224	-1.291	-2.013	-1.935	-1.483	-3.253	-0.676	-2.526	-3.048
"YDR324C"	-1.838	-0.823	-3.184	-3.012	1.059	1.134	0.753	-0.741	-0.453	-1.252	-0.667	-3.361	-1.208	-4.131	-2.225	-2.212	-1.921	-1.118	-1.962	-0.242	-2.573	-1.803	-2.77	-2.306	-3.071	-0.022	-0.553	-0.715	-0.751	-0.545	-1.874	-2.235	-1.45	0.429	-2.031	-1.626	-3.609	-0.983	2.651	-3.2975
"YDR418W"	-1.868	-0.874	-2.789	-3.411	1.215	1.21	1.134	-1.558	0.005	-1.861	-0.535	-3.707	-3.074	-5.866	-2.231	-3.315	-3.181	-2.797	-2.605	0.561	-4.449	-2.82	-2.866	-3.091	-4.066	0.232	0.222	-0.167	-1.816	-1.819	-2.108	-2.892	-1.721	-2.345	-3.879	-2.678	-2.74	-0.004	-1.715	-3.263
"YER162C"	0.505	0.0	1.016	0.848	-0.499	-0.399	-0.293	0.639	0.117	0.259	0.153	2.529	3.374	3.649	1.574	1.514	1.531	1.656	1.782	-0.305	1.282	1.546	2.103	2.72	2.163	0.085	-0.09	0.116	0.411	0.94	0.59	0.521	0.556	1.636	0.702	0.873	1.161	0.1975	0.748	1.959
"YFR031BC"	-1.317	-1.068	-3.278	-3.975	1.232	1.306	0.846	-1.592	-0.473	-2.441	-0.602	-4.567	-4.702	-7.029	-2.484	-3.328	-3.949	-3.594	-3.523	0.464	-4.74	-2.912	-3.164	-3.863	-4.146	0.002	0.092	0.318	-2.031	-1.619	-2.277	-1.831	-2.075	-2.438	-3.692	-2.329	-3.021	-0.227	-2.895	NaN
"YGL076C"	-1.909	-0.949	-2.744	-3.119	1.317	1.147	1.006	-1.533	-0.206	-1.867	-0.559	-3.969	-3.976	-5.667	-2.396	-3.32	-2.996	-2.857	-1.957	0.447	-4.142	-2.648	-2.836	-2.79	-3.782	0.012	0.068	-0.078	-1.755	-2.046	-2.193	-2.361	-2.239	-1.8735	-2.969	-2.237	-2.656	-0.5705	-2.081	-3.347
"YGL171W"	-1.503	-0.799	-3.818	-3.208	1.073	1.03	0.854	-1.398	-0.207	-1.289	-0.833	-5.822	-2.903	-4.649	-3.098	-2.759	-2.384	-1.713	-1.783	-0.567	-3.704	-1.978	-2.292	-3.082	-2.503	0.238	-0.422	0.047	-1.31	-2.198	-2.295	-1.791	-1.607	-1.315	-2.193	-1.389	-3.658	-1.237	-2.994	-3.848
"YGR085C"	-1.491	-0.362	-2.966	-3.664	1.473	1.133	1.122	-1.501	0.434	-1.247	-0.323	-3.713	-3.406	-6.059	-2.19	-3.071	-3.255	-3.013	-2.215	0.219	-4.359	-2.77	-3.306	-3.54	-4.179	0.413	0.361	0.185	-1.815	-1.577	-1.825	-2.233	-1.876	-2.156	-2.722	-2.078	-2.908	-0.76	-1.94	-3.45
"YGR148C"	-1.776	-1.0095	-2.942	-3.2425	1.076	0.859	0.933	-1.796	-0.248	-1.586	-0.604	-3.45	-3.884	-5.757	-2.075	-3.141	-3.011	-2.956	-2.722	0.034	-5.063	-2.896	-3.022	-3.649	-4.092	-0.096	0.201	-0.158	-2.072	-1.298	-1.813	-1.631	-2.548	-2.7095	-3.258	-1.848	-2.591	-0.405	-1.5045	-3.103
"YHR019C"	-1.6775	-0.634	-2.1555	-2.3245	1.111	0.875	0.762	-1.5475	-0.381	-1.811	-0.444	-2.949	-4.051	-5.077	-1.413	-3.299	-2.825	-2.664	-2.76	0.534	-2.07	-2.06	-3.117	-3.721	-4.387	0.063	0.207	0.107	-1.678	-1.208	-1.51	-1.64	-1.344	-1.834	-2.529	-2.505	-2.069	0.169	-1.912	-0.462
"YHR203C"	-1.586	-0.829	-2.8785	-3.5975	1.231	1.011	0.884	-1.815	-0.001	-2.357	-0.487	-3.926	-3.782	-5.944	-2.51	-3.917	-3.774	-3.412	-3.049	0.329	-4.669	-2.591	-2.575	-3.081	-3.941	-0.052	0.242	-0.2	-1.9665	-1.848	-2.181	-1.8	-1.982	-2.302	-3.65	-2.621	-2.809	-0.038	-1.971	-3.717
"YJL069C"	-1.348	-0.6405	-2.9805	-3.0365	1.0	0.854	0.756	-0.4795	-0.739	-0.52	-0.485	-4.742	-3.072	-6.298	-1.977	-1.49	-2.566	-2.033	-1.513	-0.848	-2.694	-1.855	-1.613	-1.653	-2.017	0.334	-0.32	0.171	-0.7605	-0.775	-0.707	-0.751	-0.857	-0.549	-0.92	-0.385	-3.224	-0.049	-1.62	-2.354
"YKR059W"	-1.483	-0.494	-1.475	-1.861	1.161	1.252	0.993	-1.426	0.011	-1.601	-0.015	-2.144	-2.817	-4.998	-1.778	-2.593	-2.103	-2.531	-2.238	0.574	-2.018	-2.106	-2.623	-2.96	-3.568	0.364	0.04	0.257	-1.384	-0.538	-0.837	-0.776	-0.888	-1.996	-1.593	-1.627	-1.94	0.313	-1.975	-2.025
"YLL045C"	-1.781	-0.338	-3.116	-3.722	1.394	1.348	1.206	-1.721	-0.167	-1.94	-0.176	-3.851	-3.857	-6.618	-2.711	-3.169	-3.335	-3.185	-2.744	0.473	-3.66	-2.495	-2.943	-3.021	-3.731	-0.049	-0.06	-0.24	-1.965	-1.813	-1.821	-2.284	-1.957	-2.165	-2.953	-1.749	-3.545	-0.105	-2.44	-3.788
"YLR061W"	-1.602	-1.092	-3.322	-3.851	1.1	1.127	0.696	-0.693	0.056	-1.376	-0.514	-4.925	-4.939	-6.591	-2.641	-3.239	-3.818	-3.021	-3.058	0.0	-4.326	-2.88	-3.309	-3.833	-3.91	0.091	0.195	-0.104	-0.817	-1.988	-2.62	-1.944	-1.984	-2.482	-2.383	-1.368	-2.697	-0.516	-1.463	-4.004
"YLR409C"	-1.59	-0.818	-3.696	-3.852	0.947	0.965	0.864	-0.942	-0.168	-1.006	-0.543	-4.402	-3.204	-4.211	-2.874	-2.308	-2.578	-1.928	-2.361	-0.32	-2.708	-2.286	-2.713	-3.315	-3.47	-0.007	-0.093	-0.394	-1.148	-1.274	-2.097	-1.94	-1.55	-1.502	-2.578	-1.602	-4.473	-0.474	-1.269	-3.231
"YMR309C"	-1.138	-0.864	-2.53	-3.055	1.103	1.08	1.097	-0.348	-0.36	-1.127	-0.695	-3.127	-3.731	-3.516	-1.571	-2.787	-2.363	-1.881	-2.64	0.038	-3.374	-2.303	-3.144	-3.173	-3.384	-0.059	-0.416	-0.835	-0.567	-1.014	-1.37	-1.568	-1.302	-1.607	-2.375	-2.067	-2.63	-0.073	-1.79	-3.181
"YNL096C"	-1.409	-1.02	-2.881	-3.202	1.017	0.749	0.741	-1.149	0.114	-1.516	-0.506	-4.113	-4.038	-6.106	-2.454	-3.331	-3.045	-2.761	-3.165	-0.197	-4.716	-3.041	-3.644	-4.096	-4.68	-0.345	-0.135	0.063	-1.523	-1.928	-2.501	-2.176	-2.448	-2.8625	-3.171	-2.296	-2.812	-0.804	-3.164	-3.087
"YNL301C"	-1.116	-0.609	-2.335	-3.036	1.125	1.063	1.048	-1.64	-0.205	-1.87	-0.619	-2.992	-5.123	-6.272	-2.514	-2.943	-3.585	-3.098	-2.59	0.523	-3.466	-2.781	-2.652	-2.985	-3.448	-0.021	0.277	-0.277	-1.9	-1.604	-2.024	-2.558	-1.909	-2.232	-3.479	-2.389	-2.136	-0.816	-2.257	-4.02
"YOR272W"	-2.034	-1.074	-2.566	1.0	1.2	1.356	0.9675	-1.539	-0.704	-1.462	-0.061	-4.8145	-3.353	-4.712	-2.841	-3.033	-2.763	-1.779	-1.376	0.224	-3.311	-2.009	-3.017	-3.307	-4.52	-0.031	-0.062	-0.256	-1.677	-1.296	-1.385	-1.244	-1.1625	-1.264	-1.505	-1.076	-2.217	-1.207	-2.33	-3.502
"YPL079W"	-1.346	-0.812	-3.115	-3.828	0.688	1.126	0.917	-1.437	-0.123	-1.792	-0.596	-4.616	-3.892	-6.4765	-2.527	-3.085	-3.172	-3.0255	-3.112	0.02	-4.735	-3.087	-3.015	-3.498	-4.547	-0.096	0.053	-0.257	-1.713	-1.29	-2.19	-1.564	-2.1725	-1.673	-3.141	-2.001	-3.135	-0.789	-2.442	-3.573
"YPL090C"	-1.812	-0.769	-3.529	-3.965	0.955	0.871	0.9415	-1.691	-0.55	-1.765	-0.735	-3.9615	-4.364	-6.197	-2.01	-3.398	-3.223	-3.3795	-3.2385	0.066	-5.307	-2.954	-3.292	-3.309	-4.719	-0.415	0.133	-0.082	-1.907	-0.905	-1.712	-1.976	-2.16	-2.061	-3.271	-2.127	-3.272	-1.019	-2.36	-4.101
"YPL198W"	-1.674	-0.712	-3.084	-3.342	1.284	0.94	0.968	-1.187	-0.252	-1.605	-0.513	-4.269	-4.3605	-6.879	-2.7345	-3.4825	-3.3185	-3.022	-2.766	0.494	-3.875	-2.449	-2.487	NaN	-3.133	-0.065	-0.033	-0.16	-1.506	-2.11	-2.305	-2.454	-2.012	-1.633	-2.847	-2.16	-2.581	-0.392	-1.92	-3.4955
