	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"515.2.5mM DTT 045 min"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"813.MHY1 (dun1) + heat 20 min"	"854.YPD_6_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1249.mec1_plus_gamma_5_min"	"1253.mec1_plus_gamma_45_min"	"4872.1M sorbitol - 60 min"	"6344.DES460 + 0.02% MMS - 5 min"	"8210.steady state 33 dec C"	"11466.yO1 test hyb"	"12744.heat shock 17 to 37, 20 minutes"	"14946.Hydrostatic pressure (C2 vs P2)"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33779.delYPL230w_stationary_phase_5hours"	"38155.03II01 batch p11"	"42370.CC PU 3B Phosphate-Uracil Chemostat Comparison"	"42388.CC UL 1A Uracil-Leucine Chemostat Comparison"
"YBL107C"	0.083	0.311	-0.067	-0.288	0.2805	0.73	0.282	0.22	-0.2695	0.745	0.445	-1.316	-0.576	-0.718	-0.353	-0.453	0.984	-0.6345	0.7885	0.717	1.3925	0.1005	0.1835	-0.0145	-0.009	-0.036	0.282	-0.595	0.602	0.063	-0.223	-0.371	0.678	0.266
"YBR106W"	-1.108	-0.822	-1.077	-1.574	0.9	0.365	0.904	1.138	-0.472	-2.949	-3.354	-5.052	-1.132	-2.258	-2.173	-2.595	-2.731	-2.3915	-2.3225	-3.147	-3.2985	0.1585	0.3055	0.066	0.166	0.091	-1.924	-1.451	0.65	-3.114	-2.825	-1.569	0.716	-0.542
"YBR121C"	-1.742	-1.211	-1.752	-2.004	0.801	0.12	0.701	0.752	-1.9015	-2.66	-4.037	-5.791	-1.822	-2.317	-1.95	-2.366	-2.465	-3.2385	-4.1355	-4.173	-4.5985	-0.4165	-0.5445	-0.1215	0.03	0.053	-2.249	-1.964	0.799	-2.549	-2.22	-1.042	0.13	0.271
"YBR143C"	-1.726	-1.355	-2.238	-2.486	1.0005	-0.565	0.926	0.849	-1.229	-2.729	-3.195	-4.642	-1.332	-2.033	-2.231	-2.012	-2.112	-3.1475	-2.698	-2.699	-3.572	-0.5305	-0.2595	0.029	0.012	-0.106	-1.699	-1.827	0.537	-2.722	-2.223	-1.093	0.42	0.08
"YCR034W"	-1.773	-1.028	-1.49	-1.925	1.0075	-0.175	1.011	0.917	-1.6	-2.623	-3.204	-4.331	-2.001	-2.664	-2.639	-1.895	-2.489	-2.5505	-3.0135	-3.2845	-3.3025	-0.815	0.018	0.2975	-0.224	0.107	-1.8	-1.551	0.205	-3.552	-3.478	-1.721	0.817	1.059
"YDL075W"	-1.83	-1.874	-2.777	-2.739	0.784	-0.627	0.749	0.647	-1.375	-2.825	-2.581	-3.777	-1.585	-2.009	-2.729	-1.791	-1.684	-3.016	-2.433	-1.878	-3.427	-0.193	0.075	-0.084	0.335	-0.248	-2.554	-2.202	-1.005	-2.895	-3.17	-1.163	-0.173	1.036
"YDL191W"	-1.918	-1.445	-2.102	-2.434	0.553	0.179	0.722	0.713	-1.739	-1.985	-2.737	-5.192	-1.704	-2.911	-2.813	-2.518	-2.408	-3.616	-1.362	-1.942	-2.86	-0.325	-0.022	0.158	0.194	-0.053	-2.212	-1.898	0.001	-3.35	-3.234	-2.034	-0.075	0.337
"YDR025W"	-2.141	-2.0	-3.031	-3.248	0.692	-0.053	1.014	0.806	-1.284	-3.904	-3.393	-6.697	-2.477	-3.357	-3.356	-3.471	-3.326	-4.504	-2.503	-2.895	-3.518	-0.471	-0.397	-0.035	0.236	-0.508	-1.7675	-3.042	0.0	-4.772	-3.906	-1.814	-0.116	-0.525
"YDR037W"	-2.165	-1.968	-2.701	-2.679	0.71	-0.265	0.672	0.502	-1.316	-4.313	-4.551	-5.224	-0.977	-3.226	-2.505	-2.756	-2.42	-1.971	-2.916	-3.368	-3.772	-0.052	-0.096	-0.13	0.385	0.213	-2.523	-2.354	0.549	-4.284	-4.204	-1.103	-0.309	1.451
"YDR091C"	-2.435	-2.061	-2.869	-2.781	0.962	-0.408	0.996	1.038	-1.404	-3.288	-3.384	-4.4	-2.163	-2.925	-2.268	-2.03	-2.498	-2.971	-2.636	-3.222	-3.423	-1.384	-0.738	0.11	-0.04	0.315	-1.376	-2.972	1.08	-3.117	-2.953	-1.846	-0.319	NaN
"YDR341C"	-1.567	-1.189	-1.645	-1.494	0.688	-0.31	0.703	0.462	-1.863	-3.559	-3.212	-5.262	-1.223	-2.587	-2.171	-2.134	-2.218	-2.942	-3.262	-3.294	-3.559	-0.435	-0.174	0.1	0.023	0.197	-1.562	-1.465	0.547	-1.936	-2.142	-0.837	0.042	0.855
"YDR385W"	-1.709	-1.413	-2.003	-2.553	0.964	-0.079	0.949	0.864	-1.428	-2.252	-3.158	-5.463	-1.589	-2.682	-2.3	-1.065	-2.811	-2.538	-1.848	-2.214	-3.65	-0.71	-0.703	-0.147	0.076	0.325	-1.86	-2.16	0.756	-2.699	-1.626	-2.004	0.313	1.211
"YDR417C"	-2.075	-1.608	-2.715	-3.361	1.045	-0.129	0.832	0.691	-1.709	-3.705	-4.279	-5.062	-2.509	-3.58	-3.209	-2.864	-2.95	-4.223	-2.861	-3.022	-3.606	-0.45	-0.343	0.078	0.515	-0.274	-2.149	-2.642	0.816	-3.553	-3.585	-1.969	-0.069	0.499
