	"410.heat shock 21 to 37, 20 minutes"	"692.DBYyap1- + 0.3 mM H2O2 (20 min)"	"801.Heat Shock 030inutes"	"809.DBY7286 37degree heat - 20 min"	"854.YPD_6_h_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"1018.YPD 13 d (25C)"	"5237.DES460 (wt) - mock irradiation - 5 min"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"6688.trr - 0.3 mM H2O2 - 30 min"	"7763.Na+FK 30min"	"13057.wt/crz1 Na 30min (1)"	"21638..24 mM H2O2- 070 minutes"	"21648..24 mM H2O2- 030 minutes"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"34360.batch 02X25 4"	"38152.03II01 batch p8"	"38155.03II01 batch p11"	"40973.MD_II_100_min"	"42393.L2 CompR 05 hr 58 min Leucine Batch vs Chemostat Comparison"
"YBR048W"	-3.002	-1.564	-0.164	-1.656	-3.385	-5.0065	-1.978	-3.0685	-3.137	-3.295	-3.929	-0.388	-1.792	-1.932	-1.1085	0.545	-2.26066666666667	0.370666666666667	-4.043	-3.545	-4.089	-3.69	-1.681	-0.811	-2.207	-0.831666666666667	-0.718
"YDL191W"	-2.434	-0.796	-1.308	-1.075	-1.985	-5.192	-1.704	-2.911	-2.813	-2.518	-2.86	-0.38	-1.251	-1.568	-0.503	0.6305	-1.461	0.3175	-3.35	-2.399	-3.234	-2.557	-1.532	-0.964	-2.034	-0.86	0.73
"YDR025W"	-3.248	-1.334	-0.98	-1.477	-3.904	-6.697	-2.477	-3.357	-3.356	-3.471	-3.518	-0.638	-1.781	-2.376	-1.467	0.7205	-2.1035	0.279	-4.772	-3.127	-3.906	-3.552	-1.818	-0.719	-1.814	-2.008	-0.808
"YEL046C"	-2.186	-0.519	-0.542	-0.534	-2.11	-4.746	-1.316	-1.962	-1.751	-1.196	-1.163	0.096	-0.645	-1.243	-0.527	0.296	-1.372	0.497	-1.557	-1.283	-1.85	-1.559	-1.174	-0.271	-0.75	-0.276	0.236
"YEL054C"	-3.528	-1.498	-0.445	-1.382	-3.654	-7.056	-2.484	-3.039	-3.52	-3.003	-3.554	-0.688	-1.753	-1.922	-0.831	0.894	-2.3705	0.6745	-4.422	-2.487	-3.815	-2.936	-1.911	-1.071	-1.45	-1.204	-0.72
"YER117W"	-3.056	-0.947	-0.6	-1.481	-2.982	-5.642	-2.458	-3.05	-3.141	-2.843	-2.976	-0.327	-1.753	-1.505	-0.903	0.9375	-2.4815	-0.0975	-3.319	-2.632	-3.238	-3.345	-1.531	-0.879	-2.069	-0.5295	0.469
"YER165W"	-2.742	-0.943	-0.907	-1.253	-1.493	-4.713	-1.656	-2.088	-1.651	-1.618	-2.004	-0.276	-1.536	-0.381	0.109	0.4195	-1.724	0.2245	-2.394	-2.391	-2.173	-1.701	-1.13	0.214	-1.292	-0.2345	-0.77
"YGL123W"	-4.378	-0.641	-1.165	-1.622	-3.781	-5.982	-3.013	-4.112	-3.654	-3.701	-3.558	-0.514	-2.265	-1.724	-1.235	0.634	-2.59	0.065	-4.217	-3.27	-4.123	-3.488	-1.729	-0.728	-2.536	-1.944	-0.299
"YGR027C"	-2.341	-0.715	-0.599	-1.469	-3.433	-5.39	-2.445	-3.005	-2.616	-2.612	-2.368	-0.355	-1.786	-1.552	-0.462	0.796	-2.092	0.059	-2.956	-3.132	-3.188	-2.624	-1.052	-0.44	-1.541	-1.549	0.182
"YIL052C"	-2.972	-1.3865	-1.381	-1.4375	-3.856	-6.278	-2.539	-2.82	-2.793	-2.559	-3.158	-0.392	-1.7635	-2.459	-0.684	0.798	-0.967	0.673	-3.32	-2.562	-2.821	-2.677	-1.331	-0.972	-2.14	-1.332	-0.476
"YJL177W"	-3.7865	-1.46	-1.134	-1.6385	-4.132	-5.49	-2.648	-3.409	-3.772	-3.428	-2.905	-0.537	-1.9425	-2.127	-1.431	0.728	-2.208	0.693	-4.72	-4.004	-4.54	-4.115	-1.853	-0.952	-2.298	-1.949	-0.609
"YLL045C"	-3.722	-1.434	-1.667	-1.721	-3.851	-6.618	-2.711	-3.169	-3.335	-3.185	-3.731	-0.299	-1.965	-2.284	-0.871	0.676	-2.707	0.419	-3.449	-2.833	-3.788	-3.87	-2.053	-0.909	-2.416	-0.728	-0.703
"YLR029C"	-2.238	-1.076	-1.547	-1.373	-3.174	-6.877	-1.294	-2.777	-2.809	-2.78	-2.987	0.084	-1.511	-1.702	0.402	1.238	-1.959	0.721	-3.518	-2.733	-3.637	-2.766	-1.718	-1.402	-2.432	-1.645	-0.37
"YLR061W"	-3.851	-1.067	-1.104	-0.693	-4.925	-6.591	-2.641	-3.239	-3.818	-3.021	-3.91	-0.438	-0.817	-1.944	-1.264	0.736	-2.534	0.724	-2.468	-2.246	-4.004	-2.793	-1.487	-1.279	-2.364	-1.564	-0.378
"YLR388W"	-3.074	-1.48	-0.835	-1.406	-3.12	-5.506	-2.593	-3.204	-3.058	-2.742	-3.193	-0.34	-1.597	-2.41	-0.993	0.593	-1.984	-0.146	-3.674	-2.798	-3.762	-3.521	-1.536	-1.086	-2.133	-1.571	-0.566
"YML026C"	-3.539	-1.399	-1.005	-1.238	-3.811	-5.271	-2.504	-3.779	-3.636	-3.131	-2.821	-0.507	-1.56	-2.281	-1.303	0.533	-2.407	-0.184	-4.522	-3.396	-4.595	-3.765	-1.501	-0.93	-2.439	-1.331	0.124
"YMR142C"	-3.688	-1.264	-1.33	-1.47	-3.579	-6.693	-2.458	-3.048	-3.849	-3.197	-4.248	-0.248	-1.695	-2.359	-1.0	0.65	-1.802	0.713	-4.355	-3.347	-4.039	-3.538	-1.509	-1.003	-2.0	-0.676	-0.986
"YMR143W"	-3.327	-1.509	-1.148	-1.213	-3.748	-4.466	-2.848	-3.563	-3.61	-3.657	-3.545	-0.403	-1.667	-2.072	-1.318	0.774	-2.627	1.439	-4.133	-3.647	-4.75	-3.456	-1.672	-1.148	-2.497	-1.031	-0.259
"YMR242C"	-3.708	-1.335	-1.34	-1.649	-4.702	-6.226	-2.432	-3.832	-4.338	-3.636	-3.475	-0.524	-1.855	-1.87	-1.85	0.63	-2.358	0.165	-4.158	-3.141	-4.607	-3.588	-1.905	-1.214	-2.941	-1.097	-0.467
"YNL069C"	-3.347	-1.367	-0.575	-1.57	-3.663	-4.824	-2.585	-3.44	-3.85	-3.199	-3.665	-0.427	-1.726	-2.065	-0.724	0.608	-3.159	-0.022	-3.601	-3.131	-3.741	-3.469	-1.852	-1.043	-2.983	-0.959	-0.466
"YNL096C"	-3.202	-2.023	-1.018	-1.149	-4.113	-6.106	-2.454	-3.331	-3.045	-2.761	-4.68	-0.806	-1.523	-2.176	-1.25	0.748	-2.244	0.082	-3.52	-2.764	-3.087	-3.372	-2.208	-0.576	-2.045	-1.923	-0.425
"YNL119W"	-3.435	-1.568	-0.946	-1.224	-6.697	-6.231	-2.598	-3.359	-3.366	-2.99	-3.318	-1.116	-1.761	-2.239	-1.18	0.677	-2.984	0.271	-3.587	-2.801	-4.042	-2.748	-1.972	-1.036	-2.566	-2.147	-0.413
"YNL301C"	-3.036	-1.379	-0.806	-1.64	-2.992	-6.272	-2.514	-2.943	-3.585	-3.098	-3.448	-0.307	-1.9	-2.558	-1.098	0.776	-2.966	-0.111	-4.167	-3.163	-4.02	-3.032	-1.771	-0.709	-2.51	-1.675	-0.442
"YPL090C"	-3.965	-1.348	-1.1425	-1.691	-3.9615	-6.197	-2.01	-3.398	-3.223	-3.3795	-4.719	-0.467	-1.907	-1.976	-1.131	0.702	-2.087	0.678	-4.244	-3.265	-4.101	-3.571	-1.747	-1.403	-2.573	-1.352	-0.096
"YPL142C"	-3.225	-0.99	-0.6385	-1.361	-3.1395	-5.604	-2.427	-2.825	-3.3035	-2.8235	-2.979	-0.328	-1.793	-1.579	-0.847	0.62	-2.606	-0.733	-3.763	-3.021	-3.677	-3.278	-1.359	-0.968	-2.419	-1.113	0.134
