	"861.YPD_5_d_30C"	"17017.Cal. State Univ. Stanislaus: Rich vs. Minimal media_Expt2"
"YAL041W"	-2.524	-0.059
"YBL036C"	-2.848	1.687
"YBR028C"	-3.596	-0.185
"YBR075W"	-3.53	0.774
"YBR086C"	-3.741	0.625
"YBR164C"	-3.277	1.595
"YBR205W"	-3.842	1.269
"YBR236C"	-2.682	0.541
"YBR249C"	-6.025	1.282
"YCR002C"	-5.182	2.551
"YCR012W"	-3.015	0.823
"YCR013C"	-5.566	-1.117
"YDL015C"	-4.309	0.991
"YDL145C"	-2.9335	-0.281
"YDL173W"	-1.96	1.099
"YDR023W"	-5.745	3.446
"YDR050C"	-5.94	0.51
"YDR091C"	-4.4	NaN
"YDR103W"	-2.78	-0.659
"YDR177W"	-3.711	-0.14
"YDR211W"	-4.77	0.4075
"YDR235W"	-3.0085	1.045
"YDR237W"	-3.483	0.735
"YDR339C"	-3.903	1.75
"YDR412W"	-3.774	1.185
"YDR454C"	-4.275	1.93
"YDR524C"	-1.806	0.302
"YER036C"	-4.997	1.571
"YER100W"	-1.809	1.359
"YER111C"	-2.6525	0.795666666666667
"YER174C"	-3.918	1.132
"YER177W"	-3.387	0.2515
"YFL018C"	-3.047	0.5015
"YFR002W"	-7.825	0.801
"YFR031C"	-2.572	1.1255
"YGL001C"	-4.137	1.276
"YGL028C"	-3.581	1.631
"YGL099W"	-5.764	0.903
"YGL115W"	-3.416	0.777
"YGL116W"	-1.754	-0.541
"YGR089W"	-3.613	0.598
"YGR092W"	-3.742	1.694
"YGR266W"	-4.267	3.194
"YHL031C"	-2.323	1.019
"YHR005C"	-4.17	1.883
"YHR039BC"	-4.183	-0.648
"YHR049W"	-4.702	2.079
"YHR068W"	-6.532	2.683
"YHR121W"	-4.718	0.49
"YHR190W"	-3.849	1.293
"YHR201C"	-4.155	1.291
"YIL094C"	-5.071	0.645
"YIL096C"	-3.119	1.135
"YIL123W"	-4.259	-0.504
"YIL137C"	-3.334	0.333
"YIL140W"	-2.468	1.07
"YJL107C"	-6.293	-1.056
"YJL124C"	-5.188	1.412
"YJL167W"	-7.538	-1.136
"YJL174W"	-2.868	0.199
"YJL183W"	-4.986	1.335
"YJR006W"	-3.835	0.927
"YJR007W"	-8.057	0.359
"YJR015W"	-2.657	0.914
"YKL024C"	-5.4	1.24
"YKL060C"	-4.684	-0.749
"YKL080W"	-5.94	5.981
"YKL129C"	-2.121	1.26
"YKL135C"	-3.285	-0.819
"YKL159C"	-2.395	0.96
"YKL160W"	-3.378	0.115
"YKL170W"	-2.003	0.717
"YKR001C"	-5.109	0.486
"YKR026C"	-3.755	1.624
"YKR045C"	-1.459	0.061
"YKR059W"	-4.998	1.172
"YKR064W"	NaN	0.991
"YLL033W"	-3.233	0.039
"YLL037W"	-1.999	1.268
"YLR002C"	-4.959	2.135
"YLR026C"	-2.357	0.9
"YLR057W"	-4.294	-0.389
"YLR061W"	-6.591	2.93
"YLR101C"	-3.161	-0.733
"YLR109W"	-4.586	2.081
"YLR172C"	-4.325	-0.464
"YLR208W"	-4.432	0.501
"YLR210W"	-4.137	-1.015
"YLR226W"	-2.826	0.18
"YLR239C"	-2.912	-0.128
"YLR321C"	-3.485	0.8
"YLR397C"	-3.405	0.038
"YLR412W"	-4.156	0.358
"YLR421C"	-1.832	0.042
"YMR005W"	-3.635	0.73
"YMR014W"	-4.826	-0.413
"YMR021C"	-1.784	-0.646
"YMR074C"	-3.406	-0.376
"YMR099C"	-5.036	1.959
"YMR146C"	-4.642	-0.177
"YMR163C"	-2.462	0.554
"YMR220W"	-3.12	-1.4325
"YMR242C"	-6.226	2.334
"YMR308C"	-4.033	1.9
"YNL026W"	-4.57	0.428
"YNL079C"	-4.703	-1.0045
"YNL084C"	-3.396	1.399
"YNL085W"	-5.369	0.741
"YNL113W"	-7.034	-0.2075
"YNL118C"	-5.007	2.4655
"YNL121C"	-4.5485	0.751666666666667
"YNL147W"	-2.664	0.628
"YNL154C"	-3.909	1.5795
"YNL161W"	-2.332	0.8595
"YNL220W"	-6.09	1.942
"YNL261W"	-4.047	1.076
"YNL310C"	-2.534	2.164
"YNL316C"	-3.472	0.779
"YNR010W"	-1.806	0.733
"YOL019W"	-2.434	0.459
"YOL064C"	-2.52	0.905
"YOL077C"	-6.552	1.478
"YOL139C"	-5.5	1.105
"YOR001W"	-4.782	1.585
"YOR260W"	-4.639	0.632
"YOR270C"	-4.932	0.348
"YOR280C"	-4.249	-0.017
"YOR306C"	-3.4875	0.243
"YOR320C"	-3.6785	0.604
"YOR321W"	-3.7905	1.386
"YOR332W"	-3.5655	-0.808
"YOR336W"	-2.029	1.596
"YPL001W"	-4.084	0.87
"YPL034W"	-1.6375	0.764
"YPL127C"	-1.97	1.2735
"YPL141C"	-1.765	1.193
"YPL195W"	-4.488	0.51
"YPR019W"	-3.1305	1.554
"YPR110C"	-6.318	2.592
"YPR142C"	-3.138	1.075
"YPR148C"	-3.536	0.914
"YPR163C"	-5.4905	-1.062
"YPR164W"	-1.652	0.5575
"YPR173C"	-3.6935	1.008
