	"59.alpha factor release sample013"	"598.29 deg growth"	"651.alpha factor release sample019"	"797.Heat Shock 000 minutes (series 3)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1097.alpha factor release sample020"	"1673.alpha factor release sample021"	"2966.WT vs Lpz8 null cells in high Cu-repeat"	"4872.1M sorbitol - 60 min"	"6344.DES460 + 0.02% MMS - 5 min"	"30773.Pomona/Brown Sir3x red"	"40950.H2O2_II_42_min"	"40951.H2O2_II_49_min"	"40956.H2O2_II_100_min"	"40958.H2O2_II_140_min"	"40960.H2O2_II_180_min"	"40965.MD_II_28_min"	"40971.MD_II_77_min"	"40973.MD_II_100_min"	"40975.MD_II_130_min"	"40976.MD_II_140_min"
"YBL027W"	0.0885	0.242	-0.091	1.424	-2.851	-2.474	-2.081	-1.613	-2.0	-1.606	-2.671	-5.577	-2.654	-2.507	-2.33	-3.9845	-2.4005	-2.0465	-1.9795	-2.114	-3.148	-0.497	0.159	0.22	-0.007	0.074	-0.0365	-0.454	-0.6835	-0.404	0.518	0.426	-0.062	-0.975	-1.4445	-0.672	-1.176
"YBL072C"	0.287	0.238	-0.1235	1.296	-3.835	-3.367	-3.036	-2.694	-2.486	-3.041	-3.192	-6.241	-3.401	-3.188	-3.091	-4.1825	-2.5425	-2.5865	-2.5245	-3.2065	-4.2	0.814	0.51	0.101	0.611	0.31	0.135	-1.736	-1.46	-1.006	-0.577	-0.47	0.722	-2.429	-2.113	-1.25	-1.814
"YBL077W"	0.5	0.034	0.1545	0.396	-3.41	-2.161	-1.694	-1.571	-2.021	-1.176	-3.136	-5.081	-2.285	-2.607	-2.667	-2.792	-2.0335	-2.345	-2.816	-3.3595	-3.1945	-0.018	0.1535	-0.052	0.0635	-0.095	0.115	-0.363	-1.252	-0.623	-0.558	-0.229	-0.103	-1.99	-1.725	-1.14	-2.135
"YBR096W"	0.933	-0.034	-0.00999999999999998	-0.537	0.096	-0.147	-0.23	-0.335	-1.618	-0.773	-2.825	-3.347	-1.193	-1.3	-1.672	-0.6475	-1.7275	-1.5245	-1.829	-1.7925	-2.066	1.09	0.2185	0.037	-0.07	-0.019	0.073	0.197	0.225	-0.451	0.095	0.134	-0.136	0.456	-1.097	-0.567	-1.594
"YBR106W"	-0.031	0.207	0.5335	1.138	-2.949	-2.026	-1.695	-1.83	-2.108	-1.986	-3.354	-5.052	-2.173	-2.595	-2.731	-2.3915	-2.0935	-2.137	-2.3225	-3.147	-3.2985	0.141	0.408	-0.152	0.066	0.166	0.118	-0.702	-0.686	-0.557	-0.719	-0.42	-0.783	-1.517	-0.655	-1.147	-2.027
"YBR143C"	-0.032	0.158	-0.347	0.849	-2.729	-2.378	-2.339	-2.197	-1.932	-2.537	-3.195	-4.642	-2.231	-2.012	-2.112	-3.1475	-2.126	-2.659	-2.698	-2.699	-3.572	-0.028	0.3445	0.245	0.029	0.012	0.105	-1.078	-1.155	-0.959	-0.062	-0.22	0.868	-1.869	-1.779	-1.638	-1.243
"YBR189W"	-0.1075	0.48	-0.3475	1.201	-3.784	-3.224	-3.356	-2.463	-2.154	-2.355	-2.065	-4.702	-3.483	-2.334	-2.025	-3.678	-2.629	-2.467	-1.9305	-1.8835	-2.9475	0.044	0.0415	0.136	0.262	0.339	-0.2375	-1.149	-1.2915	-0.9075	-0.0885	0.1725	-0.767	-1.714	-1.891	-1.13	-1.5195
"YBR205W"	-0.054	0.017	0.081	0.571	-0.193	0.27	0.216	-0.253	-0.574	-0.55	-2.047	-3.842	-0.817	-1.164	-1.251	0.2785	-1.74	-0.5585	-0.8785	-1.5345	-2.119	-0.267	-0.0155	0.148	-0.256	-0.089	0.204	0.404	-0.223	0.144	0.46	0.627	-0.015	-1.108	-1.662	-1.441	-0.515
"YBR249C"	0.5575	0.47	0.3425	0.864	-1.844	-0.483	-0.404	-0.479	-0.216	0.351	-3.39	-6.025	-1.506	-1.86	-1.223	-1.6655	-1.147	-1.6935	-2.9975	-3.288	-3.9875	0.067	0.4515	0.188	0.14	0.146	0.225	1.025	-0.215	0.822	0.335	0.965	0.483	-1.88	-1.249	-1.964	-1.166
"YCL053C"	0.072	0.016	-0.493	0.821	-4.013	-2.459	-1.834	-1.096	-0.828	-1.563	-2.481	-4.22	-1.782	-1.345	-1.024	-2.553	-1.597	-1.8505	-1.7235	-2.7635	-2.2165	0.598	0.383	-0.65	-0.1325	-0.114	0.012	NaN	-0.862	-0.07	0.875	1.284	0.405	1.618	1.225	1.443	0.681
