	"40.alpha factor release sample029"	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"117.heat shock 60 min"	"118.heat shock 80 min"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"781.Heat Shock 000 minutes (series 2)"	"824.DY1457 (wild type) 10 uM zinc vs. 3 mM"	"830.1.5 mM diamide (10 min)"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"842.1.5 mM diamide (90 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"859.YPD_2_d_30C"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"961.1 mM Menadione (20 min) redo"	"971.1mM Menadione (40 min) redo"	"975.1 mM Menadione (105 min) redo"	"984.MHY1 (crt1) vs. CRY1 (wild type) - log phase"	"987.constant 0.32 mM H2O2 (50 min) redo"	"1010.YPD 4 h (25C)"	"1011.YPD 8 h (25C)"	"1012.YPD 12 h (25C)"	"1108.DY zap1 3 mM vs. 10 uM zinc #2"	"1251.mec1_plus_gamma_20_min"	"1300.DBY7286 Low-Pi vs. High-Pi"	"1312.diauxic shift timecourse: 13.5 hr"	"1661.1 mM Menadione (50 min)redo"	"2559.29C to 33C - 5 min"	"2560.29C to 33C - 15 min"	"5242.DES460 (wt) - mock irradiation - 90 min"	"5357.1.5 mM diamide (5 min)"	"5358.1M sorbitol - 5 min"	"6672.wt - 0.3 mM H2O2 - 10 min"	"7760.Na 45min"	"7765.Na+FK 60min"	"8233.dtt 120 min"	"12744.heat shock 17 to 37, 20 minutes"	"14711.Ca 5min (1)"	"14712.Ca 15min (1)"	"14946.Hydrostatic pressure (C2 vs P2)"	"15179.Ca 5min (2)"	"15180.Ca 15min (2)"	"15181.Ca 30min (2)"	"15184.Ca+FK 5min (2)"	"15635.Ca+FK 15min (2)"	"17472.Ca+FK 15min (5)"	"17676.Na+FK 45min (4)"	"17677.Na+FK 60min (4)"	"21666..24 mM H2O2- 055 minutes"	"32251.DBY8778_heat_shock2_5min"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33259.delKIN82_heat shock _15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"38152.03II01 batch p8"
"YBR052C"	-0.213	1.956	2.383	2.308	2.693	1.773	1.248	1.25	2.458	2.644	2.777	-0.8605	-0.828	0.037	2.044	2.481	2.397	0.802	3.367	2.503	2.191	1.759	1.166	1.654	2.09	1.318	-0.326	0.432	0.002	-0.2555	0.888	0.548	1.139	2.076	0.216	0.6495	0.731	1.31	0.236	1.394	1.74	0.004	0.795	0.5165	0.4	1.882	1.563	0.759	2.858	1.334	1.888	-0.805	1.399	2.051	1.397	1.729	2.293	2.2435	2.433	2.136	2.23	2.397	2.366	1.303	2.975	2.233	2.176	3.177	2.492	1.662	2.773
"YDR087C"	0.601	-2.034	-3.126	-4.331	-4.143	-1.477	-0.456	-0.35	-2.758	-3.643	-3.468	0.873	1.227	-0.262	-1.63	-2.287	-2.337	-0.179	-4.139	-2.976	-2.337	-1.909	-3.312	-1.846	-2.528	-2.208	-0.086	-0.27	0.147	0.595	-0.187	-0.519	-1.987	-1.886	-0.638	0.069	-1.264	-0.559	0.086	-1.484	-1.345	-0.517	-0.873	0.053	-0.539	-1.68	-2.134	-0.446	-4.13	-0.894	-1.552	0.337	-0.9	-1.728	-1.623	-0.235	-2.177	-2.326	-1.631	-1.654	-0.713	-2.803	-3.928	-2.942	-2.55	-2.338	-2.16	-3.396	-3.436	-2.083	-1.73
"YDR165W"	-0.044	-2.444	-3.154	-3.024	-2.85	-1.603	-0.594	-0.453	-2.419	-2.874	-2.762	0.933	1.095	0.245	-1.089	-2.006	-1.752	-0.352	-4.096	-2.538	-2.179	-2.247	-2.27	-1.82	-3.015	-2.243	-0.065	-0.231	-0.042	0.383	-0.443	-0.088	-1.442	-3.057	-0.459	0.322	-0.679	-0.511	-0.097	-0.967	-0.999	-0.675	-0.479	-0.633	-0.214	-2.129	-1.516	-0.889	-2.787	-0.6505	-0.754	0.776	-0.5935	-1.0895	-0.4735	-1.389	-1.165	-1.116	-1.7495	-2.081	-0.7965	-2.796	-3.068	-1.809	-3.533	-2.479	-2.722	-3.205	-2.632	-2.085	-2.535
"YDR178W"	-0.405	2.331	2.489	2.378	2.252	1.033	0.753	0.692	1.935	2.655	3.122	-1.101	-0.957	-0.082	1.487	1.362	1.111	0.137	4.036	4.991	4.84	4.165	3.684	2.618	2.667	2.86	0.222	0.219	0.455	-0.561	0.712	0.743	0.776	3.646	0.467	0.201	0.656	1.144	0.162	0.72	0.818	0.395	0.817	0.137	0.42	2.168	1.291	0.91	2.656	1.219	1.551	0.426	1.1555	1.4415	1.5505	1.11	1.604	1.442	1.9795	1.755	1.5855	2.978	2.002	1.619	3.174	4.18	4.862	3.685	4.946	4.481	2.491
"YGL111W"	-0.256	-1.886	-2.705	-2.012	-2.506	-1.189	-0.58	-0.325	-2.165	-2.854	-2.867	0.939	0.878	0.11	-1.109	-1.882	-1.684	-0.36	-3.668	-1.845	-1.719	-1.627	-2.081	-1.62	-2.085	-1.026	-0.337	-0.359	-0.583	0.059	-0.445	-0.249	-1.241	-2.617	-0.652	-0.062	-0.939	-0.04	-0.288	-1.071	-1.036	-0.458	-0.821	-0.267	-0.442	-1.614	-1.56	-0.833	-2.724	-1.083	-1.595	0.5	-1.149	-1.182	-0.844	-0.87	-1.733	-0.936	-1.862	-1.54	-1.469	-2.854	-3.188	-2.001	-2.456	-2.663	-2.385	-3.063	-1.924	-1.524	-0.847
"YGR123C"	0.001	-1.982	-3.5875	-2.638	-3.2965	-1.9375	-0.695	-0.732	-3.0495	-4.1895	-3.748	1.116	0.996	0.264	-0.857	-1.835	-1.517	-0.363	-4.447	-2.7	-2.234	-2.041	-2.224	-1.859	-2.878	-2.97	-0.044	-0.07	-0.286	0.271	-0.596	0.278	-0.839	-2.118	-0.649	0.135	-0.54	-0.587	-0.283	-0.416	-0.946	0.127	-0.23	0.051	-0.015	-1.73	-1.535	-1.262	-4.594	-1.332	-1.682	0.848	-1.448	-1.8045	-0.917	-1.044	-1.537	-1.606	-2.099	-1.394	-1.2655	-2.047	-2.795	-1.547	-2.966	-2.403	-3.664	-3.836	-3.389	-2.052	-1.318
"YGR194C"	-0.099	2.86	3.229	NaN	2.5445	1.3745	1.007	1.019	2.0745	2.773	2.7325	-1.649	-1.777	-0.129	1.556	1.892	1.643	0.028	4.003	2.833	2.612	2.036	1.925	2.661	2.62	1.158	0.196	0.144	0.294	-0.99	1.107	0.25	0.663	1.244	1.15	-0.026	0.778	0.907	-0.072	2.228	1.345	-0.011	0.994	-0.094	0.291	2.079	2.027	0.939	3.219	1.414	1.793	-0.33	1.835	1.848	1.07	1.394	2.398	2.295	1.954	2.186	2.408	3.101	2.234	1.103	2.303	3.239	2.701	4.12	2.96	2.149	2.378
"YHR052W"	-0.409	-3.848	-4.2445	-2.638	-3.5175	-2.1725	-0.9	-0.6865	-3.5215	-4.3935	-3.9395	0.714	1.339	0.332	-1.274	-1.975	-1.663	-0.397	-4.199	-3.017	-2.239	-2.075	-2.282	-2.571	-2.565	-2.428	-0.281	-0.131	-0.18	0.508	-0.496	-0.376	-1.364	-3.435	-0.511	0.496	-0.771	-0.675	-0.016	-1.274	-2.71	-0.637	-0.72	-1.254	-0.244	-2.621	-2.298	-1.184	-4.9395	-2.069	-1.76	0.598	-1.675	-2.126	-1.241	-1.334	-1.849	-1.695	-2.641	-2.604	-1.918	-2.268	-2.827	-1.875	-2.212	-1.892	-3.411	-3.47	-2.114	-2.463	-2.249
"YKL085W"	-0.201	2.143	2.516	2.6	2.611	1.579	0.986	0.509	1.578	2.557	2.992	-0.951	-0.592	0.058	1.619	1.869	1.498	-0.09	4.338	4.621	4.735	3.853	3.112	2.486	2.52	2.675	0.204	0.006	0.255	-0.563	0.772	0.758	1.673	3.733	-0.168	0.154	1.06	1.153	-0.181	1.43	1.188	-0.188	0.727	0.511	0.561	1.354	1.179	0.35	2.286	1.062	1.204	-0.058	0.573	1.57	0.724	1.168	1.494	1.874	0.979	1.404	2.354	1.325	1.868	1.741	2.442	3.126	3.575	2.917	3.615	3.704	2.809
"YKL091C"	-0.042	3.351	4.009	3.776	3.851	2.35	1.209	1.116	2.683	3.567	3.623	NaN	-1.63	0.06	1.543	2.351	2.383	0.246	5.27	3.548	3.187	3.034	2.535	3.109	3.432	2.619	1.43	1.432	1.373	-0.836	1.82	0.412	1.083	3.642	1.042	0.087	0.869	0.9	1.007	NaN	2.0	0.138	0.677	1.066	0.577	3.059	3.043	0.589	3.699	2.098	2.411	-0.226	2.025	2.836	2.329	2.41	2.549	3.123	3.564	3.452	2.785	2.005	3.205	2.553	2.597	3.707	2.805	4.146	3.248	2.188	3.315
"YKL150W"	-1.53	2.809	2.913	3.192	3.05	1.553	0.969	1.177	2.55	3.068	2.915	-1.028	-1.13	-0.078	1.577	2.049	1.842	0.601	3.989	3.734	3.947	3.273	2.136	1.844	1.457	1.741	1.03	1.273	0.975	-0.691	1.713	0.772	2.007	4.228	0.916	0.403	0.827	0.661	0.777	1.543	1.66	0.42	0.793	0.564	0.498	2.546	2.342	0.786	2.857	1.883	1.898	-1.002	1.63	2.161	1.746	2.579	3.03	3.16	2.889	3.827	1.702	1.699	2.259	1.645	2.22	2.7	3.344	4.12	3.616	3.503	2.817
"YLR435W"	-0.042	-2.312	-2.95	-1.708	-2.628	-1.607	-0.262	0.2	-2.012	-2.917	-2.415	1.251	1.0	0.359	-1.276	-1.935	-1.756	-0.363	-4.216	-2.534	-2.556	-2.839	-2.684	-2.373	-1.506	-2.134	-0.806	-0.516	-0.601	0.41	-0.916	-0.613	-1.227	-2.605	-0.187	0.129	-0.69	-0.754	-0.27	-1.163	-1.039	-0.776	-0.742	-1.092	-0.638	-2.747	-2.588	-0.745	-3.297	-1.721	-1.63	0.238	-1.722	-1.86	-1.038	-1.302	-1.628	-1.873	-2.285	-2.143	-1.655	-2.429	-2.231	-2.112	-2.319	-2.298	-2.662	-4.563	-2.595	-2.03	-1.753
"YLR449W"	0.413	-1.748	-3.266	-3.157	-2.903	-1.724	-0.561	-0.672	-3.009	-3.738	-3.97	0.94	1.105	0.281	-1.465	-2.105	-2.712	-0.707	-6.206	-3.515	-3.262	-2.978	-3.758	-0.65	-2.597	-2.104	-0.621	-0.815	-0.884	0.394	-0.897	-0.378	-2.053	-3.782	0.003	-0.489	-0.939	-1.016	-0.522	-0.213	-1.405	-0.348	-0.806	-0.193	-0.133	-2.384	-2.619	-1.475	-4.241	-1.28	-2.205	1.186	-1.303	-1.937	-2.254	-1.674	-2.384	-2.546	-2.406	-2.76	-1.846	-3.053	-5.408	-2.249	-2.699	-3.658	-2.81	-4.694	-2.945	-2.791	-1.626
