	"39.alpha factor release sample027"	"53.Elutriation2:Sample2:Time2.0hrs"	"54.Elutriation2:Sample2:Time2.5hrs"	"55.Elutriation2:Sample2:Time3.0hrs"	"58.Elutriation2:Sample2:Time5.0hrs"	"103.alpha factor release sample026"	"104.alpha factor release sample024"	"410.heat shock 21 to 37, 20 minutes"	"632.Elutriation2:Sample2:Time4.5hrs"	"815.1M sorbitol - 15 min"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"984.MHY1 (crt1) vs. CRY1 (wild type) - log phase"	"1012.YPD 12 h (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1099.alpha factor release sample030"	"1103.alpha factor release sample028"	"1107.alpha factor release sample025"	"1258.DBYyap1 + 37degree heat (repeat)"	"1313.diauxic shift timecourse: 20.5 hr"	"6377.constant 0.32 mM H2O2 (40 min) rescan"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8197.steady state 25 dec C"	"8234.dtt 240 min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34362.batch 02X25 5"	"34365.batch 02X25 6"	"34368.batch 02X25 7"	"38155.03II01 batch p11"	"42066.U3Comp 25 hr 55 min Uracil Batch vs Chemostat Comparison"
"YDL082W"	0.138	0.724	0.906	0.846	0.445	-0.105	-0.11	-2.521	0.44	-0.943	-3.326	-5.816	0.403	-2.915	-2.383	-2.182	-2.186	-3.001	-3.589	0.168	0.344	0.068	-1.523	-1.657	-0.793	-1.349	-1.263	0.511	-2.035	-4.398	-3.698	-2.463	-4.518	-3.314	-3.014	-3.155	-2.944	-4.311	-2.869	-1.51	1.852
"YDR025W"	0.551	0.868	0.945	0.819	0.466	0.296	0.003	-3.248	0.731	-1.174	-3.393	-6.697	0.188	-4.504	-1.915	-2.886	-2.503	-2.895	-3.518	0.2	0.645	0.181	-1.702	-1.887	-0.9345	-1.45	-1.463	0.304	-2.304	-4.772	-3.127	-2.93	-3.906	-3.552	-2.869	-2.535	-2.458	-3.528	-2.366	-1.814	1.114
"YER131W"	0.323	1.12	1.102	0.926	0.733	0.242	0.098	-3.29	0.503	-0.663	-3.664	-6.55	0.564	-4.139	-2.2	-2.498	-2.105	-2.654	-3.304	0.196	0.103	0.356	-1.342	-2.083	-1.02	-2.595	-2.302	0.715	-2.392	-3.884	-3.237	-2.657	-3.578	-4.068	-2.732	-3.858	-2.465	-3.708	-3.24	-2.437	1.999
"YGL123W"	0.754	1.172	1.132	1.216	0.361	0.772	0.438	-4.378	0.584	-1.415	-4.004	-5.982	0.709	-3.511	-2.414	-2.278	-2.388	-2.65	-3.558	0.551	0.576	0.497	-2.041	-1.703	-1.274	-2.138	-2.024	0.538	-1.983	-4.217	-3.27	-2.813	-4.123	-3.488	-2.693	-2.743	-2.814	-3.674	-2.831	-2.536	2.245
"YGR289C"	-0.286	-0.621	-0.58	-0.376	-0.123	-0.177	0.101	1.6355	0.195	0.199	2.956	1.322	-0.52	2.822	2.371	2.278	3.52	3.978	2.396	-0.11	-0.488	-0.385	-0.459	1.433	-2.154	0.729	0.934	-0.522	0.613	3.924	3.187	2.322	4.308	3.322	2.465	2.479	5.108	6.131	5.263	5.123	-2.326
"YHR216W"	-0.079	0.819	0.93	0.627	0.592	-0.08	-0.055	-2.8755	0.481	-0.886	-3.15	-4.943	0.247	-2.554	-2.088	-2.767	-2.237	-2.621	-2.913	-0.029	0.216	-0.225	-0.969	-1.848	-1.262	-1.652	-1.444	0.323	-0.896	-2.109	-3.074	-2.509	-3.001	-2.823	-2.765	-2.773	-3.04	-4.037	-3.688	-3.107	2.307
"YIL133C"	0.628	0.739	0.08	0.154	-0.148	0.496	0.242	-3.811	0.095	-1.838	-2.693	-5.79	0.405	-4.433	-2.465	-2.757	-2.615	-3.007	-3.393	-0.115	0.24	0.204	-1.592	-1.852	-1.433	-2.453	-1.872	0.612	-2.404	-4.387	-3.183	-2.607	-4.098	-3.154	-2.466	-3.633	-2.461	-3.117	-2.441	-2.158	1.931
"YLR185W"	0.24	0.224	0.161	-0.018	-0.038	-0.138	-0.145	-2.948	0.481	-1.103	-2.578	-5.928	0.58	-4.019	-2.136	-2.209	-2.015	-2.479	-3.065	0.015	-0.137	0.197	-1.699	-1.487	-1.09	-2.083	-1.909	0.258	-2.242	-3.712	-3.007	-2.345	-3.488	-3.242	-2.643	-3.35	-2.749	-3.237	-3.05	-2.145	1.333
"YLR340W"	0.472	0.644	0.749	0.619	0.285	0.11	-0.041	-1.892	0.756	-1.005	-4.11	-6.819	0.459	-3.499	-2.703	-2.701	-2.702	-3.206	-4.105	0.127	0.403	0.223	-2.125	-2.387	2.101	-1.445	-1.663	0.627	-1.639	-4.14	-3.346	-3.304	-3.405	-3.289	-2.708	-3.543	-2.351	-3.888	-2.955	-2.45	1.798
"YLR388W"	0.504	0.751	0.79	0.559	0.738	0.151	0.123	-3.074	0.473	-0.766	-3.596	-5.506	0.583	-4.025	-2.671	-2.555	-2.232	-2.581	-3.193	0.123	0.184	0.289	-1.558	-1.452	-0.443	-1.874	-2.12	0.529	-1.953	-3.674	-2.798	-2.25	-3.762	-3.521	-2.816	-2.864	-2.347	-3.334	-2.537	-2.133	1.769
