	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"42400.L2 CompR 12 hr 03 min Leucine Batch vs Chemostat Comparison"	"42401.L2 CompR 12 hr 59 min Leucine Batch vs Chemostat Comparison"	"42402.L2 CompR 24 hr 59 min Leucine Batch vs Chemostat Comparison"
"YGR084C"	-1.586	-3.069	-1.647	-1.704	-1.762	1.073	0.787	1.071
"YGR085C"	-3.406	-6.059	-3.306	-3.54	-4.179	1.099	1.115	1.098
"YGR117C"	-1.454	-2.599	-0.7	-1.404	-1.409	0.118	0.235	0.117
"YGR135W"	-1.553	-4.32	-1.689	-1.765	-1.935	0.816	0.797	0.815
"YGR173W"	-2.218	-3.699	-1.919	-1.996	-2.168	0.75	0.485	0.749
"YGR214W"	-3.03	-5.16	-0.955	-1.925	-3.246	1.504	1.725	1.503
"YHL030W"	-1.9605	-1.738	-1.606	-1.5635	-1.8035	1.5465	1.724	1.5455
"YHL033C"	-3.984	-6.65	-2.601	-2.923	-4.209	1.327	1.36	1.326
"YHR027C"	-0.6875	-2.319	-0.9195	-1.3025	-1.7235	1.221	1.094	1.22
"YHR068W"	-4.28	-6.532	-2.724	-3.669	-3.425	1.137	1.288	1.136
"YHR133C"	-1.885	-3.501	-1.64	-1.82	-2.45	0.486	0.34	0.485
"YHR190W"	-1.807	-3.849	-1.054	-1.59	-1.725	0.107	0.179	0.106
"YHR201C"	-1.811	-4.155	-1.103	-1.632	-2.134	0.249	0.105	0.248
"YHR203C"	-3.782	-5.944	-2.575	-3.081	-3.941	1.295	1.409	1.294
"YIL018W"	-3.492	-5.749	-2.661	-3.27	-3.914	1.737	2.013	1.736
"YIL021W"	-1.965	-3.289	-1.2	-1.693	-1.565	0.423	0.62	0.422
"YIL052C"	-2.895	-6.278	-2.162	-2.5	-3.158	1.146	1.13	1.145
"YIL133C"	-2.693	-5.79	-2.615	-3.007	-3.393	1.164	1.191	1.163
"YJL001W"	-1.217	-4.027	-1.137	-1.689	-1.304	1.09	0.931	1.089
"YJL002C"	-2.469	-4.487	-1.748	-2.556	-2.618	0.646	0.883	0.645
"YJL097W"	-2.596	-4.683	-1.461	-2.558	-2.276	0.8635	1.039	0.8625
"YJL138C"	-3.125	-5.625	-2.542	-2.785	-3.522	1.392	1.401	1.391
"YJL177W"	-3.255	-5.49	-1.768	-2.278	-2.905	1.112	1.471	1.111
"YJL188C"	-2.786	-4.633	-2.169	-2.54	-2.776	1.151	1.349	1.15
"YJL189W"	-2.901	-4.28	-1.577	-2.282	-2.837	1.188	1.408	1.187
"YJL191W"	-2.009	-3.556	-0.939	-1.399	-2.138	0.285	0.446	0.284
"YJR007W"	-3.21	-8.057	-2.909	-3.009	-3.616	0.569	0.757	0.568
"YJR016C"	-2.006	-5.079	-0.939	-1.747	-2.976	-0.116	0.088	-0.117
"YJR047C"	-1.06	-3.054	-0.66	-1.285	-2.504	0.878	1.729	0.877
"YKL056C"	-3.426	-5.119	-2.754	-3.265	-3.483	1.89	2.174	1.889
"YKL068W"	-1.98	-3.325	-1.121	-1.563	-1.621	-0.06	0.332	-0.061
"YKL135C"	-1.794	-3.285	-1.053	-1.318	-1.663	-0.343	-0.334	-0.344
"YKL145W"	-1.469	-3.898	-0.904	-1.615	-1.832	0.943	1.366	0.942
"YKL179C"	-1.527	-3.305	-0.951	-1.676	-1.88	-0.22	-0.158	-0.221
"YKL180W"	-2.561	-5.237	-2.059	-2.04	-2.857	1.086	1.261	1.085
"YKL190W"	-1.685	-3.414	-0.351	-0.594	-1.0	0.43	0.338	0.429
"YKR026C"	-2.863	-3.755	-1.858	-2.363	-2.231	0.915	0.911	0.914
"YKR028W"	-2.477	-4.381	-1.296	-1.963	-2.574	-0.068	0.257	-0.07
"YKR057W"	-2.2	-3.461	-1.161	-1.048	-2.496	1.358	1.501	1.357
"YLL011W"	-1.781	-4.961	-2.156	-2.442	-2.375	0.778	0.882	0.777
"YLL044W"	-3.79	-6.48	-2.724	-3.494	-3.967	1.125	1.296	1.123
"YLL045C"	-3.857	-6.618	-2.943	-3.021	-3.731	1.273	1.48	1.272
"YLR029C"	-3.615	-6.877	-2.242	-2.378	-2.987	0.589	1.114	0.588
"YLR066W"	-1.805	-4.153	-1.092	-1.743	-2.746	-0.231	0.002	-0.232
"YLR129W"	-2.877	-4.914	-2.714	-2.42	-3.068	0.451	0.873	0.45
"YLR185W"	-2.578	-5.928	-2.015	-2.479	-3.065	0.641	1.041	0.64
"YLR208W"	-1.968	-4.432	-1.898	-2.183	-2.499	0.544	0.573	0.543
"YLR293C"	-3.488	-6.281	-2.379	-3.03	-3.186	1.196	1.606	1.195
"YLR333C"	-3.011	-5.863	-1.584	-2.45	-2.848	1.154	1.602	1.153
"YLR340W"	-4.11	-6.819	-2.702	-3.206	-4.105	0.617	1.026	0.616
"YLR359W"	-2.567	-5.36	-1.039	-1.681	-1.828	2.419	2.778	2.418
"YLR432W"	-3.532	-5.65	-1.934	-2.482	-3.034	2.546	2.823	2.545
"YLR448W"	-3.552	-5.971	-2.668	-3.192	-4.132	0.724	1.152	0.723
"YML018C"	-2.284	-3.383	-1.452	-1.922	-2.274	1.009	1.25	1.008
"YML073C"	-3.862	-6.033	-2.401	-2.624	-3.718	0.84	0.91	0.839
"YML093W"	-2.962	-5.889	-2.547	-2.745	-3.262	0.189	1.337	0.188
"YMR049C"	-4.225	-9.471	-3.3	-3.396	-4.217	0.933	0.936	0.931
"YMR091C"	-1.458	-4.005	-1.396	-2.09	-2.24	0.37	0.898	0.369
"YMR149W"	-1.442	-3.396	-0.825	-1.112	-1.653	-0.076	0.24	-0.077
