	"854.YPD_6_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"1012.YPD 12 h (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1107.alpha factor release sample025"	"2556.Hypo-osmotic shock - 45 minutes"	"2557.Hypo-osmotic shock - 60 minutes"	"6344.DES460 + 0.02% MMS - 5 min"	"8287.mcm1-1 + pRS315 vs. mcm1-1 + pRS-MCM7"	"16338.DES460 vs. DES460 YPD log phase control"	"40951.H2O2_II_49_min"	"40952.H2O2_II_56_min"	"40954.H2O2_II_70_min"	"40959.H2O2_II_160_min"	"40967.MD_II_42_min"	"40970.MD_II_63_min"	"40972.MD_II_85_min"	"40976.MD_II_140_min"
"YEL054C"	-3.654	-1.871	-1.511	-2.981	-2.98	-7.056	-3.039	-3.52	-3.347	-2.504	-3.005	-3.554	0.369	0.894	0.945	0.346	0.343	-0.136	-1.233	-1.5205	-1.492	0.2025	-0.223	-0.706	-1.4465	-1.677
"YER074W"	-3.675	-2.262	-2.096	-2.671	-3.067	-3.854	-3.085	-3.135	-5.146	-2.339	-2.829	-3.947	-0.016	0.592	0.625	-0.062	0.405	-0.248	-2.139	-2.597	-1.682	-1.307	-0.237	-0.746	-0.195	-0.503
"YER102W"	-3.932	-2.924	-2.3	-2.578	-3.64	-6.434	-3.101	-3.625	-4.286	-2.579	-3.326	-3.859	0.501	0.413	0.338	0.334	0.564	-0.107	-0.956	-1.374	-1.27	0.044	0.278	-1.175	-0.992	-1.074
"YER126C"	-4.455	-1.898	-1.167	-2.335	-2.608	-5.367	-2.355	-2.036	-2.303	-1.575	-2.584	-2.842	0.197	0.46	0.27	0.017	0.105	-0.131	-2.043	-2.284	-1.8395	-0.929	-1.3495	-1.8555	-1.6975	-1.029
"YER131W"	-2.813	-2.3	-1.895	-2.47	-3.664	-6.55	-2.621	-2.795	-4.139	-2.105	-2.654	-3.304	0.356	0.521	0.469	0.281	0.56	-0.0275	-0.727	-1.0635	-1.2365	0.7265	-0.1435	-0.95	-1.25	-0.9915
"YFL045C"	-2.266	-1.88	-1.85	-2.231	-2.163	-4.897	-2.591	-2.185	-2.228	-1.923	-2.307	-2.378	0.532	0.046	0.061	0.236	0.741	0.3795	-1.229	-1.708	-0.0625	-0.211	-0.1125	-0.471	0.4645	-0.783
"YGL031C"	-3.366	-2.9	-1.846	-3.104	-3.683	-5.763	-3.041	-2.881	-5.191	-2.92	-3.061	-3.473	0.308	0.343	0.476	0.194	0.663	-0.134	-1.701	-1.852	-1.793	0.322	-1.168	-1.243	-1.792	-1.852
"YGL076C"	-3.969	-2.564	-2.446	-2.401	-3.976	-5.667	-3.32	-2.996	-4.142	-2.836	-2.79	-3.782	0.275	0.661	0.609	0.104	0.565	0.2195	-0.9825	-1.4705	-1.2665	-0.4815	-0.3525	-1.187	-0.865	-0.0545
"YGL097W"	-1.806	-1.469	-1.88	-2.214	-3.311	-5.124	-1.704	-1.407	-0.928	-1.203	-1.641	-1.241	0.101	0.142	0.2	0.173	0.308	-0.219	-1.137	-1.484	-1.301	-0.839	-0.94	-1.365	-1.844	-1.776
"YGL099W"	-3.43	-1.774	-2.004	-2.335	-2.895	-5.764	-2.454	-1.59	-2.755	-2.516	-3.273	-3.42	0.124	0.164	-0.031	-0.013	0.335	-0.541	-3.014	-2.756	-1.175	-1.319	-1.394	-1.837	-1.496	-1.769
"YGL102C"	-3.419	-1.973	-2.112	-2.356	-2.658	-5.65	-3.301	-3.227	-3.32	-1.199	-1.938	-2.13	0.086	0.255	0.167	0.021	0.278	0.104	-1.621	-1.344	-1.155	-0.419	-0.388	-0.157	-1.452	-1.511
"YGL157W"	-3.669	-4.456	-3.853	-3.767	-3.578	-6.107	-1.481	-1.996	-1.941	-2.488	-2.817	-3.666	0.035	-0.865	-0.991	0.099	-0.137	0.103	0.814	1.525	1.039	-0.484	-0.736	-0.01	1.282	-0.288
"YGR027C"	-3.433	-1.632	-1.57	-1.697	-2.797	-5.39	-3.005	-2.616	-4.002	-1.187	-1.867	-2.368	0.162	0.467	0.315	0.319	0.595	0.224	-1.388	-1.793	-1.314	-0.307	-0.286	-1.135	-2.062	-1.517
"YGR034W"	-3.922	-2.637	-2.107	-2.998	-3.052	-6.281	-3.268	-2.935	-3.635	-1.301	-1.401	-2.48	0.29	0.14	0.207	0.21	0.399	0.369	-1.818	-2.289	-2.18	-0.585	-0.998	-1.393	-2.182	-2.171
"YGR175C"	-1.507	0.64	0.235	-1.083	-3.074	-4.5	-1.675	-0.985	-1.38	-2.53	-2.628	-3.285	-0.233	0.46	0.334	-0.2115	-0.032	0.2775	-2.34	-2.355	-1.8925	-0.4775	-2.159	-1.1025	-1.387	-1.5295
"YGR214W"	-4.3	-2.24	-1.862	-2.776	-3.03	-5.16	-3.581	-2.953	-4.842	-0.955	-1.925	-3.246	0.302	0.508	0.448	0.356	0.785	-0.009	-2.207	-2.933	-2.636	-0.48	-1.398	-1.289	-1.54	-2.448
"YGR265W"	-1.633	-1.777	-2.017	-2.576	-2.202	-3.223	-2.473	-1.883	-2.827	-2.824	-2.827	-2.343	0.01	0.365	0.184	-0.027	0.122	-0.1	-1.143	-1.902	-2.159	0.138	0.218	-0.213	0.583	-0.747
"YHR010W"	-3.693	-2.926	-2.458	-3.025	-3.508	-4.514	-3.343	-3.288	-4.159	-1.71	-2.032	-2.684	0.271	0.183	0.332	0.2475	0.524	-0.324	-1.856	-2.995	-2.728	-0.418	-1.448	-1.908	-2.908	-2.436
"YHR013C"	-1.474	-1.166	-1.491	-2.469	-1.576	-3.226	-1.515	-1.476	-0.815	-2.229	-2.475	-3.122	-0.164	0.021	0.049	0.0185	0.031	-0.143	-0.487	-0.679	-1.125	-0.521	0.176	0.259	0.342	-0.295
"YHR019C"	-2.949	-1.467	-1.831	-2.048	-4.051	-5.077	-3.299	-2.825	-2.07	-3.117	-3.721	-4.387	0.046	0.417	0.408	0.0315	0.141	-0.48	-0.817	-1.348	-1.122	-0.303	-1.255	-1.115	-1.875	-2.063
"YHR123W"	-1.168	-1.05	-1.555	-1.135	-3.763	-4.132	-1.118	-1.492	-2.216	-2.917	-2.775	-2.647	0.152	-0.305	-0.273	0.0655	-0.118	0.101	-0.276	0.176	0.344	-0.273	0.311	0.669	1.696	0.173
"YHR203C"	-3.926	-2.671	-2.372	-2.895	-3.782	-5.944	-3.917	-3.774	-4.669	-2.575	-3.081	-3.941	0.219	0.323	0.318	0.204	0.251	-0.117	-2.535	-3.044	-1.406	-0.832	-1.025	-1.873	-0.82	-2.356
"YIL016W"	-1.538	-1.288	-1.677	-1.16	-3.214	-4.374	-1.557	-2.236	-1.145	-1.401	-2.123	-1.503	0.087	-0.154	-0.107	0.039	0.166	0.067	1.291	1.223	1.244	-0.138	1.171	1.219	1.12	1.004
"YIL018W"	-4.365	-2.724	-2.488	-2.78	-3.492	-5.749	-3.362	-3.505	-3.907	-2.661	-3.27	-3.914	0.301	0.32	0.229	0.074	0.56	-0.559	-2.277	-2.962	-2.573	-1.131	-1.226	-1.868	-1.919	-2.409
"YIL052C"	-3.856	-2.61	-2.22	-3.178	-2.895	-6.278	-2.82	-2.793	-4.174	-2.162	-2.5	-3.158	0.265	0.31	0.411	0.236	0.308	-0.305	-0.908	-1.697	-2.267	0.477	-0.827	-0.897	-0.665	-0.966
"YIL133C"	-3.333	-2.331	-2.167	-2.883	-2.693	-5.79	-2.93	-2.571	-4.433	-2.615	-3.007	-3.393	0.204	0.319	0.363	0.179	0.287	0.196	-2.016	-2.513	-1.664	-0.293	-1.099	-1.316	-0.523	-1.035
"YJR145C"	-4.507	-2.731	-2.328	-2.413	-3.54	-6.528	-3.551	-3.547	-4.857	-2.519	-3.105	-3.178	0.228	0.365	0.336	0.362	0.237	0.044	-1.389	-2.371	-1.045	-1.023	-0.531	-0.347	-2.004	-1.563
"YKL180W"	-2.661	-1.831	-1.633	-1.857	-2.561	-5.237	-2.625	-3.204	-4.629	-2.059	-2.04	-2.857	0.365	0.652	0.577	0.5	0.338	0.049	-1.671	-1.168	-0.677	-0.372	-0.277	-0.533	-0.522	-1.503
"YKR059W"	-2.144	-1.181	-1.543	-1.54	-2.817	-4.998	-2.593	-2.103	-2.018	-2.623	-2.96	-3.568	0.175	0.673	0.499	-0.226	0.514	0.272	-1.632	-2.2	-2.153	-0.776	-1.539	-1.637	-1.401	-1.138
"YLL044W"	-4.871	-2.869	-2.211	-2.963	-3.79	-6.48	-3.313	-3.031	-3.872	-2.724	-3.494	-3.967	0.04	0.256	0.342	0.136	0.456	-0.381	-2.146	-2.632	-0.862	0.627	-0.415	-1.566	-1.711	-1.53
"YLL045C"	-3.851	-2.189	-1.64	-2.221	-3.857	-6.618	-3.169	-3.335	-3.66	-2.943	-3.021	-3.731	0.209	0.593	0.455	-0.056	0.456	-0.345	-1.125	-1.421	-1.948	0.783	-0.398	-0.864	-1.764	-1.572
