	"56.Elutriation2:Sample2:Time3.5hrs"	"497.Heat Shock 000 minutes"	"516.2.5mM DTT 060 min"	"517.2.5mM DTT 090 min"	"684.YP fructose vs reference pool"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"4872.1M sorbitol - 60 min"	"6344.DES460 + 0.02% MMS - 5 min"	"11466.yO1 test hyb"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"28851.P2Comp 11 hr 51 min Phosphate Batch vs Chemostat Comparison2"
"YBL024W"	-0.0463333333333333	1.0735	-0.716	-0.817	0.079	-2.175	-2.483	-4.671	-4.879	-2.238	-2.114	-2.409	-2.147	-2.6055	-3.4875	-3.5465	-3.993	0.065	-0.062	-2.18	-0.008	0.125	0.351
"YBL027W"	0.819	1.4805	0.4	-0.185	0.5675	-2.0	-1.606	-2.671	-5.577	-2.654	-2.507	-2.33	-2.4005	-2.0465	-1.9795	-2.114	-3.148	-0.007	0.074	-1.6965	0.213	0.2665	-1.06866666666667
"YBL056W"	-0.0365	0.2215	-0.117	0.057	-0.1115	-1.107	-1.5	-2.142	-4.006	-0.549	-0.72	-1.127	-0.2685	-0.4785	-1.057	-1.563	-1.749	-0.042	0.142	-0.785	0.021	0.022	1.2935
"YBL057C"	0.2565	0.346	0.433	0.795	0.356	-0.869	-1.672	-2.031	-2.661	-0.87	-1.034	-1.105	-0.8965	-0.5975	-1.502	-1.552	-2.088	0.2105	-0.023	-0.27	0.45	0.575	0.5065
"YBL072C"	0.6855	1.4025	0.065	-0.497	0.5215	-2.486	-3.041	-3.192	-6.241	-3.401	-3.188	-3.091	-2.5425	-2.5865	-2.5245	-3.2065	-4.2	0.611	0.31	-2.524	0.435	0.389	-1.1335
"YBL092W"	0.3545	1.0255	-0.038	0.028	0.498	-2.138	-2.929	-2.896	-5.158	-2.812	-2.665	-2.635	-2.153	-2.4445	-1.726	-2.74	-2.8475	0.097	0.16	-1.555	0.048	0.001	-0.612
"YBR009C"	0.6965	0.7345	0.282	-0.312	-0.0675	-2.427	-1.895	-2.257	-3.789	-1.3	-1.749	-2.326	-1.5	-2.3565	-2.09	-1.6255	-2.119	-0.229	0.24	-1.729	0.292	0.015	-1.2815
"YBR011C"	0.1815	0.4465	0.488	0.207	0.1	-0.977	-1.747	-4.081	-5.344	-0.352	-0.95	-1.407	-0.649	-1.271	-2.3835	-3.0585	-3.4585	0.258	0.327	-1.084	0.313	0.315	-0.2695
"YBR028C"	0.336	0.509	-0.381	-0.602	0.4505	-0.272	0.017	-2.27	-3.596	-0.855	-0.571	-1.294	-0.6465	-0.575	-1.494	-2.3575	-2.334	-0.3005	-0.22	-0.421	-0.025	0.118	-0.543
"YBR034C"	0.0125	1.5795	-0.885	-1.103	0.425	-2.47	-2.349	-1.758	-3.523	-2.144	-2.039	-2.077	-1.9885	-1.729	-2.833	-2.963	-1.668	0.0885	-0.272	-2.008	-0.166	-0.13	-0.76
"YBR048W"	0.732333333333333	1.223	0.0315	-0.6835	0.56	-2.248	-2.2475	-3.0195	-5.0065	-3.137	-3.295	-3.375	-2.77266666666667	-2.738	-2.849	-3.15166666666667	-3.929	0.190666666666667	0.278	-2.013	0.012	0.0853333333333333	-0.57025
"YBR104W"	-0.2465	0.939	-0.341	0.146	0.469	-2.033	-1.017	-1.738	-2.523	-1.405	-0.44	-1.211	-1.6145	-1.902	-1.0695	-1.1435	-1.454	-0.169	0.037	-0.887	0.076	0.104	-0.6815
"YBR118W"	0.967	0.486	0.494	0.484	0.618	-1.283	-1.247	-2.846	-5.272	-1.781	-2.128	-1.73	-1.4355	-1.294	-1.7525	-2.167	-3.221	-0.0625	-0.053	-1.681	0.311	0.295	0.64
"YBR121C"	0.328	0.801	0.33	-0.124	-0.005	-2.186	-2.714	-4.037	-5.791	-1.95	-2.366	-2.465	-2.416	-3.155	-4.1355	-4.173	-4.5985	-0.1215	0.03	-2.249	-0.124	-0.147	-0.6735
"YBR283C"	0.371	0.641	-0.334	-0.19	0.7845	-0.816	-1.137	-1.689	-3.351	-1.494	-1.617	-1.52	-1.4515	-1.437	-1.68	-1.8725	-2.0585	-0.0665	0.096	-0.909	0.054	0.013	-0.487
"YCR002C"	-0.13	0.424	0.516	0.618	-0.0095	-1.572	-1.667	-3.669	-5.182	-0.404	-0.658	-1.575	-1.1235	-1.597	-2.564	-2.9535	-2.7005	0.0355	0.097	-1.48	0.136	0.273	-0.795
"YCR034W"	0.818	1.0075	-0.317	-0.403	0.9755	-1.912	-1.771	-3.204	-4.331	-2.639	-1.895	-2.489	-2.3695	-2.676	-3.0135	-3.2845	-3.3025	0.2975	-0.224	-1.8	0.124	0.109	-0.086
"YCR053W"	-0.075	0.3425	-0.448	-0.497	0.186	-1.707	-1.033	-3.556	-4.283	-2.391	-1.41	-1.635	-1.531	-2.1605	-2.429	-3.1075	-2.714	-0.025	0.175	-1.451	0.123	-0.013	0.101
"YCR081W"	0.175	-0.2375	-0.032	-0.041	-0.2515	0.782	-0.737	-1.585	-3.284	0.123	0.576	0.176	0.0205	0.1005	-0.6835	-1.0555	-0.909	-0.077	-0.036	0.534	0.167	0.224	0.307
"YDL082W"	0.991	0.763	-0.152	-0.89	0.722	-1.446	-1.723	-3.326	-5.816	-3.01	-1.18	-2.105	-2.383	-2.182	-2.186	-3.001	-3.589	0.063	0.34	-1.852	0.368	0.307	-1.4065
"YDL095W"	0.342	-0.469	-0.3	-0.103	-0.248	-1.618	-1.281	-2.026	-3.518	-1.42	-1.966	-1.783	-0.601	-0.616	-1.633	-0.827	-2.037	-0.099	0.185	-1.099	-0.122	0.057	-1.326
"YDL185W"	-0.1	0.036	-0.332	-0.336	0.125	-0.915	-1.477	-2.522	-4.417	-0.619	-1.308	-2.012	-0.395	-0.701	-1.557	-2.084	-3.0	0.074	0.27	-0.976	-0.304	-0.221	-0.808
"YDL191W"	0.297	0.553	0.244	-0.35	0.266	-1.853	-1.975	-2.737	-5.192	-2.813	-2.518	-2.408	-1.999	-2.077	-1.362	-1.942	-2.86	0.158	0.194	-2.212	0.7115	0.5245	-1.457
"YDR002W"	0.767	0.515	-0.412	-0.632	0.206	-1.992	-1.109	-2.756	-4.542	-1.43	-1.99	-1.796	-1.309	-0.91	-1.672	-2.746	-2.987	0.03	-0.207	-1.802	0.452	0.267	-0.866
"YDR025W"	0.514	0.692	-0.283	-0.931	0.058	-2.592	-2.705	-3.393	-6.697	-3.356	-3.471	-3.326	-1.915	-2.886	-2.503	-2.895	-3.518	-0.035	0.236	-1.7675	0.2095	0.205	-0.9625
"YDR037W"	0.056	0.71	-0.445	-0.748	0.361	-3.858	-3.458	-4.551	-5.224	-2.505	-2.756	-2.42	-2.681	-2.313	-2.916	-3.368	-3.772	-0.13	0.385	-2.523	0.064	0.055	-1.531
"YDR101C"	0.108	1.358	-0.608	-0.784	0.278	-2.315	-2.948	-4.145	-4.667	-2.743	-1.752	-2.552	-1.96	-2.252	-2.862	-3.177	-3.516	0.107	-0.233	-2.013	0.204	0.01	-0.165
"YDR174W"	0.541	0.439	0.362	0.678	0.191	-0.831	-0.446	-1.951	-3.526	-0.095	-0.961	-0.668	-0.509	-0.313	-1.209	-1.705	-1.726	0.185	-0.1	-1.288	-0.0475	-0.0755	-0.8895
"YDR189W"	0.135	0.271	0.048	-0.064	-0.055	-0.735	-0.956	-1.871	-2.842	-0.61	-0.824	-1.156	-0.693	-0.704	-1.597	-1.904	-2.063	-0.041	0.053	-0.9815	-0.1815	-0.1255	-0.4425
"YDR257C"	0.022	0.159	-0.482	-0.827	0.0	-1.407	-1.937	-1.609	-2.219	-0.715	-0.481	-0.939	-1.857	-2.467	-1.676	-2.109	-1.779	-0.012	-0.026	-1.555	-0.122	-0.143	-1.168
"YDR321W"	-0.192	0.767	-0.111	-0.205	0.541	-2.84	-3.04	-3.093	-4.43	-3.039	-2.9	-2.71	-2.389	-2.828	-2.704	-2.582	-2.75	-0.017	0.099	-2.035	0.373	0.17	-0.732
"YDR361C"	-0.2165	1.206	-0.56	-0.41	0.39	-1.536	-2.095	-1.945	-3.634	-1.799	-1.299	-1.313	-1.087	-1.208	-1.477	-2.005	-1.44	0.226	-0.074	-1.517	0.298	0.323	-0.987
"YDR454C"	0.416	0.952	-0.268	-0.273	0.668	-1.715	-1.528	-2.876	-4.275	-2.035	-2.414	-2.283	-1.608	-1.534	-1.835	-2.466	-2.28	0.129	-0.106	-1.702	0.439	0.469	-1.276
"YEL054C"	0.96	1.093	0.032	-1.131	0.94	-1.511	-2.981	-2.98	-7.056	-3.52	-3.003	-2.232	-2.777	-2.579	-2.504	-3.005	-3.554	0.091	0.346	-2.202	0.227	0.33	-0.53
"YER025W"	0.305	1.033	-0.002	-0.319	0.443	-1.256	-1.55	-2.274	-4.542	-1.76	-1.79	-1.489	-1.739	-2.023	-1.728	-2.125	-2.385	0.0	0.079	-1.106	0.16	0.01	-0.479
"YER086W"	0.441	0.938	0.264	0.206	0.664	-1.236	-1.424	-3.61	-5.173	-2.152	-2.311	-2.028	-1.847	-1.837	-2.624	-2.882	-3.77	0.09	0.098	-0.886	0.176	0.204	-0.662
"YER102W"	0.852	1.351	0.099	-0.569	0.477	-2.3	-2.578	-3.64	-6.434	-3.625	-3.37	-3.204	-2.613	-2.593	-2.579	-3.326	-3.859	0.299	0.334	-2.388	0.399	0.529	0.385
"YER117W"	0.797	1.276	0.244	-0.045	0.896	-2.008	-1.95	-2.832	-5.642	-3.141	-2.843	-2.483	-2.534	-2.571	-2.312	-2.562	-2.976	0.308	-0.014	-1.876	0.4475	0.465	-1.7515
"YER118C"	0.152	0.606	0.022	0.005	0.528	-0.913	-1.822	-2.598	-3.457	-1.195	-0.87	-1.557	-1.116	-1.35	-1.371	-2.206	-1.965	0.143	0.066	-1.1755	0.06	0.094	-0.4275
"YER131W"	0.7	1.224	0.171	-0.294	0.591	-1.895	-2.47	-3.664	-6.55	-2.795	-2.905	0.589	-2.2	-2.498	-2.105	-2.654	-3.304	0.487	0.281	-2.4735	-0.056	0.0515	-2.167
"YER145C"	0.376	0.644	-0.396	-0.619	0.01	-1.834	-1.544	-3.836	-5.091	-1.118	-0.786	-0.621	-1.863	-1.163	-1.536	-2.549	-2.941	-0.067	-0.068	-1.5505	0.055	0.017	-1.4785
"YFL004W"	-0.195	0.46	-0.092	-0.215	0.068	-0.988	-0.32	-1.866	-3.639	-0.755	-0.677	-0.945	-0.901	-1.486	-1.927	-2.26	-2.284	0.083	0.042	-0.2735	-0.0425	-0.2185	-0.192
"YGL012W"	0.604	0.48	0.026	0.022	0.709	-2.128	-1.968	-3.06	-3.869	-2.067	-2.25	-2.267	-2.143	-2.209	-2.691	-2.742	-2.333	0.083	0.202	-2.108	0.073	0.137	-0.31
"YGL026C"	0.4375	0.429	0.235	-0.16	0.499	-0.768	-0.135	-3.132	-4.669	-1.383	-1.626	-1.543	-0.678	-0.839	-1.868	-2.181	-2.636	0.306	0.025	-1.134	-0.014	-0.096	-1.045
"YGL050W"	0.143	0.55	0.35	-0.189	0.228	-0.71	-1.231	-1.73	-2.381	-0.741	-0.557	-0.638	-0.732	-0.359	-0.824	-0.874	-1.231	-0.311	0.041	-0.706	-0.071	-0.19	-0.6145
"YGL105W"	0.491	0.691	-0.336	-0.45	0.207	-1.362	-1.984	-3.587	-6.011	-1.069	-1.68	-1.068	-1.41	-1.635	-1.622	-1.876	-2.025	-0.409	0.307	-1.57	0.088	0.123	0.6715
"YGL135W"	0.672	1.167	0.179	-0.584	0.657	-2.301	-2.942	-3.418	-5.687	-3.23	-3.119	-2.071	-2.512	-2.692	-2.267	-2.874	-3.825	-0.045	0.176	-2.233	0.551	0.488	-1.1835
"YGL148W"	0.635	1.117	0.277	-0.107	0.38	-1.574	-2.182	-2.826	-3.915	-2.53	-2.64	-1.768	-2.049	-2.327	-1.666	-1.996	2.781	0.038	0.049	-2.275	0.053	0.198	0.676
