	"53.Elutriation2:Sample2:Time2.0hrs"	"58.Elutriation2:Sample2:Time5.0hrs"	"107.heat shock 10 min"	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"802.Heat Shock 060 minutes"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"854.YPD_6_h_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"984.MHY1 (crt1) vs. CRY1 (wild type) - log phase"	"1012.YPD 12 h (25C)"	"1107.alpha factor release sample025"	"2964.WT vs lpz8 null cells in low Cu-repeat"	"2966.WT vs Lpz8 null cells in high Cu-repeat"	"3020.WT vs lpz8 null cells in high Cu"	"4874.1M sorbitol - 90 min"	"6681.trr - 0.1 mM H2O2 - 30 min"	"7528.DBYyap1 0.32 mM H2O2 - 20 min"	"7760.Na 45min"	"8227.dtt 000 min"	"8228.dtt 015 min"	"8229.dtt 030 min"	"12744.heat shock 17 to 37, 20 minutes"	"15180.Ca 15min (2)"	"28843.P2Comp 09 hr 20 min Phosphate Batch vs Chemostat Comparison2"	"28845.P2Comp 09 hr 49 min Phosphate Batch vs Chemostat Comparison2"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33259.delKIN82_heat shock _15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"34360.batch 02X25 4"	"34365.batch 02X25 6"	"38152.03II01 batch p8"	"38153.03II01 batch p9"	"38154.03II01 batch p10"
"YBL028C"	0.7165	-0.0225	-2.119	-2.979	-4.375	-2.151	-1.776	-2.877	-3.969	-3.261	1.0695	1.018	1.059	-0.227	-2.271	-2.02	-4.609	-2.637	-3.002	0.3615	-2.6315	-0.0175	-0.157	-0.32	-0.555	-0.0725	-0.164	-1.904	-2.667	1.146	1.085	0.445	-4.011	-2.745	-1.695	1.063	-2.074	-1.658	-1.038	-2.225	-2.529	-1.888	-1.924	-1.185	-2.42	-1.646	-1.712
"YBL039C"	0.925	-0.028	-4.41	-4.793	-4.124	-2.316	-2.672	-4.307	-4.486	-3.781	1.272	1.424	1.128	0.303	-2.661	-2.891	-3.74	-3.306	-2.736	0.3995	-4.7305	0.173	-0.362	0.069	-0.146	-0.105	-0.259	-1.854	-3.176	1.237	1.247	0.274	-4.956	-3.061	-1.5275	-1.446	-4.509	-3.644	-4.264	-1.635	-3.951	-3.379	-1.908	-2.98	-2.348	-2.194	-2.619
"YBL064C"	-0.5045	-0.577	3.38	3.764	3.794	2.215	2.5	3.768	4.454	4.288	-1.882	-2.098	-2.178	-0.934	3.578	3.372	3.751	2.277	2.713	-1.0065	4.107	0.07	-0.209	-0.363	-0.098	0.9565	1.003	2.189	2.953	-1.415	-1.488	-0.494	4.937	2.729	1.358	0.7065	4.277	3.627	3.707	3.768	4.371	4.314	3.274	3.211	3.589	4.302	3.609
"YBR026C"	-0.5285	-0.2435	1.631	2.326	2.554	1.708	1.669	2.178	2.688	2.577	-0.8265	-0.818	-1.003	-0.145	1.461	1.573	2.537	1.689	1.873	0.179	2.1345	-0.17	0.234	0.377	0.403	-0.1325	0.661	1.25	0.608	-0.212	0.256	0.145	2.948	0.874	0.7985	0.3985	1.969	2.05	2.418	1.372	2.689	2.244	2.409	2.916	2.84	3.377	3.223
"YBR053C"	-0.953	-0.426	2.641	2.944	2.786	2.173	2.121	2.642	3.221	3.327	-1.501	-1.436	-1.726	-0.22	1.621	1.865	2.807	1.393	1.172	-0.568	3.252	0.123	-0.118	0.26	0.324	-0.011	0.402	1.375	1.828	-0.902	-0.921	-0.433	4.137	2.416	0.243	0.4655	2.189	1.539	1.865	2.828	3.16	3.009	2.51	2.683	2.494	2.751	2.266
"YBR056W"	-1.0215	-0.681	2.581	2.937	2.9	1.627	2.04	2.582	3.141	3.008	-1.249	-1.316	-1.433	-0.676	1.974	2.192	3.069	1.46	1.657	-0.4875	2.803	-0.1585	-0.303	0.101	0.178	-0.0365	0.44	2.293	1.753	-1.34	-1.425	-0.888	3.273	2.567	0.606	0.553	2.537	2.012	2.595	2.113	2.66	1.785	2.977	3.53	2.601	0.828	3.286
"YBR149W"	-0.575	-0.4775	1.97	2.19	2.036	1.722	2.101	2.344	2.444	2.594	-0.8185	-0.633	-0.15	-0.251	1.977	2.33	2.663	1.571	0.885	-0.336	2.396	0.043	0.097	0.227	0.171	-0.0755	0.05	1.395	1.811	0.0	-0.145	0.28	2.786	2.535	0.608	0.51	2.639	2.091	2.396	2.402	2.342	1.999	2.274	2.653	2.472	3.024	3.001
"YBR247C"	0.7155	-0.3115	-4.144	-4.052	-3.103	-1.515	-1.73	-2.541	-3.015	-3.19	0.982	0.856	0.852	0.427	-2.334	-2.222	-3.42	-2.429	-3.12	0.206	-3.3455	-0.0105	-0.317	-0.305	-0.3415	-0.0115	-0.619	-1.586	-2.939	0.944	1.05	0.538	-2.961	-2.593	-1.241	-0.85	-2.974	-2.345	-2.802	-2.285	-1.576	-2.15	-1.741	-2.294	-1.668	-2.276	-2.142
"YCL035C"	-0.001	-0.256	2.346	1.948	2.433	1.628	1.636	2.207	2.921	3.144	-0.7125	-1.065	-0.795	-0.171	1.447	1.583	2.707	1.59	2.027	-0.074	2.169	0.109	0.456	0.505	0.4195	0.2165	0.257	1.882	1.165	-0.421	-0.399	-0.158	4.054	2.287	1.701	1.481	2.121	1.827	2.333	3.397	3.763	2.721	2.805	2.679	2.207	3.375	2.616
"YCL054W"	0.691	0.093	-3.412	-3.545	-2.942	-1.717	-1.013	-2.871	-3.741	-3.668	0.824	1.068	1.027	-0.052	-2.492	-1.974	-3.386	-2.044	-2.121	0.183	-4.0705	-0.088	-0.278	-0.5595	-0.498	0.1035	-0.762	-2.928	-1.884	0.651	0.675	0.143	-4.039	-2.31	-0.009	-0.367	-4.037	-2.713	-3.835	-2.945	-3.761	-2.107	-1.981	-2.26	-2.49	-2.753	-2.009
"YCL059C"	0.658	0.005	-1.314	-3.484	-4.242	-2.249	-2.109	-3.611	-4.218	-3.675	0.974	0.955	0.848	0.031	-2.587	-2.904	-4.786	-2.731	-2.27	0.364	-3.4015	0.019	-0.182	-0.103	-0.304	-0.153	-0.02	-0.872	-2.524	0.745	0.899	0.864	-4.664	-2.235	-0.559	-1.41	-2.908	-2.614	-4.103	-3.887	-4.436	-2.396	-1.808	-1.747	-1.962	-2.286	-1.701
"YCR016W"	0.457	0.162	-1.772	-2.622	-2.118	-1.458	-1.25	-2.019	-2.87	-2.734	1.084	1.101	0.937	-0.343	-2.021	-1.836	-2.836	-1.647	-2.199	0.155	-2.648	-0.056	-0.1895	-0.4145	-0.405	-0.1385	-0.597	-0.872	-0.979	0.226	0.635	0.109	-2.836	-1.94	-0.183	-0.135	-2.302	-1.598	-2.722	-2.712	-3.082	-2.031	-0.941	-0.647	-1.352	-0.698	-1.045
