	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"863.Amino acid + adenine starvation 1 h"	"896.Amino acid + adenine starvation 2 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1254.mec1_plus_gamma_60_min"	"1255.mec1_plus_gamma_90_min"	"1257.mec1_plus_gamma_120_min"	"2064.Hypo-osmotic shock - 5 min"	"4780.DBYtrr1 + 0.1 mM H2O2 - 30 min"	"4783.29C to 33C -30 min"	"4787.29C +1M sorbitol to 33C + 1M sorbitol - 30 min"	"8234.dtt 240 min"	"12736.Nitrogen Depletion 1 d"	"12739.Nitrogen Depletion 30 min."	"12741.Nitrogen Depletion 1 h"	"12742.Nitrogen Depletion 2 h"	"12744.heat shock 17 to 37, 20 minutes"	"14081.FY2(B) vs. FY2(A) 23.5 hours"	"28843.P2Comp 09 hr 20 min Phosphate Batch vs Chemostat Comparison2"	"32253.DBY8778_heat_shock2_15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33782.delYPL230w_stationary_phase_1day"	"34362.batch 02X25 5"	"34365.batch 02X25 6"	"34368.batch 02X25 7"	"34879.S4Comp 10 hr 00 min Sulfate Batch vs Chemostat Comparison"
"YBL035C"	-1.763	-1.228	-1.239	-1.097	-1.887	-0.498	0.293	-1.894	-2.305	0.149	0.238	-0.487	-1.13	-0.313	-1.844	-0.935	-1.0155	-0.6905	-0.425	-0.257	-0.8425	0.209	0.4195	0.452	0.341	0.414	0.595	0.57	-0.261	-0.341	-0.4225	0.1655	-0.036	-1.365	-0.083	-0.061	-0.841	-1.912	-1.021	-1.883	-1.313	-0.409	-0.234	-1.103	-1.103	0.184
"YBL072C"	-2.148	-1.74	-2.905	-3.46	-3.835	-3.367	-3.036	-3.192	-6.241	-1.39	-0.151	-3.06	-3.401	-3.188	-4.1825	-2.074	-2.5425	-2.5865	-2.5245	-3.2065	-4.2	0.211	0.108	0.27	0.27	-1.761	-0.202	-0.241	-2.149	-1.4775	-1.2745	-2.079	-1.021	-2.881	-0.258	-0.8895	-1.92	-3.331	-2.84	-1.857	-2.598	-2.699	-2.682	-3.92	-3.013	-2.102
"YBR048W"	-1.976	-1.916	-2.541	-3.002	-3.385	-2.4795	-2.968	-3.0195	-5.0065	-1.255	-0.221	-3.0685	-3.137	-3.295	-4.66033333333333	-2.35966666666667	-2.77266666666667	-2.738	-2.849	-3.15166666666667	-3.929	0.154666666666667	-0.0656666666666667	0.0853333333333333	0.333	-1.462	-0.0485	-0.1715	-1.878	-1.818	-1.14866666666667	-2.30366666666667	-1.301	-2.7435	0.05875	-1.073	-2.372	-4.043	-3.545	-4.089	-3.69	-2.711	-2.346	-2.602	-2.386	-2.197
"YBR084W"	-3.129	-2.61	-3.49	-3.539	-4.143	-3.145	-3.201	-4.365	-5.362	-1.007	-0.375	-2.317	-2.197	-1.44	-2.3585	-1.8955	-1.9025	-2.592	-1.934	-2.75	-2.725	-0.145	-0.3475	-0.116	0.254	-0.784	-0.165	-0.195	-1.583	-2.2905	-0.819	-1.275	-0.5585	-4.142	-0.863	-1.082	-4.322	-3.705	-2.757	-4.104	-3.283	-2.592	-2.26	-1.425	-1.357	-1.734
"YBR247C"	-3.103	-2.541	-3.015	-3.19	-3.42	-2.12	-1.692	-2.212	-3.969	-0.602	-0.085	-3.12	-1.618	-1.623	-3.3455	-2.0405	-1.839	-1.689	-2.2255	-2.389	-2.378	0.292	0.0	-0.265	0.236	-0.387	0.655	0.585	-1.214	-0.7685	-2.3215	-1.806	-0.653	-2.961	-0.268	-1.241	-2.974	-2.285	-2.153	-1.576	-2.15	-1.747	-2.315	-2.294	-0.973	-2.77
"YCLX01W"	-0.875	-1.291	-1.287	-1.162	-1.095	-0.311	-0.239	-0.87	-3.265	-0.148	0.533	-1.558	-1.071	-0.6	-0.0155	-0.596	-0.535	-0.3605	-0.1815	-0.244	0.2745	0.124	0.465	0.509	0.336	0.475	0.177	0.565	-0.432	-0.2335	-0.0755	-0.5505	-0.165	-1.318	-0.334	-0.71	-0.905	-0.759	-0.412	-1.491	-0.912	0.107	0.101	0.027	0.143	-0.462
"YCR056W"	-2.825	-2.447	-2.829	-2.918	-2.893	-1.895	-1.405	-1.452	-2.532	-0.019	0.144	-1.568	-1.17	-1.277	-0.6725	-1.4905	-1.616	-1.0105	-1.042	-2.0685	-1.7105	-0.286	-0.394	-0.219	0.0	0.006	0.336	-0.17	-1.33	-0.687	-0.2895	-0.6985	-0.672	-3.273	-0.055	2.332	-1.484	-0.437	-0.846	-1.828	-0.946	-1.826	-0.382	-0.286	0.279	-0.872
"YDR025W"	-2.141	-2.0	-3.031	-3.248	-3.904	-3.548	-3.252	-3.393	-6.697	-1.301	-0.172	-3.357	-3.356	-3.471	-4.504	-2.828	-1.915	-2.886	-2.503	-2.895	-3.518	-0.17	-0.306	-0.259	0.188	-0.95	-0.228	-0.217	-2.304	-1.871	-1.529	-2.25	-1.485	-3.042	-0.2895	-1.355	-2.278	-4.772	-3.127	-3.906	-3.552	-2.535	-2.458	-3.528	-2.366	-2.368
"YDR064W"	-1.917	-1.077	-2.822	-3.039	-3.874	-3.241	-2.585	-3.761	-5.03	-1.244	-0.248	-3.208	-3.138	-2.511	-3.65	-2.228	-2.718	-2.943	-2.527	-2.531	-3.199	-0.364	-0.415	-0.268	0.124	-0.976	-0.07	-0.386	-1.723	-1.235	-1.917	-2.032	-1.251	-2.16	-0.559	-2.354	-1.708	-2.292	-2.803	-2.891	-2.804	-2.842	-2.065	-3.66	-2.136	-2.482
"YDR324C"	-2.824	-2.336	-3.184	-3.012	-3.361	-2.361	-1.762	-1.208	-4.131	-0.529	-0.079	-2.212	-1.921	-1.118	-2.573	-2.143	-2.391	-1.803	-2.77	-2.306	-3.071	0.101	-0.079	-0.654	0.309	0.565	0.359	0.34	-1.45	-1.163	-2.242	-1.371	-0.693	-3.609	0.885	0.089	-2.29	-1.857	-2.128	-3.2975	-2.27	-1.0265	-1.203	-1.8575	-1.0535	-1.3355
