	"115.heat shock 20 min repeat"	"298.Tunicamycin vs. Ctrl"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"809.DBY7286 37degree heat - 20 min"	"811.DES459 (mec1) + heat 20 min"	"813.MHY1 (dun1) + heat 20 min"	"854.YPD_6_h_30C"	"861.YPD_5_d_30C"	"979.wt_plus_gamma_30_min"	"983.wt_plus_gamma_120_min"	"1012.YPD 12 h (25C)"	"1253.mec1_plus_gamma_45_min"	"4779.DBY7286 + 0.1 mM H2O2 - 30 min"	"4782.DBYtrr1 vs. wild type DBY7286"	"4872.1M sorbitol - 60 min"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"7530.DBY msn2msn4 37C - 20 min"	"8217.steady state 17 dec C"	"8234.dtt 240 min"	"8235.dtt 480 min"	"12744.heat shock 17 to 37, 20 minutes"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"
"YBL027W"	-1.979	-0.947	-1.956	-2.978	-3.487	-1.67	-2.0365	-1.4655	-2.851	-5.577	-0.47	-0.2015	-3.9845	0.099	-0.064	-0.027	-0.007	-1.803	-0.337	0.485	-2.091	-0.084	-3.078	-3.528	-3.012	-2.469	-3.351	-3.139	-2.319
"YBR048W"	-1.976	-0.6305	-1.916	-2.541	-3.002	-1.656	-2.469	-1.03333333333333	-3.385	-5.0065	-0.792333333333333	-0.0956666666666667	-4.66033333333333	-0.092	0.1045	-0.2505	0.190666666666667	-1.792	-0.732	0.551	-1.878	0.1435	-2.7435	-4.043	-3.545	-3.133	-4.089	-3.69	-2.483
"YBR214W"	1.9155	-1.05	1.0875	1.61	1.77	0.0035	0.649333333333333	0.553	0.634	-0.419	0.499	1.1415	0.899333333333333	-0.2515	-0.4125	-0.22	0.117	0.71	-0.23	0.444	0.075	-0.0445	1.9665	3.071	2.413	2.853	4.29	2.874	2.162
"YBR241C"	2.719	-0.8515	2.322	2.947	2.743	-0.164	-2.13	-0.5555	3.303	1.545	0.742	0.781	1.666	-0.409	-0.109	0.238	0.2675	0.77	-0.659	-0.142	1.617	0.276	3.139	3.507	3.03	2.881	3.953	3.821	2.781
"YBR298C"	1.074	-1.151	1.237	1.153	1.067	-0.373	-0.167	-0.1535	4.291	1.075	0.16	0.41	2.5875	-0.964	0.327	0.258	0.055	-0.086	-0.278	-0.02	0.234	0.305	1.613	2.325	2.033	1.448	2.718	1.901	1.485
"YCR012W"	0.757	0.319	1.258	1.516	1.801	1.297	1.02	0.708	-1.187	-3.015	-0.125	-0.252	-1.2795	-0.444	-0.114	0.061	0.004	0.917	0.214	0.674	0.126	-0.302	1.573	-0.155	-0.982	-0.05	0.268	-1.146	-1.771
"YCR055C"	-3.895	-0.874	-3.121	-3.998	-3.454	-0.915	-1.724	-0.77	-6.518	-6.433	-0.325	-0.678	-2.6155	-0.286	0.471	-0.561	0.0415	-0.939	-1.036	-0.499	-1.614	0.239	-4.055	NaN	NaN	NaN	NaN	NaN	NaN
"YDL184C"	-1.201	-0.649	-1.3345	-1.345	-1.346	-0.7195	-1.568	-1.4065	-1.6605	-2.545	-0.3495	0.0125	-2.5425	0.2345	0.2775	0.4265	0.1345	-1.0	-0.6305	0.9555	-1.403	0.0905	-1.2765	-1.892	-1.293	-1.139	-1.577	-1.717	-1.125
"YDL191W"	-1.918	-1.104	-1.445	-2.102	-2.434	-1.075	-2.056	-1.739	-1.985	-5.192	-0.307	-0.25	-3.616	-0.022	0.277	0.107	0.158	-1.251	-0.346	0.551	-1.742	-0.148	-1.898	-3.35	-2.399	-1.73	-3.234	-2.557	-1.83
"YDR025W"	-2.141	-1.085	-2.0	-3.031	-3.248	-1.477	-2.011	-1.284	-3.904	-6.697	-0.834	-0.104	-4.504	-0.397	0.121	-0.377	-0.035	-1.781	-0.926	0.007	-2.304	0.084	-3.042	-4.772	-3.127	-2.93	-3.906	-3.552	-2.869
"YDR406W"	1.897	-0.7645	1.372	1.4955	2.142	0.3125	0.196	-0.196	0.489	-0.918	0.0815	0.453	2.0525	-0.421	0.0745	0.2035	-0.0915	0.651	0.3565	-0.3335	0.0	-0.226	1.931	2.145	1.587	0.796	2.3565	1.552	1.2005
"YDR417C"	-2.075	-1.19	-1.608	-2.715	-3.361	-1.469	-2.536	-1.709	-3.705	-5.062	-0.801	-0.171	-4.223	-0.343	0.068	-0.327	0.078	-1.829	-1.025	0.623	-1.587	0.384	-2.642	-3.553	-2.61	-1.768	-3.585	-3.332	-2.261
"YDR418W"	-1.94	-1.131	-1.617	-2.789	-3.411	-1.558	-2.651	-1.894	-3.707	-5.866	-0.731	-0.107	-4.449	-0.108	-0.043	-0.164	0.253	-1.816	-0.954	1.054	-1.721	0.215	-2.74	-4.005	-2.423	-1.873	-3.263	-3.057	-2.027
"YEL054C"	-2.095	-1.12	-2.314	-1.907	-3.528	-1.382	-2.603	-2.173	-3.654	-7.056	-0.881	0.257	-3.347	0.134	0.045	-0.053	0.091	-1.753	-0.959	0.664	-1.691	0.188	-3.251	-4.422	-2.487	-3.239	-3.815	-2.936	-2.194
"YER117W"	-1.868	-0.95	-2.379	-2.386	-3.056	-1.481	-2.019	-1.321	-2.982	-5.642	-0.68	0.495	-3.768	0.41	0.278	-0.038	0.308	-1.753	-0.709	0.572	-1.573	0.391	-3.314	-3.319	-2.632	-2.403	-3.238	-3.345	-2.147
