	"599.37 deg growth"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"1012.YPD 12 h (25C)"	"1099.alpha factor release sample030"	"8234.dtt 240 min"	"8289.MCM7 formaldehyde x-linked in veg. cells. IP'd w/ polyclonal AB"	"11466.yO1 test hyb"	"12733.Nitrogen Depletion 8 h"	"13057.wt/crz1 Na 30min (1)"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"13098.Missouri Western State College 10 uM DAPI Cy5 12 hrs (exp 1)"	"17676.Na+FK 45min (4)"	"18424.2mM MD 055min"	"28843.P2Comp 09 hr 20 min Phosphate Batch vs Chemostat Comparison2"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"34359.batch 02X25 3"
"YBL027W"	-0.071	-2.474	-2.081	-5.577	-1.996	-2.494	-3.9845	0.0945	-2.091	-0.587	-1.6965	-2.031	0.8235	0.213	0.2665	0.606	-1.362	-1.33266666666667	-1.535	-3.528	-3.012	-2.469	-3.351	-3.139	-2.319	0.553
"YBR084W"	-0.646	-3.145	-3.201	-5.362	-1.888	-2.317	-2.3585	0.09	-1.583	-0.58	-2.65	-2.208	0.353	0.223	0.198	-0.608	-2.135	-0.5805	-1.082	-3.705	-2.757	-2.544	-4.104	-3.283	-2.324	0.625
"YBR169C"	0.071	3.04	2.902	0.858	2.614	3.01	1.982	0.236	1.869	0.448	2.775	1.0625	-0.104	0.37	-0.021	-0.613	1.9225	1.699	1.763	4.235	3.852	3.896	5.374	4.558	3.295	-0.313
"YBR181C"	-0.08	-3.149	-2.554	-4.564	-2.527	-3.3	-5.0305	0.226	-2.184	0.365	-2.337	-3.0365	0.842	0.1235	0.207	-0.503	-1.75933333333333	-0.7395	-0.6505	-3.618	-2.718	-2.109	-2.98	-3.274	-1.849	0.485
"YCR031C"	-0.185	-2.025	-2.569	-5.91	-2.086	-2.838	-2.4815	0.019	-1.494	-0.335	-1.425	-2.183	0.6885	0.4015	0.3205	-0.13	-1.54066666666667	-1.341	-0.9685	-2.544	-2.418	-2.404	-3.229	-3.09	-2.546	-0.077
"YCR072C"	-0.091	-2.891	-2.433	-4.875	-2.593	-3.092	-1.4095	-0.034	-1.272	0.013	-1.254	-1.372	0.322	0.198	0.328	-0.36	-0.7535	-0.362	-1.061	-2.819	-2.44	-1.541	-3.703	-2.838	-1.67	-0.744
"YDL014W"	-0.727	-2.435	-2.318	-2.641	-1.545	-1.412	-2.2875	0.305	-1.608	-0.007	-2.032	-2.2325	0.416	0.256	0.196	0.305	-1.798	-1.62	-1.588	-3.918	-4.085	-2.893	-4.482	-4.004	-2.924	-0.759
"YDL083C"	-0.366	-3.706	-3.045	-3.908	-2.847	-3.133	-2.474	-0.126	-2.249	-0.513	-2.197	-2.437	0.6505	0.24	0.1765	-0.3375	-1.571	-1.395	-1.0455	-3.784	-2.953	-2.644	-3.827	-3.217	-1.991	0.242
"YDL191W"	0.133	-2.367	-2.75	-5.192	-1.704	-2.911	-3.616	-0.038	-1.742	-0.445	-2.212	-1.959	0.6305	0.7115	0.5245	0.063	-1.7165	-1.14	-0.8865	-3.35	-2.399	-1.73	-3.234	-2.557	-1.83	0.167
"YDR025W"	-0.294	-3.548	-3.252	-6.697	-2.477	-3.357	-4.504	0.2	-2.304	0.142	-1.7675	-3.299	0.7205	0.2095	0.205	0.1265	-1.7115	-1.08966666666667	-1.355	-4.772	-3.127	-2.93	-3.906	-3.552	-2.869	0.196
"YDR037W"	-0.408	-3.427	-3.607	-5.224	-0.977	-3.226	-1.971	0.111	-1.088	-0.713	-2.523	-1.739	0.525	0.064	0.055	1.08	-1.465	-0.0025	-1.18	-4.284	-3.366	-2.4	-4.204	-3.541	-2.204	0.304
"YDR149C"	-0.451	-0.46	0.826	0.351	0.551	0.89	NaN	0.309	-1.088	0.095	0.735	NaN	-0.311	-0.12	-0.17	0.216	0.122	0.5545	-0.135	1.4	2.043	1.798	0.984	1.631	1.315	0.022
"YDR430C"	NaN	NaN	NaN	NaN	NaN	0.379	NaN	0.401	NaN	-0.264	0.116	3.105	0.112	-0.014	-0.113	-0.954	-0.304	0.286	0.535	0.44	0.0	-0.438	1.547	0.516	0.65	0.147
"YDR471W"	-0.064	-3.834	-3.394	-4.747	-2.627	-3.144	-4.253	-0.067	-1.97	-0.279	-1.7695	-2.715	0.74	0.185	0.14	0.4905	-1.802	-1.34433333333333	-1.6755	-3.645	-2.464	-1.986	-3.608	-3.311	-2.499	0.225
"YER117W"	-0.231	-2.613	-2.377	-5.642	-2.458	-3.05	-3.768	0.347	-1.573	0.03	-1.876	-2.734	0.9375	0.4475	0.465	-0.2565	-1.603	-1.559	-1.645	-3.319	-2.632	-2.403	-3.238	-3.345	-2.147	0.66
"YER131W"	-0.091	-3.262	-2.7	-6.55	-2.634	-2.621	-4.139	0.196	-2.392	-0.144	-2.4735	-2.775	0.701	-0.056	0.0515	-0.6085	-2.035	-1.8175	-1.2775	-3.884	-3.237	-2.657	-3.578	-4.068	-2.732	0.451
"YGL076C"	-0.176	-3.136	-2.73	-5.667	-2.396	-3.32	-4.142	0.18	-2.239	-0.191	-1.8735	-2.969	0.903	0.3355	0.3835	-0.055	-2.081	-1.15	-1.68166666666667	-4.003	-3.509	-2.778	-3.347	-3.315	-2.544	-0.175
"YGL123W"	0.17	-3.757	-3.726	-5.982	-3.013	-4.112	-3.511	0.551	-1.983	-0.039	-2.357	-2.897	0.634	0.421	0.408	-1.121	-1.335	-1.198	-2.027	-4.217	-3.27	-2.813	-4.123	-3.488	-2.693	0.529
"YGL135W"	-0.412	-2.573	-2.455	-5.687	-2.615	-3.217	-3.581	0.274	-1.561	-0.551	-2.233	-3.473	0.718	0.551	0.488	-0.682	-1.702	-1.2205	-1.6595	-3.443	-2.903	-2.236	-3.617	-3.009	-1.968	0.192
