	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"854.YPD_6_h_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"963.1 mM Menadione (120 min)redo"	"964.1 mM Menadione (160 min) redo"	"974.1 mM Menadione (80 min) redo"	"975.1 mM Menadione (105 min) redo"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1107.alpha factor release sample025"	"1661.1 mM Menadione (50 min)redo"	"7760.Na 45min"	"7761.Na 60min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8235.dtt 480 min"	"8289.MCM7 formaldehyde x-linked in veg. cells. IP'd w/ polyclonal AB"	"12744.heat shock 17 to 37, 20 minutes"	"16338.DES460 vs. DES460 YPD log phase control"
"YAR075W"	-1.707	-0.985	-0.932	-1.716	-2.776	-3.067	-1.345	-4.212	-1.899	-2.65	-3.123	-0.385	-0.322	-0.614	-0.536	-2.843	-1.4	NaN	-0.355	-1.83	-1.586	-1.775	-1.718	-0.15	0.037	-3.212	-0.126
"YBL028C"	-2.979	-4.375	-1.776	-2.877	-3.969	-3.261	-4.609	-4.867	-2.637	-3.002	-2.268	-0.661	0.371	0.085	-0.194	-2.6315	-2.1695	-0.0175	0.026	-2.667	-2.101	-2.532	-2.658	0.019	0.126	-4.011	-0.066
"YBR030W"	-1.623	-1.248	-0.455	-1.138	-1.17	-1.044	-1.826	-1.827	-0.404	-1.286	-0.872	-1.157	-0.241	-0.435	-0.834	-1.665	-0.9945	-0.0855	-0.283	-0.381	0.177	-0.323	-0.505	-0.269	-0.098	-1.532	0.074
"YBR034C"	-3.193	-2.964	-1.061	-2.426	-3.138	-3.33	-3.091	-3.523	-1.338	-1.874	-2.144	-0.288	-0.199	-0.204	-0.676	-2.6345	-1.987	0.054	0.018	-2.709	-1.833	-2.785	-2.665	0.481	0.232	-3.638	-0.229
"YBR084W"	-2.64	-3.129	-1.723	-2.61	-3.49	-3.539	-4.143	-5.362	-1.888	-2.317	-2.197	-0.834	-0.351	-0.342	-0.321	-2.3585	-1.8955	0.0255	-0.384	-2.037	-1.62	-1.632	-1.367	-0.295	-0.58	-4.142	-0.489
"YBR189W"	-2.555	-2.064	-0.399	-2.33	-3.868	-4.446	-3.784	-4.702	-1.982	-3.071	-3.483	-0.097	-0.563	-0.123	-0.051	-3.678	-2.112	-0.015	0.012	-2.021	-1.332	-1.625	-1.55	0.074	-0.264	-3.818	-0.058
"YBR191W"	-2.07	-1.945	-0.202	-2.052	-3.136	-3.824	-3.54	-5.241	-2.114	-3.152	-3.411	-0.351	-0.301	-0.212	-0.276	-4.5465	-2.1205	0.029	-0.132	-1.908	-1.153	-1.611	-1.764	-0.031	0.216	-3.463	0.09
"YCL053C"	-2.892	-2.571	-1.157	-2.61	-3.477	-3.061	-4.013	-4.22	-2.871	-2.694	-1.782	-0.828	-0.003	-0.58	-0.645	-2.553	-1.7995	0.039	-0.514	-1.829	-1.193	-1.584	-1.503	-0.013	0.454	-3.2	-0.389
"YCL054W"	-3.545	-2.942	-1.013	-2.871	-3.741	-3.668	-3.386	-2.063	-2.044	-2.121	-2.124	-0.459	-0.584	-0.314	-0.598	-4.0705	-2.049	-0.088	-0.422	-1.884	-1.438	-1.505	-1.54	0.245	-0.124	-4.039	0.005
"YCR016W"	-2.622	-2.118	-1.25	-2.019	-2.87	-2.734	-2.836	-2.969	-1.647	-2.199	-1.692	-0.69	-0.132	-0.332	-0.474	-2.648	-1.736	-0.056	-0.223	-0.979	-0.881	-1.134	-1.568	-0.092	-0.373	-2.836	0.085
