	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"599.37 deg growth"	"809.DBY7286 37degree heat - 20 min"	"811.DES459 (mec1) + heat 20 min"	"813.MHY1 (dun1) + heat 20 min"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"990.constant 0.32 mM H2O2 (100 min) redo"	"4872.1M sorbitol - 60 min"	"4874.1M sorbitol - 90 min"	"6354.DES460 + 0.2% MMS - 45 min"	"6357.DES460 + 0.02% MMS - 60 min"	"6358.DES460 + 0.02% MMS - 90 min"	"6668.wt - 0.1 mM H2O2 - 10 min"	"6672.wt - 0.3 mM H2O2 - 10 min"	"7760.Na 45min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8520.DES460 + 0.02% MMS - 120 min"	"8521.dun1- + 0.02% MMS - 120 min"	"8526.dun1- + 0.02% MMs - 30 min"	"8528.dun1- + 0.02% MMS - 90 min"	"12744.heat shock 17 to 37, 20 minutes"	"16514.DES genomic DNA vs. MHY26 (dun1) genomic DNA (correct version)"	"33779.delYPL230w_stationary_phase_5hours"
"YLR432W"	-1.268	-2.203	-1.608	-2.432	-3.062	-0.137	-1.625	-1.332	-1.0	-1.583	-1.235	-0.921	-2.58	-2.16	-2.424	-3.532	-5.65	-1.881	-2.412	-2.49	0.112	0.228	0.088	-0.628	-0.789	-0.633	0.153	0.219	-1.568	-1.528	-1.225	-0.543	-0.121	-0.342	-0.146	-3.251	0.298	-3.412
"YMR098C"	NaN	0.697	0.353	0.807	0.716	0.153	0.119	0.417	-0.086	0.496	-0.052	0.208	1.642	1.641	1.297	-0.128	-1.213	0.689	0.495	0.652	-0.202	-0.151	-0.053	0.101	-0.169	0.097	0.093	-0.086	0.317	0.595	0.333	0.269	0.043	-0.104	0.166	0.69	0.127	1.358
"YMR131C"	-4.819	-4.183	-3.849	-4.525	-4.347	-0.29	-1.248	-1.871	-1.365	-2.188	-1.713	-1.034	-5.631	-3.641	-3.811	-5.052	-6.665	-3.153	-3.547	-2.98	0.207	-0.015	0.12	-0.906	-0.881	-0.606	-0.261	-0.558	-3.012	-2.522	-2.8	-0.866	0.087	-0.261	0.087	-4.674	-0.519	-4.181
"YMR142C"	-2.549	-1.964	-2.064	-3.395	-3.688	-0.347	-1.47	-2.447	-2.086	-1.105	-1.111	-0.913	-3.579	-3.719	-3.19	-0.651	-6.693	-2.458	-3.048	-3.849	0.442	0.009	0.053	-0.513	-0.653	-0.528	0.277	-0.087	-2.156	-2.0	-2.02	-0.702	-0.277	-0.065	-0.124	-3.22	-0.228	-4.039
"YMR146C"	-1.919	-1.96	-1.621	-2.257	-2.461	-0.234	-0.434	-1.26	-1.034	-0.715	-0.33	-0.311	-2.391	-1.631	-2.261	-1.725	-4.642	-1.45	-1.638	-1.543	0.367	0.138	-0.12	-0.275	-0.306	-0.198	-0.055	0.085	-1.946	-1.801	-1.735	-0.42	0.083	-0.081	0.447	-2.393	-0.118	-1.328
"YMR175W"	1.9415	2.83	1.585	0.5345	0.2925	0.4025	1.518	1.5565	1.511	0.617	0.835	0.7435	5.2865	5.624	5.018	5.448	5.7765	1.5895	5.2745	6.0905	0.205	-0.156	-0.0975	0.2885	-0.274	-0.0635	0.0075	0.1225	2.1675	2.092	0.763	0.0245	-0.332	-0.358	-0.158	3.677	0.1085	3.6655
"YNL002C"	-4.666	-4.07	-3.305	-4.559	-4.222	-0.123	-1.105	-2.677	-1.824	-2.564	-1.766	-1.16	-5.196	-2.914	-2.785	-2.73	-3.468	-2.839	-3.072	-2.59	-0.547	-0.059	0.023	-0.99	-1.187	-0.937	-0.42	-0.409	-2.774	-2.843	-2.776	-1.02	-0.098	-0.219	0.05	-4.603	-0.007	-4.466
"YNL061W"	-4.928	-3.927	-4.143	-4.404	-3.948	-0.564	-1.279	-2.446	-1.607	-2.373	-1.799	-1.163	-4.329	-2.031	-1.794	-2.147	-4.27	-2.724	-2.519	-2.417	-0.114	-0.042	0.247	-0.916	-0.998	-1.031	-0.184	-0.154	-2.599	-2.111	-2.07	-0.73	-0.141	-0.399	-0.42	-5.38	0.376	-2.571
"YNL075W"	-3.86	-3.164	-2.558	-3.304	-2.768	-0.141	-0.362	-1.938	-1.133	-1.5	-1.319	-1.01	-4.782	-2.75	-2.189	-2.103	-3.339	-2.433	-3.095	-2.494	0.102	-0.203	0.024	-0.638	-0.624	-0.597	-0.325	-0.549	-1.85	-1.521	-1.884	-0.556	0.132	-0.071	0.252	-3.301	-0.178	-3.779
"YNL256W"	-1.622	-2.026	-1.082	-1.584	-1.904	-0.412	-0.577	-0.589	-0.754	-0.947	-0.544	-0.385	-3.093	-1.34	-1.539	-2.448	-3.668	0.177	-1.695	-0.452	0.117	0.179	-0.032	-0.489	-0.521	-0.496	-0.138	-0.258	-1.221	-0.801	-0.925	-0.598	-0.158	-0.422	-0.135	-2.203	-0.325	-1.737
"YNL313C"	-3.472	-3.026	-2.399	-2.935	-3.02	-0.306	-0.75	-1.152	-0.746	-1.97	-1.468	-1.03	-4.999	-2.695	-2.073	-3.628	-5.714	-2.852	-3.129	-2.948	0.271	0.106	0.371	-0.508	-0.452	-0.348	-0.207	-0.249	-1.939	-1.225	-1.032	-0.547	0.259	0.06	0.469	-3.009	0.304	-3.85
"YOL048C"	2.594	1.783	1.888	1.744	1.967	0.38	0.914	1.683	1.471	0.982	1.301	0.754	1.325	1.276	1.1615	1.9065	2.9595	1.505	1.186	1.186	0.425	-0.118	-0.271	1.217	0.726	1.15	0.257	0.03	1.471	1.212	1.359	1.075	0.256	0.278	0.463	2.336	-0.424	2.173
"YOL130W"	-1.297	-1.455	-0.928	-0.993	-1.075	-0.554	-0.377	-0.618	-0.533	-1.078	-0.816	-0.696	0.861	-0.534	0.23	0.9515	-0.2475	0.369	-1.108	1.0325	0.156	-0.063	0.23	-0.601	-0.596	-0.75	-0.228	-0.21	-0.783	-0.241	-0.317	-0.643	-0.286	-0.307	-0.286	-1.888	0.054	0.139
"YOR049C"	1.161	0.165	0.858	0.607	0.888	0.169	-0.085	-0.626	-0.052	0.14	-0.268	-0.228	1.839	2.207	0.339	1.21	0.888	0.4695	0.335	-0.462	0.175	0.048	0.004	0.316	0.418	0.583	-0.322	-0.214	1.388	2.077	2.486	0.313	-0.254	-0.19	-0.196	0.68	-0.174	2.94
"YOR146W"	-3.231	-2.681	-3.597	-3.42	-3.036	-0.257	-0.417	-1.335	-0.728	-1.987	-1.521	-0.97	-3.402	-1.9575	-1.4795	-0.901	-3.7465	-2.384	-2.648	-1.68	0.032	0.047	-0.028	-0.442	-0.489	-0.644	-0.301	-0.259	-2.933	-2.496	-2.291	-0.336	0.077	0.011	0.074	-4.259	0.482	-2.731
"YOR206W"	-5.087	-3.702	-3.585	-5.083	-4.513	-0.246	-1.554	-2.605	-1.361	-2.77	-1.859	-1.39	-5.827	-2.568	-2.0395	-3.681	-6.4785	-2.919	-3.1625	-1.9445	0.133	-0.2	0.139	-1.25	-1.25	-1.17	-0.421	-0.344	-3.65	-2.398	-2.168	-1.234	-0.476	-0.15	0.088	-5.066	0.512	-4.817
"YOR243C"	-3.594	-3.234	-2.436	-3.633	-3.982	-0.428	-1.168	-1.407	-1.357	-1.827	-1.157	-0.863	-3.8055	-2.475	-2.128	-3.3625	-4.3935	-1.9265	-2.588	-2.1815	0.204	-0.005	0.213	-0.582	-0.696	-0.451	-0.361	-0.299	-1.872	-1.652	-1.335	-0.611	0.0	-0.373	-0.026	-4.099	0.123	-2.825
"YOR294W"	-4.574	-3.828	-3.73	-4.407	-3.632	0.074	-0.574	-2.027	-1.528	-2.234	-1.598	-1.099	-5.6475	-2.427	-1.914	-1.2415	-5.2465	-2.791	-3.318	-1.8445	0.676	-0.128	-0.268	-1.278	-1.24	-1.014	-0.582	-0.705	-3.461	-3.216	-3.031	-1.042	-0.333	-0.297	-0.13	-4.852	0.295	-5.145
"YOR309C"	-4.991	-4.328	-3.697	-5.523	-5.514	-0.341	-1.205	-2.572	-2.067	-2.675	-1.779	-1.262	-6.798	-4.4185	-4.0545	-4.234	-6.859	-3.07	-3.709	-3.9105	0.292	0.043	-0.118	-1.002	-0.558	-0.976	0.066	0.069	-2.396	-1.875	-2.034	-0.858	-0.223	-0.053	0.026	-4.939	-0.043	-4.097
"YPL044C"	-4.106	-2.774	-3.653	-4.783	-4.009	-0.569	-1.034	-1.3	-0.361	-1.67	-1.658	-1.684	-4.1695	-2.458	-2.0485	-2.688	-4.2355	-2.6845	-3.256	-2.8325	-0.435	-0.198	-0.091	-0.916	-0.731	-1.026	-0.17	0.037	-2.683	-2.327	-1.645	-0.509	-0.261	-0.218	-0.336	-4.807	0.258	-2.954
"YPL142C"	-1.892	-1.932	-2.625	-2.913	-3.225	-0.322	-1.361	-2.066	-1.527	-0.87	-0.9545	-0.7835	-3.1395	-2.973	-2.7515	-3.5865	-5.604	-2.427	-2.825	-3.3035	-0.161	0.2	-0.016	-0.392	-0.385	-0.394	0.082	0.025	-1.852	-1.839	-2.009	-0.415	-0.25	-0.209	-0.401	-3.034	-0.398	-3.677
"YPL220W"	-1.847	-2.404	-2.267	-3.278	-3.871	-0.2165	-1.816	-2.806	-2.333	-1.339	-1.541	-1.1745	-3.389	-2.4215	-2.18	-3.187	-6.1465	-2.8915	-3.0375	-3.442	-0.055	0.081	0.221	-0.604	-0.494	-0.708	0.102	0.519	-2.457	-2.078	-2.022	-0.598	0.201	0.226	-0.054	-3.09	0.237	-3.554
"YPL237W"	-2.227	-1.872	-1.576	-2.008	-2.033	-0.146	-0.981	-1.567	-1.437	-0.7915	-0.6495	-0.4495	-2.6285	-1.9335	-2.0395	-2.875	-5.7585	-0.95	-1.791	-1.39	0.121	0.071	0.211	-0.176	-0.36	-0.268	-0.222	-0.289	-1.377	-1.421	-1.607	-0.388	-0.031	-0.008	0.056	-2.215	-0.164	-1.535
"YPL266W"	-3.981	-3.222	-2.968	-3.585	-3.063	0.1615	-1.179	-2.294	-1.09	-1.846	-1.773	-1.1315	-4.1135	-2.3835	-2.305	-4.58	-3.1595	-2.162	-3.267	-2.3995	-0.125	0.11	0.236	-0.837	-0.716	-0.416	-0.468	-0.897	-2.134	-2.001	-2.596	-0.538	0.334	-0.308	0.332	-3.636	-0.037	-4.271
"YPL270W"	0.693	0.439	0.716	0.777	0.977	-0.109	0.145	0.152	-0.045	0.3365	0.2745	0.1815	1.2495	1.5685	1.439	-0.241	-1.983	0.7905	-0.057	0.395	0.008	-0.202	0.022	-0.169	-0.103	0.087	0.094	0.008	0.742	0.6	0.669	-0.148	-0.166	-0.163	-0.112	0.811	-0.013	0.224
"YPR102C"	-2.11	-2.298	-2.206	-3.37	-4.232	0.0725	-1.491	-2.43	-1.866	-1.218	-1.199	-0.851	-3.521	-3.2315	-3.2945	-4.045	-6.451	-1.9585	-3.5055	-4.118	0.152	0.219	0.076	-0.291	-0.417	-0.81	0.077	0.366	-2.388	-2.23	-2.126	-0.675	-0.333	0.178	-0.057	-3.007	-0.022	-4.015
"YPR110C"	-3.178	-3.084	-2.507	-3.52	-3.728	-0.096	-0.986	-1.742	-1.61	-2.073	-1.383	-1.0145	-5.7185	-3.423	-3.2115	-3.662	-6.318	-2.6255	-3.01	-3.296	0.055	-0.091	-0.257	-0.473	-0.671	-0.799	0.05	-0.27	-2.308	-2.158	-2.174	-0.474	-0.157	-0.159	0.216	-3.168	0.125	-3.882
