	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"599.37 deg growth"	"809.DBY7286 37degree heat - 20 min"	"811.DES459 (mec1) + heat 20 min"	"813.MHY1 (dun1) + heat 20 min"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"990.constant 0.32 mM H2O2 (100 min) redo"	"4872.1M sorbitol - 60 min"	"4874.1M sorbitol - 90 min"	"6354.DES460 + 0.2% MMS - 45 min"	"6357.DES460 + 0.02% MMS - 60 min"	"6358.DES460 + 0.02% MMS - 90 min"	"6668.wt - 0.1 mM H2O2 - 10 min"	"6672.wt - 0.3 mM H2O2 - 10 min"	"7760.Na 45min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8520.DES460 + 0.02% MMS - 120 min"	"8521.dun1- + 0.02% MMS - 120 min"	"8526.dun1- + 0.02% MMs - 30 min"	"8528.dun1- + 0.02% MMS - 90 min"	"12744.heat shock 17 to 37, 20 minutes"	"16514.DES genomic DNA vs. MHY26 (dun1) genomic DNA (correct version)"	"33779.delYPL230w_stationary_phase_5hours"
"YDR087C"	-3.126	-4.143	-2.758	-3.643	-3.468	0.21	-1.501	-2.122	-1.097	-2.337	-1.028	-0.921	-4.139	-2.976	-2.337	-3.817	-4.944	-2.758	-2.528	-2.208	-0.338	0.311	0.146	-0.796	-0.933	-0.891	-0.232	-0.539	-1.68	-1.708	-2.134	-0.809	0.019	-0.209	0.017	-4.13	-0.146	-3.396
"YDR101C"	-3.513	-3.404	-3.0	-3.74	-3.659	-0.395	-1.384	-2.357	-1.309	-2.204	-1.77	-1.32	-4.306	-3.203	-3.082	-4.145	-4.667	-2.997	-3.385	-2.743	0.059	0.107	0.093	-1.139	-1.223	-1.21	-0.402	-0.402	-2.352	-2.477	-2.261	-1.528	-0.484	-0.537	-0.194	-3.253	-0.016	-3.048
"YDR165W"	-3.154	-2.85	-2.419	-2.874	-2.762	-0.157	-1.001	-1.702	-1.335	-1.752	-1.294	-0.968	-4.096	-2.538	-2.179	-3.111	-5.309	-2.69	-3.015	-2.243	-0.141	-0.044	-0.044	-0.571	-0.649	-0.702	-0.277	-0.214	-2.129	-1.967	-1.516	-0.806	0.181	-0.145	0.147	-2.787	-0.257	-3.205
"YDR204W"	2.454	2.273	1.933	2.734	2.548	0.472	0.059	0.231	0.431	1.429	1.158	1.197	3.146	2.65	2.557	1.072	-0.986	1.543	1.659	1.476	0.114	0.118	0.065	0.932	1.3	1.285	-0.002	-0.149	1.811	1.507	1.569	0.0	-0.086	0.267	0.066	2.994	0.0145	2.826
"YDR398W"	-5.035	-4.358	-3.115	-4.082	-3.388	-0.349	-0.799	-1.917	-0.73	-1.783	-1.42	-0.783	-4.143	-2.42	-2.114	-2.774	NaN	-2.012	-3.069	-2.517	-0.322	0.385	-0.144	-1.013	-1.101	-0.936	-0.321	-0.468	-2.147	-1.277	-2.006	-1.284	-0.315	-0.385	-0.266	-4.269	0.409	-3.061
"YDR465C"	-3.378	-4.511	-3.218	-3.765	-3.563	-0.191	-1.668	-2.203	-1.041	-2.812	-2.104	-1.14	-4.438	-3.006	-2.225	-2.676	-2.557	-3.43	-1.835	-1.963	-0.003	0.025	-0.128	-0.486	-0.597	-0.4	0.305	-0.238	-2.458	-2.316	-2.684	-0.171	0.128	-0.512	0.057	-3.782	-0.301	-3.552
"YER025W"	-1.991	-1.92	-1.694	-2.346	-2.611	-0.698	-0.982	-1.594	-1.256	-1.288	-0.834	-0.654	-3.167	-1.687	-1.57	-2.274	-4.542	-1.828	-2.203	-1.76	-0.103	0.0	0.17	-0.22	-0.369	-0.477	0.071	0.101	-1.481	-1.371	-1.049	-0.515	-0.14	-0.184	-0.022	-2.832	-0.159	-1.434
"YER117W"	-1.836	-1.868	-2.379	-2.386	-3.056	-0.231	-1.481	-2.019	-1.321	-1.022	-1.13	-0.887	-2.982	-2.613	-2.377	-2.832	-5.642	-2.458	-3.05	-3.141	-0.247	0.308	0.387	-0.147	-0.287	-0.41	-0.02	0.057	-1.82	-1.931	-1.863	-0.313	-0.243	-0.219	-0.384	-3.314	-0.2045	-3.238
"YER131W"	-1.816	-1.733	-2.354	-3.171	-3.29	-0.091	-1.403	-2.511	-1.797	-0.976	-1.179	-0.707	-2.813	-3.262	-2.7	-3.664	-6.55	-2.634	-2.621	-2.795	0.087	0.487	0.335	-0.1	-0.424	-0.434	0.618	0.733	-1.891	-2.595	-2.302	-0.547	0.021	0.103	0.094	-3.097	0.368	-3.578
"YFL002C"	-2.172	-2.065	-1.469	-2.01	-1.793	-0.118	-0.52	-1.122	-0.759	-1.664	-1.305	-0.9	-1.812	-0.894	-0.758	-1.624	-4.836	-1.147	-1.389	-1.103	-0.319	-0.108	-0.024	-0.794	-0.554	-0.77	-0.498	-0.381	-0.753	-0.903	-0.925	-0.769	0.094	0.046	0.252	-2.08	-0.399	-1.257
