	"813.MHY1 (dun1) + heat 20 min"	"819.DY1457 (wild type) 3 mM vs. 61 nM zinc"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1139.DY1457 (wild type) 3 mM vs. 76 nM zinc"
"YBL087C"	-1.1775	1.794	-2.104	-2.516	-1.5975	-2.161	-2.357	1.391
"YBL092W"	-1.8215	1.356	-2.896	-5.158	-1.726	-2.74	-2.8475	1.7355
"YBR009C"	-0.96	1.624	-2.257	-3.789	-2.09	-1.6255	-2.119	1.336
"YBR048W"	-1.03333333333333	2.449	-3.0195	-5.0065	-2.849	-3.15166666666667	-3.929	0.975666666666667
"YBR154C"	-0.784	0.766	-3.531	-4.423	-2.6225	-3.012	-3.8995	1.1225
"YBR181C"	-2.6035	2.072	-3.798	-4.564	-2.654	-2.96	-3.945	2.0575
"YBR189W"	-1.66	1.645	-2.065	-4.702	-1.9305	-1.8835	-2.9475	1.1175
"YBR191W"	-3.071	1.992	-3.167	-5.241	-2.3795	-2.6255	-3.136	1.1285
"YBR206W"	-0.664	0.76	-2.307	-3.253	-1.0975	-1.694	-1.6555	0.4555
"YBR247C"	-0.8745	1.047	-2.212	-3.969	-2.2255	-2.389	-2.378	1.491
"YBR249C"	-1.4575	1.745	-3.39	-6.025	-2.9975	-3.288	-3.9875	2.1715
"YCL045C"	-0.67	0.967	-3.044	-3.911	-2.25533333333333	-2.94333333333333	-2.69566666666667	0.696
"YDL082W"	-2.087	1.97	-3.326	-5.816	-2.186	-3.001	-3.589	2.249
"YDL083C"	-0.8	1.682	-3.106	-3.908	-2.252	-2.052	-3.014	1.935
"YDL111C"	-0.262	0.535	-4.07	-4.505	-1.8915	-2.1955	-1.9395	0.572
"YDR025W"	-1.284	2.153	-3.393	-6.697	-2.503	-2.895	-3.518	2.767
"YDR037W"	-1.316	1.015	-4.551	-5.224	-2.916	-3.368	-3.772	1.204
"YDR064W"	-1.51	1.206	-3.761	-5.03	-2.527	-2.531	-3.199	1.895
"YDR071C"	-0.087	0.061	-2.459	-4.374	-1.937	-3.125	-2.557	0.02
"YDR146C"	-0.697	1.209	-1.841	-2.89	-1.533	-2.359	-2.317	0.959
"YDR158W"	-0.935	1.798	-3.546	-5.115	-3.109	-3.802	-4.509	2.092
"YDR233C"	-0.544	0.9	-2.587	-3.48	-2.047	-2.27	-2.451	0.614
"YDR341C"	-1.863	1.444	-3.212	-5.262	-3.262	-3.294	-3.559	1.763
"YDR382W"	-2.044	2.393	-2.459	-5.686	-2.565	-3.137	-3.471	2.311
"YDR417C"	-1.709	2.373	-4.279	-5.062	-2.861	-3.022	-3.606	2.333
"YDR418W"	-1.894	2.098	-3.074	-5.866	-2.866	-3.091	-4.066	2.482
"YDR447C"	-2.275	1.974	-3.659	-5.332	-2.53	-2.625	-3.552	1.98
"YDR500C"	-0.983	1.259	-2.587	-2.649	-1.422	-1.041	-2.16	1.863
"YEL054C"	-2.173	2.108	-2.98	-7.056	-2.504	-3.005	-3.554	2.322
