	"37.alpha factor release sample018"	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"811.DES459 (mec1) + heat 20 min"	"813.MHY1 (dun1) + heat 20 min"	"815.1M sorbitol - 15 min"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"854.YPD_6_h_30C"	"864.Amino acid + adenine starvation 4 h"	"1011.YPD 8 h (25C)"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1107.alpha factor release sample025"	"1254.mec1_plus_gamma_60_min"	"1255.mec1_plus_gamma_90_min"	"1686.YP raffinose vs reference pool"	"12744.heat shock 17 to 37, 20 minutes"	"13064.wt/crz1 Ca 30min (2)"	"13504.Univ. of So. Colo. AAP1'"	"15182.Ca 60min (2)"	"18418.2mM MD 170min"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"
"YBR026C"	-0.021	2.326	2.554	1.669	2.178	2.688	2.577	2.0335	1.679	0.319	1.461	1.573	2.537	0.755	1.173	2.1345	2.7165	2.379	2.4865	-0.17	0.049	0.1635	0.193	2.948	0.261	0.272	0.201	1.0915	1.969	2.05	1.981	2.689	2.244	1.827
"YCL059C"	0.13	-3.484	-4.242	-2.109	-3.611	-4.218	-3.675	-2.7855	-2.181	-2.098	-2.587	-2.904	-4.786	-0.323	-1.655	-3.4015	-1.887	-1.4885	-1.846	0.019	0.142	0.169	-0.3805	-4.664	-0.592	0.497	-0.437	0.45	-2.908	-2.614	-2.479	-4.436	-2.396	-1.791
"YCR016W"	-0.443	-2.622	-2.118	-1.25	-2.019	-2.87	-2.734	-2.1005	-1.587	-1.512	-2.021	-1.836	-2.836	-0.439	-1.399	-2.648	-1.736	-2.093	-2.5995	-0.056	-0.07	-0.136	0.0765	-2.836	-0.223	0.01	-0.651	-0.382	-2.302	-1.598	-2.45	-3.082	-2.031	-1.588
"YDL152W"	0.265	-3.304	-2.782	-1.641	-2.848	-3.132	-2.053	-2.039	-0.873	-1.128	-1.978	-2.227	-1.821	-0.976	-1.235	-2.301	-1.419	-1.394	-1.227	-0.025	0.294	0.023	-0.849	-3.422	-0.432	-0.266	-0.59	-1.532	-4.602	-2.931	-2.706	-3.722	-2.566	-1.356
"YDR101C"	0.26	-3.513	-3.404	-1.88	-3.0	-3.74	-3.659	-2.357	-1.309	-1.318	-2.603	-2.204	-4.306	-0.11	-1.232	-2.52	-2.005	-1.96	-2.252	0.113	0.002	-0.238	0.135	-3.253	-0.547	-0.506	-0.106	-0.7145	-3.244	-2.428	-2.116	-3.048	-2.294	-1.739
"YDR258C"	0.0345	4.872	4.2775	1.328	3.929	4.8035	5.243	3.3305	2.0315	1.249	1.698	1.42	3.2635	0.039	1.4065	2.5525	2.6345	2.719	3.0955	-0.2165	-0.0065	0.051	-0.9005	5.3975	-0.3765	-0.358	0.154	0.2825	5.397	3.93	2.859	4.282	3.529	2.673
"YDR361C"	-0.455	-2.862	-3.438	-1.896	-3.115	-3.356	-3.263	-2.99	-2.171	-1.054	-2.149	-2.256	-3.61	-0.36	-1.959	-2.343	-1.435	-1.087	-1.208	0.0655	0.306	0.266	-0.014	-3.92	0.024	0.155	-0.43	-1.64	-2.614	-2.362	-2.048	-3.998	-2.423	-1.849
"YDR412W"	0.194	-2.735	-2.09	-0.705	-1.984	-2.552	-2.649	-1.674	-1.348	-1.154	-1.5	-1.332	-2.38	0.017	-0.896	-2.732	-1.576	-1.601	-1.419	0.225	0.222	0.027	0.078	-2.914	-0.193	-0.536	-0.045	-0.543	-2.5	-2.181	-1.32	-2.305	-1.963	-0.516
"YGR245C"	-0.168	-5.097	-5.1995	-2.66	-3.9345	-4.2355	-3.9115	-2.429	-1.585	-2.188	-3.099	-3.022	-4.207	-0.511	-1.865	-3.164	-2.228	-2.367	-2.154	0.071	0.073	-0.129	-0.636	-4.6765	-0.475	-1.008	-0.72	0.208	-4.281	-2.645	-2.575	-3.415	-2.535	-1.342
"YHR052W"	-0.227	-4.2445	-3.5175	-1.499	-3.5215	-4.3935	-3.9395	-2.069	-1.327	-2.222	-1.975	-1.663	-4.199	-0.189	-1.364	-3.435	-2.249	-2.245	-2.297	-0.033	0.564	0.258	-0.266	-4.9395	-0.441	0.341	-0.681	1.451	-2.827	-1.875	-3.411	-3.47	-2.114	-2.463
"YHR170W"	0.269	-5.3995	-4.622	-2.085	-4.14	-4.723	-3.947	-2.797	-1.852	-1.418	-2.518	-2.551	-4.51	-0.174	-1.083	-2.314	-1.433	-2.149	-1.819	-0.027	0.321	0.107	-0.259	-5.252	-0.418	0.637	0.031	-1.766	-3.576	-2.405	-2.544	-3.601	-2.58	-2.061
"YJR070C"	-0.614	-4.6905	-4.824	-2.426	-3.895	-4.828	-4.332	-2.253	-1.098	-1.418	-2.536	-2.577	-5.317	-0.079	-1.85	-2.102	-1.698	-1.543	-1.829	0.112	-0.56	-1.055	0.463	-4.7655	-0.39	-0.466	-0.1	-2.162	-3.81	-2.429	-2.355	-3.754	-3.104	-2.692
"YKR056W"	-0.563	-4.01	-3.872	-1.497	-2.945	-3.217	-3.127	-1.683	-1.237	-2.941	-2.718	-2.101	-4.495	-0.904	-2.112	-1.986	-1.639	-1.597	-1.637	0.009	0.053	-0.154	0.27	-3.682	-0.257	-0.467	-0.499	0.681	-2.586	-2.146	-1.647	-3.056	-2.089	-1.061
"YLL026W"	0.115	5.873	5.276	2.555	5.224	6.223	6.124	4.226	3.246	2.441	3.233	2.62	3.789	-0.094	1.785	3.64	3.126	3.535	3.999	-0.139	-0.607	-0.735	0.607	5.928	-1.553	0.558	-0.131	1.46	6.217	4.684	3.831	5.223	4.61	3.371
"YLR175W"	-0.331	-4.176	-3.679	-1.829	-3.07	-4.552	-4.902	-2.615	-2.244	-2.283	-2.338	-2.257	-5.607	-0.415	-0.863	-4.678	-2.413	-2.762	-3.408	0.018	-0.055	-0.222	-0.258	-4.431	-0.134	-0.615	-0.43	-0.491	-4.177	-1.884	-3.16	-4.338	-2.959	-2.455
"YLR196W"	-0.199	-5.425	-5.04	-2.108	-3.221	-4.896	-4.532	-2.273	-1.576	-2.578	-2.562	-2.364	-5.083	-0.299	-1.314	-4.378	-2.182	-2.66	-2.604	-0.053	0.137	-0.067	-0.406	-5.097	-0.418	-1.089	-0.518	-0.289	-3.697	-2.702	-2.83	-3.658	-2.412	-1.969
"YLR197W"	-0.329	-4.98	-4.044	-1.636	-3.638	-4.76	-5.179	-2.844	-2.358	-1.615	-2.263	-2.63	-5.817	-0.413	-0.823	-5.671	-2.611	-3.067	-3.716	0.069	0.05	-0.134	0.183	-5.072	-0.371	-0.482	-0.211	0.085	-4.496	-2.603	-3.17	-4.545	-3.045	-2.593
"YLR198C"	0.183	-4.57	-4.694	-1.876	-3.371	-4.643	-4.805	-2.6	-2.306	-1.379	-1.942	-2.411	-5.143	-0.525	-0.622	-5.282	-2.521	-3.21	-3.479	0.025	0.482	0.164	-0.256	-4.143	-0.069	-1.528	-0.797	-0.583	-3.4	-2.256	-2.674	-3.761	-2.805	-1.946
"YLR258W"	-0.882	4.617	4.273	2.589	3.655	4.262	4.866	3.62	2.056	3.336	3.517	3.132	4.602	0.59	3.808	5.214	4.198	3.429	3.18	-0.031	-0.515	-0.367	0.945	4.686	0.104	0.263	-0.227	1.36	3.754	2.37	3.416	5.121	3.888	3.318
"YMR131C"	0.105	-4.819	-4.183	-1.969	-3.849	-4.525	-4.347	-1.871	-1.365	-1.57	-2.255	-2.188	-5.631	-0.364	-1.294	-4.277	-2.776	-2.829	-3.214	-0.125	0.523	0.058	-0.039	-4.674	-0.416	-0.751	-0.265	-0.346	-3.866	-3.136	-2.944	-4.181	-2.68	-1.908
"YNL002C"	-0.424	-4.666	-4.07	-2.094	-3.305	-4.559	-4.222	-2.677	-1.824	-2.816	-2.627	-2.564	-5.196	-0.307	-1.816	-3.426	-2.209	-1.856	-2.186	-0.152	0.293	-0.268	0.129	-4.603	-0.401	-0.109	-0.305	-1.455	-3.481	-2.594	-2.649	-4.466	-2.41	-2.181
"YNL060C"	-0.354	-2.662	-3.546	-1.567	-2.78	-3.921	-3.668	-2.68	-1.681	-1.294	-2.747	-2.318	-5.032	-0.394	-1.388	-2.933	-1.673	-1.634	-1.725	0.093	0.369	0.067	-0.022	-4.389	-0.392	-0.8865	-0.512	-0.395	-3.38	-2.089	-2.147	-3.208	-2.173	-1.48
"YNL075W"	-0.753	-3.86	-3.164	-1.324	-2.558	-3.304	-2.768	-1.938	-1.133	-1.62	-2.078	-1.5	-4.782	-0.195	-1.158	-2.149	-1.222	-0.979	-1.31	-0.096	0.366	0.106	0.086	-3.301	-0.492	-0.493	-0.345	-0.913	-2.935	-2.361	-1.475	-3.779	-2.192	-1.642
"YNL110C"	-0.218	-4.43	-3.64	-1.669	-3.768	-4.56	-4.991	-2.683	-1.811	-3.23	-2.66	-2.463	-5.108	0.215	-2.129	-4.151	-2.141	-1.741	-2.144	-0.179	0.184	0.092	0.021	-5.064	-0.309	-0.421	-0.189	-1.551	-4.907	-3.471	-2.579	-4.747	-2.546	-2.431
"YNL151C"	0.116	-2.707	-2.055	-1.162	-2.682	-2.835	-2.667	-1.246	-1.202	-1.171	-1.236	-1.273	-1.688	0.03	-0.494	-1.317	-0.686	-0.771	-0.414	-0.104	-0.005	0.074	-0.246	-3.201	0.013	-0.0425	-0.056	-0.12	-2.152	-1.745	-2.364	-3.425	-2.373	-1.589
"YNL174W"	0.258	-5.157	-4.699	-2.362	-4.233	-5.579	-4.714	-3.257	-2.252	-2.017	-2.857	-2.718	-5.141	-1.219	-1.707	-4.372	-2.731	-2.682	-2.061	0.014	0.275	0.221	-0.268	-5.426	-0.44	-0.9135	-0.746	-2.175	-3.76	-2.801	-2.624	-3.816	-2.839	-1.053
"YOL041C"	-0.2915	-2.77	-2.082	-0.765	-1.6425	-1.833	-2.018	-1.615	-0.947	-1.3745	-1.2465	-1.3715	-2.40666666666667	-0.6005	-0.821	-2.7335	-1.082	-1.5005	-1.3215	0.0	0.321	-0.0295	0.217	-2.6195	0.166	-1.0535	-0.355	-1.2715	-2.0805	-1.261	-1.5565	-2.5355	-1.9775	-1.643
"YOR243C"	-0.426	-3.594	-3.234	-0.62	-2.436	-3.633	-3.982	-1.407	-1.357	-1.244	-1.985	-1.827	-3.8055	-0.6545	-0.858	-3.635	-2.371	-2.179	-2.726	0.092	0.066	-0.065	0.02	-4.099	-0.159	-0.335	-0.504	-0.03	-2.845	-1.727	-1.808	-2.825	-2.065	-1.562
