	"103.alpha factor release sample026"	"104.alpha factor release sample024"	"107.heat shock 10 min"	"108.heat shock 15 min"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"896.Amino acid + adenine starvation 2 h"	"942.starv_in_H2O_1_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1107.alpha factor release sample025"	"1303.diauxic shift timecourse: 0 hr"	"1310.diauxic shift timecourse: 9.5 hr"	"1313.diauxic shift timecourse: 20.5 hr"	"1673.alpha factor release sample021"	"4872.1M sorbitol - 60 min"	"6344.DES460 + 0.02% MMS - 5 min"	"6824.Sporulation t0"	"8287.mcm1-1 + pRS315 vs. mcm1-1 + pRS-MCM7"	"11466.yO1 test hyb"	"12737.Nitrogen Depletion 2 d"	"12744.heat shock 17 to 37, 20 minutes"	"16338.DES460 vs. DES460 YPD log phase control"	"21632..24 mM H2O2- 250 minutes"	"21645..24 mM H2O2- 020 minutes"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"38152.03II01 batch p8"	"38153.03II01 batch p9"	"38154.03II01 batch p10"	"42066.U3Comp 25 hr 55 min Uracil Batch vs Chemostat Comparison"	"44524.first half PM prep, array 2"
"YBL028C"	0.468	0.024	-2.119	-2.979	-3.969	-3.261	-4.609	-3.234	-2.754	-2.652	-2.015	-2.162	-0.249	-3.002	-2.6315	-2.1695	-1.5655	-2.036	-0.0175	0.302	0.279	-0.742	0.1345	0.0295	-0.067	-0.138	0.588	-0.937	0.3705	-4.011	-0.066	-1.365	0.801	-2.225	-1.545	-2.529	-1.888	-1.463	-2.42	-1.646	-1.712	1.095	0.197
"YBL039C"	0.352	0.225	-4.41	-4.793	-4.486	-3.781	-3.74	-3.092	-3.457	-2.373	-2.908	-3.004	0.139	-2.736	-4.7305	-2.8885	-3.4265	-3.9535	0.173	0.192	0.527	-1.463	0.3875	-0.0805	-0.72	0.234	0.174	-2.958	-3.443	-4.956	-0.194	-1.568	0.299	-1.635	-2.769	-3.951	-3.379	-2.546	-2.348	-2.194	-2.619	1.51	0.475
"YBL099W"	NaN	NaN	0.684	0.83	0.695	0.534	2.411	3.157	3.275	2.762	1.53	1.505	0.069	0.949	3.2345	2.9235	1.855	1.516	-0.368	0.41	0.377	2.575	0.198	-0.062	0.096	-0.086	0.117	1.636	-1.2665	-0.253	-0.202	0.291	-0.299	1.932	2.498	1.397	2.574	2.619	0.896	1.391	1.267	0.283	0.617
"YBR018C"	-0.356	-0.567	1.838	1.935	1.042	NaN	2.459	1.538	1.365	1.519	2.488	0.745	-1.22	1.245	1.2535	0.9945	1.432	1.561	-0.538	-0.619	-1.682	0.903	-0.531	-0.047	-0.483	0.076	0.199	0.902	0.8405	1.311	-0.202	0.157	0.694	0.587	0.89	1.445	0.654	0.299	-1.094	-0.659	-1.21	0.064	0.406
"YBR034C"	0.03	-0.156	-3.771	-3.193	-3.138	-3.33	-3.091	-2.072	-1.817	-1.906	-2.47	-2.349	0.143	-1.874	-2.6345	-1.987	-1.9885	-1.729	0.054	0.033	0.081	-1.034	-0.006	0.0885	-0.272	-0.191	0.488	-2.008	-0.3605	-3.638	-0.229	-1.822	-0.231	-1.707	-1.247	-2.298	-1.596	-0.52	-1.055	-1.193	-1.41	1.286	1.038
"YBR056W"	-0.019	-0.103	2.581	2.937	3.141	3.008	3.069	2.15	2.362	2.37	1.966	2.397	-0.416	1.657	2.803	2.2835	2.196	2.418	-0.1585	-0.611	-0.63	1.826	-0.2175	-0.124	0.228	-0.363	0.119	1.625	0.568	3.273	0.242	0.149	0.122	2.113	1.943	2.66	1.785	1.357	2.601	0.828	3.286	-0.239	0.528
"YBR132C"	-0.337	-0.032	2.202	3.266	3.13	2.733	3.812	4.245	3.753	3.08	2.979	0.879	-0.327	2.822	3.2645	2.806	3.039	2.2645	-0.417	-1.497	-1.813	2.174	-0.1135	-0.2205	-0.143	-0.252	-0.358	1.41	0.7615	2.946	-0.272	1.459	0.93	2.199	1.794	2.438	2.318	2.465	1.01	-0.642	1.351	-1.096	0.35
"YBR139W"	-0.326	0.208	2.369	2.977	2.957	3.234	3.123	2.458	1.926	1.974	1.716	1.942	0.538	1.636	3.3855	2.27	2.1415	2.114	-0.3195	0.172	0.645	2.677	0.2665	-0.155	0.312	0.206	-0.072	1.772	0.5755	3.322	0.089	0.284	0.072	3.063	2.319	3.026	2.805	1.931	2.137	2.169	2.848	-0.896	0.763
"YBR142W"	1.064	NaN	-2.785	-3.45	-2.93	-2.567	-2.447	-1.562	-1.629	-1.515	-1.8	-0.992	-0.198	-1.893	-2.4525	-1.878	-2.0035	-2.148	0.7865	0.252	0.392	-0.719	-0.003	0.0815	-0.202	-0.011	0.296	-0.86	-0.5525	-2.999	0.167	-1.529	-0.252	-2.312	-1.71	-3.06	-2.661	-1.652	-1.529	-1.748	-1.527	-0.475	0.607
"YBR149W"	0.183	0.207	1.97	2.19	2.444	2.594	2.663	1.785	0.665	0.305	0.434	1.419	1.178	0.885	2.396	2.155	1.493	1.329	0.043	0.092	0.309	1.83	0.075	0.013	0.517	0.066	-0.355	0.881	0.5765	2.786	0.03	0.528	0.224	2.402	1.706	2.342	1.999	2.005	2.472	3.024	3.001	0.585	0.858
