	"584.17 deg growth"	"781.Heat Shock 000 minutes (series 2)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"991.constant 0.32 mM H2O2 (120 min) redo"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1251.mec1_plus_gamma_20_min"	"1252.mec1_plus_gamma_30_min"	"1253.mec1_plus_gamma_45_min"	"2556.Hypo-osmotic shock - 45 minutes"	"2966.WT vs Lpz8 null cells in high Cu-repeat"	"6344.DES460 + 0.02% MMS - 5 min"	"7535.25C -- 15 min"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"12738.Nitrogen Depletion 3 d"	"13062.wt/crz1 Ca 15min (2)"	"14711.Ca 5min (1)"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"34350.wt_hypo_osmotic_shock_30min"	"38156.03II01 batch p12"	"42370.CC PU 3B Phosphate-Uracil Chemostat Comparison"
"YBL076C"	-1.104	0.529	NaN	NaN	NaN	NaN	4.075	NaN	-0.508	-3.361	-1.886	-2.4945	-2.9205	-3.688	-3.4915	-3.368	-0.407	-0.1255	-0.298	0.59	0.01	0.15	-0.137	-2.7875	-2.8895	-3.033	-3.216	-0.112	-0.818	-3.674	-3.081	-1.522	-2.613	-2.795	-1.983	0.182	0.468	0.002
"YBL077W"	-0.964	0.519	-3.41	-2.161	-3.136	-5.081	-2.285	-2.607	-0.207	-2.792	-1.615	-2.0335	-2.345	-2.816	-3.3595	-3.1945	-0.061	0.12	-0.0375	0.342	-0.052	-0.095	0.335	-2.488	-2.2065	-2.3345	-2.1125	0.21	-0.691	-2.847	-2.93	-1.236	-2.854	-2.752	-2.048	0.22	0.661	0.448
"YBR089W"	-0.247	0.71	-2.938	-1.454	-3.547	-2.47	-1.621	-1.638	0.36	-2.9465	-1.089	-1.348	-1.751	-2.8165	-3.093	-1.8535	-0.547	-0.6335	-0.6175	0.289	-0.021	-0.039	-0.584	-1.7985	-1.1085	-1.174	-1.29	0.584	-1.158	-1.118	-2.327	-1.611	-1.855	-2.51	-0.909	0.736	0.534	-0.484
"YCR034W"	-0.4	1.011	-2.623	-1.309	-3.204	-4.331	-2.639	-1.895	-0.111	-2.5505	-1.2005	-2.3695	-2.676	-3.0135	-3.2845	-3.3025	-0.653	-0.471	0.018	0.359	-0.05	-0.224	0.491	-2.646	-2.198	-2.761	-2.5975	0.231	-0.908	-3.552	-2.544	-2.163	-3.478	-3.226	-1.806	0.188	0.457	0.817
"YCR053W"	-0.95	0.371	-2.562	-1.828	-3.556	-4.283	-2.391	-1.41	-0.586	-2.5805	-1.277	-1.531	-2.1605	-2.429	-3.1075	-2.714	-0.307	0.0	-0.434	0.651	-0.272	0.175	0.419	-1.6735	-1.907	-1.727	-1.764	-0.06	-0.982	-2.722	-2.601	-1.4795	-2.7365	-2.51	-2.2205	0.4	0.8465	0.4415
"YDL003W"	-1.158	0.194	-2.494	-2.13	-2.029	-2.692	-2.206	-1.632	-0.113	-2.781	-0.7225	-1.7355	-1.89	-1.7805	-2.4395	-2.159	-0.899	-0.851	-0.85	0.152	0.0205	0.261	-1.394	-2.0855	-1.452	-1.357	-1.2505	1.4	-1.4	-2.147	-1.572	-1.816	-2.422	-2.333	-0.922	0.513	0.343	-0.201
"YDR091C"	-0.563	0.996	-3.288	-2.045	-3.384	-4.4	-2.268	-2.03	0.045	-2.971	-1.631	-1.728	-2.044	-2.636	-3.222	-3.423	-0.706	-0.204	-0.738	-0.12	0.018	-0.04	0.823	-1.977	-1.695	-1.907	-1.535	-0.47	-1.138	-3.117	-2.299	-1.712	-2.953	-2.242	-1.817	-0.15	0.507	-0.319
"YDR341C"	-0.857	0.703	-3.559	-2.27	-3.212	-5.262	-2.171	-2.134	-0.365	-2.942	-1.135	-1.942	-2.263	-3.262	-3.294	-3.559	-0.215	0.303	-0.174	0.394	0.215	0.023	0.585	-1.663	-1.444	-1.45	-1.573	-0.046	-0.535	-1.936	-2.272	-1.199	-2.142	-1.941	-1.169	0.407	0.495	0.042
"YEL042W"	-0.627	-0.631	-1.578	-0.84	-3.201	-4.334	-1.439	-1.329	0.2	-1.851	-1.109	-1.705	-1.658	-1.896	-2.665	-3.071	-0.782	-0.37	-0.452	0.778	-0.22	-0.001	0.916	-1.754	-1.366	-1.753	-1.736	0.0115	-1.756	-1.793	-1.936	-1.69	-1.842	-1.963	-0.946	0.957	0.868	0.304
"YER070W"	-0.488	0.648	-3.377	-1.093	-3.252	-3.737	-2.84	-2.667	0.486	-3.198	-0.318	-1.289	-2.288	-2.637	-3.229	-3.359	0.34	-0.184	-0.21	0.476	0.149	0.229	0.131	-2.798	-1.897	-1.946	-2.811	-0.015	-1.04	-1.276	-1.325	-2.058	-1.516	-1.3	-0.259	0.897	0.44	0.247
