	"40.alpha factor release sample029"	"50.Elutriation2:Sample2:Time0.5hrs"	"497.Heat Shock 000 minutes"	"585.21 deg growth"	"597.25 deg growth"	"686.YP ethanol vs reference pool"	"781.Heat Shock 000 minutes (series 2)"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"906.w303a vs w303a hcm1"	"942.starv_in_H2O_1_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1107.alpha factor release sample025"	"8197.steady state 25 dec C"	"8227.dtt 000 min"	"8287.mcm1-1 + pRS315 vs. mcm1-1 + pRS-MCM7"	"11466.yO1 test hyb"	"40972.MD_II_85_min"	"40976.MD_II_140_min"
"YAL007C"	0.255	-0.16	0.176	0.174	-0.16	-0.528	0.303	-1.638	-3.056	-3.632	-0.142	-1.331	-1.826	-1.304	-1.513	-1.4535	-1.9095	-1.496	-1.8635	-1.6745	0.279	0.269	-0.285	0.309	-1.587	-0.996	0.932
"YBL027W"	0.167	0.234	1.4805	0.451	0.393	-0.596	1.274	-1.606	-2.671	-5.577	0.281	-2.494	-2.507	-2.33	-3.9845	-2.4005	-2.0465	-1.9795	-2.114	-3.148	-0.0485	0.658	1.201	0.31	-1.6965	-1.3895	-1.176
"YBL077W"	0.417	-0.2985	0.6685	-0.22	-0.094	-1.134	0.519	-1.176	-3.136	-5.081	0.223	-2.763	-2.607	-2.667	-2.792	-2.0335	-2.345	-2.816	-3.3595	-3.1945	0.062	0.188	0.663	0.345	-1.547	-1.63	-2.135
"YBR025C"	-0.013	-0.1055	0.6355	-0.065	-0.132	-1.198	0.528	-1.651	-1.66	-5.106	0.201	-2.15	-1.624	-1.697	-2.6785	-0.5885	-0.66	-2.141	-2.9345	-3.783	-0.032	0.609	0.779	0.374	-1.365	-1.918	-1.688
"YBR106W"	0.123	0.053	0.9	0.152	0.216	-0.828	0.904	-1.986	-3.354	-5.052	0.079	-2.258	-2.595	-2.731	-2.3915	-2.0935	-2.137	-2.3225	-3.147	-3.2985	0.3165	0.374	0.758	0.634	-1.924	-0.997	-2.027
"YBR121C"	-0.038	-0.3405	0.801	-0.009	0.101	-1.014	0.701	-2.714	-4.037	-5.791	0.018	-2.317	-2.366	-2.465	-3.2385	-2.416	-3.155	-4.1355	-4.173	-4.5985	-0.0135	0.182	0.425	0.001	-2.249	-1.352	-1.433
"YBR189W"	0.126	0.042	1.308	0.186	0.291	-1.0835	1.486	-2.355	-2.065	-4.702	0.417	-3.071	-2.334	-2.025	-3.678	-2.629	-2.467	-1.9305	-1.8835	-2.9475	-0.015	0.794	1.246	0.655	-2.4025	-1.911	-1.5195
"YBR212W"	-0.0125	0.3005	-0.56	0.067	0.1	0.313	-0.676	1.936	3.329	3.128	-0.361	1.824	1.746	1.422	2.072	2.075	1.8265	4.222	4.5675	3.4615	0.012	0.157	-0.297	-0.116	2.252	0.142	-0.466
"YCR010C"	-0.245	0.524	-1.0375	-0.206	-0.592	1.119	-1.271	2.875	7.459	6.14	-0.667	1.656	4.008	4.745	3.1065	1.8915	2.1375	5.5815	6.8295	6.34	0.202	-0.861	-0.848	-0.003	3.196	0.281	-0.613
"YDL143W"	0.011	0.0455	0.391	0.048	0.293	-0.846	0.496	-1.472	-1.678	-3.716	0.067	-1.469	-1.388	-1.582	-2.075	-1.56	-1.794	-2.612	-3.143	-2.716	-0.116	0.168	0.112	0.351	-1.646	-0.771	-1.62
