	"809.DBY7286 37degree heat - 20 min"	"813.MHY1 (dun1) + heat 20 min"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"2144.heat shock 37 to 37, 30 minutes"	"4874.1M sorbitol - 90 min"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"6824.Sporulation t0"	"13057.wt/crz1 Na 30min (1)"	"13093.Missouri Western State College 10 uM DAPI Cy3 4 hrs (exp 1)"	"44524.first half PM prep, array 2"
"YGL016W"	-0.986	-1.177	-1.474	-1.127	-3.034	-4.265	-0.997	-1.815	-1.608	-2.599	-3.554	-2.639	0.244	0.259	-1.235	-0.196	-0.191	1.063	0.04
"YGL031C"	-1.871	-2.776	-1.846	-3.104	-3.683	-5.763	-2.42	-2.475	-2.899	-2.92	-3.061	-3.473	0.335	-0.021	-2.077	0.03	0.461	-0.701	0.529
"YGL049C"	0.095	-0.32	-0.946	-0.555	-2.05	-4.12	-0.75	-0.621	-0.562	-1.692	-1.763	-2.23	-0.335	-0.038	-0.072	-0.005	-0.526	0.507	0.157
"YGL120C"	-1.353	-0.802	-2.077	-2.282	-4.088	-5.111	-2.023	-2.178	-1.783	-2.866	-3.888	-4.137	0.287	0.081	-1.401	-0.06	0.504	-0.545	0.684
"YGL123W"	-1.622	-1.867	-2.802	-3.62	-4.004	-5.982	-2.071	-2.414	-2.278	-2.388	-2.65	-3.558	0.483	-0.229	-2.265	-0.079	0.634	-1.449	0.854
"YGL171W"	-1.398	-1.431	-1.611	-1.839	-2.903	-4.649	-1.8	-1.731	-1.978	-2.292	-3.082	-2.503	-0.23	-0.194	-1.31	0.661	0.315	1.275	0.553
"YGR148C"	-1.796	-2.716	-2.31	-2.615	-3.884	-5.757	-2.455	-2.508	-2.896	-3.022	-3.649	-4.092	0.218	-0.208	-2.072	-0.28	0.5395	-0.9855	0.683
"YGR200C"	-0.4875	-0.658	-1.152	-1.306	-2.863	-3.668	-1.1	-1.274	-1.456	-1.861	-2.863	-2.446	0.002	-0.176	-0.962	0.064	0.116	0.446	-0.006
"YGR285C"	-1.495	-1.664	-1.645	-1.67	-4.078	-6.1	-2.259	-2.557	-2.811	-3.452	-4.07	-4.065	-0.478	-0.78	-1.4295	-0.248	0.848	1.976	0.134
"YHL033C"	-1.7785	-2.082	-1.277	-2.205	-3.984	-6.65	-2.112	-2.808	-2.523	-2.601	-2.923	-4.209	0.742	0.071	-1.8865	0.348	0.568	-1.694	0.676
"YHR019C"	-1.5475	-1.072	-1.831	-2.048	-4.051	-5.077	-1.385	-2.109	-2.06	-3.117	-3.721	-4.387	0.282	-0.182	-1.678	-0.353	0.493	0.396	0.91
