	"49.Elutriation2:Sample2:Time0.0hrs"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1309.diauxic shift timecourse: 18.5 hr"	"1313.diauxic shift timecourse: 20.5 hr"	"4872.1M sorbitol - 60 min"	"5358.1M sorbitol - 5 min"	"6351.DES460 + 0.02% MMS - 30 min"	"6354.DES460 + 0.2% MMS - 45 min"	"6357.DES460 + 0.02% MMS - 60 min"	"6358.DES460 + 0.02% MMS - 90 min"	"8520.DES460 + 0.02% MMS - 120 min"	"11466.yO1 test hyb"	"16514.DES genomic DNA vs. MHY26 (dun1) genomic DNA (correct version)"	"30319.usv1("	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34347.wt_hypo_osmotic_shock_0min"	"34348.wt_hypo_osmotic_shock_7min"	"34349.wt_hypo_osmotic_shock_16min"	"34352.delPPT1_hypo_osmotic_shock_0min"	"34353.delPPT1_hypo_osmotic_shock_7min"	"34354.delPPT1_hypo_osmotic_shock_15min"	"34355.delPPT1_hypo_osmotic_shock_30min"	"34356.delPPT1_hypo_osmotic_shock_60min"	"34502.wt_hypo_osmotic_shock_0min_repeat"
"YAL048C"	0.454	1.579	1.633	1.167	1.225	1.263	1.585	1.042	0.455	0.521	0.333	0.538	0.817	1.019	0.778	0.7415	0.9225	1.1745	1.1505	1.2765	0.146	0.754	0.038	0.0735	0.3435	0.0455	-0.0235	0.2	-0.098	-0.661	0.236	-0.598	-0.051	0.315	-0.097	-0.428	0.842	-0.203	0.01	0.027	0.037	0.251	0.188	0.21	0.14	0.052
"YAL054C"	-0.740666666666667	2.204	4.81	4.157	5.319	5.139	4.599	4.158	1.307	2.054	2.826	1.334	4.109	1.3705	3.064	1.9645	2.27	2.5755	2.999	2.691	1.741	4.239	0.032	0.096	0.026	-0.2165	-0.2225	-0.0315	-0.1425	3.881	0.446	-0.337	3.757	2.31	4.096	5.685	4.989	-0.553	0.099	-0.474	-0.162	-0.159	-0.249	-0.484	0.089	0.037
"YAR073W"	-1.559	-1.516	-1.811	-1.998	-1.561	-1.593	-2.506	-3.191	-0.687	-1.549	-2.433	-2.377	-2.568	-2.3595	-0.9985	-2.069	-2.598	-1.876	-2.5165	-2.5015	-1.681	-1.857	0.1625	-0.056	-0.303	-0.687	-0.557	-0.5995	-0.6905	-1.88	-0.069	-0.133	-3.27	-3.131	-3.183	-2.273	-2.077	-0.06	0.255	0.205	0.438	0.277	-0.013	0.127	0.257	-0.061
"YBL009W"	-1.5765	-2.238	-1.159	0.031	-0.718	-1.461	-1.642	-3.733	-1.691	-1.618	-1.134	-0.51	1.093	-1.7305	-0.8325	-1.469	-2.1165	-1.3125	-2.116	-1.787	0.144	-0.857	0.132	-0.3955	-0.1605	-0.097	-0.0605	-0.025	-0.31	-0.808	-0.117	-0.14	-1.212	-1.878	-1.673	-0.958	-1.305	0.198	-0.023	0.244	0.064	-0.115	0.062	0.112	0.43	-0.282
"YBL024W"	-0.668666666666667	-3.938	-2.484	-2.376	-2.16	-2.175	-2.483	-4.671	-1.661	-2.493	-2.238	-2.114	-2.409	-3.8255	-2.047	-2.147	-2.6055	-3.4875	-3.5465	-3.993	-1.909	-1.51	0.065	-0.472	-0.7865	-0.633	-0.7535	-0.7785	-0.976	-2.18	0.068	0.3	-1.978	-2.148	-1.714	-0.922	-1.167	-0.131	0.338	0.367	0.099	0.329	0.183	-0.076	-0.147	0.005
"YBL087C"	-1.434	-3.104	-2.44	-2.157	-1.789	-1.74	-1.761	-2.104	-2.125	-2.924	-3.187	-2.618	-2.621	-2.933	-1.8755	-2.2155	-2.156	-1.5975	-2.161	-2.357	-1.2	-1.19	0.196	-0.3135	-0.33	-0.3955	-0.3995	-0.474	-0.5385	-1.4515	0.1195	0.82	-2.559	-3.415	-2.879	-2.169	-1.219	-0.403	-0.485	-0.153	-0.179	-0.172	-0.135	0.006	0.223	-0.437
"YBR031W"	-0.087	-1.692	-1.795	-2.055	-2.17	-2.059	-2.397	-2.879	-0.473	-2.233	-3.04	-2.831	-2.633	-2.6295	-1.7205	-1.7175	-2.312	-1.803	-1.9345	-2.5745	-0.741	-1.264	-0.0485	-0.311	-0.4285	-0.5545	-0.506	-0.649	-0.5665	-1.716	0.382	0.421	-2.405	-2.518	-2.852	-2.047	-2.634	-0.308	0.1	0.358	-0.08	0.272	0.314	0.389	0.499	-0.423
"YBR033W"	-0.149666666666667	0.945	1.705	1.338	1.0075	0.8285	0.5945	1.3665	0.751	0.544	0.9455	0.9595	0.253	0.712666666666667	0.332	0.602	0.693	0.709666666666667	0.317333333333333	0.152	0.214	0.687	0.0693333333333333	0.092	0.0633333333333333	0.0903333333333333	-0.0536666666666667	0.0213333333333333	0.0333333333333333	0.9345	0.05	-0.0415	1.739	1.322	1.201	1.135	0.589	-0.774	-0.053	0.099	-0.167	-0.032	-0.117	0.236	0.073	0.193
"YBR121C"	-0.6285	-2.66	-1.84	-1.582	-1.543	-2.186	-2.714	-4.037	-1.694	-2.317	-1.95	-2.366	-2.465	-3.2385	-1.721	-2.416	-3.155	-4.1355	-4.173	-4.5985	-0.999	-1.406	-0.1215	-0.2815	-0.354	-0.3125	-0.3505	-0.4175	-0.4775	-2.249	0.06	0.324	-2.264	-2.22	-1.806	-1.543	-2.181	0.022	0.3	0.247	0.277	0.258	0.329	0.04	-0.015	-0.106
"YBR143C"	-0.9405	-2.729	-2.378	-2.339	-2.197	-1.932	-2.537	-3.195	-1.29	-2.033	-2.231	-2.012	-2.112	-3.1475	-1.838	-2.126	-2.659	-2.698	-2.699	-3.572	-1.003	-1.337	0.029	-0.6515	-0.353	-0.2625	-0.3775	-0.5995	-0.488	-1.699	-0.099	0.712	-2.02	-2.223	-2.453	-1.217	-1.336	-0.216	0.082	0.035	-0.106	0.153	-0.001	0.096	0.09	-0.408
