	"691.DBY7286 + 0.3 mM H2O2 (20 min)"	"830.1.5 mM diamide (10 min)"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"961.1 mM Menadione (20 min) redo"	"962.1 mM Menadione (30 min) redo"	"963.1 mM Menadione (120 min)redo"	"971.1mM Menadione (40 min) redo"	"974.1 mM Menadione (80 min) redo"	"975.1 mM Menadione (105 min) redo"	"985.constant 0.32 mM H2O2 (20 min) redo"	"986.constant 0.32 mM H2O2 (30 min) redo"	"987.constant 0.32 mM H2O2 (50 min) redo"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1661.1 mM Menadione (50 min)redo"	"7529.DBY msn2msn4 0.32 mM H2O2 - 20 min"	"11466.yO1 test hyb"	"12733.Nitrogen Depletion 8 h"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"12738.Nitrogen Depletion 3 d"	"12801.DBYmsn2msn4 (good strain) + 0.32 mM H2O2"	"21638..24 mM H2O2- 070 minutes"	"21659..24 mM H2O2- 077 minutes"	"21666..24 mM H2O2- 055 minutes"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"
"YAL007C"	0.116	0.44	0.566	0.411	0.815	0.865	-0.897	-1.492	-1.638	-3.056	-3.632	-1.352	-1.826	-1.304	0.205	0.055	0.385	-0.033	0.156	0.315	0.811	1.129	0.385	-1.2265	-1.4535	-1.9095	-1.496	-1.8635	-1.6745	-0.078	0.175	-1.587	-1.46	-1.7315	-1.9425	-2.26	-2.034	0.0305	-0.057	-0.006	-0.469	-0.536	-0.397	-0.12	-0.713	-0.367	-0.845
"YBL064C"	3.88	3.389	3.578	3.372	3.364	2.776	3.559	3.497	3.051	2.962	-0.857	2.825	2.387	2.13	3.412	3.654	3.347	4.05	2.714	3.463	3.14	4.096	3.581	3.753	4.115	4.422	2.8815	2.465	1.8785	3.379	4.891	3.343	2.6225	2.929	2.6755	2.6035	3.078	3.9615	4.93	5.043	5.014	3.768	3.992	4.371	4.314	3.589	4.618
"YBR121C"	-0.852	-0.245	-0.881	-1.117	-0.761	-0.747	-1.543	-2.186	-2.714	-4.037	-5.791	-1.95	-2.366	-2.465	0.171	-0.156	-0.111	-0.317	0.041	-0.078	-0.276	-0.519	-0.44	-1.721	-2.416	-3.155	-4.1355	-4.173	-4.5985	-0.197	-0.606	-2.249	-2.1	-2.5385	-2.551	-2.637	-2.6705	-0.3465	-1.997	-1.443	-1.021	-2.549	-2.264	-2.22	-1.806	-1.543	-2.181
"YBR171W"	0.101	0.348	0.465	0.291	0.585	0.573	-0.651	-0.876	-0.918	-2.189	-3.399	-0.816	-1.477	0.216	0.516	0.342	0.667	0.35	0.571	0.715	0.626	0.929	0.251	-0.787	-0.857	-1.0045	-1.2865	-1.677	-1.5245	0.565	0.097	-0.909	-0.876	-1.108	-1.1475	-1.3505	-0.79	0.363	-0.022	-0.294	-0.461	-1.503	-1.041	-0.774	-1.355	-0.943	-1.752
"YBR175W"	0.42	0.459	0.583	0.435	0.576	0.498	-1.027	-1.084	-1.46	-2.52	-3.152	-1.451	-1.159	-0.257	1.076	0.692	0.62	0.599	0.547	0.526	0.212	0.541	0.161	-0.611	-0.895	-0.4815	-1.284	-1.094	-0.661	0.59	0.304	-0.546	-0.8665	-0.6365	-0.464	-0.6215	-0.433	0.44	-0.233	-0.422	-0.772	-1.521	-1.232	-1.967	-1.397	-1.061	-0.88
"YBR256C"	1.548	1.207	1.301	1.086	1.12	0.995	0.592	0.102	0.86	-0.144	-1.641	0.869	0.2	0.46	1.897	1.927	1.288	1.95	1.601	1.389	1.707	1.94	1.426	0.674	0.25	0.5215	-0.7115	0.131	-0.0385	1.586	1.58	-0.132	0.8455	0.7515	0.383	0.5015	0.8335	1.84	1.752	1.812	2.004	1.609	2.493	0.991	0.97	1.317	1.496
"YCL057W"	0.753	0.656	1.085	1.234	1.486	1.085	0.285	-0.085	-0.798	-1.278	-3.12	-0.098	-0.76	-0.891	1.041	0.979	1.113	1.357	0.701	0.846	1.146	1.586	1.306	0.4405	-0.0665	-0.1325	-1.0735	-1.5655	-1.6815	0.779	1.12	-0.405	-0.3115	-0.624	-0.4375	-0.523	-0.461	1.297	0.099	0.582	0.707	-0.825	-0.467	0.193	0.025	-0.124	-0.06
"YDL145C"	-0.2795	-0.178	-0.0725	0.0045	0.102	-0.12	-0.699	-0.983	-0.273	-1.274	-2.9335	-0.908	-0.552	-0.7575	-0.173	-0.176	0.6705	-0.219	-0.348	0.0645	-0.096	0.4265	-0.056	-0.48	-0.659	-0.7075	-1.115	-1.5045	-1.4735	-0.208	0.016	-1.1885	-0.504	-0.9655	-1.0525	-0.96	-1.12	0.0275	-0.9715	-0.6065	-0.2545	-1.013	-0.894	0.044	-1.01	-0.427	-0.974
"YDR189W"	-0.382	-0.381	-0.322	-0.307	0.131	0.008	-0.822	-0.735	-0.956	-1.871	-2.842	-0.61	-0.824	-1.156	0.24	0.18	0.866	0.299	0.575	0.263	0.559	0.555	0.074	-0.801	-0.693	-0.704	-1.597	-1.904	-2.063	0.147	-0.237	-0.9815	-0.301	-0.678	-0.048	-0.388	-0.337	-0.184	-0.318	-0.1985	-0.334	-0.6445	-1.293	-0.5025	-0.8365	-1.03	-0.6975
"YDR268W"	0.4375	0.321	0.5065	0.3395	0.578	0.357	-0.211	-0.7615	-0.512	-2.191	-2.42	0.001	0.1055	-0.503	0.8465	0.892	0.8145	0.9765	0.896	0.8695	0.947	1.2845	0.7965	0.7015	-0.675	-0.7085	-1.9295	-1.41	-0.729	0.6555	0.419	-0.3775	-0.1615	-0.589	-0.7625	-0.5495	-0.354	0.8315	0.5605	0.622	0.6305	-0.2855	-0.348	0.527	0.1505	0.385	-0.577
