	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"512.2.5mM DTT 005 min"	"692.DBYyap1- + 0.3 mM H2O2 (20 min)"	"800.Heat Shock 015 minutes"	"809.DBY7286 37degree heat - 20 min"	"811.DES459 (mec1) + heat 20 min"	"824.DY1457 (wild type) 10 uM zinc vs. 3 mM"	"827.wt vs zap1 - 61 nM zinc"	"834.1.5 mM diamide (30 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"866.starv_in_H2O_0.5_h_30C"	"906.w303a vs w303a hcm1"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1009.YPD 2 h (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1104.wild type vs. zap1 - 76 nM zinc"	"1155.DY1457 (wild type) 3 mM vs. 10 uM zinc"	"1303.diauxic shift timecourse: 0 hr"	"1310.diauxic shift timecourse: 9.5 hr"	"1313.diauxic shift timecourse: 20.5 hr"	"6362.DES459 (mec1-) + 0.02% MMS - 5 min"	"6364.DES459 (mec1-) + 0.02% MMS - 15 min"	"7530.DBY msn2msn4 37C - 20 min"	"7763.Na+FK 30min"	"8526.dun1- + 0.02% MMs - 30 min"	"11466.yO1 test hyb"	"12471.aft2 minus cells with control plasmid vs aft2 minus cells with AFT2 mutant vector"	"12744.heat shock 17 to 37, 20 minutes"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34349.wt_hypo_osmotic_shock_16min"	"34354.delPPT1_hypo_osmotic_shock_15min"	"34355.delPPT1_hypo_osmotic_shock_30min"	"34356.delPPT1_hypo_osmotic_shock_60min"	"34360.batch 02X25 4"	"34362.batch 02X25 5"	"34365.batch 02X25 6"	"34368.batch 02X25 7"	"38156.03II01 batch p12"
"YBL072C"	-2.148	-1.74	-2.905	0.692	-1.144	-0.733	-1.75	-2.843	0.716	-0.106	-1.241	-3.835	-3.367	-3.036	-2.694	-2.486	-3.192	-6.241	-1.659	0.424	-3.06	-3.401	-3.188	-3.091	0.68	-2.5245	-3.2065	-4.2	-0.5055	0.433	0.181	0.422	-1.552	0.818	0.4065	-0.834	-0.871	0.209	-2.524	0.471	-2.881	-3.331	-2.84	-1.71	-1.857	-2.598	-2.041	-2.699	0.451	-0.012	0.454	0.412	-1.539	-2.682	-3.92	-3.013	1.686
"YBL082C"	-2.568	-1.481	-1.865	-0.798	-1.084	0.828	-0.531	-1.4875	-0.358	-0.849	-0.653	2.113	0.744	0.431	0.755	1.621	1.893	1.817	0.768	-1.0	1.917	1.224	1.563	1.428	-0.595	0.3005	-0.146	0.434	-0.757	-0.2945	-0.269	0.121	0.576	-0.574	-0.2805	-0.772	-0.783	0.172	-0.95	0.349	-1.367	-1.532	-1.627	-0.61	-1.322	-1.643	-0.913	-1.005	-0.386	-0.019	0.021	0.186	-0.571	-0.782	-1.904	-1.646	0.5
"YBR048W"	-1.976	-1.916	-2.541	0.555	-1.564	-0.746	-1.656	-2.469	0.447	-0.4725	-1.2295	-3.385	-2.4795	-2.968	-2.171	-2.248	-3.0195	-5.0065	-2.0405	0.4845	-3.0685	-3.137	-3.295	-3.375	0.315666666666667	-2.849	-3.15166666666667	-3.929	-0.710333333333333	-0.586333333333333	0.224	0.274	-2.145	0.299	0.111	-0.732	-1.1085	-0.032	-2.013	-0.351333333333333	-2.7435	-4.043	-3.545	-3.133	-4.089	-3.69	-2.483	-2.711	0.563	0.396	0.482	0.631	-1.681	-2.346	-2.602	-2.386	1.027
"YBR143C"	-1.726	-1.355	-2.238	0.567	-1.143	-1.087	-0.746	-1.2775	0.079	0.66	-1.267	-2.729	-2.378	-2.339	-2.197	-1.932	-3.195	-4.642	-1.29	0.181	-2.033	-2.231	-2.012	-2.112	0.333	-2.698	-2.699	-3.572	0.305	-0.0275	0.291	0.194	-1.337	0.385	0.142	-0.608	-0.988	0.021	-1.699	0.334	-1.827	-2.722	-2.02	-1.579	-2.223	-2.453	-1.217	-1.336	0.035	-0.001	0.096	0.09	-1.296	-1.127	-1.462	-1.337	0.963
"YBR280C"	2.851	2.257	2.891	-1.237	-0.415	1.06	-0.054	-0.5005	-0.615	-0.817	1.367	2.703	2.477	1.27	2.679	1.453	1.651	1.169	1.413	-1.322	1.906	2.32	1.894	1.107	-0.249	2.169	2.1525	1.7855	-0.305	0.008	-0.328	-0.345	1.667	-0.853	-0.387	0.008	0.416	0.026	2.813	-0.218	2.82	2.287	2.026	1.505	2.655	2.466	1.779	2.342	-0.019	0.008	-0.105	0.134	0.322	1.918	1.322	1.015	-1.011
"YDL169C"	1.887	1.441	1.999	-1.874	-0.73	0.707	-0.449	1.304	-0.679	-1.006	1.487	3.707	3.499	0.689	3.534	1.666	1.95	2.662	1.668	-1.273	3.19	3.642	3.08	2.207	-0.624	1.767	1.995	1.343	-0.517	-0.316	-0.804	-0.896	2.004	-1.145	-0.562	-0.386	0.868	-0.354	2.047	-0.893	2.06	3.271	4.334	2.46	3.416	4.264	2.29	2.575	0.041	-0.024	-0.078	-0.111	1.677	1.658	2.144	1.509	-1.11
"YDR025W"	-2.141	-2.0	-3.031	0.381	-1.334	-1.096	-1.477	-2.011	0.334	-0.577	-1.822	-3.904	-3.548	-3.252	-2.573	-2.592	-3.393	-6.697	-1.997	0.399	-3.357	-3.356	-3.471	-3.326	0.191	-2.503	-2.895	-3.518	-0.926	0.446	0.198	0.084	-1.887	0.419	-0.149	-0.926	-1.467	0.198	-1.7675	0.193	-3.042	-4.772	-3.127	-2.93	-3.906	-3.552	-2.869	-2.535	0.47	0.352	0.468	0.624	-1.818	-2.458	-3.528	-2.366	0.878
"YDR417C"	-2.075	-1.608	-2.715	0.71	-1.594	-1.059	-1.469	-2.536	0.287	-0.073	-1.257	-3.705	-2.778	-2.992	-2.407	-2.511	-4.279	-5.062	-1.775	0.097	-3.58	-3.209	-2.864	-2.95	0.43	-2.861	-3.022	-3.606	-0.474	0.106	0.349	0.341	-2.146	0.64	0.227	-1.025	-1.301	0.048	-2.149	0.385	-2.642	-3.553	-2.61	-1.768	-3.585	-3.332	-2.261	-2.404	0.495	0.371	0.671	0.671	-1.903	-2.406	-3.526	-2.531	1.195
"YDR418W"	-1.94	-1.617	-2.789	1.357	-1.777	-0.801	-1.558	-2.651	0.382	-0.049	-1.178	-3.707	-3.13	-2.7	-2.237	-2.192	-3.074	-5.866	-1.601	0.246	-3.315	-3.181	-2.797	-2.605	0.581	-2.866	-3.091	-4.066	-0.312	0.308	0.275	0.243	-2.514	0.637	0.28	-0.954	-1.177	-0.025	-2.345	0.456	-2.74	-4.005	-2.423	-1.873	-3.263	-3.057	-2.027	-3.381	0.404	0.218	0.457	0.545	-1.732	-2.521	-3.519	-2.546	1.435
"YDR447C"	-2.299	-2.149	-3.242	1.02	-1.135	-1.292	-1.478	-2.917	0.269	-0.458	-1.542	-4.882	-3.934	-3.531	-3.26	-2.507	-3.659	-5.332	-2.128	0.369	-3.574	-3.565	-2.813	-3.129	0.24	-2.53	-2.625	-3.552	-0.539	0.036	0.103	-0.116	-1.67	0.588	0.355	-0.917	-1.376	-0.053	-2.1165	0.428	-2.593	-3.67	-2.356	-1.471	-4.358	-3.418	-2.211	-3.223	0.026	-0.163	0.238	0.334	-1.622	-2.685	-3.648	-2.69	0.672
