	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"978.wt_plus_gamma_20_min"	"979.wt_plus_gamma_30_min"	"1012.YPD 12 h (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1167.NBW7 strain low-Pi vs. High-Pi, exp.1"	"1172.pho80 mutant vs wild type"	"1173.PHO4c vs. wild type"	"1300.DBY7286 Low-Pi vs. High-Pi"	"1301.PHO81c vs. wild type, exp.2"	"4872.1M sorbitol - 60 min"	"11466.yO1 test hyb"	"12739.Nitrogen Depletion 30 min."	"21631..24 mM H2O2- 190 minutes"	"30773.Pomona/Brown Sir3x red"	"34360.batch 02X25 4"	"38154.03II01 batch p10"	"40965.MD_II_28_min"
"YAL003W"	-3.002	-2.293	-1.77	-1.277	-3.377	-3.392	-1.574	-1.869	-2.462	-0.74	-0.8265	-2.8395	-1.7845	-1.6755	-1.314	-1.8955	-1.8	0.278	0.149	0.028	0.011	0.016	-0.182	-1.776	-1.3655	0.18	0.094	-1.778	-0.949	0.454
"YAL035W"	-2.9955	-1.8465	-1.056	-1.6975	-2.5615	-3.6215	-1.3835	-1.5975	-1.6735	0.212	0.258	-3.02066666666667	-2.06233333333333	-2.29966666666667	-2.08033333333333	-1.92533333333333	-2.48066666666667	0.229	0.041	0.543	0.471	0.77	-0.260333333333333	-1.714	-0.994666666666667	0.193	0.155	-0.452	-0.894	0.88
"YAR074C"	-1.997	-2.524	-2.203	-1.916	-3.038	-2.968	-2.027	-2.048	-1.315	0.4915	0.9565	-1.803	-1.862	-2.226	-1.293	-1.8415	-2.013	-0.05	0.33	0.741	0.208	0.641	-0.161	-1.176	-1.5195	0.045	-0.272	-1.336	-1.581	-1.007
"YBL077W"	-3.41	-2.161	-1.694	-1.571	-3.136	-5.081	-2.763	-2.285	-2.607	-0.5025	-0.43	-2.792	-2.0335	-2.345	-2.816	-3.3595	-3.1945	0.055	0.127	0.023	0.079	0.159	0.0635	-1.547	-0.8755	-0.495	0.115	-1.204	-0.825	-0.103
"YBL087C"	-3.104	-2.44	-2.157	-1.789	-2.104	-2.516	-2.924	-3.187	-2.618	-0.6825	-0.8265	-2.933	-2.2155	-2.156	-1.5975	-2.161	-2.357	0.006	-0.081	-0.612	-0.392	-0.246	0.196	-1.4515	-1.4945	0.1885	-0.278	-1.612	-1.915	-1.1925
"YBL092W"	-3.458	-3.598	-2.824	-2.394	-2.896	-5.158	-3.0	-2.812	-2.665	-0.825	-0.868	-3.5865	-2.153	-2.4445	-1.726	-2.74	-2.8475	0.285	0.562	-0.983	-0.05	-0.053	0.097	-1.555	-1.251	0.196	0.092	-1.066	-2.182	-0.257
"YBR036C"	1.088	1.208	1.228	1.097	0.244	-0.955	0.508	0.596	0.181	-0.0905	0.1765	1.578	0.815	1.0185	1.593	1.466	1.0845	-0.074	-0.146	-0.037	-0.394	-0.109	-0.2575	0.327	0.137	0.28	0.126	0.425	0.701	-0.484
"YBR048W"	-3.385	-2.4795	-2.968	-2.171	-3.0195	-5.0065	-3.0685	-3.137	-3.295	-0.827333333333333	-0.792333333333333	-4.66033333333333	-2.77266666666667	-2.738	-2.849	-3.15166666666667	-3.929	-0.196	-0.099	-0.245	-0.467	-0.331	0.190666666666667	-2.013	-1.14866666666667	-0.00566666666666667	-0.118	-1.681	-1.783	-0.043
"YBR084W"	-4.143	-3.145	-3.201	-2.722	-4.365	-5.362	-2.317	-2.197	-1.44	-1.1045	-0.711	-2.3585	-1.9025	-2.592	-1.934	-2.75	-2.725	0.474	0.062	0.214	-0.603	-0.073	-0.015	-2.65	-0.819	-0.438	0.193	-1.73	-1.48	-0.534
"YBR121C"	-2.66	-1.84	-1.582	-1.543	-4.037	-5.791	-2.317	-1.95	-2.366	-0.654	-0.7395	-3.2385	-2.416	-3.155	-4.1355	-4.173	-4.5985	-0.015	0.551	0.407	0.166	0.495	-0.1215	-2.249	-1.068	-0.085	0.12	-0.861	-0.366	0.018
