	"861.YPD_5_d_30C"	"944.starv_in_H2O_4_h_30C"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"13496.G0 mRNP vs. Poly"	"44524.first half PM prep, array 2"
"YLR101C"	-3.161	-0.811	-1.911	-2.069	-2.518	0.164	0.736
"YLR208W"	-4.432	-1.568	-1.898	-2.183	-2.499	0.992	0.508
"YLR276C"	-5.399	-1.65	-1.866	-3.17	-3.081	-0.05	0.862
"YLR291C"	-4.762	-1.104	-1.783	-2.216	-2.363	-0.082	0.604
"YLR301W"	-5.415	-1.605	-2.581	-2.218	-2.268	1.277	0.887
"YLR314C"	-5.585	-1.368	-2.906	-3.447	-3.937	0.599	0.4
"YLR389C"	-2.961	-0.23	-1.552	-1.921	-2.496	0.815	0.478
"YLR412W"	-4.156	-0.501	-0.959	-1.335	-2.231	-0.98	0.268
"YML019W"	-3.311	-0.93	-1.333	-1.842	-1.638	-0.361	0.488
"YML031W"	-3.953	-1.039	-1.68	-1.828	-2.276	-0.169	0.72
"YML093W"	-5.889	-1.818	-2.547	-2.745	-3.262	1.364	0.625
"YMR091C"	-4.005	-1.052	-1.396	-2.09	-2.24	0.65	0.164
"YMR235C"	-5.187	-1.879	-2.838	-3.21	-3.756	0.236	0.554
"YMR307W"	-5.877	-3.284	-4.432	-5.016	-4.56	1.507	1.635
"YNL001W"	-3.241	-0.717	-1.116	-1.395	-1.761	-0.384	0.624
"YNL022C"	-3.745	-1.173	-1.606	-2.3	-2.325	-0.035	0.434
"YNL085W"	-5.369	-1.365	-2.001	-2.706	-3.291	1.854	0.577
"YNL154C"	-3.909	-1.037	-1.346	-2.5	-2.113	0.503	0.566
"YNL189W"	-4.06	-1.183	-2.058	-2.641	-3.084	0.463	0.373
"YNL227C"	-3.134	-0.931	-1.403	-2.085	-1.89	0.717	0.339
"YNL247W"	-4.64	-2.13	-2.658	-3.388	-2.515	0.718	0.27
"YNL272C"	-2.783	-0.723	-0.957	-1.339	-1.856	-0.596	0.231
"YNL297C"	-3.457	0.1	-1.545	-2.132	-2.222	0.599	0.326
"YNR043W"	-5.1565	-1.949	-2.655	-3.803	-3.856	0.982	0.962
"YOR151C"	-3.5555	-1.3845	-0.973	-1.754	-2.127	1.751	0.972
"YOR168W"	-4.808	-1.8785	-2.348	-2.353	-2.604	0.729	0.638
"YOR188W"	-3.8385	-0.9695	-1.695	-1.73	-2.104	0.714	0.173
"YOR198C"	-5.562	-1.262	-4.384	-4.657	-4.415	1.319	0.735
"YOR236W"	-3.971	-1.0385	-1.568	-2.695	-2.322	-0.364	0.18
"YOR239W"	-5.0985	-1.633	-3.149	-3.934	-3.704	0.754	0.378
"YOR253W"	-5.157	-1.538	-1.872	-2.672	-2.633	0.064	0.104
"YOR260W"	-4.639	-1.6575	-2.257	-2.577	-3.081	0.929	0.237
"YOR270C"	-4.932	-1.5115	-1.912	-2.307	-2.635	1.46	0.399
"YOR280C"	-4.249	-0.4395	-1.197	-1.828	-1.95	0.248	0.188
"YOR311C"	-2.824	-1.391	-0.789	-1.466	-2.0	-0.149	0.267
"YOR320C"	-3.6785	-1.051	-1.291	-1.454	-1.828	0.404	0.656
"YOR326W"	-4.9875	-2.6115	-3.585	-3.591	-2.795	1.534	0.402
"YPL037C"	-5.417	-2.148	-2.115	-3.222	-3.654	0.51	1.085
"YPL091W"	-3.471	-0.895	-1.614	-1.738	-2.295	0.962	0.435
"YPL094C"	-5.3055	-1.6665	-2.024	-2.284	-2.741	-0.579	0.226
"YPL145C"	-4.3865	-1.177	-2.014	-2.71	-3.192	1.116	0.158
"YPL160W"	-5.284	-2.11133333333333	-3.1695	-3.499	-2.977	1.405	0.7495
"YPL207W"	-3.832	-0.913	-2.101	-2.319	-2.628	0.6015	0.403
"YPL237W"	-5.7585	-1.8945	-2.006	-2.44	-3.024	0.524	0.221
"YPL239W"	-3.907	-0.8005	-1.503	-2.384	-2.259	0.2665	-0.312
"YPL243W"	-5.276	-1.315	-2.602	-3.541	-3.544	-0.045	0.706
"YPR010C"	-3.425	-1.50933333333333	-1.852	-2.158	-2.729	0.774666666666667	0.1785
"YPR033C"	-7.94	-2.759	-3.951	-4.382	-4.54	1.1995	0.737
"YPR108W"	-4.645	-1.428	-2.383	-3.07	-2.669	0.834	0.424
"YPR118W"	-5.524	-2.305	-2.882	-3.334	-3.538	0.9025	0.21
"YPR129W"	-6.025	-1.057	-1.298	-2.61	-2.139	0.0515	0.151
"YPR187W"	-5.408	-2.16	-2.28	-2.584	-3.22	-0.0135	0.399
