	"809.DBY7286 37degree heat - 20 min"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"944.starv_in_H2O_4_h_30C"	"1014.YPD 2 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"6361.DBYyap1- 37degree heat - 20 min (redo)"
"YHR203C"	-1.815	-3.782	-5.944	-3.412	-2.437	-2.575	-3.081	-3.941	-1.9665
"YIL044C"	-0.0955	-1.784	-2.248	-0.621	-0.49	-1.033	-1.385	-1.612	-0.204
"YIL078W"	-1.347	-5.192	-6.059	-2.5	-2.436	-4.41	-4.902	-4.944	-1.422
"YIR010W"	0.018	-1.35	-1.764	-0.346	0.145	-0.017	-0.658	-1.146	-0.1765
"YJL073W"	0.0336666666666667	-1.884	-3.2645	-1.004	-0.8755	-1.2855	-1.7505	-1.523	-0.154
"YJL145W"	-0.8655	-2.136	-3.628	-1.336	-1.678	-2.303	-2.334	-2.853	-1.0165
"YJR001W"	-0.143	-2.83	-3.551	-1.103	-0.567	-1.449	-1.449	-1.784	-0.471
"YJR007W"	-0.416	-3.21	-8.057	-1.824	-1.848	-2.909	-3.009	-3.616	-0.8075
"YJR145C"	-1.7845	-3.54	-6.528	-3.597	-2.396	-2.519	-3.105	-3.178	-1.93
"YKL056C"	-1.046	-3.426	-5.119	-2.371	-1.741	-2.754	-3.265	-3.483	-1.1915
"YKL080W"	-0.451	-4.229	-5.94	-1.461	-1.299	-2.874	-2.944	-2.866	-0.692
"YLR059C"	-0.336	-2.732	-3.188	-0.813	-1.149	-1.108	-1.26	-0.987	-0.184
"YLR060W"	-0.273	-4.941	-5.967	-2.672	-2.397	-3.118	-3.713	-4.371	-0.708
"YLR062C"	-1.524	-5.705	-6.896	-3.965	-3.209	-4.299	-4.293	-5.234	-1.928
"YLR095C"	0.184	-2.089	-2.686	-0.489	-0.378	-1.06	-0.772	-1.295	-0.142
"YLR292C"	0.003	-1.605	-3.717	-0.893	-1.241	-1.388	-1.751	-1.71	-0.284
"YLR339C"	-1.401	-4.988	-6.865	-3.201	-2.647	-2.461	-3.161	-3.973	-1.958
"YLR351C"	0.109	-2.285	-3.461	-0.929	-0.208	-0.213	-0.847	-0.964	-0.484
"YLR448W"	-1.538	-3.552	-5.971	-3.179	-2.521	-2.668	-3.192	-4.132	-1.725
"YML021W"	-0.137	-1.877	-3.917	-0.834	-1.375	-1.095	-1.919	-1.511	-0.532
"YML063W"	-1.764	-4.048	-13.273	-3.415	-2.658	-3.123	-3.364	-4.059	-1.98
"YML064C"	-0.053	-2.421	-3.73	-1.106	-0.612	-1.338	-1.457	-1.948	-0.274
