	"810.DES460 (wild type) + heat 20 min"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"1013.YPD 1 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"
"YBR025C"	0.0315	-1.66	-5.106	-0.8525	-0.66	-2.141	-2.9345	-3.783
"YBR082C"	1.2085	-2.746	-3.456	-0.897	-0.7415	-1.767	-2.379	-2.5995
"YBR106W"	-1.16	-3.354	-5.052	-1.999	-2.137	-2.3225	-3.147	-3.2985
"YBR142W"	-1.912	-2.133	-4.241	-1.878	-2.148	-2.2985	-2.5785	-2.8165
"YBR172C"	0.494	-1.605	-3.593	-0.23	-0.5835	-1.176	-1.6515	-1.648
"YBR206W"	-0.4095	-2.307	-3.253	-0.7775	-0.8285	-1.0975	-1.694	-1.6555
"YBR288C"	-0.0745	-2.229	-3.524	-1.0805	-1.1005	-1.2605	-1.978	-1.688
"YCR003W"	-0.0205	-1.833	-2.705	-0.3565	-0.698	-1.028	-1.3745	-1.3805
"YCR044C"	0.236	-1.836	-2.699	-0.3045	-0.887	-1.0725	-1.5355	-1.758
"YDL135C"	-0.047	-1.586	-4.374	-0.708	-0.552	-1.246	-1.998	-1.559
"YDL143W"	-0.083	-1.678	-3.716	-1.535	-1.794	-2.612	-3.143	-2.716
"YDL185W"	0.633	-2.522	-4.417	-0.21	-0.701	-1.557	-2.084	-3.0
"YDR023W"	-0.892	-2.907	-5.745	-1.744	-2.313	-3.056	-3.357	-3.85
"YDR037W"	-0.576	-4.551	-5.224	-2.384	-2.313	-2.916	-3.368	-3.772
"YDR098C"	0.312	-1.722	-3.797	-1.054	-1.498	-1.355	-2.09	-2.226
"YDR158W"	-0.811	-3.546	-5.115	-0.514	-1.763	-3.109	-3.802	-4.509
"YDR226W"	-0.416	NaN	NaN	-0.128	-0.98	-2.764	-3.469	-3.736
"YDR417C"	-1.539	-4.279	-5.062	-2.458	-2.986	-2.861	-3.022	-3.606
"YDR418W"	-1.509	-3.074	-5.866	-2.5	-2.82	-2.866	-3.091	-4.066
"YDR454C"	-0.982	-2.876	-4.275	-0.963	-1.534	-1.835	-2.466	-2.28
"YEL054C"	-1.382	-2.98	-7.056	-2.336	-2.579	-2.504	-3.005	-3.554
"YER043C"	-1.02	-4.78	-6.476	-2.272	-3.716	-3.31	-4.857	-4.918
"YER0561C"	-1.4	-2.974	-4.828	-2.208	-2.538	-2.398	-2.784	-3.617
"YER074W"	-1.296	-3.067	-3.854	-2.436	-2.735	-2.339	-2.829	-3.947
"YER131W"	-1.307	-3.664	-6.55	-2.089	-2.498	-2.105	-2.654	-3.304
"YFL028C"	0.133	-2.187	-3.995	0.118	-0.442	-0.561	-1.541	-0.469
"YFR031BC"	-1.809	-4.702	-7.029	-2.253	-2.912	-3.164	-3.863	-4.146
"YGL027C"	-0.11	-2.354	-4.731	-0.233	-0.674	-2.105	-2.719	-3.083
"YGL135W"	-1.762	-3.418	-5.687	-2.03	-2.692	-2.267	-2.874	-3.825
"YGL213C"	0.075	-3.409	-3.301	-0.832	-1.224	-1.708	-2.07	-2.079
"YGL231C"	0.199	-1.893	-3.788	-0.64	-0.357	-1.455	-1.7	-1.822
"YGL245W"	-0.643	-4.799	-6.655	-1.416	-2.121	-3.552	-4.345	-4.779
"YGR037C"	0.296	-3.63	-4.976	-0.786	-1.441	-1.964	-2.717	-2.416
"YGR085C"	-1.201	-3.406	-6.059	-2.106	-2.77	-3.306	-3.54	-4.179
"YGR173W"	-0.885	-2.218	-3.699	-1.279	-0.91	-1.919	-1.996	-2.168
"YGR185C"	-0.608	-5.306	-6.361	-1.434	-2.944	-4.576	-4.871	-5.006
"YGR285C"	-1.078	-4.078	-6.1	-2.259	-2.811	-3.452	-4.07	-4.065
"YHR005C"	-0.047	-1.947	-4.17	-0.667	-0.985	-2.115	-2.592	-2.519
"YHR043C"	1.088	-1.983	-3.778	-0.736	-1.062	-1.59	-1.963	-1.696
"YHR068W"	-0.728	-4.28	-6.532	-1.652	-2.429	-2.724	-3.669	-3.425
"YHR193C"	-1.257	-3.11	-4.166	-1.558	-1.913	-1.778	-2.357	-2.845
"YIL078W"	-0.993	-5.192	-6.059	-1.821	-3.226	-4.41	-4.902	-4.944
"YIL096C"	-1.224	-1.96	-3.119	-1.122	-0.882	-1.288	-1.637	-1.667
"YIL123W"	-0.591	-1.416	-4.259	-0.513	-1.299	-0.845	-1.447	-1.361
"YIL138C"	0.236	-2.433	-3.747	-0.258	-1.149	-1.524	-2.298	-1.906
"YJL183W"	-0.079	-2.097	-4.986	-0.997	-1.333	-1.66	-2.208	-2.121
"YJR003C"	-0.679	-2.48	-3.457	-1.37	-0.91	-2.176	-2.349	-2.42
"YJR006W"	0.144	-1.626	-3.835	-0.122	-0.229	-1.436	-1.352	-1.692
"YJR007W"	-0.626	-3.21	-8.057	-1.571	-2.051	-2.909	-3.009	-3.616
"YJR137C"	0.622	0.125	-0.869	0.096	0.046	0.113	-0.429	-0.351
"YJR145C"	-1.245	-3.54	-6.528	-1.988	-2.336	-2.519	-3.105	-3.178
"YKL113C"	-1.0235	-2.6995	-2.644	-1.09	-1.2075	-1.4465	-1.3135	-1.721
"YKL145W"	1.15	-1.469	-3.898	0.192	0.168	-0.904	-1.615	-1.832
"YKL152C"	0.481	-3.152	-4.943	0.416	-0.245	-1.713	-1.83	-2.83
"YKL154W"	0.106	-2.701	-3.89	-1.194	-1.447	-1.765	-2.132	-2.222
"YKL212W"	-0.003	-3.014	-4.806	-0.736	-1.598	-2.516	-2.929	-3.374
"YKR059W"	-1.041	-2.817	-4.998	-1.043	-2.106	-2.623	-2.96	-3.568
"YLL008W"	-1.357	-2.899	-6.113	-2.41	-2.612	-2.386	-2.487	-2.92
"YLR057W"	0.183	-1.719	-4.294	-0.296	-0.718	-1.683	-1.94	-2.121
"YLR060W"	-0.552	-4.941	-5.967	-1.546	-2.667	-3.118	-3.713	-4.371
"YLR061W"	-0.993	-4.939	-6.591	-2.164	-2.88	-3.309	-3.833	-3.91
"YLR065C"	-0.157	-1.93	-3.028	-1.007	-1.137	-1.477	-1.554	-1.642
"YLR167W"	-0.978	-1.761	-4.496	-1.27	-1.439	-1.334	-1.976	-2.263
"YLR291C"	-0.255	-3.037	-4.762	-1.21	-1.283	-1.783	-2.216	-2.363
"YLR292C"	0.663	-1.605	-3.717	-1.411	-0.63	-1.388	-1.751	-1.71
"YLR293C"	-0.733	-3.488	-6.281	-1.576	-2.158	-2.379	-3.03	-3.186
"YLR301W"	0.567	-3.676	-5.415	-1.36	-1.325	-2.581	-2.218	-2.268
"YLR314C"	0.221	-2.218	-5.585	-1.702	-2.761	-2.906	-3.447	-3.937
"YLR321C"	-0.309	-1.495	-3.485	-0.666	-0.702	-1.296	-1.553	-1.552
"YML018C"	-0.189	-2.284	-3.383	-1.191	-0.755	-1.452	-1.922	-2.274
"YML028W"	1.714	-3.312	-5.853	0.048	-0.134	-1.597	-2.448	-2.489
"YML074C"	-0.301	-2.837	-5.319	-0.727	-1.673	-2.826	-3.214	-3.466
"YML106W"	-0.571	-2.297	-3.649	-0.814	-1.583	-1.423	-1.467	-1.771
"YMR049C"	-1.43	-4.225	-9.471	-1.79	-2.279	-3.3	-3.396	-4.217
"YMR298W"	0.334	-1.407	-3.399	0.03	0.228	-0.295	-0.549	-0.555
"YNL026W"	1.431	-1.792	-4.57	-0.24	-0.769	-1.742	-1.531	-1.966
"YNL069C"	-1.327	-4.006	-4.824	-1.921	-2.466	-2.107	-2.509	-3.665
"YNL280C"	-0.068	-1.762	-3.802	0.013	-0.115	-1.267	-1.071	-1.761
"YNL316C"	0.222	-1.309	-3.472	-0.547	-0.872	-1.127	-1.298	-1.41
"YOL030W"	0.191	-0.1635	-1.9685	0.574	-0.968	-1.137	-2.047	-2.204
"YOR001W"	-0.59	-1.861	-4.782	-1.107	-1.018	-1.551	-2.081	-2.136
"YOR004W"	-1.705	-3.012	-5.273	-2.503	-1.689	-2.507	-2.832	-2.931
"YOR088W"	0.472	-0.4185	-1.979	-0.003	-0.388	-1.457	-1.775	-1.922
"YOR117W"	0.764	-0.215	-4.538	-0.274	-0.688	-0.901	-2.138	-1.922
"YOR163W"	-0.274	-1.226	-3.0605	-0.34	-0.809	-0.809	-1.31	-1.484
"YOR184W"	-0.213	-1.887	-4.7005	-0.045	-0.804	-0.937	-1.224	-2.221
"YOR209C"	-0.281	-2.998	-6.004	-0.801	-1.227	-1.897	-2.681	-2.954
"YOR251C"	-0.332	-1.47	-3.3935	0.18	0.254	-0.623	-0.453	-0.807
"YOR253W"	-0.281	-2.7935	-5.157	-1.318	-1.299	-1.872	-2.672	-2.633
"YPL037C"	-0.903	-3.9955	-5.417	-1.255	-1.872	-2.115	-3.222	-3.654
"YPL178W"	-0.125	-2.0395	-3.2495	-0.592	-1.052	-1.535	-1.511	-1.922
"YPR074C"	-0.277	-5.337	-5.42	-1.5	-3.162	-3.369	-3.61	-3.663
"YPR118W"	-0.986	-3.9965	-5.524	-1.488	-2.077	-2.882	-3.334	-3.538
"YPR144C"	-0.786	-3.129	-4.2065	-1.327	-1.22	-1.687	-2.51	-2.411
"YPR169W"	-0.119	-1.3815	-3.2805	-1.068	-0.554	-1.098	-1.492	-1.764
"YPR187W"	-0.737	-3.609	-5.408	-1.827	-2.016	-2.28	-2.584	-3.22
