	"106.heat shock 05 min"	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"117.heat shock 60 min"	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"686.YP ethanol vs reference pool"	"809.DBY7286 37degree heat - 20 min"	"812.1M sorbitol - 45 min (* centrifugation problem)"	"817.1M sorbitol - 30 min"	"830.1.5 mM diamide (10 min)"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"840.1.5 mM diamide (60 min)"	"842.1.5 mM diamide (90 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1155.DY1457 (wild type) 3 mM vs. 10 uM zinc"	"1258.DBYyap1 + 37degree heat (repeat)"	"1309.diauxic shift timecourse: 18.5 hr"	"1313.diauxic shift timecourse: 20.5 hr"	"2560.29C to 33C - 15 min"	"4047.0.8M NaCl +FK506 - 15 min"	"4048.0.8M NaCl +FK506 - 30 min"	"4781.DBYtrr1 + 0.3 mM H2O2 - 30 min"	"4785.29C +1M sorbitol to 33C + 1M sorbitol - 15 min"	"4786.29C +1M sorbitol to 33C + 1M sorbitol - 5 min"	"4787.29C +1M sorbitol to 33C + 1M sorbitol - 30 min"	"4789.33C + 1M sorbitol vs. 29C - adapted"	"4872.1M sorbitol - 60 min"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"6668.wt - 0.1 mM H2O2 - 10 min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8213.steady state 36 dec C"	"8234.dtt 240 min"	"8522.DES459 (mec1-) + 0.02% MMS - 45 min"	"8523.DES459 (mec1-) + 0.02% MMS - 60 min"	"11466.yO1 test hyb"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12744.heat shock 17 to 37, 20 minutes"	"32253.DBY8778_heat_shock2_15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34352.delPPT1_hypo_osmotic_shock_0min"	"34353.delPPT1_hypo_osmotic_shock_7min"	"34354.delPPT1_hypo_osmotic_shock_15min"	"34360.batch 02X25 4"	"34362.batch 02X25 5"	"34365.batch 02X25 6"	"34368.batch 02X25 7"	"38152.03II01 batch p8"	"38153.03II01 batch p9"	"38154.03II01 batch p10"	"38155.03II01 batch p11"	"42373.CC UL 3B Uracil-Leucine Chemostat Comparison"
"YBL015W"	1.27	2.275	2.554	1.948	1.89	1.157	0.473	0.748	1.373	1.991	2.07	1.7975	0.585	-0.1595	0.001	0.69	0.713	0.339	-0.433	-0.628	-0.374	-0.425	5.024	5.917	6.238	5.529	5.067	5.683	3.23	1.0	3.054	2.42	3.555	3.823	4.083	4.465	4.511	3.428	2.5535	2.011	3.164	2.507	0.118	-0.1605	2.922	3.768	0.763	0.5	1.162	0.744	0.954	0.876	-0.172	-0.103	-0.135	1.26	0.24	0.901	1.241	0.991	0.695	1.269	1.056	-0.143	1.295	-0.6445	-0.683	4.433	0.504	0.3945	2.179	1.247	2.919	4.406	4.118	3.333	4.665	4.922	4.309	-0.024	-0.254	0.064	2.012	3.019	3.638	2.947	2.275	2.679	2.555	3.136	1.399
"YBL045C"	0.532	1.426	1.85	1.673	1.638	1.027	0.636	0.943	1.234	1.75	1.679	0.877	0.206	-0.031	0.101	0.685	0.468	-0.087	0.036	-0.491	-0.448	-0.374	3.101	4.028	3.638	3.076	2.249	2.603	1.267	0.665	1.864	1.517	1.538	1.402	1.395	3.2575	3.188	2.0735	1.924	1.3485	1.667	0.7795	-0.0905	-0.145	1.876	2.907	0.568	0.456	0.688	-0.082	0.876	0.737	-0.364	-0.215	-0.2445	0.236	-0.597	0.521	0.55	0.415	0.863	0.619	0.881	0.536	1.108	-0.9725	-1.0285	1.36	0.247	0.229	1.37	0.708	2.683	3.265	2.973	2.474	3.277	3.303	2.891	0.374	-0.006	-0.356	0.094	0.766	0.459	0.579	1.707	1.872	2.138	0.303	0.442
"YBR072W"	2.931	3.885	3.887	2.88	3.876	2.678	1.897	3.67	2.858	2.693	3.52	2.741	4.324	0.715	0.6465	2.61	4.116	2.904	3.081	2.877	2.711	1.615	6.093	5.199	5.621	6.166	6.58	6.039	6.376	0.509	4.833	5.101	5.494	3.184	5.003	4.395	4.745	5.1185	5.612	5.8345	5.538	4.627	2.24	5.259	3.802	3.313	NaN	1.236	3.297	3.282	2.822	3.255	2.35	2.84	0.175	4.499	0.293	3.412	2.118	2.859	1.052	1.273	1.083	1.202	1.655	0.492	0.4055	4.963	4.1315	3.815	4.415	4.278	4.847	4.309	4.529	4.368	5.026	3.864	6.476	2.216	1.543	0.69	4.455	4.285	4.891	4.271	4.533	4.646	4.231	5.119	3.14
"YBR147W"	1.061	2.153	2.689	2.319	2.151	2.82	0.662	1.287	1.015	1.465	1.485	0.7155	0.444	1.0195	0.926	1.269	0.451	1.537	1.637	1.095	0.423	0.305	2.527	3.946	3.882	3.475	3.896	4.309	4.268	2.712	2.431	2.055	2.504	2.791	2.353	3.7075	2.881	3.7465	4.052	4.7615	4.3825	3.614	-1.087	0.6075	3.082	2.89	0.507	0.022	1.545	-0.541	0.361	0.396	-0.158	-0.652	-0.033	0.428	-0.212	1.234	1.598	1.816	1.049	1.462	1.549	-0.101	0.608	0.3265	0.253	3.883	2.871	3.1115	2.181	0.389	3.275	4.38	2.803	4.312	4.452	3.294	4.622	1.127	0.854	1.178	-0.153	2.098	2.406	2.06	0.092	0.27	-0.367	1.081	0.099
"YBR212W"	0.817	1.417	1.814	1.326	1.223	1.085	0.089	0.858	1.471	1.667	1.411	0.313	1.099	0.058	0.576	0.309	0.595	0.627	0.758	0.254	0.212	0.09	2.545	2.038	1.873	1.802	2.283	1.936	3.329	1.157	2.244	1.824	1.89	1.746	1.422	2.072	1.504	2.075	1.8265	4.222	4.5675	3.4615	-0.0085	0.558	0.336	1.683	1.081	0.164	1.343	0.745	0.654	0.69	-0.28	-0.315	-0.1455	0.771	0.256	1.428	1.711	1.544	0.838	1.4	1.605	0.26	0.801	-0.096	-0.0215	2.252	0.8155	1.0515	1.093	2.037	2.252	1.337	1.503	2.491	1.768	1.525	1.707	0.1	0.509	0.686	1.082	1.321	1.506	1.135	1.037	-0.334	0.651	0.817	0.047
"YBR230C"	2.081	3.818	3.52	3.472	3.132	2.275	1.074	2.459	3.122	3.534	3.545	1.5495	2.196	0.2775	1.6635	2.475	2.736	2.952	2.762	2.015	0.797	0.397	3.909	4.829	4.066	4.149	3.987	1.894	1.911	1.695	2.361	2.09	2.594	2.343	2.238	3.9215	3.331	3.341	3.5615	3.945	3.418	2.673	-0.1235	1.715	1.039	1.984	2.101	0.662	2.493	0.301	1.638	2.008	0.536	0.831	0.119	1.947	-0.024	2.063	2.993	3.214	1.482	2.31	2.487	0.613	1.338	-0.397	-0.3145	3.762	1.5035	1.5	3.751	2.284	3.455	4.448	3.661	4.138	4.11	4.81	4.233	1.293	0.954	1.759	2.334	2.38	3.492	3.156	3.066	2.735	2.414	2.16	1.596
"YCR091W"	1.52	1.998	2.968	2.375	2.534	0.971	0.616	1.185	2.087	2.708	2.257	0.532	0.767	0.7825	0.5875	0.747	1.393	1.091	0.499	0.253	-0.25	-0.005	4.284	3.522	3.241	3.278	2.691	3.114	1.906	1.797	3.192	3.306	3.015	2.875	2.682	3.084	2.685	2.345	2.5735	2.0885	2.0775	1.535	-0.2515	0.529	1.754	1.465	0.775	-0.512	0.786	0.483	0.69	0.273	-0.32	-0.337	0.167	0.888	-0.064	0.104	0.318	0.593	0.312	0.519	0.681	0.315	0.429	0.09	-0.0285	1.384	1.024	1.0495	2.802	2.37	3.628	2.288	1.59	3.677	2.956	1.701	3.005	0.008	0.001	0.295	1.227	0.781	2.438	1.948	1.541	0.56	1.703	0.571	0.208
"YDL199C"	1.793	2.116	2.7	0.643	2.026	1.305	0.645	0.959	1.648	2.053	1.82	0.737	0.989	0.367	1.298	0.674	1.082	1.299	0.974	0.507	0.187	0.175	3.613	3.263	2.856	2.72	3.28	4.082	3.316	1.804	2.531	1.984	1.955	1.594	1.354	3.993	2.022	2.729	3.114	3.13	3.12	2.061	-0.316	0.77	2.07	2.842	0.639	-0.006	1.315	0.513	0.174	0.49	-0.364	-0.888	-0.037	0.584	-0.136	1.004	1.62	1.333	0.433	0.952	1.332	0.024	1.371	-0.115	-0.006	1.971	1.289	1.783	2.653	1.647	2.605	3.345	3.082	3.576	2.669	3.156	3.153	0.093	0.153	0.238	0.505	1.15	1.567	2.393	-0.392	0.159	-0.27	-1.133	1.306
"YDL204W"	1.42	3.317	5.01	0.311	5.128	3.772	1.137	3.181	3.877	4.936	4.887	2.402	4.522	1.725	3.088	2.347	3.701	4.204	3.549	2.461	1.239	0.564	5.851	4.733	4.685	5.32	5.69	5.571	5.749	3.859	4.975	4.604	4.28	4.346	3.903	4.66	4.854	5.274	5.34	5.75	7.317	5.93	1.247	3.584	4.234	3.477	3.242	2.045	4.511	1.623	2.616	4.125	1.838	1.84	0.394	4.945	0.393	3.455	4.067	4.561	3.189	3.761	4.115	0.209	1.978	0.739	0.748	4.52	4.418	4.402	5.38	3.876	5.526	4.943	4.367	5.864	4.642	3.788	4.76	1.214	0.344	0.654	2.928	3.492	3.424	2.645	2.638	2.347	3.209	2.077	0.135
"YDR142C"	0.392	0.104	0.256	0.154	0.21	-0.01	-0.367	0.221	0.485	0.367	0.263	0.17	0.22	0.174	0.229	0.095	-0.064	0.011	0.054	-0.075	0.114	-0.032	1.983	1.273	1.385	1.388	1.095	1.566	0.987	0.176	0.47	0.923	0.606	0.541	-0.019	2.074	0.89	0.846	1.198	1.42	1.572	0.752	0.214	0.161	1.049	0.581	0.175	-0.369	0.566	-0.338	0.199	-0.379	-0.351	-0.3	0.014	0.119	-0.163	0.484	0.822	0.588	0.331	0.582	0.549	-0.684	0.288	-0.068	-0.128	0.583	0.139	0.678	0.599	-0.269	1.097	1.035	0.837	1.485	1.28	1.193	0.667	-0.095	-0.118	-0.197	0.043	0.559	0.901	0.768	0.466	1.086	0.483	0.137	0.113
