	"497.Heat Shock 000 minutes"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1302.diauxic shift timecourse: 15.5 hr"	"1303.diauxic shift timecourse: 0 hr"	"1311.diauxic shift timecourse: 11.5 hr"	"1312.diauxic shift timecourse: 13.5 hr"	"6824.Sporulation t0"	"8291.wt+pRS315 vs. wt+pRS-MCM7"	"17676.Na+FK 45min (4)"	"21660..24 mM H2O2- 120 minutes"	"27101.P1Comp 07 hr 5 min Phosphate Batch vs Chemostat Comparison"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"34347.wt_hypo_osmotic_shock_0min"	"34360.batch 02X25 4"	"37282.CC SP 1B  Sulfate-Phosphate Chemostat Comparison"	"37284.CC SP 2B  Sulfate-Phosphate Chemostat Comparison"	"37285.CC SP 3B  Sulfate-Phosphate Chemostat Comparison"
"YAL003W"	0.2735	0.831	0.678	-3.002	-2.293	-1.77	-1.277	-0.665	-1.407	-3.377	-3.392	-1.574	-1.314	-1.8955	-1.8	-0.707	0.305	-0.129	-0.444	0.285	0.518	-2.7005	0.192	0.4165	-3.085	-2.67	-1.335	-3.484	-2.401	-2.326	0.084	-1.778	0.48	0.396	0.339
"YAL038W"	0.595	0.686	0.504	-1.646	-2.233	-1.38	-0.311	-0.403	-0.02	-2.4	-6.086	-1.723	-1.42	-1.859	-3.2025	-0.169	0.152	0.212	-0.166	0.28	0.339	-1.0725	-0.291	0.3505	-2.741	-2.734	-1.463	-1.219	-2.874	-3.088	0.397	-1.069	-0.34	-0.276	-0.386
"YAR073W"	0.65	0.936	0.768	-1.516	-1.811	-1.998	-1.561	-1.593	-2.506	-3.191	-3.447	-1.549	-1.876	-2.5165	-2.5015	-0.226	0.395	0.422	0.113	0.489	0.404	-2.2135	-0.332	0.049	-2.457	-3.27	-2.209	-3.131	-3.183	-2.273	-0.06	-2.879	-0.012	-0.126	-0.057
"YAR074C"	0.5465	0.513	0.533	-1.997	-2.524	-2.203	-1.916	-2.289	1.547	-3.038	-2.968	-2.027	-1.293	-1.8415	-2.013	-0.38	0.385	0.193	-0.237	-0.121	-0.026	-2.0805	-0.202	-0.236	-1.309	-2.068	-1.439	-2.165	-2.493	-1.653	-0.116	-1.336	-0.11	-0.066	-0.215
"YBL027W"	1.4805	1.274	1.424	-2.851	-2.474	-2.081	-1.613	-2.0	-1.606	-2.671	-5.577	-2.494	-1.9795	-2.114	-3.148	-0.006	0.102	0.332	0.04	0.25	0.779	-1.362	0.0945	0.740333333333333	-3.528	-3.012	-2.469	-3.351	-3.139	-2.319	-0.03	-1.501	0.671	0.582	0.58
"YBL087C"	1.1915	1.463	0.964	-3.104	-2.44	-2.157	-1.789	-1.74	-1.761	-2.104	-2.516	-2.924	-1.5975	-2.161	-2.357	-0.023	0.214	0.439	0.126	0.209	-0.059	-2.14333333333333	-0.5485	0.218666666666667	-2.434	-2.559	-1.662	-3.415	-2.879	-2.169	-0.403	-1.612	0.799	0.64	0.62
"YBL092W"	1.0255	0.97	0.727	-3.458	-3.598	-2.824	-2.394	-2.138	-2.929	-2.896	-5.158	-3.0	-1.726	-2.74	-2.8475	-0.112	0.487	-0.201	-0.127	-0.107	0.345	-1.4255	0.095	0.229	-2.124	-2.013	-1.866	-2.599	-2.171	-2.311	0.655	-1.066	0.846	0.816	0.717
"YBR031W"	1.114	1.106	0.886	-1.692	-1.795	-2.055	-2.17	-2.059	-2.397	-2.879	-6.063	-2.233	-1.803	-1.9345	-2.5745	0.339	0.256	0.632	0.504	0.185	0.115	-1.7425	-0.326	0.155	-2.753	-2.405	-1.868	-2.518	-2.852	-2.047	-0.308	-1.488	0.336	0.318	0.256
"YBR048W"	1.223	1.0345	0.2985	-3.385	-2.4795	-2.968	-2.171	-2.248	-2.2475	-3.0195	-5.0065	-3.0685	-2.849	-3.15166666666667	-3.929	-0.76	0.224	-0.002	-0.211	-0.076	0.142	-1.433	-0.501	0.4895	-4.043	-3.545	-3.133	-4.089	-3.69	-2.483	0.456	-1.681	0.467	0.42	0.362
"YBR084W"	0.407	0.888	0.738	-4.143	-3.145	-3.201	-2.722	-2.908	-4.006	-4.365	-5.362	-2.317	-1.934	-2.75	-2.725	-0.129	0.347	0.314	-0.117	-0.442	0.56	-2.135	-0.222	0.8175	-3.705	-2.757	-2.544	-4.104	-3.283	-2.324	-0.676	-1.73	-0.418	-0.283	-0.151
"YBR106W"	0.9	0.904	1.138	-2.949	-2.026	-1.695	-1.83	-2.108	-1.986	-3.354	-5.052	-2.258	-2.3225	-3.147	-3.2985	0.274	0.284	0.124	0.245	-0.197	0.484	-2.414	0.248	0.1995	-3.114	-2.846	-1.897	-2.825	-2.779	-2.225	-0.238	-0.718	0.256	0.257	0.225
"YBR121C"	0.801	0.701	0.752	-2.66	-1.84	-1.582	-1.543	-2.186	-2.714	-4.037	-5.791	-2.317	-4.1355	-4.173	-4.5985	-0.19	0.492	0.174	-0.23	0.328	0.38	-1.273	-0.138	0.487	-2.549	-2.264	-1.948	-2.22	-1.806	-1.543	0.022	-0.861	0.161	0.074	0.048
"YBR175W"	0.297	0.468	0.098	-1.668	-0.933	-0.77	-1.027	-1.084	-1.46	-2.52	-3.152	-1.563	-1.284	-1.094	-0.661	-0.199	-0.131	-0.031	-0.174	0.132	0.014	0.92	-0.372	-0.374	-1.521	-1.232	-0.984	-1.967	-1.397	-1.061	-0.548	-0.747	0.434	0.419	0.303
"YBR191W"	1.0965	1.388	0.879	-3.54	-3.222	-3.049	-2.249	-1.912	-2.071	-3.167	-5.241	-3.152	-2.3795	-2.6255	-3.136	-0.318	0.16	-0.02	-0.051	0.405	0.247	-1.649	-0.309	-0.175	-3.687	-3.657	-2.538	-2.427	-3.266	-2.298	0.154	-1.925	0.749	0.664	0.583
"YBR199W"	-0.345	-0.1775	-0.2415	0.9305	0.4925	0.2575	0.688	0.648	0.795	0.5775	0.0475	0.1855	0.664	0.656	0.409333333333333	0.568	0.012	-0.062	0.309	-0.068	0.198	1.129	0.428	-0.136	0.567	0.033	0.616	1.071	0.738	0.106	0.052	0.122	0.02	0.014	-0.039
"YCL014W"	-0.089	0.064	-0.093	-1.417	-1.027	-0.405	-0.943	-1.009	-1.274	-2.197	NaN	-1.333	-1.391	-2.056	-2.042	0.171	-0.155	-0.264	-0.195	0.09	0.106	-0.416	-0.427	0.036	-0.4735	-0.6385	-1.478	-0.9605	-0.8095	-0.254	0.137	0.231	0.0155	0.0105	-0.0985
"YCLX02C"	0.831	0.896	0.951	-4.118	-2.592	-2.422	-1.69	-1.466	-1.998	-2.283	-2.85	-2.734	-1.8265	-2.441	-2.4035	-1.104	0.049	-0.352	-0.955	0.112	0.741	-2.286	-0.406	0.015	-2.749	-2.605	-1.55	-3.541	-2.722	-1.445	-0.488	-1.832	0.171	0.162	0.077
"YCR054C"	0.199	0.3235	0.2075	-0.9195	-0.6245	-0.4695	-0.445	-0.786	-0.517	-2.031	-2.7445	-1.2765	-0.758	-1.422	-0.057	-1.3625	-0.1855	-0.408	-0.8515	0.013	0.096	0.714	0.071	0.7505	-1.393	-1.825	-1.229	-1.262	-1.932	-1.22	-0.845	-0.918	-0.268	-0.175	-0.253
"YCRX16C"	0.996	0.974	0.803	-1.763	-1.298	-1.252	-1.93	-1.172	-1.015	-0.184	-2.452	-1.432	0.3175	0.5675	0.5285	0.011	0.559	0.457	0.271	-0.034	-0.678	-2.377	-0.512	-0.15	-1.091	-0.878	-0.52	-2.277	-1.755	-1.149	-0.199	-1.144	0.345	0.204	0.202
