	"29.alpha factor release sample016"	"55.Elutriation2:Sample2:Time3.0hrs"	"106.heat shock 05 min"	"107.heat shock 10 min"	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"801.Heat Shock 030inutes"	"809.DBY7286 37degree heat - 20 min"	"811.DES459 (mec1) + heat 20 min"	"813.MHY1 (dun1) + heat 20 min"	"815.1M sorbitol - 15 min"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"854.YPD_6_h_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"986.constant 0.32 mM H2O2 (30 min) redo"	"1012.YPD 12 h (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1103.alpha factor release sample028"	"1109.alpha factor release sample014"	"1674.Elutriation2:Sample2:Time5.5hrs"	"2560.29C to 33C - 15 min"	"4784.29C to 33C - 90 min"	"4786.29C +1M sorbitol to 33C + 1M sorbitol - 5 min"	"5237.DES460 (wt) - mock irradiation - 5 min"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"6672.wt - 0.3 mM H2O2 - 10 min"	"7549.33C no sorbitol 5 min"	"7764.Na+FK 45min"	"8233.dtt 120 min"	"8291.wt+pRS315 vs. wt+pRS-MCM7"	"12733.Nitrogen Depletion 8 h"	"12734.Nitrogen Depletion 12 h"	"12739.Nitrogen Depletion 30 min."	"12741.Nitrogen Depletion 1 h"	"12744.heat shock 17 to 37, 20 minutes"	"15184.Ca+FK 5min (2)"	"17676.Na+FK 45min (4)"	"18428.2mM MD 030min"	"21632..24 mM H2O2- 250 minutes"	"32251.DBY8778_heat_shock2_5min"	"32253.DBY8778_heat_shock2_15min"	"33259.delKIN82_heat shock _15min"	"33361.delKin82(DBY10089) vs. wt (DBY8778)"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"34348.wt_hypo_osmotic_shock_7min"	"34502.wt_hypo_osmotic_shock_0min_repeat"	"34879.S4Comp 10 hr 00 min Sulfate Batch vs Chemostat Comparison"	"42050.L1CompR 15 hr 00 min Leucine Batch vs Chemostat Comparison"
"YGR145W"	-0.665	-0.093	-0.843	-2.7705	-5.791	-5.902	-2.435	-3.702	-3.7955	-3.4415	1.035	-1.251	-1.6625	-2.897	-1.914	-2.538	-3.204	-2.632	-2.307	-4.245	-4.024	-2.214	-2.002	-3.496	-1.897	-1.466	-2.519	-3.279	-3.084	-0.009	-1.362	-0.501	-1.626	-0.03	-1.333	-1.572	-1.763	-0.614	-0.373	-2.264	-1.49	0.971	-2.018	-1.207	-3.294	-2.065	-4.7725	-2.545	-2.129	0.34475	-1.561	-3.598	-4.182	-2.255	-0.82	-2.4	-4.009	-2.204	-1.849	-0.218	-0.374	-2.087	0.928
"YGR245C"	-0.619	0.234	-0.7535	-2.6095	-5.097	-5.1995	-3.444	-3.9345	-4.2355	-3.9115	1.232	-1.935	-1.499	-2.429	-1.585	-2.188	-3.099	-3.022	-2.579	-4.207	-3.799	-3.273	-2.905	-3.164	-2.367	-2.154	-2.194	-2.446	-3.203	0.163	-0.847	-0.582	-2.04	-0.006	-1.108	-1.211	-1.91	-0.512	-0.44	-2.046	-1.821	0.815	-1.672	-0.872	-2.587	-1.375	-4.6765	-1.552	NaN	0.3265	-0.398	-2.295	-4.281	-2.373	-0.118	-2.575	-3.415	-2.535	-1.342	-0.051	-1.034	-1.749	1.241
"YHR066W"	-0.458	-0.087	-1.392	-2.6315	-3.7505	-3.0515	-1.2655	-2.9815	-3.762	-3.552	1.163	-1.254	-0.87	-1.966	-1.468	-2.543	-2.473	-2.073	-1.432	-4.885	-5.203	-2.974	-0.918	-2.742	-1.41	-1.569	-1.879	-2.539	-1.923	-0.014	-1.378	-0.38	-1.0	-0.188	-0.366	-1.159	-0.9025	-0.381	-0.232	-2.494	-1.151	-0.218	-0.675	0.515	-1.28	-0.692	-4.347	-1.612	-3.667	-0.9465	-1.227	-2.551	-3.068	-2.219	-0.313	-1.898	-2.382	-1.908	-1.368	-0.01	-0.32	-1.168	1.117
"YHR089C"	-0.983	0.108	-1.2425	-3.2685	-4.5225	-3.658	-1.743	-3.523	-4.938	-4.6915	1.373	-1.506	-1.6125	-2.991	-2.801	-2.567	-1.926	-2.485	-1.843	-3.409	-4.276	-2.292	-2.346	-4.426	-3.217	-3.48	-3.254	-3.83	-3.913	-0.478	-0.818	-0.291	-1.46	-0.065	-1.069	-1.81	-1.441	-0.806	-0.638	-1.588	-1.234	0.103	-3.417	-2.454	-3.038	-2.255	-4.9325	-1.215	-1.666	-0.416	-0.798	-2.896	-3.579	-3.412	0.803	-2.905	-3.956	-3.219	-2.005	-0.383	-0.438	-2.436	NaN
"YHR170W"	-0.342	0.358	-1.1565	-3.765	-5.3995	-4.622	-2.4275	-4.14	-4.723	-3.947	1.401	-1.627	-1.343	-2.797	-1.852	-1.418	-2.518	-2.551	-1.78	-4.51	-4.858	-2.759	-1.596	-2.314	-2.149	-1.819	-2.036	-2.758	-2.443	0.295	-0.297	-0.695	-1.321	1.22	-1.164	-0.853	-1.9105	-0.204	-0.536	-1.733	-1.598	0.114	-1.546	-1.358	-1.98	-2.142	-5.252	-0.665	-1.963	0.166	-0.803	-2.606	-3.576	-2.772	0.098	-2.544	-3.601	-2.58	-2.061	-0.394	-0.654	-1.808	-0.061
"YLR175W"	-0.733	0.441	-0.756	-4.217	-4.176	-3.679	-2.134	-3.07	-4.552	-4.902	1.215	-1.436	-1.318	-2.615	-2.244	-2.283	-2.338	-2.257	-1.632	-5.607	-5.468	-3.996	-1.455	-4.678	-2.762	-3.408	-3.701	-4.364	-4.96	0.012	-0.491	-0.616	-1.287	-0.125	-1.041	-1.179	-1.587	-0.381	-0.536	-1.892	-1.352	0.609	-3.576	-2.388	-3.065	-1.769	-4.431	-1.48	-2.547	-0.355	-0.874	-3.342	-4.177	-3.986	-0.236	-3.16	-4.338	-2.959	-2.455	-0.22	-0.528	-2.49	0.706
"YLR196W"	-0.817	-0.041	-1.895	-4.71	-5.425	-5.04	-1.973	-3.221	-4.896	-4.532	1.483	-1.297	-1.52	-2.273	-1.576	-2.578	-2.562	-2.364	-1.459	-5.083	-5.836	-2.858	-2.225	-4.378	-2.66	-2.604	-3.933	-4.664	-4.392	0.01	-1.037	-0.682	-1.306	-0.018	-1.087	-1.102	-1.454	-0.428	-0.733	-2.637	-1.306	0.222	-2.149	-1.727	-3.524	-2.593	-5.097	-2.064	-2.15	-0.024	-1.465	-2.941	-3.697	-2.671	-0.391	-2.83	-3.658	-2.412	-1.969	-0.207	-0.521	-2.302	1.225
"YLR276C"	2.202	-0.13	-1.271	-3.536	-4.199	-3.855	-2.573	-3.331	-3.732	-4.143	1.132	-1.298	-1.215	-2.068	-1.492	-2.936	-2.616	-1.884	-1.687	-4.467	-5.399	-2.386	-1.604	-3.49	-1.889	-2.427	-1.866	-3.17	-3.081	-0.258	-0.95	-0.691	-1.356	-0.236	-0.897	-1.2	-1.363	-0.409	-0.469	-2.431	-1.33	0.767	-1.48	-0.808	-2.204	-1.363	-2.51	-2.232	-3.609	0.789	-0.917	-3.95	-4.014	-2.803	-0.295	-1.833	-3.838	-1.145	-2.088	0.181	-0.349	-2.023	-1.177
"YNL002C"	-0.613	0.108	-1.466	-3.547	-4.666	-4.07	-1.784	-3.305	-4.559	-4.222	1.243	-2.167	-1.105	-2.677	-1.824	-2.816	-2.627	-2.564	-1.766	-5.196	-3.468	-3.072	-1.731	-3.426	-1.856	-2.186	-2.277	-2.592	-2.588	-0.412	-1.309	-1.087	-1.411	-0.259	-0.899	-1.678	-1.349	-0.409	-0.524	-2.843	-1.345	0.944	-1.21	-0.657	-1.859	-1.348	-4.603	-1.849	-3.349	-0.329	-1.852	-3.249	-3.481	-3.245	-0.519	-2.649	-4.466	-2.41	-2.181	-0.34	-0.832	-1.986	0.69
"YNL182C"	-0.354	0.187	-1.807	-1.322	-6.33	-4.05	-1.434	-2.807	-4.805	-3.807	1.266	-1.705	-0.849	-1.861	-1.512	-2.384	-2.522	-2.311	-1.849	-4.184	-2.532	-2.667	-1.727	-3.931	-2.5	-2.685	-3.434	-3.351	-2.827	-0.129	-1.272	-0.651	-1.174	0.058	-1.048	-1.371	-1.004	-0.341	-0.808	-2.106	-1.204	0.885	-2.276	-0.931	-2.823	-2.261	-4.61	-2.38	-2.665	-0.641	-1.302	-3.599	-3.082	-3.01	-0.699	-2.614	-3.607	-2.547	-2.018	-0.16	-0.639	-2.347	1.117
