	"686.YP ethanol vs reference pool"	"830.1.5 mM diamide (10 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"840.1.5 mM diamide (60 min)"	"842.1.5 mM diamide (90 min)"	"855.YPD_8_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"864.Amino acid + adenine starvation 4 h"	"865.Amino acid + adenine starvation 6 h"	"896.Amino acid + adenine starvation 2 h"	"944.starv_in_H2O_4_h_30C"	"984.MHY1 (crt1) vs. CRY1 (wild type) - log phase"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1172.pho80 mutant vs wild type"	"1255.mec1_plus_gamma_90_min"	"1664.cdc15 170 min"	"5357.1.5 mM diamide (5 min)"	"11466.yO1 test hyb"	"15635.Ca+FK 15min (2)"	"16338.DES460 vs. DES460 YPD log phase control"	"27102.P1Comp 21 hr 5 min Phosphate Batch vs Chemostat Comparison"	"28838.P2Comp 06 hr 15 min Phosphate Batch vs Chemostat Comparison2"	"32627.S1Comp 11 hr 10 min Sulfate Batch vs Chemostat Comparison"	"32628.S1Comp 12 hr 57 min Sulfate Batch vs Chemostat Comparison"	"32629.S1Comp 15 hr 20 min Sulfate Batch vs Chemostat Comparison"	"32630.S1Comp 18 hr 00 min Sulfate Batch vs Chemostat Comparison"	"32631.S1Comp 20 hr 10 min Sulfate Batch vs Chemostat Comparison"	"32632.S1Comp 22 hr 05 min Sulfate Batch vs Chemostat Comparison"	"32633.S1Comp 24 hr 10 min Sulfate Batch vs Chemostat Comparison"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34879.S4Comp 10 hr 00 min Sulfate Batch vs Chemostat Comparison"	"34882.S4Comp 13 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34883.S4Comp 14 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34884.S4Comp 15 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34885.S4Comp 34 hr 20 min Sulfate Batch vs Chemostat Comparison"	"42372.CC UL 3A Uracil-Leucine Chemostat Comparison"	"42373.CC UL 3B Uracil-Leucine Chemostat Comparison"	"42379.CC UL 2B Uracil-Leucine Chemostat Comparison"	"42380.CC UL 2A Uracil-Leucine Chemostat Comparison"
"YBR121C"	-1.014	-0.245	-0.761	-0.747	-0.608	-0.25	-1.84	-1.543	-2.186	-2.714	-4.037	-5.791	-0.546	-0.496	-0.307	-2.366	-0.0545	-3.2385	-1.721	-2.416	-3.155	-4.1355	-4.173	-4.5985	0.551	0.034	NaN	-0.152	-2.249	-0.653	0.17	-0.825	0.5205	-1.448	-2.28	-1.923	-1.524	-1.875	-2.122	-2.086	-2.549	-2.264	-1.948	-1.806	-1.543	-2.181	-1.588	-1.562	-1.674	-1.587	-1.532	0.348	-0.182	-0.036	0.576
"YBR154C"	-0.38	-0.437	-0.924	-0.606	-0.444	-0.406	-2.051	-1.369	-1.387	-1.563	-3.531	-4.423	0.231	-0.008	0.042	-1.73	0.4915	-2.738	-1.6075	-1.5735	-2.257	-2.6225	-3.012	-3.8995	0.189	-0.0495	-0.107	-0.305	-1.281	-0.782	0.293	-0.937	0.4085	-1.525	-1.786	-2.122	-1.226	-1.515	-1.706	-0.721	-1.861	-2.065	-1.572	-2.433	-1.602	-1.162	-1.45	-1.163	-1.391	-1.552	-1.007	0.371	-0.405	0.163	0.378
"YCR034W"	-0.4645	-0.301	-0.744	-0.551	-0.579	-0.249	-1.309	-0.877	-1.912	-1.771	-3.204	-4.331	0.389	0.375	-0.137	-1.895	0.015	-2.5505	-1.2005	-2.3695	-2.676	-3.0135	-3.2845	-3.3025	0.152	0.12	0.1055	0.205	-1.8	-1.181	0.134	-2.003	-0.513	-2.353	-1.33	-2.614	-1.441	-1.408	-1.532	-2.19	-3.552	-2.544	-2.163	-3.226	-1.806	-1.743	-1.819	-2.486	-2.179	-2.013	-2.607	0.024	0.443	0.14	0.34
"YDR158W"	-0.482	0.352	-0.125	-0.129	-0.058	0.092	-1.008	-0.799	-1.356	-0.19	-3.546	-5.115	0.625	0.262	0.791	-1.965	0.238	-1.393	-0.514	-0.996	-1.763	-3.109	-3.802	-4.509	-0.479	0.006	-0.326	0.153	0.253	-0.737	0.165	0.607	0.484	-1.297	-3.16	-2.786	-2.476	-2.774	-2.884	-3.011	-2.154	-1.805	-1.437	-1.752	-1.359	-1.966	-1.505	-2.745	-3.156	-2.35	-2.832	0.337	0.016	-0.333	1.092
"YDR245W"	-0.965	-0.1165	-0.55	-0.5625	-0.6865	-0.38	-1.6455	-1.899	-1.947	-1.19	-1.932	-3.6715	-0.0825	-0.433	-0.0125	-1.5755	0.0245	-1.5075	-1.4375	-1.4085	-1.39	-1.7115	-2.2845	-2.201	0.1405	-0.03	0.3535	0.0625	-1.29866666666667	-1.20233333333333	-0.0513333333333333	-0.486666666666667	-0.320333333333333	-0.5015	-1.746	-1.6965	-1.806	-1.316	-1.8665	-1.5185	-1.844	-2.011	-1.61	-1.6895	-1.6385	-1.94	-0.32	-0.971	-1.4545	-2.049	-1.782	-0.05	-0.163	-0.4325	0.1165
"YDR275W"	0.6245	-0.3415	0.551	0.346	0.273	0.0935	2.2955	2.161	3.009	3.1575	3.166	0.442	0.7025	0.2015	0.101	1.6115	-0.0265	1.749	2.036	2.324	3.0055	1.5585	2.794	2.3525	-0.4075	-0.5815	-0.225	-0.65	1.9415	0.0	0.209	1.235	-0.7025	NaN	1.895	2.0795	2.622	1.511	2.6505	1.4915	1.086	2.1325	2.2755	1.3175	1.8335	2.0735	0.8175	1.205	1.532	1.402	1.886	0.091	0.6005	0.307	-0.9545
"YEL040W"	-2.322	-0.813	-1.479	-1.583	-1.965	-1.509	-3.812	-3.911	-4.238	-3.616	-3.786	-4.551	-0.691	-1.127	-0.289	-3.347	0.321	-3.017	-4.284	-4.461	-3.561	-3.111	-3.855	-3.066	0.166	-0.107	-0.461	-0.18	-3.1215	-1.73	-0.4135	-1.7445	0.9355	-2.068	NaN	-2.598	-2.152	-2.004	-2.706	NaN	-2.646	-2.15	-2.796	-2.048	-2.685	-3.28	1.214	-2.551	-2.611	-2.093	-2.218	-0.027	0.243	0.209	-0.525
"YER101C"	1.078	0.054	0.141	-0.027	0.381	0.117	2.086	2.217	2.453	2.804	2.453	0.399	0.142	0.167	-0.159	1.319	-0.047	1.61	1.561	2.232	2.67	2.538	3.054	2.598	-0.18	-0.307	0.056	0.003	1.681	0.929	-0.093	0.473	-0.364	1.227	0.904	2.04	1.677	2.07	1.993	1.695	2.443	2.135	1.687	2.252	1.048	2.15	0.873	0.482	1.226	0.973	2.054	0.135	-0.366	1.027	0.827
"YFL037W"	-0.936	-0.148	0.256	0.242	0.389	0.347	-1.504	-0.941	-2.235	-2.915	-3.125	-5.562	0.093	-0.074	0.082	-1.971	-0.207	-0.89	-0.453	-1.132	-1.914	-1.322	-2.034	-1.369	0.112	-0.69	-0.842	-0.002	-0.947	-1.52	0.307	-0.1955	-0.4525	-0.394	-2.092	-1.979	-1.619	NaN	-2.42	NaN	-0.394	-0.955	-1.002	-0.996	-0.769	-1.539	-0.619	-0.707	-1.538	-1.254	-2.331	-0.149	0.173	0.32	-0.232
"YGR264C"	-1.489	-0.891	-1.492	-1.302	-1.042	-0.682	-2.696	-3.156	-2.945	-3.206	-5.206	-4.616	-0.073	-0.224	-0.135	-2.811	0.214	-3.897	-2.503	-2.707	-3.468	-4.623	-4.957	-4.753	0.166	-0.416	-0.229	-0.128	-2.468	-1.536	0.147	-0.939	-1.355	-1.289	-2.725	-1.776	-2.271	-1.973	-2.386	-2.307	-3.556	-2.673	-1.736	-3.082	-1.962	-2.066	-1.015	-1.585	-2.247	-2.771	-2.462	0.12	-0.375	-0.746	0.537
