	"17017.Cal. State Univ. Stanislaus: Rich vs. Minimal media_Expt2"	"30464.Rich vs. Minimal II"
"YAL032C"	0.797	-1.964
"YAR027W"	0.315	-1.402
"YBR039W"	1.524	-3.988
"YBR077C"	0.414	-3.235
"YBR080C"	2.728	-4.125
"YBR123C"	0.013	-3.246
"YCR071C"	1.401	-2.664
"YDR088C"	0.044	-5.709
"YDR104C"	0.045	-5.318
"YDR143C"	-0.43	-5.811
"YDR147W"	2.435	-4.577
"YDR150W"	1.5835	-3.6775
"YDR282C"	0.644	-2.885
"YDR405W"	2.805	-6.332
"YDR410C"	0.527	-4.137
"YDR419W"	-1.43	-5.473
"YDR442W"	0.259	-3.388
"YDR506C"	1.49	-2.289
"YER034W"	0.732	-4.608
"YER076C"	1.809	-6.564
"YER093C"	0.4705	-1.9955
"YFL015C"	1.008	-2.659
"YGL044C"	-0.711	-4.359
"YGL132W"	1.068	-3.112
"YGL191W"	-0.277	-3.412
"YGL231C"	1.803	-3.849
"YGL251C"	2.919	-4.478
"YGR016W"	0.412	-5.541
"YGR024C"	1.325	-7.547
"YGR028W"	-0.074	-4.31
"YGR038W"	1.549	-2.644
"YGR057C"	2.048	-5.433
"YGR253C"	0.797	-2.917
"YGR258C"	2.54	-5.816
"YHR004C"	1.482	-6.232
"YHR056C"	2.699	-8.053
"YIL119C"	0.808	-3.48
"YIL169C"	1.728	-6.04
"YIR003W"	3.115	-3.825
"YIR004W"	0.296	-3.509
"YIR005W"	0.952	-5.191
"YIR015W"	0.949	-3.043
"YJL009W"	1.875	-3.804
"YJL097W"	1.055	-6.606
"YJR010W"	-0.703	-5.073
"YJR059W"	1.707	-5.047
"YJR061W"	1.58	-5.07
"YJR103W"	0.612	-1.994
"YJR134C"	1.259	-2.647
"YKL135C"	-0.819	-3.938
"YKR017C"	-0.23	-2.38
"YKR053C"	-0.387	-3.217
"YKR062W"	1.457	-5.698
"YKR064W"	0.991	-2.45
"YKR095W"	-0.224	-4.917
"YKR103W"	1.185	-5.855
"YKR105C"	2.247	-4.562
"YLL013C"	0.284	-4.053
"YLL042C"	1.083	-2.824
"YLL048C"	0.842	-3.715
"YLR268W"	-0.06	-4.931
"YLR381W"	0.9975	-2.684
"YLR455W"	0.484	-3.678
"YML101C"	0.45	-6.244
"YMR297W"	0.3765	-3.912
"YNL215W"	2.248	-2.971
"YNL315C"	1.514	-3.83
"YOL137W"	-0.248	-5.921
"YOR013W"	1.244	-4.263
"YOR014W"	0.672	-2.865
"YOR066W"	0.515	-3.712
"YOR090C"	-0.39	-2.598
"YOR338W"	2.435	-3.391
"YPL005W"	1.667	-8.89
"YPL034W"	0.764	-4.692
"YPL087W"	1.532	-3.834
