	TCGA.GC.A6I1.01A.12R.A31N.07	TCGA.FJ.A871.01A.11R.A352.07	TCGA.G3.AAV2.01A.11R.A37K.07	TCGA.DD.AAD0.01A.11R.A41C.07	TCGA.CC.A5UD.01A.11R.A28V.07	TCGA.DD.AADG.01A.11R.A41C.07	TCGA.RG.A7D4.01A.12R.A33R.07	TCGA.CC.A7IF.01A.11R.A33J.07	TCGA.DD.AACP.01A.11R.A41C.07	TCGA.DD.AAE9.01A.11R.A41C.07	TCGA.MI.A75H.01A.11R.A32O.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.CC.A9FU.01A.11R.A37K.07	TCGA.DD.A1EL.01A.11R.A155.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.GJ.A3OU.01A.31R.A38B.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.13FTZ.0726.SM.5IFFY	GTEX.RNOR.1426.SM.48FDJ	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.RN64.1826.SM.48FDV	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
PHYKPL	346.29	547.75	392.44	872.1	373.81	954.43	967.76	1437.15	633.73	775.05	559.28	915.51	305.55	616.37	500.46	1037.29	616.37	854.13	1331.57	1208.34	842.36	1233.75	988.12	1447.15	1216.75	1001.93	878.17	884.29	902.89	1617.0	1175.27	1427.22	1359.57	1417.35	941.27	860.08	0.0	1.03
PIK3C2G	0.0	0.0	38.12	2.41	0.73	64.34	13.62	6.94	14.35	26.28	76.71	0.82	42.11	4.46	62.56	77.79	246.28	102.97	223.41	166.73	146.03	497.0	226.54	48.52	82.29	204.07	61.25	400.71	221.86	157.68	466.88	186.4	339.14	521.76	152.28	231.32	0.0	0.0
PLG	0.96	3.99	69271.73	11992.79	131.51	37121.34	36357.37	14065.74	9740.98	12415.75	15180.22	769.69	11584.24	9540.5	27938.14	14065.74	894051.48	132900.7	143430.26	104996.83	336441.4	182810.84	1005860.33	184082.4	215898.44	190574.09	167058.21	197294.7	1364554.84	177811.84	370726.6	262143.0	397335.0	350728.68	191899.64	132900.7	0.0	0.0
PNPLA7	13.12	58.3	81.14	67.59	74.58	117.6	54.72	327.56	25.91	84.63	173.85	57.49	10.31	29.48	103.69	95.34	303.44	206.94	688.78	819.3	164.42	1023.0	197.09	241.19	733.19	647.07	463.65	607.87	507.46	890.44	297.17	305.55	403.5	540.19	514.56	463.65	0.0	0.42
RAPH1	32.36	54.72	83.45	314.17	74.06	173.85	95.34	303.44	61.25	141.02	67.12	81.14	113.56	45.53	40.93	193.01	665.29	1183.45	559.28	890.44	941.27	1023.0	423.61	447.82	656.11	1037.29	567.1	1250.98	432.53	830.75	915.51	486.75	713.11	813.63	780.44	830.75	165.57	87.03
RDH16	90.14	3.23	1583.71	444.72	7.22	3564.78	503.95	6164.49	314.17	1407.55	1662.49	66.18	172.65	1369.04	540.19	2895.31	19348.38	71219.26	10154.69	42346.82	50011.46	23009.42	46662.28	12589.08	53230.77	15934.98	8305.36	23820.89	29531.18	35363.15	78476.96	10512.82	51417.5	9215.48	21919.61	12764.83	0.0	0.57
RILP	327.56	476.71	607.87	248.0	384.34	460.44	157.68	332.14	348.71	1023.0	463.65	559.28	199.85	244.57	514.56	616.37	1081.39	878.17	981.29	961.07	1073.91	1540.37	563.18	1073.91	1437.15	961.07	1572.76	1143.1	1088.92	1268.46	1508.65	1561.89	961.07	521.76	1151.06	708.18	0.0	0.35
RNF180	1.31	5.19	20.41	0.0	3.23	4.58	14.03	3.66	3.99	17.25	5.59	3.92	2.71	5.36	2.18	28.04	85.82	74.06	53.57	127.89	80.57	26.47	15.91	26.47	40.93	84.04	26.86	128.79	49.21	59.97	82.29	75.64	177.53	102.97	49.56	127.89	0.0	0.26
SARDH	31.45	223.41	890.44	599.49	154.42	1359.57	748.61	1896.65	366.09	684.02	796.86	142.01	633.73	476.71	1331.57	603.67	6471.02	2319.15	5913.33	4450.27	4181.07	6037.61	5292.48	2855.44	5954.47	5954.47	4481.23	4010.71	7230.1	4671.57	5006.93	2956.17	2645.74	3280.18	4328.55	4123.49	0.0	0.34
SEC14L3	0.0	0.0	16.88	7.34	0.0	10.08	3.11	12.64	0.59	0.0	9.78	0.0	0.25	0.0	5.02	12.27	117.6	232.94	59.97	131.51	156.59	193.01	91.41	12.64	122.64	117.6	27.44	384.34	48.18	154.42	156.59	57.08	204.07	36.27	118.43	190.34	0.0	0.0
SEC24B	148.09	109.66	140.04	218.79	102.97	217.27	165.57	125.24	121.79	108.9	132.44	180.02	105.15	124.37	151.22	208.38	669.92	651.58	525.39	854.13	791.35	447.82	366.09	473.41	518.15	480.04	237.86	974.5	1561.89	384.34	629.35	819.3	915.51	547.75	563.18	872.1	0.0	0.56
SEC62	819.3	389.72	638.15	1250.98	1417.35	878.17	915.51	1745.2	688.78	1175.27	890.44	878.17	708.18	1233.75	529.06	1199.98	2178.83	3847.29	4512.4	3768.09	1909.85	3564.78	1991.0	1259.69	2796.65	2573.36	2591.27	3124.78	1794.29	3419.52	2935.74	2720.15	3540.14	4903.87	2555.58	3589.58	1127.35	743.43
SEPSECS	34.51	57.49	187.71	217.27	180.02	381.68	92.7	307.69	86.43	124.37	190.34	115.16	41.22	193.01	155.5	129.69	273.37	579.04	575.03	435.55	309.83	629.35	567.1	684.02	503.95	723.08	260.38	316.37	521.76	633.73	483.38	287.01	698.41	480.04	438.59	500.46	0.0	0.28
SERPINA5	3.86	15.45	3794.3	7180.15	318.57	7331.05	1832.01	8421.31	3190.46	802.41	5479.15	143.01	7642.41	392.44	2555.58	1540.37	18819.27	30785.28	17317.18	11909.94	33224.42	31650.8	46662.28	35609.13	21320.18	25005.23	69753.56	24153.43	36357.37	16383.0	35609.13	20881.4	35363.15	14065.74	25354.3	40341.14	0.0	0.37
SLAIN1	15.0	2.07	1.81	3.66	12.18	28.04	26.28	16.75	36.79	2.14	7.0	4.9	143.01	4.54	1.95	22.75	103.69	105.89	94.01	195.72	232.94	34.51	125.24	132.44	57.49	37.85	63.45	54.33	134.3	17.25	70.51	17.13	115.16	7.63	149.12	234.57	0.0	0.29
SLC25A18	5.73	6.89	64.8	201.25	64.34	423.61	234.57	135.24	214.27	116.78	348.71	103.69	122.64	307.69	713.11	595.34	1498.22	1733.13	928.3	3325.99	769.69	718.08	2018.8	1605.83	6079.61	2090.03	287.01	1295.13	3742.05	5594.3	2739.08	2573.36	3235.01	7857.29	463.65	954.43	0.0	0.28
SLC37A4	384.34	500.46	1268.46	3690.52	825.0	4239.45	947.83	4419.52	1617.0	3372.43	3639.7	1498.22	1331.57	660.68	2895.31	1639.59	3665.02	3235.01	5872.48	3372.43	3372.43	6426.31	6164.49	3235.01	5831.91	4388.98	5441.3	2956.17	5711.87	5219.6	5041.77	5711.87	4972.34	4181.07	3467.27	3820.7	0.0	0.33
SLC41A2	72.01	40.07	154.42	417.77	63.89	316.37	82.29	529.06	138.1	115.16	176.29	78.34	19.68	125.24	143.01	417.77	1143.1	2061.24	813.63	1769.57	2384.37	974.5	1199.98	651.58	759.08	1561.89	1127.35	769.69	1225.22	1119.56	1183.45	802.41	2935.74	902.89	1806.78	1369.04	248.0	476.71
SLC6A16	2.92	39.79	80.01	0.0	40.64	87.03	55.49	100.83	5.32	35.5	96.01	91.41	1.46	51.35	50.27	33.78	173.85	57.89	223.41	435.55	27.64	172.65	77.79	42.41	387.02	246.28	111.99	141.02	244.57	242.88	127.89	56.68	103.69	148.09	108.14	190.34	0.0	0.43
STARD5	244.57	138.1	532.74	728.11	242.88	450.94	204.07	320.8	152.28	251.48	775.05	78.34	149.12	81.71	199.85	217.27	444.72	563.18	620.67	1561.89	1639.59	181.28	376.41	547.75	483.38	1008.9	381.68	1143.1	1923.14	842.36	656.11	769.69	414.87	753.83	693.58	1242.34	0.0	0.8
SYNE1	119.26	74.06	69.03	58.3	78.89	133.36	181.28	129.69	78.34	18.84	88.26	74.06	140.04	135.24	60.82	256.78	543.96	480.04	890.44	656.11	373.81	909.17	253.23	297.17	830.75	780.44	486.75	616.37	518.15	872.1	813.63	361.04	902.89	713.11	656.11	384.34	0.0	0.83
TAPT1	108.14	48.52	426.57	599.49	457.25	660.68	251.48	473.41	202.66	384.34	389.72	231.32	159.9	241.19	128.79	251.48	656.11	1159.07	909.17	791.35	872.1	738.29	624.99	872.1	688.78	1286.18	842.36	802.41	854.13	579.04	802.41	457.25	1119.56	1001.93	830.75	915.51	0.0	0.48
TIGD2	78.89	92.05	59.97	202.66	54.72	447.82	89.51	65.72	108.14	116.78	346.29	34.51	67.12	19.53	197.09	91.41	426.57	872.1	400.71	1066.48	470.14	607.87	389.72	476.71	521.76	1605.83	209.84	543.96	381.68	397.93	267.73	229.72	791.35	432.53	642.59	1167.14	0.0	0.0
TMEM220	63.0	105.89	684.02	486.75	191.67	748.61	171.45	358.54	607.87	571.05	2075.59	127.89	336.79	395.18	275.28	669.92	3372.43	3124.78	5366.37	1519.15	3395.89	2777.33	1304.15	2609.3	2319.15	4937.99	6121.9	2720.15	3372.43	3540.14	3443.31	1008.9	3589.58	1066.48	3820.7	2758.13	0.0	0.37
TMEM56	8.71	3.82	325.29	336.79	102.25	603.67	258.57	536.45	140.04	599.49	371.22	180.02	318.57	318.57	180.02	147.06	1151.06	2520.38	2835.7	2090.03	1467.37	1199.98	1628.26	1936.53	1331.57	3235.01	961.07	1709.26	2133.97	1151.06	1015.93	688.78	1662.49	1781.89	2018.8	4038.61	0.0	0.09
TPPP2	0.0	0.0	44.89	121.79	1.17	65.72	13.22	85.22	10.88	29.06	87.03	3.47	31.22	4.74	36.53	13.32	753.83	543.96	2451.44	684.02	356.05	1519.15	271.48	234.57	961.07	961.07	447.82	1883.54	769.69	928.3	525.39	332.14	532.74	348.71	848.22	909.17	0.0	0.0
TPRG1	163.28	10.71	379.04	77.25	115.16	277.2	38.67	35.76	12.18	249.73	305.55	97.36	92.7	78.34	279.14	112.77	490.14	267.73	242.88	819.3	264.03	193.01	98.73	111.21	356.05	403.5	41.22	947.83	327.56	514.56	480.04	325.29	237.86	291.04	373.81	389.72	0.0	0.36
TSLP	8.92	2.03	7.0	7.88	0.46	30.78	4.7	17.25	21.01	2.32	2.73	1.25	0.53	1.17	0.83	14.78	363.56	187.71	358.54	633.73	260.38	211.31	341.51	105.15	511.0	470.14	2224.63	514.56	400.71	209.84	199.85	38.95	651.58	457.25	638.15	775.05	0.0	0.26
TSPAN12	7.75	39.79	31.45	23.25	51.35	223.41	98.73	171.45	343.89	271.48	67.12	70.51	218.79	115.97	131.51	239.52	480.04	1369.04	363.56	587.13	974.5	693.58	493.56	599.49	669.92	480.04	954.43	647.07	450.94	417.77	624.99	307.69	2609.3	320.8	1167.14	1447.15	0.0	0.28
TUBE1	86.43	126.12	94.01	120.1	142.01	234.57	156.59	144.01	80.57	22.1	110.43	81.14	293.07	105.15	125.24	323.03	447.82	1331.57	1991.0	995.0	1268.46	1674.06	878.17	842.36	961.07	1119.56	802.41	2104.58	579.04	1572.76	1030.12	579.04	1119.56	713.11	1498.22	1208.34	0.0	0.36
WDR72	269.6	133.36	36.79	92.05	1.93	152.28	70.51	40.36	34.02	34.26	59.97	13.03	178.77	2.12	20.71	35.25	426.57	2701.35	483.38	624.99	1733.13	473.41	92.05	358.54	1001.93	1044.52	460.44	307.69	361.04	1322.37	616.37	665.29	1806.78	154.42	698.41	403.5	0.0	0.34
XDH	176.29	2.92	63.89	152.28	6.11	140.04	124.37	299.25	32.13	27.25	277.2	19.53	23.25	57.89	237.86	98.04	665.29	4239.45	1111.82	1242.34	2855.44	1594.73	2591.27	1487.87	2018.8	2682.69	988.12	2777.33	791.35	1059.11	1175.27	583.07	1437.15	423.61	1819.35	2133.97	0.0	0.09
ZFP1	86.43	108.14	39.22	39.22	57.49	163.28	42.11	44.57	41.81	29.27	41.22	41.81	36.27	64.8	28.65	81.71	295.11	256.78	483.38	497.0	223.41	473.41	285.03	392.44	384.34	543.96	275.28	293.07	348.71	409.15	307.69	178.77	256.78	381.68	406.31	518.15	0.0	0.18
ZNF330	493.56	518.15	607.87	507.46	346.29	688.78	470.14	395.18	336.79	392.44	656.11	435.55	341.51	343.89	423.61	540.19	769.69	674.59	825.0	1051.79	813.63	967.76	1175.27	1369.04	612.11	1183.45	1030.12	791.35	947.83	842.36	884.29	1030.12	1167.14	1250.98	1199.98	1143.1	0.0	0.72
