	TCGA.GC.A6I1.01A.12R.A31N.07	TCGA.FJ.A871.01A.11R.A352.07	TCGA.G3.AAV2.01A.11R.A37K.07	TCGA.DD.AAD0.01A.11R.A41C.07	TCGA.CC.A5UD.01A.11R.A28V.07	TCGA.DD.AADG.01A.11R.A41C.07	TCGA.RG.A7D4.01A.12R.A33R.07	TCGA.CC.A7IF.01A.11R.A33J.07	TCGA.DD.AACP.01A.11R.A41C.07	TCGA.DD.AAE9.01A.11R.A41C.07	TCGA.MI.A75H.01A.11R.A32O.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.CC.A9FU.01A.11R.A37K.07	TCGA.DD.A1EL.01A.11R.A155.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.GJ.A3OU.01A.31R.A38B.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.13FTZ.0726.SM.5IFFY	GTEX.RNOR.1426.SM.48FDJ	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.RN64.1826.SM.48FDV	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
FAM149A	27.84	88.88	173.85	417.77	136.19	579.04	118.43	429.54	158.79	190.34	132.44	8.85	37.32	26.1	66.65	155.5	1127.35	2133.97	1923.14	1498.22	1008.9	1359.57	1721.16	2193.99	2209.26	2163.77	1896.65	1697.45	1757.34	1806.78	1350.18	703.28	1923.14	1104.13	2018.8	1685.71	0.0	0.47
FAM214A	176.29	141.02	348.71	312.0	193.01	599.49	299.25	612.11	234.57	264.03	400.71	212.78	170.25	167.9	285.03	277.2	674.59	813.63	872.1	947.83	567.1	1051.79	547.75	587.13	928.3	1030.12	500.46	1037.29	555.41	921.88	674.59	688.78	1001.93	1104.13	842.36	791.35	0.0	0.37
FAXDC2	13.52	23.93	157.68	848.22	43.32	1015.93	693.58	1111.82	406.31	500.46	420.68	85.82	503.95	194.36	571.05	620.67	4607.24	1909.85	6121.9	4903.87	2090.03	8658.09	3039.3	2193.99	5041.77	4869.99	2303.12	2664.15	6652.97	4639.29	3081.75	1551.09	3039.3	4937.99	3303.0	3742.05	0.0	0.46
FDX1	212.78	205.5	221.86	305.55	171.45	486.75	182.55	503.95	187.71	395.18	450.94	231.32	195.72	265.87	329.84	444.72	591.22	1583.71	748.61	420.68	1331.57	343.89	1277.29	1073.91	599.49	718.08	934.76	941.27	559.28	384.34	567.1	559.28	713.11	1023.0	633.73	1159.07	0.0	0.33
FNIP2	57.89	34.02	31.9	71.5	36.27	102.25	64.8	142.01	52.82	40.07	44.25	32.82	87.65	41.81	55.89	241.19	466.88	198.47	669.92	559.28	241.19	1709.26	595.34	1143.1	830.75	878.17	555.41	1135.2	476.71	738.29	191.67	205.5	351.14	2032.85	241.19	1594.73	0.0	0.42
FREM2	0.0	0.89	0.0	0.0	0.56	0.19	0.0	1.85	0.46	0.0	0.0	0.0	0.0	0.0	0.64	0.48	41.52	165.57	40.93	15.11	205.5	27.44	1.45	8.32	10.55	49.21	17.64	49.21	21.47	193.01	128.79	4.86	303.44	8.65	66.65	72.01	0.0	0.0
GBP7	1.58	0.29	50.27	587.13	3.35	140.04	102.25	71.5	13.03	144.01	182.55	5.19	7.75	116.78	36.79	82.29	2537.92	4450.27	4972.34	3168.41	3540.14	3467.27	1896.65	1572.76	2720.15	5219.6	3467.27	4869.99	2835.7	3280.18	3168.41	728.11	8479.89	5711.87	4181.07	5913.33	0.0	0.0
GCH1	332.14	14.89	85.82	211.31	71.5	187.71	339.14	612.11	307.69	130.6	297.17	100.83	269.6	117.6	420.68	435.55	1268.46	896.64	921.88	2997.45	460.44	1183.45	981.29	785.88	896.64	974.5	1733.13	518.15	902.89	769.69	884.29	2502.97	1001.93	2956.17	1015.93	2178.83	0.0	0.22
GHR	1.3	8.32	158.79	275.28	102.97	198.47	15.34	303.44	36.53	143.01	128.79	5.11	32.82	24.11	59.13	162.14	1519.15	12076.21	4937.99	3847.29	6840.04	2739.08	2555.58	5479.15	2627.46	5995.9	2451.44	6699.25	3395.89	4268.94	2997.45	988.12	7280.4	2335.28	3847.29	9215.48	0.0	0.44
GIPC2	10.24	1.48	111.99	152.28	108.14	62.56	38.12	134.3	30.78	44.89	97.36	5.59	189.02	33.54	89.51	47.84	536.45	764.36	551.56	796.86	679.29	323.03	403.5	497.0	532.74	532.74	325.29	802.41	521.76	409.15	275.28	194.36	400.71	400.71	708.18	1001.93	0.0	0.04
GLS2	9.7	15.91	10.55	19.53	24.28	18.29	21.47	3349.13	53.19	3.41	59.55	12.27	15.8	9.13	19.97	59.97	17681.08	18689.27	17197.56	18304.63	1721.16	12329.98	11424.74	4268.94	7433.4	35609.13	32315.87	13776.25	26614.89	6699.25	4543.8	2664.15	6471.02	10440.2	13123.73	9876.98	0.0	0.33
GLYAT	1.27	0.57	6426.31	2682.69	759.08	6381.92	48.52	3928.15	221.86	2104.58	4869.99	253.23	12.36	884.29	2163.77	1477.58	25354.3	27174.14	54727.32	30785.28	27174.14	31870.96	31215.04	24660.96	34876.28	54727.32	18304.63	46662.28	33922.56	35118.87	22535.88	15180.22	23492.92	44452.21	48643.87	39510.91	0.0	0.0
GPR125	113.56	226.54	264.03	180.02	323.03	476.71	125.24	536.45	193.01	246.28	265.87	157.68	239.52	229.72	159.9	281.09	587.13	698.41	1477.58	2090.03	647.07	1870.53	1119.56	2193.99	1322.37	1519.15	587.13	825.0	921.88	2104.58	974.5	915.51	1233.75	2609.3	555.41	1331.57	0.0	0.62
GPT	67.59	13.62	1757.34	3540.14	343.89	2193.99	450.94	5366.37	629.35	3955.48	4972.34	1417.35	283.05	511.0	703.28	409.15	14163.58	4066.71	15075.35	12160.22	3716.2	18689.27	5872.48	1936.53	10296.45	7032.37	18052.61	11424.74	16269.83	11584.24	11189.6	4769.75	4181.07	7081.29	10808.41	5183.54	0.0	0.58
GRAMD1C	35.5	31.22	21.16	43.02	5.32	81.14	42.11	215.77	30.56	28.86	27.64	3.06	16.51	41.81	21.47	54.72	387.02	616.37	1001.93	819.3	363.56	947.83	483.38	878.17	802.41	1104.13	551.56	392.44	595.34	669.92	435.55	224.97	775.05	470.14	947.83	743.43	0.0	0.21
GRB14	47.84	10.08	441.64	738.29	165.57	941.27	1143.1	934.76	258.57	743.43	723.08	376.41	825.0	551.56	563.18	723.08	1350.18	2976.74	4010.71	4704.07	1721.16	3124.78	1183.45	1794.29	2682.69	3081.75	1662.49	2915.45	1225.22	2997.45	2032.85	1183.45	2018.8	2855.44	4358.66	2104.58	0.0	0.52
GSTZ1	466.88	1233.75	2061.24	587.13	1561.89	2997.45	759.08	1044.52	1044.52	785.88	3540.14	305.55	186.4	525.39	1605.83	532.74	14163.58	13586.57	11827.67	10368.08	9088.59	10368.08	14971.21	10084.54	15499.21	12764.83	15824.9	12415.75	14561.8	9740.98	12415.75	6607.01	9025.81	10440.2	7589.61	6079.61	0.0	0.0
GYS2	0.0	0.0	178.77	199.85	0.72	954.43	9.63	473.41	47.5	73.54	379.04	4.74	29.06	22.1	297.17	16.15	4450.27	7032.37	6207.38	3124.78	5954.47	7642.41	5872.48	9606.86	5831.91	20451.65	2287.2	5633.22	10296.45	4450.27	6516.03	4836.35	6561.36	9215.48	5831.91	13215.02	0.0	0.19
HAAO	120.94	133.36	4010.71	1583.71	5441.3	3467.27	2148.82	6079.61	1651.0	5751.61	4298.64	1781.89	848.22	4419.52	2319.15	1605.83	10368.08	14361.31	23009.42	21919.61	14065.74	33922.56	15392.14	21320.18	27363.16	28328.16	24490.61	19482.97	27553.49	35363.15	19618.49	15075.35	13215.02	21468.49	21026.65	21617.82	0.0	0.35
