	TCGA.5N.A9KI.01A.31R.A42T.07	TCGA.G2.A2EJ.01A.11R.A180.07	TCGA.DK.A2HX.01A.12R.A18C.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.C5.A7CM.01A.11R.A33Z.07	TCGA.JW.A69B.01A.11R.A32P.07	TCGA.DM.A28M.01A.12R.A16W.07	TCGA.NH.A50V.01A.11R.A28H.07	TCGA.D5.6536.01A.11R.1723.07	TCGA.AA.A01P.01A.21R.A083.07	TCGA.X8.AAAR.01A.11R.A406.31	TCGA.L5.A4OG.01A.11R.A260.31	TCGA.JY.A6FH.01A.11R.A336.31	TCGA.L5.A8NU.01A.11R.A36D.31	TCGA.L5.A4OO.01A.11R.A260.31	TCGA.V5.A7RB.01A.11R.A354.31	TCGA.V5.AASW.01A.11R.A406.31	TCGA.JY.A93C.01A.11R.A38D.31	TCGA.L5.A4OP.01A.11R.A260.31	TCGA.L5.A8NS.01A.12R.A37I.31	TCGA.L5.A8NG.01A.11R.A37I.31	TCGA.L5.A4OW.01A.11R.A28J.31	TCGA.L5.A891.01A.11R.A36D.31	TCGA.L5.A4OS.01A.11R.A28J.31	TCGA.2H.A9GI.01A.11R.A37I.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.2H.A9GH.01A.11R.A37I.31	TCGA.L5.A8NV.01A.11R.A37I.31	TCGA.L5.A88Y.01A.11R.A354.31	TCGA.BP.4988.01A.01R.1334.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.AAVR.01A.11R.A41C.07	TCGA.DD.A3A4.01A.11R.A22L.07	TCGA.ZP.A9CV.01A.11R.A38B.07	TCGA.CC.5262.01A.01R.A131.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.DD.A39W.11A.11R.A213.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.YB5E.0326.SM.5IFHU	GTEX.Y5LM.0426.SM.4VBRO	GTEX.RM2N.1926.SM.48FCU	GTEX.13FTW.1126.SM.5J2NV	GTEX.ZPU1.0826.SM.57WG2	GTEX.14753.1626.SM.5NQ9L	GTEX.VUSG.0126.SM.4KL1X	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.U3ZH.0526.SM.3DB75	GTEX.12WSL.2126.SM.5GCNG	GTEX.13OVI.2326.SM.5KM47	GTEX.13113.1526.SM.5EGHV	TCGA.CG.5718.01A.11R.1602.13	TCGA.HU.A4GH.01A.11R.A24K.31	TCGA.BR.4292.01A.01R.1131.13	TCGA.VQ.A8E0.01A.11R.A414.31	TCGA.CG.5732.01A.11R.1602.13	TCGA.D7.A748.01A.12R.A32D.31	TCGA.VQ.AA6D.01A.11R.A414.31	TCGA.BR.4191.01A.02R.1131.13	TCGA.D7.A6EZ.01A.11R.A31P.31	TCGA.CG.5734.01A.11R.1602.13	TCGA.D7.A4YT.01A.11R.A251.31	TCGA.IN.A6RS.01A.12R.A354.31	TCGA.CG.4443.01A.01R.1157.13	TCGA.VQ.AA6J.01A.11R.A414.31	TCGA.VQ.A91Q.01A.12R.A414.31	TCGA.D7.6527.01A.11R.1802.13	TCGA.VQ.A91W.01A.11R.A414.31	TCGA.VQ.A8PU.01A.12R.A414.31	TCGA.CD.5804.01A.12R.2055.13	TCGA.CD.A486.01A.11R.A24K.31	TCGA.HU.A4GU.01A.11R.A251.31	TCGA.D7.6820.01A.11R.1884.13	GTEX.QDVJ.1426.SM.48U1Y	GTEX.T8EM.1226.SM.4DM5J	GTEX.WHPG.0426.SM.4M1XW	GTEX.Q2AH.1126.SM.48TZM	GTEX.13U4I.2526.SM.5SI8Z	GTEX.OHPK.1526.SM.3MJGM	GTEX.XV7Q.1326.SM.4BRWM	GTEX.12BJ1.1726.SM.5HL9B	GTEX.POMQ.0826.SM.3P61H	GTEX.QDVN.1226.SM.48TZ5
AC007952.5	3.82	2.97	5.5	18.97	0.0	22.92	10.71	3.35	6.67	21.78	7.34	19.39	40.64	23.76	19.39	13.32	74.58	31.9	26.1	55.89	30.12	28.04	12.36	57.49	31.45	42.41	58.3	120.1	55.1	23.08	55.89	24.63	291.04	1.23	3.92	4.86	1.62	8.0	2.39	5.23	2.46	0.0	3.92	1.85	2.68	2.78	3.32	1.27	10.24	0.0	0.78	4.58	0.0	0.39	80.57	1.93	3.89	2.27	14.89	11.91	8.38	10.79	12.09	35.76	12.83	77.79	19.25	2.89	38.67	8.92	16.39	65.26	12.45	9.41	16.27	12.83	47.5	24.28	1.46	4.21	15.11	2.58	8.78	15.22	34.26	5.54	6.06	6.52	14.14	10.0
AC139426.2	0.91	0.32	1.75	0.8	1.73	10.96	7.51	3.99	2.14	1.23	0.0	7.34	0.0	3.14	2.78	3.63	13.22	7.82	6.73	3.59	4.06	7.4	7.06	13.12	9.78	0.0	8.71	2.92	2.29	5.15	11.21	2.92	27.44	0.0	2.25	0.0	1.43	1.31	1.71	0.0	2.25	0.0	0.0	0.0	1.75	1.03	0.56	2.58	0.35	0.0	1.19	1.22	0.0	0.21	11.38	3.17	1.68	2.56	0.0	1.58	1.97	3.29	5.11	1.66	2.23	11.3	4.62	0.0	3.41	1.45	4.46	1.97	6.57	2.73	1.99	1.5	1.01	5.77	2.73	0.0	4.78	5.19	3.59	1.1	6.89	2.12	5.82	2.76	7.88	5.77
ACRC	6.78	22.1	4.54	9.06	15.8	48.52	26.67	15.22	9.27	16.15	40.64	11.82	23.25	47.5	31.45	43.32	43.94	68.07	27.44	63.45	17.77	71.0	55.49	66.65	63.89	70.51	209.84	51.71	35.76	31.22	58.71	31.22	127.0	0.45	7.28	19.68	11.64	12.93	7.0	6.46	10.16	3.76	12.18	7.28	3.32	3.35	5.59	5.02	4.94	2.73	0.28	12.36	0.0	0.74	44.89	15.34	2.86	7.06	11.3	54.72	13.42	11.73	8.25	6.06	15.68	27.84	16.15	5.54	24.81	13.12	32.59	30.34	27.64	7.34	8.0	27.44	7.11	30.56	41.81	6.46	11.3	10.24	10.71	28.24	46.5	7.57	28.04	12.36	4.54	30.12
ADCY4	102.97	26.86	102.25	64.34	246.28	693.58	209.84	144.01	119.26	52.45	246.28	536.45	358.54	406.31	281.09	299.25	1208.34	532.74	447.82	189.02	575.03	825.0	318.57	743.43	397.93	114.36	559.28	363.56	314.17	371.22	713.11	547.75	1721.16	16.15	126.12	166.73	124.37	118.43	142.01	85.22	14.03	54.72	25.72	46.84	25.72	69.03	41.22	85.82	41.81	27.44	19.82	46.84	0.0	0.82	1030.12	49.21	105.89	105.89	301.33	312.0	129.69	260.38	132.44	301.33	159.9	291.04	93.35	162.14	309.83	198.47	180.02	206.94	483.38	120.94	108.14	265.87	283.05	420.68	187.71	106.63	113.56	231.32	185.11	100.13	297.17	129.69	287.01	88.26	172.65	171.45
ADPGK	902.89	738.29	1427.22	389.72	915.51	872.1	981.29	1111.82	928.3	435.55	503.95	884.29	1051.79	490.14	878.17	1225.22	967.76	1175.27	947.83	1151.06	723.08	1781.89	1304.15	947.83	1250.98	728.11	1909.85	1073.91	633.73	1143.1	1015.93	928.3	1991.0	981.29	426.57	540.19	373.81	473.41	450.94	299.25	348.71	251.48	316.37	295.11	273.37	312.0	249.73	373.81	269.6	329.84	218.79	256.78	934.76	1709.26	2148.82	728.11	476.71	497.0	718.08	872.1	1081.39	1832.01	563.18	813.63	1037.29	1844.76	981.29	890.44	1651.0	808.0	854.13	1151.06	1151.06	612.11	921.88	1073.91	791.35	1350.18	629.35	620.67	587.13	603.67	728.11	591.22	854.13	587.13	497.0	642.59	836.53	575.03
AGAP5	53.57	22.43	29.27	64.8	85.22	119.26	195.72	77.25	64.8	63.45	212.78	187.71	109.66	153.34	113.56	125.24	121.79	182.55	120.94	185.11	156.59	198.47	143.01	237.86	135.24	75.11	189.02	93.35	81.71	98.04	180.02	106.63	361.04	3.69	37.32	42.11	29.27	57.08	16.27	24.99	24.11	6.67	18.56	26.47	15.34	3.2	13.52	21.16	17.77	18.84	7.51	26.28	0.0	0.83	423.61	38.67	21.78	29.7	46.84	143.01	86.43	104.42	75.11	60.39	191.67	125.24	161.02	23.25	82.29	90.14	217.27	148.09	273.37	21.94	164.42	186.4	60.82	134.3	198.47	35.5	74.58	70.51	65.26	105.15	164.42	75.64	69.52	70.01	105.15	71.5
AGAP6	91.41	90.77	32.36	49.21	178.77	249.73	356.05	220.32	228.13	239.52	836.53	249.73	356.05	483.38	323.03	483.38	343.89	703.28	532.74	532.74	389.72	860.08	395.18	669.92	547.75	339.14	656.11	208.38	176.29	258.57	651.58	242.88	825.0	11.47	89.51	122.64	78.89	148.09	72.52	89.51	59.55	8.32	71.0	34.51	27.44	15.0	38.12	59.55	43.94	48.52	19.82	76.71	0.0	1.19	497.0	68.07	29.7	41.22	141.02	346.29	181.28	169.07	67.12	88.88	438.59	283.05	229.72	59.55	343.89	234.57	366.09	303.44	563.18	44.25	305.55	368.65	162.14	483.38	327.56	78.34	64.8	147.06	68.07	96.01	373.81	64.8	136.19	108.14	115.16	113.56
AGAP8	49.91	19.25	24.81	37.32	146.03	218.79	164.42	41.52	73.54	100.83	215.77	293.07	183.82	171.45	102.25	113.56	140.04	329.84	248.0	154.42	182.55	361.04	303.44	395.18	224.97	185.11	309.83	92.7	75.11	130.6	218.79	60.39	825.0	1.68	12.55	18.56	17.64	94.01	36.53	15.91	19.68	0.0	44.89	28.24	23.25	8.19	12.45	27.05	16.27	23.08	7.94	10.71	0.0	0.64	163.28	17.9	22.43	58.71	27.44	199.85	94.01	85.82	31.67	60.39	223.41	241.19	155.5	30.12	237.86	66.65	309.83	140.04	414.87	30.56	208.38	264.03	51.35	285.03	136.19	49.21	92.05	144.01	79.45	108.14	228.13	101.54	158.79	43.02	94.67	33.54
AHSA2	571.05	226.54	217.27	262.2	400.71	1088.92	819.3	1883.54	1135.2	620.67	2701.35	1111.82	854.13	1498.22	1407.55	1963.57	1709.26	2502.97	2627.46	1685.71	2915.45	2384.37	2032.85	2104.58	2271.4	974.5	1870.53	1819.35	1096.5	1427.22	2104.58	884.29	3491.39	45.21	466.88	728.11	128.79	470.14	133.36	258.57	119.26	44.89	150.17	108.14	60.39	37.59	78.89	82.29	142.01	70.51	124.37	164.42	0.0	1.58	1467.37	152.28	153.34	293.07	896.64	947.83	988.12	511.0	371.22	575.03	1407.55	802.41	624.99	214.27	1286.18	1322.37	2664.15	1378.57	2271.4	178.77	1008.9	1119.56	483.38	1388.16	785.88	111.21	248.0	406.31	178.77	412.0	1250.98	426.57	414.87	507.46	376.41	341.51
ANAPC4	275.28	271.48	221.86	262.2	555.41	1175.27	1781.89	228.13	454.09	346.29	633.73	441.64	454.09	511.0	480.04	420.68	463.65	647.07	591.22	432.53	551.56	633.73	460.44	500.46	473.41	260.38	638.15	540.19	470.14	583.07	470.14	307.69	703.28	151.22	181.28	285.03	159.9	251.48	193.01	115.16	136.19	63.0	116.78	152.28	108.9	136.19	113.56	108.9	136.19	164.42	55.49	115.97	325.29	220.32	921.88	336.79	334.46	371.22	214.27	529.06	444.72	301.33	285.03	208.38	403.5	518.15	351.14	189.02	684.02	420.68	607.87	500.46	909.17	173.85	463.65	579.04	204.07	409.15	309.83	181.28	256.78	316.37	336.79	229.72	543.96	260.38	348.71	285.03	361.04	295.11
