	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.13O3O.0726.SM.5J1N7	GTEX.O5YW.0526.SM.2YUMX	GTEX.11DXZ.0726.SM.5N9C4	GTEX.QXCU.0626.SM.2TC69	GTEX.11NSD.0326.SM.5A5LS	GTEX.147F4.0926.SM.5Q5EO	GTEX.WFJO.0326.SM.3GIL3	GTEX.TML8.0326.SM.4GICN	GTEX.14E7W.1326.SM.5RQIV	GTEX.XUJ4.1426.SM.4BONT	GTEX.WFG7.0526.SM.3GIKI	GTEX.117YX.1326.SM.5H125	GTEX.R55G.0826.SM.2TC5U	GTEX.U3ZN.0626.SM.3DB7U	GTEX.11NV4.1126.SM.5HL6J	GTEX.11EMC.0126.SM.5EGKV	GTEX.1122O.0126.SM.5GICA	GTEX.13N1W.0726.SM.5MR57	GTEX.13PL7.1726.SM.5J2NX	GTEX.XGQ4.0826.SM.4AT4T	GTEX.13OW6.0826.SM.5L3GA	GTEX.WH7G.0726.SM.3NMBM	GTEX.PLZ5.0726.SM.2I5F9	GTEX.11LCK.0426.SM.5A5M8	GTEX.OHPM.0526.SM.2YUMJ
C6orf211	624.99	723.08	176.29	563.18	967.76	293.07	738.29	206.94	860.08	698.41	171.45	679.29	896.64	759.08	796.86	896.64	103.69	314.17	529.06	287.01	447.82	638.15	532.74	854.13	866.07	995.0	551.56
CCDC125	102.97	115.16	81.14	98.73	181.28	48.87	234.57	37.59	241.19	171.45	49.21	96.68	152.28	78.89	181.28	246.28	10.79	93.35	78.89	34.51	120.1	73.54	70.51	139.07	124.37	187.71	62.56
CD22	140.04	201.25	44.25	320.8	164.42	40.93	287.01	64.8	480.04	139.07	42.41	116.78	376.41	120.94	204.07	220.32	6.21	85.82	63.89	48.87	64.8	201.25	42.41	409.15	543.96	454.09	44.57
CEP85	114.36	63.0	56.28	104.42	336.79	70.01	299.25	25.35	163.28	144.01	134.3	143.01	201.25	127.89	236.21	242.88	88.26	88.88	110.43	64.34	90.77	92.7	106.63	234.57	181.28	153.34	110.43
CETN3	373.81	738.29	194.36	435.55	947.83	158.79	934.76	205.5	878.17	954.43	156.59	587.13	802.41	802.41	723.08	961.07	109.66	316.37	693.58	265.87	470.14	647.07	241.19	961.07	764.36	896.64	395.18
CLCN5	69.03	54.33	61.25	55.89	113.56	69.52	77.25	120.94	115.16	107.38	47.17	89.51	145.02	106.63	131.51	197.09	28.65	57.08	52.08	40.93	90.77	56.28	70.01	55.89	139.07	190.34	29.91
CLNS1A	1259.69	1844.76	884.29	1167.14	1950.0	603.67	1529.73	780.44	2609.3	1745.2	909.17	2061.24	2240.11	1662.49	1977.24	2287.2	587.13	1397.83	1594.73	1991.0	1216.75	1709.26	1388.16	2502.97	2209.26	1991.0	1096.5
COG6	195.72	193.01	104.42	194.36	325.29	57.89	267.73	112.77	271.48	209.84	104.42	201.25	279.14	234.57	267.73	403.5	55.89	93.35	176.29	78.89	144.01	195.72	143.01	262.2	293.07	305.55	136.19
COMMD8	301.33	376.41	133.36	297.17	612.11	140.04	547.75	146.03	447.82	518.15	163.28	363.56	703.28	511.0	543.96	723.08	64.34	134.3	435.55	148.09	323.03	285.03	208.38	521.76	559.28	525.39	307.69
COQ9	547.75	802.41	406.31	638.15	1167.14	264.03	988.12	198.47	967.76	860.08	244.57	802.41	995.0	860.08	1135.2	1104.13	144.01	409.15	808.0	483.38	796.86	842.36	473.41	995.0	860.08	1044.52	547.75
