	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.ZJ.AAXF.01A.31R.A42T.07	GTEX.XGQ4.1626.SM.4AT6J	GTEX.XQ8I.1826.SM.4BOOJ	GTEX.T5JW.1326.SM.4DM5G	GTEX.S4P3.0426.SM.4AD56	GTEX.S3XE.0926.SM.4AD4S	GTEX.PLZ5.0926.SM.3TW8L	TCGA.CV.A6K0.01B.21R.A31N.07	TCGA.DD.A3A2.01A.11R.A213.07	GTEX.W5WG.1326.SM.4LMI9
AC012313.1	1259.69	780.44	22.75	0.0	0.0	142.01	314.17	94.67	150.17	15.11	0.0	0.0
ACSL3	3419.52	2061.24	890.44	603.67	454.09	3349.13	2351.53	2367.9	1781.89	1104.13	463.65	392.44
ADIPOR1	9606.86	5183.54	1896.65	1119.56	1225.22	4010.71	3372.43	3146.52	2400.97	1857.6	1806.78	988.12
AFF4	915.51	348.71	224.97	403.5	346.29	764.36	1037.29	819.3	591.22	363.56	241.19	255.0
AGPAT9	1757.34	1008.9	69.03	78.89	84.04	293.07	312.0	305.55	64.34	81.14	36.01	156.59
AIM1L	16157.44	10225.32	1674.06	6.94	1.77	3060.45	4607.24	3060.45	2224.63	651.58	8.0	16.63
ANXA1	1970321.01	209994.66	32092.64	4450.27	4038.61	165904.25	200048.85	93325.55	69271.73	42641.37	232.94	2434.5
ANXA11	23330.64	7230.1	3349.13	3742.05	3303.0	7485.11	9540.5	7130.55	5147.73	2796.65	1769.57	3212.66
ARF6	14065.74	9876.98	3124.78	629.35	563.18	3820.7	5292.48	4152.18	2935.74	2855.44	633.73	536.45
ARHGEF5	3820.7	3124.78	303.44	57.89	56.68	1359.57	1477.58	748.61	612.11	532.74	141.02	61.25
B3GNT2	1151.06	563.18	277.2	109.66	119.26	698.41	629.35	684.02	438.59	493.56	79.45	379.04
B3GNT8	23169.48	10585.95	389.72	122.64	91.41	1322.37	1143.1	723.08	470.14	194.36	9.13	89.51
BCL2L1	4575.41	2178.83	1175.27	808.0	1096.5	1781.89	2193.99	1923.14	1397.83	1350.18	884.29	1331.57
BLZF1	1883.54	878.17	392.44	236.21	307.69	836.53	884.29	651.58	414.87	400.71	103.69	309.83
BTBD10	860.08	1008.9	514.56	389.72	339.14	748.61	902.89	660.68	764.36	518.15	118.43	353.59
C1orf116	38966.94	25354.3	616.37	4.31	4.13	3742.05	3768.09	3982.99	1832.01	612.11	2.05	4.17
C20orf24	8078.22	5913.33	3690.52	1059.11	1159.07	6250.56	7081.29	5555.65	3955.48	2758.13	3146.52	1096.5
C6orf132	9409.14	5791.62	616.37	13.52	17.51	3768.09	4903.87	5479.15	2915.45	1268.46	1.51	6.26
C9orf169	62431.08	34635.37	1963.57	27.44	33.3	6983.79	7081.29	9808.75	2417.67	1159.07	41.22	22.26
CAMSAP1	1594.73	954.43	325.29	224.97	191.67	490.14	656.11	571.05	460.44	379.04	62.12	189.02
CAST	46986.85	14765.09	4450.27	3589.58	2018.8	6840.04	10014.87	7081.29	6983.79	4704.07	1721.16	2400.97
CCNYL1	1001.93	412.0	325.29	241.19	191.67	353.59	493.56	441.64	307.69	251.48	115.97	102.25
CDC42EP1	2271.4	1529.73	1286.18	1159.07	1051.79	4704.07	5041.77	2485.67	1167.14	1175.27	684.02	1151.06
CDCP1	1037.29	808.0	543.96	6.26	38.67	2178.83	2119.22	728.11	764.36	693.58	1.55	140.04
CDK7	4419.52	1529.73	503.95	348.71	295.11	1183.45	1167.14	780.44	769.69	769.69	289.02	567.1
CEACAM1	16611.71	642.59	718.08	30.78	13.03	4123.49	6294.04	1250.98	2004.85	209.84	291.04	327.56
CHP1	5403.7	2664.15	1340.84	669.92	718.08	1977.24	2384.37	2255.7	1697.45	1508.65	1191.69	723.08
CLN8	764.36	543.96	256.78	86.43	94.67	693.58	698.41	450.94	275.28	231.32	178.77	51.71
CMIP	1950.0	1477.58	825.0	551.56	363.56	1662.49	1745.2	1023.0	995.0	954.43	173.85	190.34
CRB3	7180.15	3639.7	540.19	58.3	19.82	1991.0	2384.37	1250.98	836.53	373.81	4.9	43.02
DCAF12	1909.85	934.76	493.56	248.0	231.32	921.88	934.76	848.22	647.07	595.34	234.57	423.61
DIAPH1	4298.64	2367.9	1388.16	595.34	624.99	2739.08	3103.19	2240.11	1388.16	1857.6	1936.53	808.0
DIS3	743.43	423.61	447.82	229.72	260.38	507.46	616.37	438.59	503.95	348.71	156.59	185.11
DNAJB6	3768.09	2855.44	2835.7	2032.85	1697.45	4607.24	6887.62	2758.13	2997.45	3515.68	1030.12	1617.0
DPCR1	2163.77	275.28	21.94	3.23	4.82	48.87	397.93	555.41	366.09	0.0	0.0	1.79
EFCAB14	1397.83	1001.93	743.43	947.83	796.86	1794.29	1883.54	1135.2	1008.9	1001.93	414.87	884.29
EPB41L3	1674.06	373.81	195.72	255.0	208.38	229.72	423.61	802.41	486.75	426.57	30.12	190.34
EPGN	15715.58	22535.88	180.02	0.0	2.32	2645.74	2240.11	759.08	444.72	115.97	0.0	3.79
EPHA2	43840.21	6792.79	1709.26	166.73	215.77	5594.3	6207.38	3039.3	2104.58	775.05	58.71	100.83
FAM129B	22072.07	15824.9	6381.92	2609.3	1757.34	10512.82	13492.72	15392.14	8598.28	5292.48	171.45	1008.9
FBXW10	13.62	6.73	2.51	0.91	4.39	3.72	14.24	8.19	7.34	3.32	1.57	0.0
FUT6	212926.09	88905.42	285.03	0.84	0.0	1081.39	1977.24	1819.35	660.68	139.07	1.23	5.73
GALNT3	8901.53	4903.87	450.94	24.28	30.12	1639.59	1857.6	1268.46	769.69	890.44	13.72	131.51
GATAD2A	1304.15	808.0	738.29	426.57	490.14	1143.1	1225.22	974.5	902.89	1051.79	403.5	387.02
GLTP	55877.28	23656.34	4298.64	486.75	470.14	9606.86	6699.25	6607.01	4575.41	2468.49	208.38	651.58
GRHL3	80683.28	31650.8	1008.9	5.06	2.01	3039.3	3168.41	1167.14	1304.15	713.11	2.36	0.39
ID1	29531.18	15180.22	7966.99	2816.11	3419.52	17197.56	9151.82	3955.48	5751.61	2004.85	934.76	2520.38
INO80C	2835.7	1963.57	902.89	651.58	738.29	1769.57	1697.45	1794.29	872.1	591.22	444.72	493.56
JHDM1D	199.85	221.86	84.63	185.11	121.79	616.37	764.36	204.07	187.71	137.14	63.89	41.22
KCMF1	2240.11	1388.16	848.22	616.37	629.35	1605.83	1733.13	1674.06	1447.15	981.29	490.14	486.75
KCNK1	2004.85	1159.07	521.76	51.35	81.71	1304.15	1447.15	543.96	420.68	237.86	66.65	36.01
KIFC3	2351.53	921.88	656.11	277.2	420.68	629.35	1832.01	941.27	447.82	748.61	141.02	248.0
KRT6A	2.01760973986E9	2.41604469791E9	242898.5	132.44	87.03	193234.41	301123.38	417089.23	350728.68	214407.12	0.0	0.0
MAP3K9	307.69	108.9	72.01	14.78	13.72	202.66	255.0	262.2	114.36	104.42	16.03	18.29
MAP4K4	1651.0	638.15	529.06	579.04	547.75	1051.79	1628.26	1359.57	1208.34	1295.13	426.57	255.0
MBOAT2	30999.42	2004.85	693.58	486.75	248.0	1651.0	2271.4	1331.57	896.64	1030.12	5.82	297.17
METRNL	10585.95	6337.83	1572.76	563.18	571.05	4419.52	4671.57	3060.45	1594.73	1870.53	264.03	483.38
MTF1	376.41	127.89	145.02	88.88	83.45	279.14	334.46	193.01	157.68	153.34	37.59	73.54
MXD1	22692.63	3742.05	540.19	220.32	325.29	2075.59	3395.89	2627.46	1159.07	351.14	85.22	79.45
N4BP1	3060.45	2032.85	928.3	417.77	507.46	1088.92	1923.14	1378.57	842.36	1066.48	144.01	262.2
NDEL1	1781.89	1037.29	753.83	941.27	1183.45	2855.44	2777.33	1794.29	1733.13	1044.52	718.08	587.13
NPAS2	2758.13	1477.58	543.96	748.61	409.15	1709.26	1745.2	1794.29	808.0	381.68	656.11	211.31
NUFIP2	423.61	212.78	293.07	217.27	255.0	571.05	759.08	361.04	379.04	339.14	144.01	180.02
OCLN	819.3	503.95	289.02	59.97	44.89	785.88	1199.98	490.14	154.42	81.14	141.02	80.01
PABPC1	164758.26	102836.01	40341.14	14765.09	11035.54	32767.0	44452.21	38697.77	36864.92	36357.37	11267.44	14867.79
PCDH1	4358.66	1030.12	974.5	275.28	301.33	1551.09	2133.97	1909.85	1250.98	329.84	185.11	305.55
PFKFB2	679.29	146.03	143.01	121.79	102.97	309.83	291.04	426.57	237.86	154.42	63.45	56.28
PHLDB3	3081.75	2271.4	629.35	211.31	197.09	1487.87	1832.01	780.44	708.18	486.75	802.41	420.68
PIM1	16960.78	7230.1	1250.98	373.81	271.48	5403.7	5292.48	4419.52	1508.65	1304.15	409.15	312.0
PITPNC1	248.0	275.28	387.02	248.0	236.21	392.44	587.13	551.56	397.93	267.73	299.25	237.86
PNP	5076.84	2627.46	1896.65	353.59	229.72	5831.91	4769.75	2915.45	2319.15	2855.44	139.07	417.77
PPARD	3491.39	1242.34	620.67	409.15	575.03	1519.15	1769.57	1233.75	703.28	547.75	145.02	395.18
PPP2R2A	5329.3	2997.45	1104.13	684.02	688.78	2271.4	2835.7	1936.53	1437.15	967.76	242.88	579.04
PRDM1	4038.61	1745.2	248.0	19.82	23.59	1950.0	2255.7	1081.39	470.14	256.78	8.38	117.6
PROSER2	836.53	536.45	113.56	30.56	43.32	444.72	536.45	162.14	177.53	228.13	361.04	60.82
PRSS22	35118.87	9215.48	934.76	8.92	4.7	5441.3	9540.5	1950.0	1388.16	947.83	0.0	16.51
PRSS3	25530.66	9279.58	500.46	54.72	14.45	1991.0	4704.07	4419.52	872.1	633.73	287.01	3.35
RAB11FIP1	17437.64	1936.53	575.03	93.35	91.41	2047.0	2875.3	1183.45	713.11	269.6	138.1	223.41
