	TCGA.CU.A72E.01A.12R.A33J.07	TCGA.LP.A4AW.01A.11R.A24H.07	TCGA.G4.6302.01A.11R.1723.07	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.F4.6704.11A.01R.1839.07	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	TCGA.CV.6960.01A.41R.2016.07	TCGA.BB.A5HZ.01A.21R.A28V.07	TCGA.CV.7432.01A.11R.2132.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.38.4625.01A.01R.1206.07	TCGA.AG.3732.11A.01R.1660.07
ABCA6	19.39	40.64	78.34	285.03	234.57	140.04	583.07	1073.91	463.65	656.11	4.28	6.46	0.83	7.0	2.27	0.0	409.15
ADAM33	26.47	397.93	819.3	674.59	1844.76	854.13	1467.37	3419.52	2224.63	3901.01	4.7	58.71	2.14	23.25	17.0	0.0	954.43
ADAMTS10	60.39	223.41	497.0	195.72	307.69	246.28	571.05	896.64	460.44	583.07	11.73	85.22	7.88	40.93	25.17	0.0	231.32
BBS4	223.41	224.97	376.41	441.64	463.65	253.23	358.54	536.45	406.31	507.46	76.71	78.34	47.5	123.5	118.43	0.0	486.75
C16orf86	40.64	44.89	121.79	211.31	293.07	72.52	197.09	152.28	171.45	127.89	38.67	19.53	3.29	28.04	14.56	0.0	182.55
C17orf61-PLSCR3	5.5	4.24	17.77	12.74	26.28	4.43	66.18	12.55	34.51	8.32	2.63	2.58	8.19	2.01	5.02	0.0	25.72
C1QTNF3	215.77	218.79	329.84	599.49	872.1	409.15	1119.56	775.05	616.37	563.18	12.36	42.41	10.39	6.31	29.7	0.0	1088.92
CACNA1H	102.97	409.15	4010.71	3039.3	13492.72	1977.24	17197.56	7382.04	32994.92	11189.6	18.29	21.94	19.82	36.01	23.76	0.0	4671.57
CH25H	13.32	87.65	102.97	69.52	37.32	149.12	647.07	221.86	595.34	718.08	35.76	48.52	6.16	34.02	16.88	0.0	60.82
CLIP3	116.78	351.14	2119.22	2502.97	6250.56	961.07	3103.19	4543.8	6983.79	3639.7	23.59	43.63	22.1	28.45	56.68	0.0	2835.7
CLN5	323.03	332.14	343.89	384.34	379.04	339.14	414.87	356.05	327.56	397.93	138.1	141.02	199.85	262.2	199.85	0.0	480.04
