	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.G9.6385.01A.11R.1789.07	TCGA.J9.A52D.01A.11R.A29R.07	TCGA.KK.A8ID.01A.11R.A36G.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.XK.AAIR.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7742.01A.11R.2118.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.EJ.A6RC.01A.11R.A32O.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.J4.A83J.01A.11R.A36G.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.HC.7750.01A.11R.2118.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.V1.A9OF.01A.11R.A41O.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.2A.A8VV.01A.11R.A37L.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.G9.6364.01A.21R.1789.07	TCGA.EJ.A65J.01A.11R.A311.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.KK.A7B3.01A.11R.A33R.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.2A.AAYU.01A.11R.A41O.07	TCGA.HC.A8CY.01A.11R.A36G.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.HC.7740.01A.11R.2118.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7331.11A.01R.2118.07	GTEX.U3ZM.0926.SM.4DXSW	GTEX.YB5E.1826.SM.5IFI4
ANGPT1	8.78	131.51	148.09	5.32	9.63	10.47	102.25	93.35	133.36	81.71	131.51	45.85	15.68	126.12	35.5	204.07	163.28	15.91	24.28	61.25	33.54	31.9	24.99	62.56	214.27	32.82	48.52	181.28	34.26	0.55	29.91	74.06	29.91	140.04	6.36	135.24	15.45	71.0	39.79	100.13	126.12	37.59	6.26	180.02	21.63	28.86	80.01	14.03	12.36	241.19	234.57	19.25	25.72	70.01	93.35	161.02	28.24	14.67	218.79	14.45	66.65	20.56	34.26	277.2	348.71	242.88	214.27	285.03	180.02	583.07	208.38	145.02	460.44	301.33	198.47
ARHGEF4	82.29	177.53	190.34	15.11	62.12	84.63	147.06	251.48	138.1	154.42	246.28	76.71	55.49	262.2	108.9	271.48	301.33	124.37	118.43	115.97	80.01	87.65	101.54	125.24	327.56	133.36	60.39	170.25	62.12	63.45	208.38	215.77	156.59	412.0	86.43	198.47	65.72	154.42	51.71	198.47	131.51	163.28	102.97	262.2	197.09	54.72	198.47	53.19	29.27	255.0	228.13	117.6	39.5	221.86	163.28	275.28	85.22	30.56	264.03	78.34	140.04	118.43	198.47	255.0	293.07	246.28	332.14	429.54	283.05	432.53	214.27	161.02	395.18	303.44	195.72
ARMCX1	30.78	409.15	595.34	19.39	31.9	181.28	688.78	547.75	253.23	191.67	141.02	103.69	63.89	426.57	57.89	669.92	312.0	103.69	46.84	277.2	95.34	540.19	165.57	371.22	438.59	395.18	202.66	764.36	209.84	11.64	473.41	110.43	80.01	507.46	473.41	514.56	53.19	185.11	107.38	460.44	780.44	131.51	27.05	656.11	242.88	55.89	420.68	45.53	28.45	748.61	387.02	70.01	120.94	128.79	212.78	575.03	120.94	61.68	397.93	75.64	164.42	105.89	98.73	836.53	555.41	988.12	796.86	733.19	988.12	603.67	866.07	414.87	785.88	743.43	928.3
ASCC1	273.37	389.72	363.56	267.73	212.78	249.73	403.5	435.55	379.04	295.11	339.14	346.29	149.12	368.65	246.28	417.77	371.22	500.46	182.55	305.55	271.48	269.6	232.94	273.37	346.29	332.14	368.65	463.65	228.13	190.34	258.57	384.34	260.38	318.57	285.03	551.56	141.02	316.37	281.09	371.22	316.37	264.03	249.73	497.0	229.72	248.0	264.03	191.67	236.21	371.22	450.94	262.2	209.84	348.71	343.89	371.22	244.57	267.73	368.65	289.02	299.25	208.38	269.6	444.72	579.04	438.59	503.95	397.93	450.94	647.07	403.5	341.51	660.68	507.46	463.65
ATP2B4	67.59	819.3	825.0	37.05	93.35	49.21	674.59	723.08	780.44	647.07	591.22	423.61	150.17	1151.06	172.65	1487.87	860.08	136.19	109.66	435.55	279.14	164.42	202.66	277.2	1331.57	343.89	139.07	808.0	211.31	34.51	403.5	759.08	221.86	1322.37	43.02	1745.2	147.06	525.39	366.09	974.5	507.46	403.5	43.32	808.0	503.95	125.24	483.38	136.19	69.03	1605.83	995.0	155.5	156.59	521.76	414.87	802.41	180.02	103.69	1233.75	211.31	633.73	166.73	256.78	1167.14	1313.23	1059.11	1769.57	1769.57	967.76	1806.78	934.76	638.15	1350.18	1175.27	981.29
C22orf23	15.11	61.68	58.3	15.34	50.63	20.56	64.34	70.51	72.52	61.68	84.04	34.51	35.25	76.17	10.96	76.17	73.54	38.95	14.56	42.41	55.89	31.45	20.86	33.3	77.79	71.0	17.77	28.45	25.72	18.7	52.82	55.89	26.1	109.66	17.0	99.43	33.54	59.13	37.05	109.66	43.02	40.36	49.21	71.0	64.8	40.64	41.81	36.27	11.82	131.51	73.54	48.87	26.1	53.57	54.33	63.45	24.11	40.07	88.26	54.72	29.48	35.76	55.1	107.38	93.35	95.34	102.97	100.13	81.71	144.01	87.03	39.79	84.63	132.44	122.64
CAMK2G	297.17	583.07	620.67	264.03	379.04	376.41	435.55	607.87	642.59	447.82	633.73	384.34	389.72	703.28	392.44	842.36	775.05	395.18	287.01	376.41	368.65	363.56	400.71	476.71	915.51	220.32	376.41	595.34	392.44	193.01	423.61	532.74	327.56	842.36	283.05	743.43	279.14	563.18	363.56	629.35	460.44	536.45	265.87	813.63	518.15	346.29	559.28	339.14	327.56	708.18	703.28	341.51	329.84	532.74	507.46	808.0	346.29	293.07	769.69	301.33	497.0	438.59	353.59	759.08	1023.0	813.63	941.27	1242.34	780.44	1208.34	884.29	559.28	1023.0	974.5	928.3
CAPN6	3.08	73.03	92.7	3.96	0.87	2.46	66.65	50.27	44.89	60.39	17.13	9.34	17.13	105.15	119.26	126.12	38.4	5.41	2.32	41.52	10.88	32.13	12.09	21.47	72.52	16.39	24.28	57.89	9.27	0.0	27.84	63.0	41.81	197.09	16.15	209.84	4.98	30.78	57.89	81.71	62.56	30.34	0.0	41.52	43.32	4.39	20.26	7.17	1.0	85.82	70.51	7.22	16.39	131.51	10.96	87.03	9.34	3.38	84.04	4.94	80.01	2.03	24.28	92.05	121.79	285.03	140.04	71.0	66.65	100.83	34.26	35.25	186.4	371.22	511.0
CFL2	420.68	1015.93	1199.98	180.02	361.04	351.14	934.76	1295.13	1073.91	896.64	1216.75	660.68	241.19	1216.75	389.72	1857.6	1950.0	236.21	361.04	583.07	476.71	334.46	466.88	848.22	2047.0	376.41	457.25	1721.16	514.56	265.87	624.99	1001.93	503.95	1477.58	575.03	2119.22	406.31	684.02	1051.79	909.17	909.17	518.15	249.73	1096.5	915.51	438.59	1015.93	551.56	728.11	2018.8	1594.73	287.01	379.04	669.92	769.69	1015.93	218.79	497.0	1674.06	591.22	1304.15	283.05	379.04	1628.26	2224.63	1540.37	1685.71	2148.82	1447.15	3349.13	2287.2	1697.45	3303.0	1819.35	1769.57
CHRNB2	0.93	0.35	2.36	0.0	0.67	1.2	0.66	1.36	1.04	0.99	0.68	0.0	0.72	1.66	0.35	1.79	0.72	0.0	0.39	0.35	0.65	0.67	0.0	0.35	1.1	0.67	0.0	0.72	0.97	0.31	0.0	0.0	0.0	2.05	0.65	2.05	0.0	0.68	1.97	0.35	1.0	1.0	0.0	0.71	0.96	0.34	0.71	1.31	0.0	1.04	1.03	0.0	0.0	0.0	0.0	0.66	0.66	0.64	2.18	0.36	0.36	0.34	0.35	1.73	1.38	1.97	2.41	1.13	1.66	2.1	0.69	1.0	2.05	3.2	3.26
CLIP2	34.02	120.1	159.9	18.43	57.89	18.56	96.01	114.36	142.01	150.17	123.5	122.64	76.17	147.06	45.21	176.29	182.55	41.52	30.12	87.65	120.94	101.54	44.25	42.41	152.28	85.22	59.97	97.36	76.71	27.25	112.77	92.05	72.52	166.73	19.97	136.19	78.89	173.85	158.79	105.15	91.41	145.02	38.67	120.1	82.87	100.83	92.7	73.54	31.45	106.63	234.57	45.21	70.01	49.91	117.6	127.89	37.59	111.99	221.86	73.03	74.06	86.43	66.65	208.38	169.07	175.07	167.9	172.65	134.3	287.01	145.02	100.13	273.37	303.44	212.78
CNTFR	27.25	28.86	113.56	1.89	5.54	8.71	113.56	58.3	63.45	65.26	82.29	31.22	20.26	23.76	21.63	86.43	143.01	5.59	23.93	15.91	26.86	9.13	22.26	77.25	51.35	16.51	20.71	89.51	30.34	12.18	17.77	21.63	56.28	135.24	4.24	137.14	5.11	32.82	32.13	46.5	54.33	101.54	15.8	42.41	21.94	13.52	55.1	23.25	16.03	29.06	167.9	15.56	10.08	12.18	93.35	62.56	11.73	11.73	69.03	13.93	60.39	5.41	29.27	95.34	91.41	102.25	214.27	100.13	68.07	287.01	175.07	42.71	438.59	108.14	153.34
CRTAP	1313.23	2701.35	3018.3	620.67	1167.14	1259.69	2178.83	2384.37	3372.43	2018.8	2816.11	1909.85	1135.2	2255.7	2178.83	3901.01	3491.39	1359.57	1242.34	2645.74	1457.23	1977.24	1477.58	1583.71	3928.15	2119.22	2004.85	3190.46	1277.29	1119.56	2400.97	2119.22	1551.09	3716.2	1628.26	3847.29	1662.49	2133.97	2645.74	2417.67	2255.7	2384.37	1832.01	2976.74	2240.11	2451.44	2271.4	1844.76	1135.2	3419.52	3928.15	1437.15	1242.34	2032.85	2224.63	2664.15	1331.57	1447.15	3768.09	1819.35	1896.65	1250.98	1794.29	3280.18	4419.52	2956.17	3212.66	3589.58	3103.19	4512.4	3146.52	2645.74	5329.3	2935.74	2997.45
DAB1	3.5	64.34	26.86	0.8	4.03	5.92	26.47	31.0	20.56	14.24	28.45	15.11	5.59	40.64	7.57	60.82	27.25	231.32	1.07	13.93	8.19	4.62	4.28	21.47	85.82	5.54	13.42	81.14	3.32	0.58	15.11	35.76	7.22	66.65	3.56	147.06	5.68	12.18	8.0	46.5	35.76	9.13	9.48	30.12	34.75	1.55	35.5	3.72	20.86	60.39	36.27	5.96	3.08	16.51	16.39	28.24	3.35	13.32	39.22	11.82	27.25	1.25	10.39	64.34	45.53	80.01	68.07	87.03	31.0	98.04	29.06	26.67	120.1	74.06	131.51
DCBLD2	80.01	175.07	218.79	28.24	130.6	75.64	199.85	155.5	198.47	137.14	187.71	99.43	50.63	214.27	127.0	209.84	195.72	122.64	52.82	142.01	88.26	143.01	137.14	127.0	218.79	136.19	131.51	193.01	99.43	47.84	83.45	154.42	53.57	201.25	101.54	209.84	112.77	130.6	115.97	178.77	149.12	194.36	54.72	221.86	148.09	86.43	139.07	62.56	94.67	303.44	285.03	87.03	98.04	180.02	162.14	165.57	58.71	53.95	236.21	175.07	110.43	75.64	127.89	295.11	279.14	215.77	251.48	264.03	248.0	303.44	201.25	162.14	318.57	279.14	341.51
ELMOD1	0.0	2.68	8.65	0.0	0.46	0.78	4.46	2.78	4.03	4.17	5.02	0.82	2.89	2.73	3.06	4.98	7.75	0.44	3.0	1.57	4.06	1.2	2.68	7.28	8.38	1.22	1.23	10.47	1.53	0.42	0.82	8.65	0.45	4.03	0.0	8.32	0.43	0.47	1.22	5.02	7.63	3.08	0.0	3.59	1.87	2.27	9.63	0.84	0.41	3.99	12.93	0.82	0.83	1.55	11.21	4.86	0.0	1.5	11.04	1.25	6.62	0.45	0.85	5.96	3.89	10.88	12.18	2.16	2.68	15.56	11.13	6.31	15.11	8.65	14.67
EPM2A	66.65	86.43	93.35	33.78	68.07	82.87	70.51	76.71	95.34	70.51	85.22	62.56	44.89	82.29	59.13	105.89	121.79	58.3	42.71	69.52	46.5	34.02	73.54	87.65	105.89	46.18	56.68	120.1	48.18	29.48	53.19	70.51	40.36	107.38	48.52	120.1	48.87	61.25	59.13	86.43	57.49	60.39	23.93	94.67	91.41	74.06	84.04	50.98	61.25	138.1	111.99	57.08	42.71	85.22	75.64	98.73	45.53	24.46	115.97	63.45	64.8	47.17	47.17	131.51	137.14	101.54	116.78	152.28	121.79	167.9	120.94	101.54	169.07	141.02	116.78
FEZ1	63.89	244.57	220.32	34.26	54.72	33.3	149.12	218.79	202.66	165.57	191.67	141.02	59.55	260.38	59.55	285.03	323.03	45.53	55.49	119.26	115.16	109.66	87.65	141.02	277.2	93.35	67.12	208.38	112.77	50.27	154.42	145.02	149.12	264.03	34.02	277.2	46.84	145.02	166.73	157.68	204.07	154.42	28.86	153.34	139.07	72.52	180.02	47.84	176.29	217.27	332.14	77.79	86.43	111.21	139.07	208.38	104.42	84.04	316.37	48.52	215.77	71.0	108.14	221.86	381.68	214.27	289.02	363.56	256.78	563.18	412.0	217.27	587.13	209.84	253.23
FNBP1	226.54	753.83	743.43	260.38	507.46	307.69	612.11	808.0	896.64	647.07	769.69	543.96	387.02	1001.93	400.71	961.07	1037.29	532.74	368.65	511.0	480.04	414.87	379.04	432.53	1096.5	438.59	381.68	713.11	406.31	244.57	463.65	713.11	339.14	995.0	309.83	1096.5	366.09	466.88	587.13	764.36	693.58	780.44	334.46	780.44	669.92	748.61	674.59	376.41	351.14	1127.35	878.17	368.65	343.89	587.13	514.56	928.3	409.15	325.29	890.44	376.41	587.13	723.08	420.68	974.5	974.5	780.44	1159.07	1340.84	890.44	1467.37	1104.13	500.46	1519.15	813.63	842.36
FREM2	0.0	18.56	28.04	0.19	2.66	0.49	14.14	12.0	22.92	14.67	24.81	2.29	12.74	18.16	7.06	18.97	33.06	2.25	1.64	8.0	7.46	3.56	5.28	12.36	47.84	2.97	13.03	37.59	4.03	0.0	5.23	10.79	1.13	22.26	1.97	40.64	2.76	5.45	3.29	30.12	12.27	7.17	0.27	33.06	9.63	2.01	20.86	3.56	0.46	47.17	59.13	0.53	11.13	8.45	13.62	23.08	2.32	1.66	21.47	3.38	17.38	1.73	4.86	34.26	25.17	21.63	35.5	38.4	13.83	34.26	21.01	13.52	77.25	48.52	39.22
GNAZ	21.01	94.01	176.29	4.78	34.51	13.72	111.21	129.69	137.14	102.25	117.6	47.17	20.56	152.28	22.26	273.37	217.27	15.22	15.22	83.45	44.25	20.11	36.27	69.03	198.47	33.3	21.47	107.38	29.91	12.55	119.26	100.83	66.18	289.02	8.0	167.9	17.25	87.65	63.0	105.15	78.89	59.13	29.48	126.12	97.36	29.06	114.36	27.25	13.52	170.25	166.73	21.78	29.48	74.06	83.45	189.02	27.25	41.52	228.13	23.76	94.67	16.27	55.1	229.72	190.34	204.07	327.56	277.2	178.77	279.14	173.85	127.89	275.28	366.09	258.57
GPLD1	5.45	19.25	20.71	0.75	6.16	6.84	22.1	13.83	23.76	4.78	24.63	15.56	9.78	28.45	6.73	24.99	74.58	22.59	3.56	28.04	16.63	12.0	6.36	9.85	68.55	13.12	9.93	24.11	5.96	2.58	9.48	27.25	8.92	53.95	5.23	47.84	3.56	29.48	9.48	32.36	11.82	10.47	10.96	88.88	21.63	4.06	10.63	12.36	2.18	48.18	82.87	15.22	8.32	26.1	13.62	20.86	2.48	8.58	23.76	27.84	7.0	8.25	7.57	52.08	41.81	33.78	22.1	58.71	72.01	66.18	32.82	20.11	34.02	53.57	63.89
GPR150	1.33	6.94	5.28	0.0	1.07	0.0	12.0	6.41	2.27	4.66	1.45	0.0	0.38	7.06	1.06	13.03	6.26	3.44	1.99	1.41	2.76	2.86	2.12	4.03	4.03	2.53	9.41	5.45	3.14	0.0	1.03	8.85	1.39	43.63	1.36	18.97	1.31	3.29	0.72	9.78	22.1	2.89	1.16	11.64	8.78	0.35	5.02	0.71	0.92	12.0	3.72	1.73	2.48	4.24	5.96	8.32	3.17	0.0	6.94	1.1	7.17	2.46	1.45	6.36	6.94	22.1	28.24	10.88	11.21	4.46	7.28	6.26	4.35	17.9	23.42
HIF3A	40.64	57.89	85.22	3.66	11.91	8.51	135.24	84.04	122.64	77.79	158.79	100.83	31.0	83.45	32.36	198.47	123.5	7.57	15.8	41.52	75.64	24.81	59.55	77.25	264.03	23.76	38.67	60.82	19.82	1.93	69.52	61.68	31.22	183.82	4.17	214.27	2.81	61.68	44.57	72.01	72.01	43.63	11.91	88.88	108.9	11.21	172.65	4.78	6.89	65.26	183.82	21.94	14.45	66.18	82.29	78.34	15.11	13.42	141.02	7.69	115.97	8.19	25.72	133.36	194.36	121.79	351.14	177.53	98.73	236.21	167.9	64.8	275.28	239.52	295.11
