	TCGA.AZ.6605.11A.01R.1839.07	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	GTEX.111CU.0826.SM.5EGIJ	GTEX.13O61.1226.SM.5KM21	GTEX.11EQ9.0926.SM.5HL6I	GTEX.P4QT.0626.SM.3NMCP	GTEX.S95S.0326.SM.4B66U	TCGA.AF.2689.11A.01R.A32Z.07	TCGA.AF.2691.11A.01R.A32Z.07	TCGA.VQ.AA6A.01A.11R.A414.31	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.HU.A4G9.01A.11R.A24K.31	TCGA.D7.6521.01A.11R.1802.13	TCGA.CG.5734.01A.11R.1602.13	TCGA.HU.A4G3.01A.11R.A24K.31	TCGA.HF.7132.01A.11R.2055.13	TCGA.BR.6564.01A.12R.1884.13	TCGA.FP.A8CX.01A.11R.A36D.31	TCGA.CG.5716.01A.21R.1802.13	TCGA.BR.4267.01A.01R.1131.13	TCGA.CD.8530.01A.11R.2343.13	TCGA.D7.6527.01A.11R.1802.13	TCGA.VQ.A8PX.01A.12R.A414.31	TCGA.CG.4460.01A.01R.1157.13	TCGA.VQ.A8PU.01A.12R.A414.31	TCGA.BR.8687.01A.11R.2402.13	TCGA.D7.6820.01A.11R.1884.13	TCGA.BR.6564.11A.01R.1884.13	TCGA.HU.A4GH.11A.11R.A36D.31	TCGA.BR.7716.11A.01R.2055.13	TCGA.CG.5720.11A.01R.1602.13	TCGA.BR.7704.11A.01R.2055.13	TCGA.CG.5722.11A.02R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.FP.7829.11A.01R.2055.13	TCGA.BR.6457.11A.01R.1802.13	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13
ABCC9	909.17	3124.78	713.11	277.2	334.46	336.79	46.5	301.33	81.14	87.03	14.78	137.14	4.66	47.5	22.59	36.53	51.35	343.89	13.12	34.02	23.93	381.68	36.27	13.52	37.32	15.91	54.72	6.52	153.34	764.36	92.7	13.03	473.41	156.59	26.28	536.45	58.3	64.8	22.59	125.24
ALK	87.65	26.28	50.98	11.21	7.51	15.45	2.48	10.24	13.03	10.63	0.28	2.01	0.0	15.11	0.0	0.0	1.06	8.99	4.31	1.79	0.3	0.35	0.36	0.0	2.81	0.0	2.05	0.29	4.06	18.43	0.67	0.77	13.22	9.56	0.0	7.34	1.28	1.33	0.53	2.71
ANGPT1	194.36	343.89	1313.23	178.77	143.01	273.37	12.27	197.09	64.8	67.59	57.89	144.01	6.67	34.26	14.67	26.67	31.45	90.14	12.36	10.96	16.88	94.01	36.79	11.73	29.7	15.0	26.28	5.23	99.43	473.41	80.01	28.86	297.17	75.64	48.52	183.82	57.49	56.28	45.85	167.9
ANGPTL1	4066.71	2758.13	3146.52	1417.35	1457.23	1191.69	128.79	1268.46	665.29	902.89	6.78	134.3	2.39	41.22	42.71	8.19	50.27	796.86	6.67	11.3	7.11	101.54	27.84	3.76	5.5	2.34	18.16	0.83	381.68	1883.54	529.06	24.99	1008.9	642.59	18.84	1561.89	156.59	214.27	42.11	329.84
AOC3	25179.16	8901.53	15180.22	4210.15	2915.45	2209.26	450.94	3235.01	3901.01	3103.19	93.35	738.29	18.7	819.3	202.66	198.47	392.44	5112.16	134.3	218.79	102.97	1721.16	332.14	31.0	130.6	69.03	341.51	100.13	1651.0	5041.77	1135.2	336.79	4769.75	1733.13	320.8	6516.03	759.08	563.18	346.29	947.83
ASB5	796.86	5219.6	7642.41	21.63	220.32	603.67	2.36	41.22	118.43	220.32	0.0	3.56	0.0	0.0	0.0	0.0	4.35	571.05	0.0	0.0	2.18	20.56	1.38	0.0	0.0	0.0	4.03	0.0	155.5	312.0	59.97	0.97	571.05	56.28	0.0	878.17	7.88	3.35	0.0	187.71
AXL	2178.83	2303.12	3039.3	1286.18	1119.56	1268.46	277.2	974.5	808.0	796.86	123.5	493.56	26.67	656.11	287.01	198.47	309.83	1709.26	156.59	176.29	205.5	941.27	255.0	114.36	167.9	161.02	341.51	159.9	708.18	2240.11	423.61	255.0	1378.57	791.35	232.94	1594.73	460.44	309.83	242.88	381.68
BOC	2835.7	4210.15	2875.3	1151.06	1508.65	1313.23	289.02	1551.09	785.88	559.28	59.55	397.93	12.83	307.69	94.67	78.89	181.28	1417.35	65.72	134.3	41.52	693.58	121.79	39.79	71.0	23.76	204.07	13.93	417.77	1225.22	329.84	118.43	1331.57	353.59	103.69	1498.22	217.27	212.78	108.9	255.0
C14orf132	947.83	866.07	988.12	872.1	854.13	796.86	176.29	529.06	291.04	181.28	26.47	218.79	11.73	55.1	27.05	36.79	76.71	629.35	50.27	58.3	24.11	299.25	62.12	29.7	69.52	17.13	98.04	19.39	221.86	693.58	112.77	56.68	642.59	142.01	62.56	791.35	154.42	92.7	132.44	198.47
C1S	7966.99	41188.81	9279.58	14867.79	11909.94	10883.59	3325.99	12764.83	5711.87	4543.8	1467.37	7032.37	256.78	6337.83	2855.44	1407.55	4123.49	10585.95	1991.0	2004.85	2255.7	6887.62	2976.74	743.43	1844.76	1733.13	3039.3	796.86	5633.22	7331.05	3690.52	2664.15	7966.99	3395.89	3515.68	9344.14	4903.87	5672.41	2720.15	4869.99
