	GTEX.WYVS.1726.SM.3NMAY	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.ZE9C.1126.SM.4WWBD	GTEX.XK95.1026.SM.4GIDV	GTEX.RNOR.1226.SM.48FDQ	GTEX.11GSP.1826.SM.5N9DQ	GTEX.ZF3C.1626.SM.4WWB4	GTEX.XQ3S.1126.SM.4BOPK	GTEX.14BIN.2726.SM.5RQIE	GTEX.RN64.1026.SM.48FDX	GTEX.T2IS.0826.SM.4DM6L	TCGA.CV.7416.11A.01R.2081.07	GTEX.144GM.1326.SM.5LU5E	TCGA.38.4625.01A.01R.1206.07
AC007390.5	988.12	514.56	620.67	441.64	559.28	656.11	743.43	503.95	529.06	476.71	525.39	620.67	543.96	438.59	297.17	764.36
AKAP5	45.21	1.71	3.59	4.78	7.17	5.32	6.94	2.36	8.51	2.86	8.51	7.51	8.19	1.0	1.39	0.0
AKAP9	1963.57	532.74	540.19	490.14	559.28	1233.75	974.5	518.15	1331.57	241.19	866.07	825.0	854.13	291.04	329.84	0.0
AL162407.1	387.02	74.06	105.89	90.77	214.27	226.54	312.0	94.01	228.13	127.89	260.38	208.38	262.2	55.1	84.04	0.0
APAF1	327.56	88.26	98.04	65.72	65.72	165.57	182.55	65.72	197.09	24.63	139.07	172.65	145.02	52.08	50.63	0.0
APLF	149.12	92.05	75.64	68.55	43.63	73.03	61.68	17.13	98.04	25.91	72.52	40.93	44.57	68.07	5.11	0.0
ARSK	94.01	69.52	42.71	34.26	31.45	96.68	81.71	22.75	77.79	22.75	69.52	54.33	61.68	29.91	32.36	0.0
ASH1L	713.11	152.28	301.33	320.8	217.27	289.02	353.59	134.3	429.54	153.34	305.55	246.28	301.33	159.9	95.34	0.0
ATP2C1	2319.15	599.49	878.17	624.99	718.08	1119.56	884.29	532.74	1015.93	423.61	748.61	693.58	854.13	753.83	483.38	0.0
ATP8A1	229.72	20.56	19.82	48.18	67.59	146.03	127.0	29.27	215.77	22.26	107.38	59.13	77.25	21.78	9.48	0.0
BRD1	703.28	271.48	529.06	571.05	612.11	764.36	713.11	403.5	775.05	361.04	753.83	713.11	665.29	457.25	149.12	0.0
BRPF3	775.05	120.94	229.72	291.04	363.56	353.59	384.34	199.85	392.44	264.03	336.79	361.04	432.53	110.43	277.2	0.0
C12orf60	47.84	14.45	8.13	3.96	16.75	21.78	32.13	4.46	8.51	10.63	18.84	17.25	24.63	5.36	6.36	0.0
C1orf100	8.25	0.0	0.56	0.0	3.32	6.26	6.84	0.0	1.48	2.1	8.06	5.63	2.76	1.01	4.46	0.0
C1orf147	3.69	18.84	25.72	11.13	16.15	14.89	16.27	4.74	16.03	6.67	19.82	13.12	20.41	0.0	2.25	0.0
C1orf63	2240.11	607.87	2255.7	2075.59	2287.2	2555.58	2796.65	1551.09	3874.05	1233.75	2434.5	2335.28	2664.15	674.59	217.27	0.0
CCDC85A	15.0	3.29	2.01	2.53	2.27	8.65	10.31	0.96	4.94	0.99	8.06	3.72	5.36	1.87	0.0	0.0
CCNT2	693.58	149.12	307.69	297.17	373.81	426.57	518.15	312.0	629.35	246.28	423.61	423.61	463.65	158.79	143.01	0.0
CDC42BPG	277.2	967.76	669.92	1066.48	791.35	825.0	934.76	587.13	1001.93	514.56	878.17	866.07	848.22	438.59	7.28	0.0
CIR1	1417.35	759.08	591.22	450.94	368.65	426.57	500.46	255.0	656.11	301.33	432.53	400.71	503.95	353.59	297.17	536.45
CLYBL	656.11	215.77	152.28	212.78	147.06	198.47	297.17	132.44	258.57	126.12	195.72	206.94	228.13	269.6	748.61	0.0
COA5	1051.79	334.46	595.34	529.06	591.22	743.43	718.08	438.59	733.19	432.53	679.29	688.78	769.69	251.48	341.51	0.0
CRCT1	0.52	1877002.62	1123834.93	1108362.75	52135.28	60304.42	13215.02	38697.77	12076.21	18304.63	9025.81	62431.08	38697.77	18052.61	0.21	0.0
