	TCGA.FD.A62N.01A.11R.A30C.07	TCGA.A2.A04Q.01A.21R.A034.07	TCGA.E9.A1ND.01A.11R.A144.07	TCGA.BH.A0DL.01A.11R.A115.07	TCGA.AO.A0JC.01A.11R.A056.07	TCGA.A2.A0ST.01A.12R.A084.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.C5.A1MP.01A.11R.A14Y.07	TCGA.ZJ.AAX4.01A.11R.A42T.07	TCGA.MA.AA42.01A.12R.A38B.07	TCGA.C5.A1BM.01A.11R.A13Y.07	TCGA.DG.A2KM.01A.11R.A180.07	TCGA.VS.A8EL.01A.11R.A37O.07	TCGA.JY.A6FA.01A.11R.A336.31	TCGA.R6.A6L4.01A.11R.A31P.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IG.A3YC.01A.11R.A24K.31	TCGA.IC.A6RF.11A.21R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	TCGA.CQ.7065.01A.11R.2081.07	TCGA.BB.7861.01A.11R.2232.07	TCGA.CR.6481.01A.11R.1873.07	TCGA.CJ.4637.01A.02R.1325.07	TCGA.86.8671.01A.11R.2403.07	GTEX.Q734.0626.SM.2I3EF	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
ABI3	1225.22	555.41	514.56	376.41	547.75	674.59	103.69	432.53	297.17	866.07	309.83	728.11	376.41	71.0	77.25	180.02	165.57	117.6	194.36	409.15	51.71	148.09	35.5	669.92	796.86	860.08	836.53	796.86	246.28	79.45	217.27	241.19	125.24	28.86	75.11
AC008964.1	728.11	620.67	450.94	303.44	2209.26	780.44	61.68	283.05	161.02	454.09	220.32	909.17	185.11	14.24	81.71	65.72	591.22	56.68	74.06	264.03	6.57	64.34	8.51	607.87	423.61	1313.23	665.29	684.02	267.73	39.79	80.01	59.13	57.49	20.26	29.7
AD000671.6	138.1	43.02	43.94	34.02	102.97	73.03	6.78	63.89	45.21	108.14	30.78	76.71	45.85	9.2	10.96	7.34	8.32	9.2	17.38	36.79	0.0	13.12	0.0	71.5	64.34	82.87	98.73	92.05	7.82	10.96	9.34	12.36	11.3	5.68	1.27
ANGPTL6	19.39	21.16	15.45	10.79	47.84	17.38	11.82	15.22	6.41	18.97	8.92	23.08	22.92	1.3	1.45	2.89	2.53	4.39	2.23	9.27	0.75	3.29	5.59	26.86	17.0	17.51	49.91	15.91	6.26	4.54	5.73	2.43	3.89	8.32	0.71
AOAH	1008.9	423.61	208.38	236.21	595.34	607.87	73.03	241.19	231.32	438.59	118.43	1183.45	262.2	25.17	46.84	57.49	59.13	32.36	59.55	108.9	15.91	23.42	5.28	651.58	493.56	1135.2	607.87	921.88	248.0	16.39	45.21	91.41	26.28	16.88	35.25
APOBEC3G	1733.13	866.07	713.11	775.05	2090.03	1561.89	426.57	521.76	332.14	2271.4	642.59	2148.82	563.18	57.49	80.01	202.66	283.05	231.32	170.25	466.88	63.89	133.36	63.89	1286.18	1059.11	3060.45	1250.98	2061.24	312.0	356.05	358.54	239.52	483.38	106.63	21.32
APOBEC3H	164.42	67.59	49.56	34.75	191.67	71.5	30.34	37.32	53.95	142.01	31.45	264.03	75.64	16.63	3.92	6.67	8.19	12.64	8.65	33.78	3.14	6.11	1.58	119.26	98.73	199.85	141.02	234.57	0.0	9.63	24.28	12.45	19.39	3.99	8.38
APOBR	314.17	258.57	156.59	156.59	241.19	420.68	43.63	301.33	162.14	148.09	198.47	209.84	202.66	16.39	24.81	45.53	59.55	23.76	45.53	166.73	67.12	28.45	14.89	277.2	305.55	151.22	409.15	571.05	100.13	70.51	37.85	125.24	69.52	31.45	32.36
ARHGAP15	518.15	457.25	251.48	176.29	2664.15	665.29	22.43	246.28	114.36	395.18	152.28	728.11	88.88	30.78	18.43	75.64	58.71	57.08	47.17	183.82	26.67	102.97	13.93	559.28	403.5	825.0	629.35	836.53	133.36	187.71	108.14	48.18	80.01	25.17	25.54
ARHGAP9	1508.65	1242.34	633.73	486.75	4607.24	1304.15	98.04	587.13	426.57	1051.79	392.44	2287.2	684.02	74.06	67.59	191.67	242.88	189.02	201.25	638.15	55.89	320.8	14.56	1369.04	884.29	1498.22	2271.4	3081.75	249.73	63.45	142.01	191.67	158.79	44.89	61.25
