	TCGA.XF.AAME.01A.12R.A42T.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A43C.01A.11R.A24K.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A893.01A.11R.A36D.31	TCGA.R6.A6L6.01B.11R.A336.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.R6.A6Y2.01B.11R.A336.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	TCGA.CV.7183.11A.01R.2016.07	TCGA.CV.7437.11A.01R.2132.07	TCGA.CJ.4868.01A.01R.1305.07	TCGA.38.4625.01A.01R.1206.07	TCGA.60.2715.01A.01R.0851.07	TCGA.56.8628.01A.11R.2403.07	TCGA.34.7107.11A.01R.1949.07	TCGA.77.8008.11A.01R.2187.07	GTEX.13VXT.1726.SM.5IFF5	GTEX.13OVL.2926.SM.5IFG3	GTEX.11ZTS.3026.SM.5EQM7	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.D7.6518.01A.11R.1802.13
ACVRL1	921.88	92.7	1487.87	579.04	412.0	802.41	432.53	214.27	1295.13	146.03	490.14	163.28	72.52	37.32	954.43	0.0	1167.14	728.11	2209.26	2400.97	54.72	42.41	176.29	181.28	67.59	125.24	90.14	1151.06
ADAMTS2	728.11	7.75	1923.14	221.86	336.79	444.72	679.29	147.06	1745.2	76.71	190.34	52.82	4.21	10.08	521.76	0.0	591.22	356.05	514.56	693.58	4.58	6.89	58.3	52.45	9.2	19.25	20.71	748.61
AKT3	220.32	9.78	414.87	150.17	145.02	169.07	171.45	134.3	400.71	53.57	86.43	102.97	19.82	32.59	476.71	0.0	197.09	126.12	417.77	295.11	10.16	14.24	26.47	67.12	15.68	14.45	21.94	587.13
ANGPT2	112.77	48.87	476.71	38.4	156.59	287.01	62.56	56.28	514.56	21.63	162.14	25.54	9.48	2.68	1081.39	85.82	63.45	63.89	140.04	197.09	4.86	29.7	44.89	56.28	16.39	9.85	8.65	186.4
APLNR	825.0	503.95	723.08	96.01	143.01	1015.93	323.03	125.24	1167.14	63.45	363.56	81.71	8.45	11.73	753.83	0.0	679.29	209.84	511.0	307.69	6.57	47.17	146.03	33.54	114.36	14.14	34.26	1819.35
ARHGEF15	289.02	66.65	327.56	114.36	120.94	258.57	183.82	90.14	314.17	89.51	194.36	100.83	16.15	14.56	412.0	0.0	447.82	253.23	854.13	884.29	16.75	29.48	72.01	43.02	33.3	40.36	31.22	457.25
BATF3	158.79	22.26	307.69	56.28	49.91	244.57	44.25	65.26	151.22	24.11	61.68	13.42	13.72	28.24	187.71	0.0	166.73	178.77	228.13	466.88	14.67	19.25	35.5	26.86	26.1	12.27	38.67	185.11
BCL6B	293.07	100.83	356.05	76.17	96.01	262.2	132.44	64.8	269.6	25.72	128.79	38.67	9.2	12.64	587.13	0.0	420.68	346.29	651.58	921.88	13.22	11.38	80.01	18.43	35.76	26.47	29.27	429.54
C1QTNF5	2627.46	172.65	1963.57	480.04	454.09	2816.11	748.61	234.57	1605.83	209.84	470.14	169.07	64.8	71.5	2209.26	0.0	1909.85	884.29	2451.44	1313.23	36.01	31.45	307.69	191.67	140.04	181.28	271.48	3103.19
C1orf54	1397.83	134.3	1950.0	417.77	497.0	1313.23	563.18	166.73	1066.48	242.88	371.22	211.31	147.06	135.24	1313.23	0.0	665.29	521.76	769.69	660.68	65.26	139.07	293.07	114.36	212.78	128.79	97.36	1096.5
CCM2L	204.07	31.67	107.38	75.64	140.04	132.44	73.54	53.95	118.43	42.41	73.03	33.78	11.55	7.82	234.57	0.0	205.5	116.78	285.03	265.87	18.56	15.0	44.57	41.52	22.59	24.11	29.7	190.34
CD34	2537.92	329.84	2209.26	1295.13	1119.56	2367.9	1225.22	563.18	2573.36	450.94	1233.75	332.14	133.36	97.36	2816.11	0.0	1023.0	819.3	2591.27	2976.74	165.57	246.28	974.5	339.14	316.37	299.25	187.71	2627.46
CDH5	819.3	73.03	909.17	314.17	368.65	514.56	414.87	182.55	1044.52	134.3	423.61	149.12	38.4	26.86	1721.16	0.0	1037.29	708.18	2351.53	2351.53	51.71	43.02	277.2	162.14	74.58	92.05	75.64	1295.13
CLEC14A	808.0	136.19	651.58	323.03	371.22	511.0	429.54	224.97	595.34	195.72	376.41	155.5	83.45	36.01	1769.57	0.0	1066.48	642.59	1605.83	1397.83	85.82	69.52	281.09	141.02	84.63	77.79	127.89	1135.2
COL13A1	150.17	31.0	262.2	43.02	120.1	175.07	59.55	28.24	258.57	26.1	123.5	34.02	5.63	10.31	46.18	0.0	139.07	115.97	305.55	289.02	0.68	14.67	21.47	7.82	19.82	8.13	11.64	95.34
COL15A1	1733.13	215.77	3874.05	616.37	693.58	1745.2	896.64	297.17	8191.0	180.02	1199.98	161.02	35.0	39.5	1350.18	0.0	660.68	320.8	2148.82	854.13	19.82	221.86	293.07	141.02	137.14	54.72	66.65	2956.17
COL4A1	3820.7	301.33	17078.76	679.29	733.19	7966.99	1594.73	547.75	26431.04	147.06	2720.15	202.66	23.25	28.86	9409.14	0.0	3639.7	4010.71	4704.07	4512.4	74.58	66.18	109.66	358.54	66.18	76.17	90.14	11424.74
COL6A2	24321.43	102.97	65082.31	10368.08	6250.56	21026.65	7180.15	4607.24	59063.35	1781.89	3235.01	3716.2	236.21	473.41	11345.82	0.0	13399.51	9215.48	15392.14	16611.71	121.79	532.74	3257.52	1015.93	529.06	514.56	567.1	25530.66
CPNE2	902.89	444.72	1159.07	896.64	974.5	1498.22	854.13	941.27	974.5	819.3	1073.91	507.46	262.2	563.18	1088.92	0.0	1104.13	1331.57	1457.23	1008.9	256.78	194.36	607.87	660.68	493.56	480.04	406.31	995.0
CSF2	72.01	0.0	90.14	3.96	6.94	40.64	3.47	3.47	78.89	4.1	23.59	0.0	0.0	1.38	21.78	0.0	32.36	27.44	50.27	69.03	0.0	0.0	18.03	0.0	9.78	0.0	0.0	57.08
