	GTEX.12WSI.0826.SM.5EGKD	GTEX.13D11.0326.SM.5LZXX	GTEX.13O3O.0726.SM.5J1N7	GTEX.13OVJ.0726.SM.5KM1W	GTEX.144GN.0426.SM.5O9AP	GTEX.12584.1426.SM.5EGJ9	GTEX.YECK.0926.SM.4W214	GTEX.OOBJ.0526.SM.48TDK	GTEX.U8XE.1426.SM.3DB8Q	GTEX.11UD2.0726.SM.5EQ69	GTEX.X4XX.1026.SM.4QARO	GTEX.X3Y1.0626.SM.3P5YS	GTEX.13YAN.1026.SM.5O9CF	GTEX.13FTY.0126.SM.5J2NZ	GTEX.117YW.0526.SM.5H11C	GTEX.11ZUS.0126.SM.5EQM5	GTEX.145MN.0926.SM.5NQBT	GTEX.1497J.0326.SM.5Q5CN	GTEX.ZPU1.0926.SM.57WDO	GTEX.XBEW.0226.SM.4AT6A	GTEX.QESD.0626.SM.2I5G4	GTEX.ZE7O.0826.SM.57WCP	GTEX.13O3Q.0526.SM.5KM18	GTEX.ZUA1.1026.SM.4YCEA	GTEX.146FQ.0926.SM.5LUAV	GTEX.145MF.0726.SM.5Q5BT	GTEX.111VG.0726.SM.5GIDC	GTEX.S341.0326.SM.2XCAU	GTEX.RTLS.0926.SM.2TF5X	GTEX.S7SF.0426.SM.3K2B7	GTEX.11ZTT.0626.SM.5EQLM	GTEX.13FH7.1726.SM.5IJE7	GTEX.ZYWO.0826.SM.5E45W	GTEX.XOT4.1426.SM.4B65T	GTEX.WYVS.0526.SM.3NM9W
ACTL10	7.57	58.71	3.06	33.78	48.18	2.71	8.85	48.18	17.25	8.38	30.78	43.32	9.41	6.21	1.6	11.82	39.79	8.65	53.57	31.9	15.0	17.64	7.0	17.0	36.27	14.89	1.97	11.47	8.38	37.59	20.26	47.17	63.89	14.14	43.63
ADSL	507.46	1159.07	392.44	1304.15	1135.2	287.01	620.67	785.88	1023.0	616.37	1008.9	884.29	563.18	224.97	392.44	473.41	802.41	1051.79	1037.29	878.17	1437.15	612.11	255.0	497.0	1286.18	486.75	314.17	934.76	547.75	1467.37	759.08	1331.57	1487.87	361.04	1111.82
AIMP2	363.56	802.41	291.04	688.78	743.43	150.17	201.25	409.15	612.11	460.44	591.22	305.55	299.25	116.78	119.26	186.4	400.71	514.56	483.38	525.39	1073.91	239.52	156.59	214.27	698.41	387.02	159.9	543.96	262.2	915.51	332.14	954.43	860.08	156.59	738.29
ALG3	392.44	2032.85	423.61	1909.85	1857.6	267.73	444.72	638.15	1572.76	928.3	1378.57	988.12	334.46	208.38	297.17	339.14	884.29	842.36	947.83	698.41	1561.89	521.76	253.23	269.6	1225.22	447.82	234.57	759.08	457.25	2351.53	563.18	2271.4	2303.12	226.54	1127.35
AP1B1	1277.29	2319.15	708.18	1519.15	2133.97	559.28	1037.29	941.27	1639.59	1030.12	1088.92	1639.59	909.17	660.68	743.43	753.83	1295.13	1167.14	1378.57	941.27	1369.04	536.45	571.05	669.92	1268.46	1001.93	540.19	1015.93	764.36	1896.65	1963.57	1896.65	1519.15	785.88	2468.49
ATXN10	1896.65	2104.58	1051.79	2935.74	2796.65	1277.29	2520.38	2367.9	5076.84	1794.29	1977.24	1857.6	1322.37	1208.34	780.44	1457.23	1991.0	2133.97	3303.0	1639.59	4419.52	1295.13	896.64	1639.59	2485.67	3039.3	1151.06	1844.76	1733.13	4010.71	3303.0	2997.45	4038.61	1397.83	3146.52
AURKAIP1	1923.14	3540.14	1561.89	4152.18	3820.7	1044.52	1508.65	3018.3	2485.67	2193.99	3280.18	1697.45	1498.22	995.0	1066.48	1350.18	2287.2	2645.74	2384.37	2875.3	2915.45	2193.99	842.36	1183.45	3395.89	1605.83	1304.15	2104.58	1286.18	5913.33	1757.34	4123.49	4388.98	1233.75	3081.75
BRIX1	353.59	1001.93	743.43	1397.83	708.18	176.29	241.19	480.04	764.36	514.56	830.75	376.41	170.25	136.19	147.06	325.29	368.65	679.29	607.87	713.11	1295.13	543.96	301.33	239.52	947.83	518.15	301.33	547.75	273.37	819.3	248.0	995.0	1037.29	180.02	1044.52
BTF3L4	961.07	1757.34	941.27	1508.65	1359.57	595.34	525.39	633.73	1030.12	819.3	896.64	738.29	603.67	295.11	444.72	521.76	698.41	1051.79	1088.92	775.05	1304.15	854.13	363.56	647.07	1104.13	1066.48	540.19	1037.29	603.67	1304.15	981.29	1313.23	1242.34	414.87	1216.75
C11orf48	1605.83	3124.78	954.43	3874.05	3018.3	866.07	848.22	2178.83	2319.15	2018.8	2209.26	1806.78	928.3	780.44	629.35	896.64	1844.76	1572.76	2004.85	2119.22	2816.11	1733.13	728.11	1030.12	2485.67	1225.22	660.68	2417.67	1529.73	4066.71	1175.27	3515.68	3589.58	718.08	2915.45
