	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.EA.A1QT.01A.11R.A14Y.07	TCGA.W5.AA2U.11A.11R.A41I.07	TCGA.DQ.7596.01A.11R.2232.07	TCGA.CR.6480.01A.11R.1873.07	TCGA.CR.7404.01A.11R.2132.07	TCGA.CN.4741.01A.01R.1436.07	TCGA.CR.7368.01A.11R.2132.07	TCGA.DD.A3A3.11A.11R.A22L.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.FV.A23B.11A.11R.A16W.07	TCGA.DD.A39W.11A.11R.A213.07	GTEX.11ZUS.2526.SM.59872	GTEX.Y5V6.2226.SM.4VDTC
ABCA12	10154.69	11267.44	18.43	0.0	193.01	366.09	38.67	146.03	420.68	0.0	0.0	0.0	0.0	0.49	0.0	0.0	0.0
ANKMY2	177.53	265.87	217.27	157.68	358.54	242.88	169.07	189.02	167.9	103.69	94.01	100.83	76.71	163.28	140.04	141.02	187.71
ATP2C1	599.49	1242.34	1467.37	395.18	2075.59	2609.3	2796.65	4239.45	2209.26	392.44	387.02	242.88	316.37	599.49	435.55	173.85	1191.69
BARD1	152.28	444.72	124.37	9.48	265.87	258.57	164.42	169.07	339.14	8.38	6.46	59.55	5.41	69.03	4.7	5.19	56.28
BRCA2	77.79	19.53	57.89	6.36	93.35	249.73	500.46	187.71	325.29	3.56	4.9	8.78	0.54	9.78	5.41	0.0	43.02
BTBD10	860.08	1008.9	450.94	102.97	884.29	988.12	651.58	769.69	921.88	108.14	78.34	66.18	77.25	187.71	92.7	58.3	547.75
BTBD3	144.01	88.88	123.5	91.41	269.6	260.38	299.25	295.11	289.02	86.43	50.98	59.13	42.11	100.13	63.0	16.15	137.14
C11orf82	121.79	31.45	115.16	7.06	124.37	373.81	183.82	83.45	246.28	18.03	2.86	1.95	4.24	13.32	6.57	5.11	111.21
C12orf36	10808.41	454.09	0.93	0.0	65.72	309.83	88.88	55.49	27.25	0.0	0.0	0.48	0.0	0.52	0.0	0.0	6.36
C1orf65	0.0	0.0	2.66	0.0	7.28	4.82	2.66	4.82	1.57	0.0	0.0	0.0	0.0	0.95	0.0	0.0	5.87
C2CD4C	51.71	24.11	3.14	6.41	7.63	26.67	16.39	24.63	24.28	3.0	3.56	4.74	5.63	4.39	6.01	7.63	7.46
CD82	9344.14	18052.61	2520.38	1378.57	2895.31	8718.32	2935.74	4388.98	5517.27	1806.78	1216.75	1322.37	941.27	928.3	1417.35	473.41	3467.27
CENPW	476.71	291.04	2502.97	71.0	4736.79	6079.61	2417.67	2895.31	2956.17	57.08	109.66	28.45	64.8	81.71	41.22	25.17	1477.58
CEP44	91.41	140.04	134.3	76.71	199.85	212.78	151.22	217.27	336.79	43.94	54.33	43.02	13.32	90.14	75.64	43.94	115.16
CEP70	295.11	194.36	466.88	275.28	529.06	830.75	575.03	1088.92	529.06	187.71	167.9	206.94	103.69	336.79	237.86	131.51	642.59
CHRNB4	22.43	10.96	3.08	0.0	28.24	59.97	115.97	63.45	35.5	0.0	0.0	0.0	2.23	0.49	1.91	0.0	2.29
CIT	111.21	57.08	181.28	54.33	253.23	376.41	336.79	336.79	450.94	20.86	43.94	10.39	3.06	38.12	7.51	12.45	81.14
CKAP4	2319.15	2119.22	1313.23	583.07	2075.59	2609.3	1583.71	1896.65	1923.14	620.67	540.19	412.0	368.65	559.28	395.18	381.68	1199.98
COPB2	2163.77	1447.15	1407.55	941.27	2816.11	4972.34	3303.0	4836.35	3419.52	759.08	896.64	854.13	723.08	1233.75	1250.98	728.11	1167.14
CPOX	363.56	156.59	669.92	363.56	555.41	836.53	660.68	808.0	575.03	214.27	318.57	309.83	412.0	486.75	503.95	334.46	256.78
DCUN1D1	555.41	249.73	406.31	277.2	693.58	974.5	791.35	1870.53	1313.23	159.9	155.5	167.9	125.24	384.34	265.87	152.28	392.44
DGKA	33922.56	22850.48	2664.15	135.24	2875.3	4010.71	2400.97	2555.58	2720.15	111.99	157.68	55.89	82.87	406.31	53.95	140.04	1081.39
DHX36	417.77	896.64	620.67	423.61	890.44	1143.1	1119.56	2451.44	1583.71	295.11	293.07	275.28	158.79	361.04	303.44	262.2	571.05
DLG1	3467.27	1844.76	547.75	373.81	1529.73	2018.8	1477.58	2061.24	2148.82	198.47	249.73	244.57	162.14	429.54	361.04	327.56	651.58
DR1	1081.39	1037.29	1233.75	307.69	1674.06	1167.14	1175.27	848.22	1259.69	239.52	206.94	237.86	209.84	353.59	241.19	166.73	591.22
DSC3	1.09164457E7	1.018540392E7	1721.16	0.73	2591.27	1519.15	11112.3	6337.83	13872.08	0.0	0.77	0.68	1.14	2.78	3.23	2.46	1340.84
ECT2	547.75	154.42	915.51	16.15	1159.07	1594.73	1477.58	2018.8	1697.45	27.44	33.54	9.27	7.34	31.22	16.27	7.28	239.52
ESCO2	99.43	14.89	88.26	1.62	212.78	232.94	214.27	151.22	341.51	2.86	2.86	1.46	0.45	5.19	9.2	5.36	54.33
