	TCGA.B0.5709.01A.11R.1541.07	TCGA.CJ.4890.01A.01R.1305.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.DD.AAEE.01A.11R.A41C.07	TCGA.G3.AAV2.01A.11R.A37K.07	TCGA.RC.A7S9.01A.11R.A33R.07	TCGA.MI.A75I.01A.11R.A32O.07	TCGA.UB.A7MA.01A.11R.A33R.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.CC.A9FV.01A.11R.A37K.07	TCGA.K7.A5RF.01A.11R.A28V.07	TCGA.FV.A496.01A.11R.A266.07	TCGA.DD.A73D.01A.12R.A32O.07	TCGA.RC.A7SK.01A.11R.A352.07	TCGA.DD.A73B.01A.12R.A32O.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.CC.A7IF.01A.11R.A33J.07	TCGA.2Y.A9HA.01A.11R.A39D.07	TCGA.G3.A5SI.01A.31R.A27V.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AAE9.01A.11R.A41C.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.DD.AADV.01A.11R.A39D.07	TCGA.ED.A7XO.01A.11R.A352.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.MI.A75G.01A.11R.A32O.07	TCGA.DD.A73C.01A.12R.A33J.07	TCGA.2Y.A9H7.01A.11R.A39D.07	TCGA.CC.A9FU.01A.11R.A37K.07	TCGA.GJ.A9DB.01A.11R.A37K.07	TCGA.RC.A7SB.01A.21R.A352.07	TCGA.DD.AACY.01A.11R.A41C.07	TCGA.ZS.A9CE.01A.11R.A37K.07	TCGA.RC.A7SF.01A.11R.A352.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11ZUS.2526.SM.59872	GTEX.11GSP.0626.SM.5986T	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.ZAB5.0426.SM.5CVMI	GTEX.147JS.1126.SM.5RQIW	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.139TU.0826.SM.5IJFG	GTEX.12WSD.1426.SM.5GCN9	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	GTEX.ZVT3.1626.SM.5GU66	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.Q734.0326.SM.48U15	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.REY6.1226.SM.48FDR	GTEX.R53T.0326.SM.48FEC	GTEX.ZAB4.0626.SM.5CVN3	GTEX.N7MT.0126.SM.2D7VT	GTEX.ZAB5.0626.SM.5PNVB	GTEX.Q734.0626.SM.2I3EF
ABCG4	4.31	8.32	8.38	1.58	0.84	0.47	3.56	1.55	0.0	48.52	0.53	0.51	0.0	0.0	0.45	1.5	0.0	0.42	0.0	0.44	0.78	1.41	0.0	0.87	0.87	1.58	0.42	1.43	0.51	0.39	0.83	0.48	0.0	0.48	1.53	7.06	2.05	1.81	2.73	2.46	2.16	4.39	0.79	0.72	3.08	1.23	0.32	1.89	5.68	5.32	2.18	0.0	4.58	2.56	1.93	2.43	1.91	2.58	0.0	0.26	1.79	9.06	8.99	6.94	7.69
ADAMTSL1	406.31	90.77	90.14	26.67	28.24	2.58	3.96	12.0	3.23	14.03	24.11	8.25	1.07	22.43	9.85	1.83	10.39	20.41	15.11	17.9	15.22	13.83	2.97	28.04	21.78	2.25	8.78	56.28	12.64	2.16	28.65	9.56	7.82	6.57	8.38	75.64	46.18	7.75	118.43	15.11	102.25	20.86	23.08	11.82	16.15	32.82	12.74	16.88	32.13	19.53	12.64	57.08	64.34	31.0	9.63	45.53	24.63	37.59	31.9	4.94	32.82	120.94	267.73	38.4	57.49
APOE	18689.27	75280.1	267651.2	338781.54	378516.38	348306.01	524287.0	513497.31	309589.14	687022.54	256748.15	593956.43	146444.06	345900.08	450134.56	168220.2	405683.88	316094.29	267651.2	402881.61	138544.47	381149.17	200048.85	358098.26	447025.24	175363.84	462789.59	373305.21	386469.83	378516.38	431797.89	378516.38	341137.96	502929.67	324980.94	290865.98	513497.31	466008.55	863596.77	440870.9	443937.41	520665.48	1078054.48	696613.03	726195.27	731246.37	1290947.48	589853.66	783730.52	951601.81	828417.36	288856.81	783730.52	2636147.11	417089.23	964885.69	1442359.14	405683.88	619179.28	517068.97	450134.56	33688.23	15715.58	55491.3	17804.06
ARHGEF6	656.11	591.22	307.69	43.32	86.43	38.95	41.52	30.34	30.12	346.29	110.43	15.22	9.85	20.11	62.56	26.1	22.92	40.93	26.1	27.25	36.79	55.49	6.67	52.45	70.01	13.93	13.12	154.42	50.27	14.35	152.28	68.55	42.41	10.47	20.56	314.17	88.88	57.08	152.28	38.67	84.63	129.69	98.04	45.21	118.43	104.42	24.28	96.01	141.02	61.25	124.37	124.37	144.01	78.34	118.43	77.25	53.57	94.01	39.5	42.71	74.58	473.41	1757.34	995.0	896.64
AXL	1857.6	1936.53	1066.48	21.63	24.11	20.56	26.47	59.55	15.45	660.68	195.72	13.42	3.86	17.77	14.67	10.39	51.35	30.56	22.1	40.07	11.04	56.28	4.7	67.59	94.67	27.05	15.34	69.52	29.91	8.92	81.71	27.64	53.19	9.85	29.06	674.59	191.67	49.91	237.86	26.47	100.13	435.55	64.8	35.76	384.34	105.89	155.5	60.82	124.37	83.45	423.61	98.04	412.0	99.43	314.17	59.97	95.34	60.39	61.25	248.0	171.45	547.75	1991.0	1104.13	559.28
C4orf33	348.71	305.55	183.82	150.17	129.69	223.41	101.54	109.66	113.56	187.71	348.71	111.99	130.6	146.03	100.13	96.68	23.42	60.82	40.07	109.66	71.5	86.43	50.98	76.17	106.63	95.34	87.65	90.77	72.01	42.71	122.64	86.43	14.45	114.36	69.52	208.38	269.6	169.07	381.68	113.56	197.09	239.52	251.48	157.68	239.52	150.17	262.2	295.11	285.03	154.42	269.6	283.05	181.28	518.15	199.85	159.9	228.13	190.34	101.54	128.79	137.14	303.44	371.22	156.59	220.32
CD37	2555.58	4010.71	4836.35	67.12	130.6	151.22	134.3	156.59	100.83	713.11	417.77	50.63	31.9	73.03	41.22	28.24	105.89	127.89	43.32	92.05	96.01	307.69	36.01	229.72	241.19	74.06	58.71	96.68	273.37	108.14	251.48	100.13	195.72	33.06	169.07	1662.49	934.76	244.57	463.65	224.97	356.05	457.25	348.71	255.0	403.5	351.14	110.43	297.17	974.5	629.35	329.84	343.89	579.04	514.56	708.18	348.71	332.14	199.85	167.9	127.89	136.19	2591.27	2777.33	21919.61	7180.15
CEACAM21	147.06	155.5	107.38	18.97	4.86	16.88	0.37	13.22	4.58	85.22	31.9	5.28	3.32	6.73	9.27	2.29	4.62	15.34	2.25	16.51	8.58	19.82	1.66	11.21	15.34	3.56	3.69	14.56	15.11	3.14	8.45	1.58	8.38	2.34	6.46	155.5	62.56	42.11	24.46	31.67	17.38	77.79	7.46	8.92	71.5	18.7	13.22	22.92	46.84	13.83	96.68	49.21	68.07	38.12	31.45	22.26	19.97	56.28	4.98	4.46	37.05	444.72	187.71	642.59	242.88
COL4A4	205.5	135.24	93.35	2.23	2.27	3.76	2.63	38.67	1.07	24.11	24.99	3.53	2.53	7.06	28.86	12.74	7.06	4.03	8.38	18.03	1.77	8.19	2.48	11.21	13.42	0.88	1.81	15.0	8.25	2.05	33.54	13.52	3.53	31.67	1.77	141.02	16.75	14.45	32.82	8.38	36.53	23.08	19.82	12.0	11.55	45.85	7.75	16.75	13.52	20.56	31.9	40.36	7.4	44.25	91.41	19.68	14.14	22.75	2.71	3.56	6.21	98.73	20.26	273.37	145.02
CYBRD1	1594.73	2287.2	1340.84	38.12	181.28	23.08	127.0	217.27	17.9	1540.37	356.05	287.01	12.09	37.59	256.78	323.03	75.11	209.84	285.03	450.94	11.64	289.02	9.7	155.5	132.44	17.51	119.26	500.46	285.03	12.55	164.42	151.22	52.08	21.47	90.14	802.41	660.68	113.56	836.53	170.25	406.31	438.59	381.68	146.03	236.21	583.07	70.51	197.09	224.97	612.11	665.29	825.0	181.28	412.0	1151.06	285.03	120.1	339.14	131.51	54.72	190.34	3491.39	10959.3	5292.48	2956.17
